,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,quarterlyRetainedEarnings,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGoodwill,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualRetainedEarnings,quarterlyCurrentAssets,trailingNetIncome,annualDilutedAverageShares,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,trailingPretaxIncome,annualPretaxIncome,trailingPurchaseOfInvestment,annualDilutedEPS,annualCashDividendsPaid,quarterlyDilutedEPS,annualCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,annualEndCashPosition,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,quarterlyTotalAssets,trailingOperatingIncome,annualNonCurrentDeferredRevenue,annualOtherCurrentAssets,trailingTotalRevenue,annualNetIncome,annualLongTermDebt,annualOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,annualAccountsPayable,trailingInvestingCashFlow,annualFreeCashFlow,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,trailingTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,annualStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,quarterlyGrossProfit,annualRepurchaseOfCapitalStock,annualBasicAverageShares,quarterlyNetIncome,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualTaxProvision,trailingSaleOfInvestment,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,annualCurrentAssets,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyChangeInInventory,quarterlyAccountsReceivable,annualCurrentLiabilities,annualNetPPE,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyCurrentAccruedExpenses,quarterlyEndCashPosition,annualOtherShortTermInvestments,annualCommonStockIssuance,quarterlyInvestingCashFlow,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualSaleOfInvestment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,quarterlyBasicEPS,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,trailingRepaymentOfDebt,quarterlyPretaxIncome,annualChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,trailingGrossProfit,trailingNetIncomeCommonStockholders,annualCashCashEquivalentsAndMarketableSecurities,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,trailingInterestExpense,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,annualBeginningCashPosition,annualTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualSellingGeneralAndAdministration,trailingCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,annualBasicEPS,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyDilutedAverageShares,trailingOtherNonCashItems,annualInvestingCashFlow,trailingSellingGeneralAndAdministration,quarterlyIncomeTaxPayable,annualCapitalExpenditure,annualChangeInInventory,quarterlyGrossPPE,trailingStockBasedCompensation,annualOperatingExpense,trailingDeferredIncomeTax,quarterlyCapitalExpenditure,annualCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyOperatingCashFlow,trailingNetOtherFinancingCharges,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,trailingCostOfRevenue,trailingChangesInAccountReceivables,annualPurchaseOfInvestment,trailingCashDividendsPaid,quarterlyTaxProvision,annualTotalRevenue,quarterlyOtherCurrentLiabilities,trailingResearchAndDevelopment,quarterlyNetPPE,annualCapitalStock,quarterlyStockBasedCompensation,trailingOperatingExpense,quarterlyEbitda,trailingChangeInInventory,annualNetOtherFinancingCharges,annualGrossProfit,annualStockBasedCompensation,annualGoodwill,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualInventory,annualAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,trailingDilutedAverageShares,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingBasicAverageShares,trailingRepurchaseOfCapitalStock,trailingDilutedEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891302400,,,,,,,,,,,,,,,,,,,,,,,,,68.460652,,,,,37602820160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37602820160.0,,,,,,37602820160.0,,,549261788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.460652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549261788.0,,,,,,,,,,,,,865334898932.0,865334898932.0,,,,,,,,,,,,,,,,,,865334898932.0,,,,,,,,,,,,,,,,,,,
899164800,,,,,,,,,,,,,,,,,,,,,,,,,68.460652,,,,,37602820160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37602820160.0,,,,,,37602820160.0,,,549261788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.460652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549261788.0,,,,,,,,,,,,,865334898932.0,865334898932.0,,,,,,,,,,,,,,,,,,865334898932.0,,,,,,,,,,,,,,,,,,,
907113600,,,,,,,,,,,,,,,,,,,,,,,,,68.460652,,,,,37602820160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37602820160.0,,,,,,37602820160.0,,,549261788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.460652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549261788.0,,,,,,,,,,,,,865334898932.0,865334898932.0,,,,,,,,,,,,,,,,,,865334898932.0,,,,,,,,,,,,,,,,,,,
915062400,1348883664427.0,-573795533879.0,328907167587.0,,,,942890715512.0,13983548747.0,,,1194594592958.0,942890715512.0,1401292595025.0,,595600412.0,4002115153154.0,2543478257385.0,82608695539.0,,,280258519005.0,,251.022391,-4582843707.0,,,198002349905.0,437367801986.0,780846062385.0,37602820160.0,696239717025.0,4002115153154.0,,,54171562793.0,,150411280640.0,1150881314522.0,467450058114.0,,2600822558129.0,229142185350.0,,-198942420409.0,,,,,,,1445123382274.0,,2543478257385.0,-4700352520.0,514923618566.0,,,,595600412.0,37602820160.0,,437367801986.0,129847238365.0,,927144534570.0,37602820160.0,1150881314522.0,,,,8930669788.0,,1401292595025.0,,,,,1194594592958.0,2049118681094.0,,,,,,328907167587.0,14101057560.0,,638660398655.0,514923618566.0,94124559213.0,1348883664427.0,,150411280640.0,36780258469.0,,31374853071.0,1394594592684.0,,,198002349905.0,,,50763807216.0,,,,766274969573.0,,1445123382274.0,184606345223.0,-2888366623540.0,,,766274969573.0,437367801986.0,,54171562793.0,,386603994770.0,2600822558129.0,,-73678025751.0,,4937485304634.0,36780258469.0,780846062385.0,,,1370505286019.0,,,,251.022391,,,,,,150411280640.0,,,229142185350.0,13983548747.0,,,,,-904347824848.0,,,-837602819064.0,-11750881300.0,4937485304634.0,,2297649820589.0,,,316333724596.0,865334898932.0,-2128554638682.0,,,,215041127790.0,,,,-316803759848.0,,,3461339595728.0,184606345223.0,,2049118681094.0,31374853071.0,,,-2128554638682.0,,-247473560178.0,2765099878703.0,,,,,8930669788.0,-2888366623540.0,,,,,,,,,,
922838400,,,,,,,,,,,,,,,,,,,,,,,,,101.465638,,,,,70011274212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70011274212.0,,,,,,70011274212.0,,,689999839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.465638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689999839.0,,,,,,,,,,,,,1102065392963.04,1102065392963.04,,,,,,,,,,,,,,,,,,1102065392963.04,,,,,,,,,,,,,,,,,,,
930700800,,,,,,,,,,,,,,,,,,,,,,,,,104.166691,,,,,71875000161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71875000161.0,,,,,,71875000161.0,,,689999839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.166691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689999839.0,,,,,,,,,,,,,1131402780312.12,1131402780312.12,,,,,,,,,,,,,,,,,,1131402780312.12,,,,,,,,,,,,,,,,,,,
938649600,,,,,,,,,,,,,,,,,,,,,,,,,109.489076,,,,,75547445121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75547445121.0,,,,,,75547445121.0,,,689999839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.489076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689999839.0,,,,,,,,,,,,,1189211676715.32,1189211676715.32,,,,,,,,,,,,,,,,,,1189211676715.32,,,,,,,,,,,,,,,,,,,
946598400,1018395242357.69,-33281993168.04,517549263298.68,,,,1365648922606.44,220078142451.07,,,1501176668775.37,1365648922606.44,1738886747786.71,,662219010.0,6244580967020.95,2519571911133.06,-150156285224.04,,,382184597537.27,,430.351022,-6588901464.94,,,156243487935.29,85272933087.68,621886749026.58,54671367609.0,830072479259.82,6244580967020.95,,,33252548094.46,,281313702972.0,862151754422.4,306289920384.82,,4505694219234.24,606334087662.19,,-433304642780.64,,,,,,,3709902600638.52,,2519571911133.06,-440471120688.88,2004937710118.8,,,,662219010.0,54671367609.0,,85272933087.68,100870894565.27,,706942241570.9,54671367609.0,862151754422.4,,,,19885617191.97,,1738886747786.71,,1082926386113.92,,1082926386113.92,1501176668775.37,2434260472949.16,,,,,,517549263298.68,1614559454606.48,,687057756881.76,2004937710118.8,306360135560.28,1018395242357.69,,281313702972.0,66496036166.28,,41550396329.87,1013232161955.72,,,156243487935.29,,,-362202717604.75,,,,602822196386.36,,3709902600638.52,272955832086.6,-3216233292013.22,,,602822196386.36,85272933087.68,,33252548094.46,,447475650692.43,4505694219234.24,,118741789222.67,,5650493764962.38,66496036166.28,621886749026.58,,,2584927516949.53,,,,430.351022,,,,,,281313702972.0,,,606334087662.19,220078142451.07,,,,,-2121720269445.57,,,-1120362399662.4,-10721404291.61,5650493764962.38,,3291869758520.43,,,1072459794959.06,860597128019.11,-3261345109761.14,,,,125203850370.65,,,,-1217626272714.12,,,4428232158165.07,272955832086.6,,2434260472949.16,41550396329.87,,,-3261345109761.14,,-68746319289.49,3598159678905.25,,,,,19885617191.97,-3216233292013.22,,,27437146062.41,,,,,,,
954460800,,,,,,,,,,,,,,,,,,,,,,,,,270.354007,,,,,212216814108.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212216814108.36,,,,,,212216814108.36,,,784959013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.354007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784959013.0,,,,,,,,,,,,,1620237831469.55,1620237831469.55,,,,,,,,,,,,,,,,,,1620237831469.55,,,,,,,,,,,,,,,,,,,
962323200,,,,,,,,,,,,,,,,,,,,,,,,,272.463792,,,,,213872909356.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213872909356.8,,,,,,213872909356.8,,,784959013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.463792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784959013.0,,,,,,,,,,,,,1632881825704.0,1632881825704.0,,,,,,,,,,,,,,,,,,1632881825704.0,,,,,,,,,,,,,,,,,,,
970272000,,,,,,,,,,,,,,,,,,,,,,,,,272.463792,,,,,213872909356.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213872909356.8,,,,,,213872909356.8,,,784959013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.463792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784959013.0,,,,,,,,,,,,,1632881825704.0,1632881825704.0,,,,,,,,,,,,,,,,,,1632881825704.0,,,,,,,,,,,,,,,,,,,
978220800,1723461436905.0,513589126402.5,1282305938640.0,,,,2292390639022.5,-122723134965.0,,,3215312254920.0,2292390639022.5,2793499360905.0,,785039031.0,11019962045775.0,4938773691825.0,-63021491625.0,,,1336633372132.5,,1236.156759,-15374209822.5,,,160125157627.5,90293299395.0,1413857139322.5,328512748644.6,1195417190437.5,11019962045775.0,,,54558786210.0,,970131476715.0,1561970918977.5,1492195950757.5,,8226462684870.0,1068288240060.0,,800663714812.5,,,,,,,5949611868817.5,,4938773691825.0,,833477874022.5,,,,785039031.0,328512748644.6,243437420377.5,90293299395.0,366501895417.5,,1453247783977.5,328512748644.6,1561970918977.5,,,,34310998650.0,,2793499360905.0,,1059042980917.5,,1059042980917.5,3215312254920.0,4533218699160.0,,,,243437420377.5,,1282305938640.0,1653710488912.5,,3036814151700.0,833477874022.5,105166877107.5,1723461436905.0,,970131476715.0,2559852079567.5,,44477875995.0,2945443734735.0,,,160125157627.5,,,4945638420.0,,,,1372599238035.0,,5949611868817.5,489729455160.0,-4386673819627.5,,,1372599238035.0,90293299395.0,,54558786210.0,,85347660975.0,8226462684870.0,,-61662452437.5,,8919892518787.5,2559852079567.5,1413857139322.5,,,3385506944760.0,,,,1236.156759,,,,,,970131476715.0,,,1068288240060.0,-122723134965.0,,,,,-4657546132477.5,,,-2236150436887.5,29929203465.0,8919892518787.5,,4719185828910.0,,,1625677619197.5,2508153492993.0,-3406449526354.5,,,,212960808570.0,,,,-1012011375472.5,,,7406798970105.0,489729455160.0,,4533218699160.0,44477875995.0,,,-3406449526354.5,,-124084702597.5,6211381779667.5,,,,,34310998650.0,-4386673819627.5,,,25663716750.0,,,,,,,
985996800,,,,,,,,,,,,,,,,,,,,,,,,,371.84602,,,,,289679947241.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289679947241.25,,,,,,289679947241.25,,,779031995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.84602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779031995.0,,,,,,,,,,,,,2116120852578.75,2116120852578.75,,,,,,,,,,,,,,,,,,2116120852578.75,,,,,,,,,,,,,,,,,,,
993859200,,,,,,,,,,,,,,,,,,,,,,,,,363.16479,,,,,282916990654.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282916990654.94,,,,,,282916990654.94,,,779031995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.16479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779031995.0,,,,,,,,,,,,,2066717248381.54,2066717248381.54,,,,,,,,,,,,,,,,,,2066717248381.54,,,,,,,,,,,,,,,,,,,
1001808000,,,,,,,,,,,,,,,,,,,,,,,,,366.492215,,,,,285509161527.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285509161527.08,,,,,,285509161527.08,,,779031995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.492215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779031995.0,,,,,,,,,,,,,2085653135688.28,2085653135688.28,,,,,,,,,,,,,,,,,,2085653135688.28,,,,,,,,,,,,,,,,,,,
