,trailingInterestExpense,quarterlyOtherCurrentAssets,annualDilutedEPS,annualChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,trailingSellingGeneralAndAdministration,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualInterestExpense,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,annualCashCashEquivalentsAndMarketableSecurities,annualOperatingExpense,annualOtherIntangibleAssets,annualEbitda,annualOtherNonCurrentAssets,annualNetIncomeContinuousOperations,annualAccumulatedDepreciation,annualCashAndCashEquivalents,annualGrossProfit,annualBasicAverageShares,annualOperatingCashFlow,annualNetPPE,trailingOperatingExpense,quarterlyGrossPPE,annualCurrentAssets,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,annualTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,trailingTaxProvision,annualCurrentLiabilities,quarterlyAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCostOfRevenue,quarterlyInventory,trailingOperatingCashFlow,annualOtherShortTermInvestments,annualFreeCashFlow,annualCommonStockIssuance,annualCurrentDebt,annualBasicEPS,quarterlyStockholdersEquity,annualOtherNonCashItems,annualTotalNonCurrentAssets,trailingNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualDepreciationAndAmortization,trailingCommonStockIssuance,annualOtherCurrentAssets,annualLongTermDebt,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualNetIncome,trailingCashDividendsPaid,annualPretaxIncome,quarterlyLongTermDebt,annualTotalAssets,annualRetainedEarnings,quarterlyOtherNonCurrentLiabilities,annualPurchaseOfInvestment,quarterlyAccountsReceivable,annualAccountsReceivable,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentAssets,annualNetOtherInvestingChanges,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualChangeInInventory,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyCurrentAssets,trailingNetIncome,quarterlyRetainedEarnings,trailingCostOfRevenue,quarterlyDilutedEPS,annualEndCashPosition,trailingEndCashPosition,annualCashFlowFromContinuingFinancingActivities,quarterlyCashCashEquivalentsAndMarketableSecurities,annualInventory,trailingGrossProfit,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherFinancingCharges,annualTotalRevenue,annualStockBasedCompensation,quarterlyOtherIntangibleAssets,annualCapitalStock,annualDilutedAverageShares,trailingOperatingIncome,quarterlyAccountsPayable,quarterlyBasicEPS,trailingRepaymentOfDebt,quarterlyCapitalStock,annualRepaymentOfDebt,annualInvestingCashFlow,quarterlyCurrentDebt,annualCapitalExpenditure,annualGrossPPE,annualAccountsPayable,trailingInvestingCashFlow,annualOperatingIncome,trailingChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,annualOtherIncomeExpense,trailingTotalRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyGoodwill,trailingNetOtherInvestingChanges,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,annualGoodwill,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,trailingNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,trailingSaleOfInvestment,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,annualPurchaseOfBusiness,quarterlyOperatingCashFlow,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyStockBasedCompensation,trailingPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,,0.1072,31243000.0,96506000.0,,,27276000.0,11996000.0,,,58519000.0,124174000.0,,113320000.0,35899000.0,96506000.0,-6087000.0,58519000.0,233901000.0,900243000.0,91910000.0,106088000.0,,,515189000.0,,,1225000.0,,,371576000.0,,141212000.0,652020000.0,,,,26656000.0,0.0,94500000.0,0.1072,,9125000.0,143172000.0,,127573000.0,3593000.0,,54009000.0,139422000.0,145573000.0,,,96506000.0,,97731000.0,,658361000.0,,,-30000000.0,,,,,,0.0,77289000.0,512788000.0,-9174000.0,,,0.0,,,-55707000.0,,,,,,,,58519000.0,,,,96033000.0,,,-1590000.0,885921000.0,,,98000.0,900243000.0,,,,,,-445500000.0,-16461000.0,,-65254000.0,112175000.0,277076000.0,,109727000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,,0.1713,-4952000.0,154132000.0,,,58519000.0,11551000.0,-20303000.0,,53567000.0,173013000.0,,177819000.0,43490000.0,154132000.0,-11043000.0,53567000.0,344057000.0,899778000.0,43138000.0,135823000.0,,,651223000.0,,,5361000.0,,,418780000.0,,3530000.0,791627000.0,,,,-24002000.0,,140000000.0,0.1713,,9655000.0,210382000.0,,180769000.0,6775000.0,,42201000.0,0.0,439295000.0,,,154132000.0,,159493000.0,,861605000.0,,,-30072000.0,,,,,,1543000.0,1294000.0,422310000.0,-127089000.0,,,0.0,,,-75454000.0,,,,,,,,53567000.0,,,,171487000.0,,,29410000.0,1135684000.0,,,176000.0,899778000.0,,,,,,-254500000.0,-92165000.0,,-67140000.0,146866000.0,277890000.0,,171044000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,1586000.0,0.3087,790488000.0,302994000.0,,0.0,53567000.0,6387000.0,0.0,372300000.0,1186186000.0,212340000.0,,350601000.0,-793000.0,302994000.0,-21277000.0,1152121000.0,551136000.0,981370000.0,387055000.0,151420000.0,,172697000.0,1791914000.0,,,29415000.0,0.0,,371574000.0,-21277000.0,726000.0,1008738000.0,146342000.0,,34065000.0,361931000.0,952753000.0,1000000.0,0.3087,1642104000.0,5067000.0,222490000.0,,215937000.0,11805000.0,,1586000.0,,1642104000.0,726000.0,,302994000.0,,332409000.0,,2014404000.0,,0.0,-308624000.0,457007000.0,457007000.0,2014404000.0,222490000.0,-53040000.0,0.0,,372300000.0,57934000.0,34065000.0,-793000.0,0.0,,371574000.0,25145000.0,0.0,151420000.0,1791914000.0,,,,,844051000.0,,,1186186000.0,146342000.0,,,0.0,1559874000.0,1293000.0,,105731000.0,981370000.0,,359435000.0,,,105731000.0,-407471000.0,-332233000.0,1000000.0,-25124000.0,172697000.0,359435000.0,,338796000.0,,0.0,1152121000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,1586000.0,,,,,,,,,368160000.0,,,,,,,,,,,,,,,,,,,,,,,,,154454000.0,,,,,,,1647185000.0,,,,,,,,,,726000.0,,,,,,,,0.0,,362674000.0,,2015345000.0,239500000.0,,,,,,20877000.0,-793000.0,,,367434000.0,,0.0,164701000.0,1775845000.0,,,,0.0,,,,1256338000.0,,,,,,,,,,,354816000.0,0.0,,105731000.0,,,0.0,,,,,,,,1235461000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,,575594000.0,0.3472,14566000.0,418728000.0,,0.0,844051000.0,6000.0,,547724000.0,847457000.0,308805000.0,7737000.0,503255000.0,0.0,418728000.0,-30544000.0,847457000.0,777992000.0,1200119000.0,517648000.0,180061000.0,,210605000.0,2143764000.0,,,69376000.0,11351000.0,,535647000.0,-30544000.0,12077000.0,1275015000.0,181549000.0,,,460298000.0,1368000.0,0.0,0.3489,1860137000.0,-9825000.0,264097000.0,,304618000.0,15145000.0,,575594000.0,,1860137000.0,12077000.0,,418728000.0,,488104000.0,,2407861000.0,,0.0,-569000.0,451241000.0,451241000.0,2407861000.0,264097000.0,-192000000.0,11351000.0,,547724000.0,71006000.0,,0.0,-267524000.0,,535647000.0,-35207000.0,0.0,180061000.0,2143764000.0,,,,,847457000.0,,-191639000.0,847457000.0,181549000.0,,1754362000.0,0.0,2053007000.0,4101000.0,7737000.0,105775000.0,1206184000.0,,219802000.0,,,105775000.0,-1000000.0,-311443000.0,0.0,-57350000.0,210605000.0,219802000.0,,469187000.0,,0.0,847457000.0,,8583000.0,,1754362000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,442000.0,,,,,,,,,546306000.0,,,,,,,,,,,,,,,,,,,17251000.0,,,,,,175849000.0,,,,,,,1941237000.0,,,,,,,,,,18223000.0,,,,,,,,0.0,,560669000.0,,2487543000.0,276001000.0,,,,,,370001000.0,-221000.0,,,528083000.0,,0.0,193246000.0,2211542000.0,,,,,,,,1474361000.0,,,,,,,7032000.0,,,,510303000.0,,,105781000.0,,,,,,,,,,,1104360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,,4040000.0,0.5166,395754000.0,623138000.0,,0.0,847457000.0,428000.0,,417535000.0,1240977000.0,351737000.0,7991000.0,771493000.0,120424000.0,623138000.0,-45250000.0,1240977000.0,1055468000.0,1200519000.0,233619000.0,204333000.0,,249583000.0,2185002000.0,,,129689000.0,48351000.0,,368212000.0,-45250000.0,49323000.0,1652527000.0,225194000.0,,,76359000.0,538000.0,,0.519,2177206000.0,-42776000.0,409739000.0,,362998000.0,18238000.0,,4040000.0,,2177206000.0,49323000.0,,623138000.0,,752827000.0,,2594741000.0,1392863000.0,0.0,-279000.0,639560000.0,639560000.0,2594741000.0,409739000.0,-299740000.0,48351000.0,,417535000.0,-398775000.0,,120424000.0,575594000.0,,368212000.0,-43645000.0,0.0,204333000.0,2185002000.0,,1392863000.0,,,1240977000.0,,-299630000.0,1240977000.0,225194000.0,,181118000.0,0.0,2707995000.0,2026000.0,7991000.0,105792000.0,1200597000.0,,339446000.0,,,105792000.0,-97248000.0,461765000.0,,-157260000.0,249583000.0,339446000.0,,703731000.0,,0.0,1240977000.0,,,,181118000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341014400,,155378000.0,,,,,,,,,819967000.0,,,,,,,,,,,,,,,,,,,56351000.0,,,,,,266030000.0,,,,,,,2210506000.0,,,,,,,,,,208801000.0,,,,,,,,151478000.0,,,,3030473000.0,598547000.0,,,,,,1058849000.0,155000000.0,,,611166000.0,,-151478000.0,214041000.0,2431926000.0,,,,0.0,,,,1308849000.0,,,,,,,6918000.0,,,,406695000.0,0.0,,105792000.0,,,304512000.0,,,,,,,,250000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,,100000000.0,0.5204,1944000.0,626797000.0,,0.0,1240977000.0,7692000.0,,907259000.0,1342788000.0,414647000.0,6952000.0,799931000.0,61451000.0,626797000.0,-69177000.0,1242788000.0,1124045000.0,1200763000.0,557591000.0,364367000.0,,433544000.0,2514578000.0,,,140000000.0,68696000.0,,544156000.0,-69177000.0,363103000.0,1669325000.0,280287000.0,,100000000.0,493872000.0,267000.0,150180000.0,0.522,2382006000.0,-57595000.0,774687000.0,,427962000.0,25442000.0,,100000000.0,293497000.0,2382006000.0,363103000.0,,626797000.0,,766797000.0,293497000.0,3289265000.0,1996833000.0,0.0,0.0,685840000.0,685840000.0,3289265000.0,774687000.0,-424824000.0,68696000.0,,907259000.0,-55124000.0,100000000.0,61451000.0,-470000000.0,,544156000.0,-55093000.0,61848000.0,364367000.0,2514578000.0,,1996833000.0,,,1242788000.0,,,1342788000.0,280287000.0,,,0.0,2793370000.0,2298000.0,6952000.0,105801000.0,1204473000.0,,206214000.0,,,105801000.0,0.0,-570827000.0,150180000.0,-63719000.0,433544000.0,206214000.0,,709398000.0,,61848000.0,1242788000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
