date,quarterlyTotalNonCurrentAssets,quarterlyGoodwill,trailingNetIncome,annualGoodwill,annualTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualNetOtherInvestingChanges,trailingPretaxIncome,quarterlyDilutedAverageShares,annualBasicAverageShares,annualRetainedEarnings,annualAccountsReceivable,annualPurchaseOfInvestment,annualPretaxIncome,quarterlyLongTermDebt,annualNetIncome,trailingChangeInWorkingCapital,quarterlyTotalAssets,annualCashDividendsPaid,annualFreeCashFlow,annualInvestingCashFlow,trailingSaleOfInvestment,trailingCommonStockIssuance,annualAccountsPayable,trailingInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualStockholdersEquity,trailingPurchaseOfInvestment,annualOtherNonCashItems,annualOtherCurrentAssets,annualOperatingIncome,annualEndCashPosition,annualBasicEPS,annualNonCurrentDeferredRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyOtherIncomeExpense,trailingEndCashPosition,annualTaxProvision,annualDepreciationAndAmortization,annualDilutedAverageShares,quarterlyCurrentDebt,annualCurrentLiabilities,annualCashAndCashEquivalents,quarterlyInterestExpense,annualCurrentAccruedExpenses,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,trailingOperatingIncome,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyOperatingExpense,trailingRepurchaseOfCapitalStock,annualOtherIntangibleAssets,annualCommonStockIssuance,annualOtherNonCurrentAssets,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualDilutedEPS,annualChangeInAccountPayable,annualOperatingCashFlow,quarterlyOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualEbitda,annualRepurchaseOfCapitalStock,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,annualBeginningCashPosition,annualInterestExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,annualOtherIncomeExpense,trailingGrossProfit,quarterlyCashAndCashEquivalents,annualCapitalExpenditure,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCapitalExpenditure,quarterlyCapitalStock,trailingInterestExpense,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,trailingRepaymentOfDebt,annualChangeInInventory,annualStockBasedCompensation,quarterlyNetPPE,quarterlyEbitda,trailingStockBasedCompensation,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,annualInventory,trailingChangeInInventory,trailingTaxProvision,trailingDepreciationAndAmortization,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualCapitalStock,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualTotalRevenue,annualCurrentDeferredRevenue,annualCurrentDebt,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyDilutedEPS,annualOperatingExpense,trailingOperatingExpense,trailingSellingGeneralAndAdministration,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyGrossPPE,annualTotalLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualGrossProfit,trailingCostOfRevenue,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,annualNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,trailingPurchaseOfBusiness,quarterlyRetainedEarnings,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,trailingOtherIncomeExpense,quarterlyStockBasedCompensation,annualChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlySaleOfInvestment,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,trailingChangesInAccountReceivables,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,trailingNetOtherInvestingChanges,annualIncomeTaxPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,trailingChangeInAccountPayable,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,trailingDeferredIncomeTax,quarterlyOtherNonCashItems,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,trailingDilutedAverageShares
1984-03-31,,,-2214000000.0,,,,,,,-277000000.0,,715909687.0,,,,-3268250.757641,,-894397.841083,-241000000.0,,,,,6156000000.0,3000000.0,,-11951000000.0,,,,43757000000.0,,,,-1581000000.0,,,0.0,,-0.001249,,,,,5563000000.0,-2151934.655237,,715909687.0,,,,,,,14293000000.0,,,,5285000000.0,,,,,,,-1296000000.0,,,,,,,,,-0.001249,,,,,,65566.759027,,-1381000000.0,,,-894397.841083,-2214000000.0,,,,,,,,,,,13760000000.0,,,,,-7805000000.0,,2466000000.0,,,-14900000000.0,,,,,179000000.0,,,,-245000000.0,,,65000000.0,1456000000.0,11706000000.0,1495000000.0,,,-1116316.102404,,30261.581089,,,,,,30261.581089,8475000000.0,9442000000.0,6488000000.0,,,,933065.416919,,,,29997000000.0,-1733000000.0,,,,,-2420000000.0,,,-11657000000.0,,6944000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,715909687.0,,,,-17661175.510001,,195245.733916,,,,,,,,,,,,,,,,,,,,0.0,,0.000273,,,,,,-18144151.799161,,715909687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000273,,,,,,-16832237.481797,,,,,195245.733916,,,,,,,1712.681876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482976.28916,,7325140.385597,,,,,,7325140.385597,,,,,,,1358156.728029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,715909687.0,,,,-27701816.309804,,2562841.717037,,,,,,,,,,,,,,,,,,,,0.0,,0.00358,,,,,,-31308485.401086,,715909687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00358,,,,,,-20298403.339822,,,,,2562841.717037,,,,,,,53854.523102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3606669.091282,,54684516.340539,,,,,,54684516.340539,,,,,,,2125669.705973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,822666140.0,,,,,,,,,,,,,,,,,-307209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822666140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29696870.0,,,,29696870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29696870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,822666140.0,,,,,,,,,,,,,,,,,-290457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822666140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28077510.0,,,,28077510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28077510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,,,,,,,,,822666140.0,,,,,,,,,,,,,,,,,-280428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822666140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27201516.0,,,,27201516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27201516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-03-31,198269775.0,,,,287260425.0,,,,,,,715909687.0,28212300.0,,,-5263166.449935,159695550.0,-19531729.518856,,287260425.0,,0.0,0.0,,,,,-1124190.642393,,,,3134700.0,159695550.0,32827275.0,,,17850375.0,0.0,0.0,-0.027282,,163526850.0,10449000.0,,,-3297691.807542,,715909687.0,,90906300.0,19678950.0,,,696600.0,,,,254433150.0,,,,,,,,,1393200.0,,8533350.0,188343225.0,,,19678950.0,,-0.027282,,0.0,8533350.0,163526850.0,88990650.0,7740279.583875,,,226917450.0,,-19531729.518856,,32827275.0,,3134700.0,,0.0,229258.777633,,1393200.0,198269775.0,174150.0,,19678950.0,,,19678950.0,,,,,17850375.0,,,,188343225.0,-86451503.672302,,,,13439621.16515,,-38574225.0,10449000.0,,,,,,,-1965474.642393,73578375.0,94857217.16515,,,,88990650.0,,94857217.16515,,,,90906300.0,226917450.0,254433150.0,1894180.754226,,-38574225.0,27602775.0,,,,,-81417596.0,,,696600.0,,,28212300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,822666140.0,,,,,,,,,,,,,,,,,10688777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016195,,,,822666140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57507387.0,,,,57507387.0,,,,,,,,,,,,,,,,,0.016195,,,,,,,,,,,,,,,,57507387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,,822666140.0,,,,,,,,,,,,,,,,,10789924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016214,,,,822666140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57575742.0,,,,57575742.0,,,,,,,,,,,,,,,,,0.016214,,,,,,,,,,,,,,,,57575742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,,,,,,,,,822666140.0,,,,,,,,,,,,,,,,,9370332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014081,,,,822666140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50077512.0,,,,50077512.0,,,,,,,,,,,,,,,,,0.014081,,,,,,,,,,,,,,,,50077512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
