date,quarterlyTotalAssets,annualGoodwill,annualTotalAssets,trailingNetIncome,annualNetIncome,trailingCashDividendsPaid,trailingPretaxIncome,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,annualRetainedEarnings,annualNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyAccountsReceivable,trailingChangeInWorkingCapital,quarterlyCostOfRevenue,annualPretaxIncome,annualCashDividendsPaid,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyInvestmentsAndAdvances,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingInvestingCashFlow,annualAccountsPayable,quarterlyInterestExpense,quarterlyCurrentDebt,annualOtherCurrentAssets,annualOtherNonCashItems,annualDepreciationAndAmortization,trailingStockBasedCompensation,annualLongTermDebt,annualOperatingIncome,annualEndCashPosition,trailingTotalRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,trailingCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyOtherIncomeExpense,annualTaxProvision,trailingEndCashPosition,annualCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,trailingOperatingIncome,trailingOtherIncomeExpense,trailingChangeInAccountPayable,trailingOperatingCashFlow,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlyChangeInAccountPayable,annualSaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,annualEbitda,annualOtherNonCurrentAssets,annualNetPPE,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualOperatingCashFlow,trailingNetOtherInvestingChanges,annualCurrentAssets,quarterlyOtherCurrentAssets,trailingInterestExpense,annualBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,trailingChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualGrossPPE,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,annualInterestExpense,quarterlyChangeInInventory,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,annualDilutedEPS,annualInvestmentsAndAdvances,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualRepaymentOfDebt,trailingGrossProfit,quarterlyStockholdersEquity,annualCapitalExpenditure,trailingDeferredIncomeTax,annualSellingGeneralAndAdministration,quarterlyCashAndCashEquivalents,annualBasicAverageShares,trailingCapitalExpenditure,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,annualInventory,quarterlyTaxProvision,quarterlyBasicEPS,trailingTaxProvision,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyAccumulatedDepreciation,trailingChangeInInventory,quarterlyEbitda,trailingNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualCostOfRevenue,trailingDepreciationAndAmortization,annualCapitalStock,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,trailingResearchAndDevelopment,annualTotalRevenue,trailingOtherNonCashItems,annualDilutedAverageShares,annualStockBasedCompensation,annualFreeCashFlow,annualCurrentDebt,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualOperatingExpense,quarterlyCurrentAssets,quarterlyBasicAverageShares,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,quarterlyRepurchaseOfCapitalStock,annualChangeInWorkingCapital,annualDeferredIncomeTax,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualGrossProfit,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,annualResearchAndDevelopment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingOperatingExpense,annualChangesInAccountReceivables,quarterlyNetPPE,quarterlyChangeInWorkingCapital,trailingCostOfRevenue,quarterlyPretaxIncome,trailingBeginningCashPosition,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredTaxesLiabilities,annualCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,annualNonCurrentDeferredRevenue,annualRepurchaseOfCapitalStock,trailingBasicAverageShares,trailingBasicEPS,annualOtherShortTermInvestments,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,annualCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingCommonStockIssuance
2014-12-31,,,,470000000.0,268000000.0,-57000000.0,575000000.0,,,,,282000000.0,,-195000000.0,,,,,-1396000000.0,,113000000.0,-161000000.0,,,73000000.0,,-3460000000.0,,,583000000.0,,,,,1234000000.0,,60000000.0,,864000000.0,1877000000.0,14192000000.0,,,,,-1568000000.0,,,,174000000.0,1703000000.0,,,,,,1655000000.0,-742000000.0,-56000000.0,406000000.0,,,,,,,57000000.0,,,,,1927000000.0,,,256000000.0,,,1674000000.0,1096000000.0,,,338000000.0,0.563927,,,-579000000.0,247000000.0,,,440000000.0,470000000.0,,1437000000.0,,,442000000.0,,-1150000000.0,,0.557562,,,-806000000.0,,,-328000000.0,-1723000000.0,2965000000.0,,-1219000000.0,-19000000.0,770000000.0,,438000000.0,-586000000.0,,,,,,,,105000000.0,-103000000.0,2250000000.0,-355000000.0,,-3000000.0,,-13000000.0,,10349000000.0,536000000.0,,-61000000.0,-2385000000.0,70000000.0,12542000000.0,633000000.0,443000000.0,87000000.0,455000000.0,,,,1329000000.0,,,-180000000.0,,704000000.0,,-1632000000.0,-35000000.0,,,2193000000.0,,,123000000.0,,,,470000000.0,,,,1310000000.0,-312000000.0,,,11227000000.0,,2282000000.0,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,5249000000.0,36477000000.0,,-322000000.0,,,,,,8834000000.0,117000000.0,,-134000000.0,960000000.0,,,,,,183000000.0,-223000000.0,,,,,-1060000000.0,,,,1510000000.0,,,2556000000.0,1163000000.0,,,8786000000.0,867000000.0,1919000000.0,,,12046000000.0,,,,,,,339000000.0,,5211000000.0,,,170000000.0,1362000000.0,,,,,,,,,,,40000000.0,,1104000000.0,1362000000.0,-5431000000.0,1936000000.0,15245000000.0,5425000000.0,-90000000.0,17135000000.0,,1582000000.0,,7953000000.0,,,-0.892694,,,,-391000000.0,2977000000.0,11568000000.0,42000000.0,,290000000.0,1877000000.0,,,473000000.0,,,,-0.892694,193000000.0,,,,28524000000.0,-227000000.0,-2030000000.0,,,-1180000000.0,,765000000.0,,438000000.0,,,,,,2284000000.0,,,,-98000000.0,-441000000.0,-64000000.0,,,,,,10104000000.0,,1449000000.0,-156000000.0,97000000.0,,12413000000.0,,443000000.0,92000000.0,402000000.0,41000000.0,-6143000000.0,,1442000000.0,,,,22346000000.0,,,-1375000000.0,34000000.0,,,2309000000.0,,,169000000.0,,,,,,,,,212000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,,,,,,,,,,-535000000.0,,,,,,,-681000000.0,,,2400000000.0,,,,,,,,110000000.0,16000000.0,,,121000000.0,,,,,,,,,,,,-0.004566,-2000000.0,,-1000000.0,,-4000000.0,,,,-7000000.0,205000000.0,,,,,,,369000000.0,-50000000.0,-57000000.0,1384000000.0,,-272000000.0,,,,,,,,,,,,,,,,,,238000000.0,453000000.0,,,,,,,,,19000000.0,-139000000.0,,-58000000.0,,655000000.0,,,,,1919000000.0,,,,,,,,,,,,,,,-441000000.0,,51000000.0,-0.004566,,,,,,,591000000.0,,26000000.0,,,,,,,,,,,,,,,,,438000000.0,,,,,,,-430000000.0,-251000000.0,,-107000000.0,108000000.0,,286000000.0,3055000000.0,,,31000000.0,,,,,,-887000000.0,,161000000.0,,-86000000.0,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,545000000.0,,,,,,,55000000.0,,,2533000000.0,,,,,,,,53000000.0,135000000.0,,,124000000.0,,,,,,,,,,,,0.264901,118000000.0,,311000000.0,,3000000.0,,,,-1000000.0,239000000.0,,,,,,,404000000.0,-34000000.0,-57000000.0,1929000000.0,,29000000.0,,,,,,,,,,,,,,,,,,333000000.0,453000000.0,,,,,,,,,256000000.0,-79000000.0,,55000000.0,,701000000.0,,,,,1384000000.0,,,,,,,,,,,,,,,-441000000.0,,123000000.0,0.269406,,,,,,,613000000.0,,29000000.0,,,,,,,,,,,,,,,,,438000000.0,,,,,,,332000000.0,-277000000.0,,-100000000.0,27000000.0,,297000000.0,3234000000.0,,,32000000.0,,,,,,-294000000.0,,176000000.0,,8000000.0,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,,,,,,,,,,-66000000.0,,,,,,,20000000.0,,,2503000000.0,,,,,,,,66000000.0,166000000.0,,,126000000.0,,,,,,,,,,,,0.33,148000000.0,,-231000000.0,,8000000.0,,,,-15000000.0,229000000.0,,,,,,,395000000.0,-81000000.0,-57000000.0,1863000000.0,,47000000.0,,,,,,,,,,,,,,,,,,65000000.0,453000000.0,,,,,,,,,5000000.0,-8000000.0,,10000000.0,,635000000.0,,,,,1929000000.0,,,,,,,,,,,,,,,-442000000.0,,56000000.0,0.34,,,,,,,564000000.0,,18000000.0,,,,,,,,,,,,,,,,,438000000.0,,,,,,,306000000.0,-286000000.0,,-143000000.0,66000000.0,,240000000.0,3138000000.0,,,30000000.0,,,,,,-257000000.0,,122000000.0,,11000000.0,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,20038000000.0,5148000000.0,20038000000.0,,-941000000.0,,,5148000000.0,8044000000.0,0.0,-1027000000.0,722000000.0,240000000.0,-52000000.0,974000000.0,153000000.0,351000000.0,974000000.0,,2375000000.0,414000000.0,-228000000.0,14146000000.0,,,1122000000.0,-165000000.0,-1291000000.0,-1258000000.0,,1744000000.0,128000000.0,40000000.0,0.0,317000000.0,,,8044000000.0,974000000.0,1863000000.0,,12148000000.0,5115000000.0,,-1275000000.0,,-244000000.0,2253000000.0,-84000000.0,1476000000.0,,2749000000.0,-29000000.0,269000000.0,153000000.0,1863000000.0,,,,,441000000.0,410000000.0,-57000000.0,1863000000.0,988000000.0,428000000.0,280000000.0,14897000000.0,988000000.0,1863000000.0,-2568000000.0,2045000000.0,155000000.0,5499000000.0,232000000.0,12148000000.0,155000000.0,870000000.0,,5892000000.0,0.0,,-2.31,86000000.0,,,-1010000000.0,329000000.0,11572000000.0,-56000000.0,,240000000.0,1919000000.0,0.0,-12000000.0,499000000.0,-36000000.0,,592000000.0,-2.31,1122000000.0,496000000.0,,1863000000.0,14146000000.0,-77000000.0,-2734000000.0,,5115000000.0,-1125000000.0,,942000000.0,1863000000.0,438000000.0,,1863000000.0,-2568000000.0,1744000000.0,-1410000000.0,2253000000.0,1246000000.0,,,245000000.0,-754000000.0,-29000000.0,-6073000000.0,,277000000.0,,13000000.0,9811000000.0,,496000000.0,-1062000000.0,10000000.0,,12394000000.0,,438000000.0,86000000.0,-255000000.0,40000000.0,-6073000000.0,-1027000000.0,1609000000.0,5892000000.0,,,14897000000.0,,,-1102000000.0,1125000000.0,662000000.0,-311000000.0,2583000000.0,-404000000.0,116000000.0,132000000.0,151000000.0,2967000000.0,329000000.0,,39000000.0,2749000000.0,11572000000.0,,-238000000.0,5499000000.0,336000000.0,,-45000000.0,,1192000000.0,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,20157000000.0,,,,,,,5170000000.0,8046000000.0,690000000.0,,,869000000.0,,,114000000.0,-403000000.0,1148000000.0,,2492000000.0,,,13447000000.0,,,446000000.0,,322000000.0,322000000.0,,,115000000.0,47000000.0,,,,,,,,,12075000000.0,,0.65,305000000.0,,1029000000.0,2328000000.0,281000000.0,,,,0.0,221000000.0,,,,,,,382000000.0,-28000000.0,-45000000.0,2553000000.0,,-122000000.0,,14662000000.0,,,,,,,,,1274000000.0,,,,0.0,,,244000000.0,499000000.0,,,,,,,,,888000000.0,-299000000.0,,-85000000.0,,700000000.0,,,499000000.0,,1863000000.0,,,,,5482000000.0,,,,2553000000.0,,,2553000000.0,-2498000000.0,1597000000.0,-360000000.0,,162000000.0,0.69,,,,,-6160000000.0,,732000000.0,,28000000.0,,,,,,,,,,,,,,-768000000.0,,6710000000.0,440000000.0,,,,,,,-300000000.0,-103000000.0,,-43000000.0,91000000.0,,318000000.0,3192000000.0,420000000.0,,28000000.0,2587000000.0,11633000000.0,,,5473000000.0,-599000000.0,,484000000.0,,20000000.0,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,19106000000.0,,,,,,,5215000000.0,6796000000.0,-768000000.0,,,875000000.0,,,124000000.0,91000000.0,1170000000.0,,2583000000.0,,,13073000000.0,,,0.0,,212000000.0,212000000.0,,,183000000.0,48000000.0,,,,,,,,,10695000000.0,,0.43,194000000.0,,-125000000.0,2416000000.0,145000000.0,,,,-1000000.0,204000000.0,,,,,,,371000000.0,-1000000.0,-43000000.0,1785000000.0,,53000000.0,,13353000000.0,,,,,,,,,1271000000.0,,,,0.0,,,2000000.0,462000000.0,,,,,,,,,0.0,17000000.0,,-65000000.0,,678000000.0,,,499000000.0,,2553000000.0,,,,,5740000000.0,,,,1785000000.0,,,1785000000.0,-2454000000.0,1667000000.0,-973000000.0,,57000000.0,0.44,,,,,-6231000000.0,,589000000.0,,20000000.0,,,,,,,,,,,,,,-567000000.0,,6033000000.0,441000000.0,,,,,,,217000000.0,-126000000.0,,-860000000.0,71000000.0,,307000000.0,3261000000.0,379000000.0,,30000000.0,2658000000.0,11738000000.0,,,5507000000.0,-118000000.0,,269000000.0,,7000000.0,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,19237000000.0,,,,,,,5246000000.0,6802000000.0,30000000.0,,,876000000.0,,,101000000.0,41000000.0,1150000000.0,,2626000000.0,,,13089000000.0,,,0.0,,119000000.0,119000000.0,,,100000000.0,55000000.0,,,,,,,,,10599000000.0,,0.22,101000000.0,,-128000000.0,2453000000.0,-18000000.0,,,,-1000000.0,155000000.0,,,,,,,320000000.0,0.0,-44000000.0,1815000000.0,,-25000000.0,,13276000000.0,,,,,,,,,1293000000.0,,,,0.0,,,2000000.0,462000000.0,,,,,,,,,2000000.0,4000000.0,,-18000000.0,,610000000.0,,,500000000.0,,1785000000.0,,,,,5948000000.0,,,,1815000000.0,,,1815000000.0,-2327000000.0,1656000000.0,-151000000.0,,53000000.0,0.23,,,,,-6265000000.0,,412000000.0,,11000000.0,,,,,,,,,,,,,,-519000000.0,,6148000000.0,442000000.0,,,,,,,172000000.0,-131000000.0,,-15000000.0,16000000.0,,290000000.0,3236000000.0,412000000.0,,25000000.0,2677000000.0,11791000000.0,,,5526000000.0,-167000000.0,,172000000.0,,-3000000.0,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,18718000000.0,4535000000.0,18718000000.0,,-74000000.0,,,4535000000.0,6806000000.0,335000000.0,-1248000000.0,248000000.0,126000000.0,-2000000.0,1035000000.0,124000000.0,376000000.0,1035000000.0,,2656000000.0,470000000.0,-162000000.0,12340000000.0,,,0.0,540000000.0,-727000000.0,-727000000.0,,1839000000.0,98000000.0,38000000.0,0.0,226000000.0,,,6806000000.0,1210000000.0,2150000000.0,,10970000000.0,4910000000.0,,-727000000.0,,-236000000.0,2480000000.0,-671000000.0,544000000.0,,2824000000.0,0.0,151000000.0,124000000.0,2150000000.0,,,,,320000000.0,-2000000.0,-30000000.0,2150000000.0,987000000.0,156000000.0,890000000.0,13794000000.0,987000000.0,2150000000.0,-2644000000.0,1517000000.0,481000000.0,5594000000.0,62000000.0,10970000000.0,481000000.0,701000000.0,,6378000000.0,0.0,,-0.28,0.0,,,-127000000.0,349000000.0,11986000000.0,287000000.0,,126000000.0,1863000000.0,0.0,154000000.0,496000000.0,-24000000.0,,615000000.0,-0.28,0.0,536000000.0,,1815000000.0,12340000000.0,-263000000.0,-1634000000.0,,4910000000.0,-596000000.0,,731000000.0,2150000000.0,451000000.0,,2150000000.0,-2644000000.0,1839000000.0,-150000000.0,2480000000.0,272000000.0,,,-31000000.0,-963000000.0,-192000000.0,-6392000000.0,,-216000000.0,,8000000.0,10357000000.0,,536000000.0,-74000000.0,0.0,,12960000000.0,,451000000.0,67000000.0,105000000.0,38000000.0,-6392000000.0,-1248000000.0,1393000000.0,6378000000.0,,,13794000000.0,,,-926000000.0,434000000.0,612000000.0,-236000000.0,2603000000.0,-45000000.0,48000000.0,111000000.0,295000000.0,3271000000.0,349000000.0,,28000000.0,2824000000.0,11986000000.0,,-124000000.0,5594000000.0,-42000000.0,,-455000000.0,,410000000.0,,,,,,,,,,,,,,,,,,,,,,
