,trailingSellingGeneralAndAdministration,annualDilutedEPS,trailingOperatingExpense,annualOperatingExpense,annualCapitalExpenditure,annualSellingGeneralAndAdministration,trailingCapitalExpenditure,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,trailingInterestExpense,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,annualNetOtherFinancingCharges,quarterlyEndCashPosition,annualNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualInterestExpense,annualBasicAverageShares,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyOperatingExpense,annualCommonStockIssuance,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherNonCashItems,quarterlyRetainedEarnings,trailingOperatingCashFlow,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,trailingFreeCashFlow,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,trailingTaxProvision,annualBasicEPS,annualNetIncome,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCashDividendsPaid,quarterlyNetIncome,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,trailingInvestingCashFlow,quarterlyBasicAverageShares,annualPurchaseOfInvestment,quarterlyInvestmentsAndAdvances,annualStockholdersEquity,trailingPurchaseOfInvestment,quarterlyCapitalExpenditure,trailingPretaxIncome,quarterlyOperatingCashFlow,annualTotalAssets,trailingSaleOfInvestment,trailingCashDividendsPaid,annualDepreciationAndAmortization,quarterlyGoodwill,trailingNetIncome,quarterlyNetPPE,annualRetainedEarnings,quarterlyCommonStockIssuance,quarterlyTaxProvision,annualChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,annualSaleOfInvestment,annualGoodwill,annualNetPPE,annualOtherIntangibleAssets,annualOperatingIncome,quarterlyOtherIntangibleAssets,annualOperatingCashFlow,annualAccountsPayable,annualCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualTotalRevenue,annualRepaymentOfDebt,annualEndCashPosition,trailingTotalRevenue,quarterlyBasicEPS,annualGrossPPE,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,annualDilutedAverageShares,annualCashAndCashEquivalents,trailingChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,annualPretaxIncome,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlySaleOfInvestment,trailingEndCashPosition,annualOtherShortTermInvestments,quarterlyCostOfRevenue,annualCostOfRevenue,annualTotalNonCurrentAssets,annualChangesInAccountReceivables,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,annualGrossProfit,annualLongTermDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAssets,quarterlyStockBasedCompensation,annualResearchAndDevelopment,trailingBasicEPS,annualCurrentDebt,annualCashCashEquivalentsAndMarketableSecurities,trailingChangeInInventory,annualEbitda,quarterlyTotalNonCurrentAssets,annualCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyOtherShortTermInvestments,trailingRepurchaseOfCapitalStock,annualOtherIncomeExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,trailingOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCommonStockIssuance,annualOtherCurrentAssets,quarterlyIncomeTaxPayable,annualStockBasedCompensation,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,annualAccountsReceivable,trailingOtherIncomeExpense,annualInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,annualChangeInInventory,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,trailingGrossProfit,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingDilutedEPS,annualAccumulatedDepreciation,trailingResearchAndDevelopment,annualRepurchaseOfCapitalStock,quarterlyCurrentDebt,trailingChangeInWorkingCapital,trailingStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,trailingCostOfRevenue,quarterlyInventory,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,annualCurrentAssets,annualOtherCurrentLiabilities,quarterlyLongTermDebt,annualOtherNonCurrentLiabilities,quarterlyChangeInAccountPayable,annualOtherNonCurrentAssets,annualCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,,8068000000.0,,3297000000.0,,,,,,,,,,,,,,1544000000.0,,,5655000000.0,,,,,,,,,,,,,,,,,,910000000.0,402958000000.0,,,1544000000.0,1543000000.0,,,,,,,,,,,,16845000000.0,,,,,419803000000.0,,,,,,,1480000000.0,,,,,,,,,3455000000.0,,,,14032000000.0,,,,,12499000000.0,,,,,,,,,,18955000000.0,,,2453000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,0.130856,,5370000000.0,-390000000.0,4578000000.0,,,,,,,,,,,,2500000000.0,,2450000000.0,12714000000.0,,7412000000.0,,,,,2500000000.0,29866000000.0,,,,,,,,,,,,1633000000.0,484682000000.0,,0.130856,2450000000.0,2451000000.0,-987000000.0,,,-14000000.0,,-26450000000.0,,,,-123666000000.0,,8716000000.0,,,,,493402000000.0,,,530000000.0,,,,-9081000000.0,,,25497000000.0,,97221000000.0,,5804000000.0,234000000.0,4041000000.0,,30256000000.0,2043000000.0,17790000000.0,,,,,11064000000.0,,,,,5804000000.0,0.0,,,,68235000000.0,,,4084000000.0,,,,,111204000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,0.112192,,6996000000.0,-670000000.0,6005000000.0,,,,,,,,,,,,8600000000.0,,3148000000.0,3795000000.0,,9851000000.0,,,,,8600000000.0,-8320000000.0,,,,,,,,,,,,2369000000.0,571275000000.0,,0.112192,3148000000.0,3149000000.0,-192000000.0,,,-285000000.0,,4331000000.0,,,,-207956000000.0,,23713000000.0,,,,,594993000000.0,,,612000000.0,,,,-6204000000.0,,,-12597000000.0,,212481000000.0,,8475000000.0,360000000.0,5442000000.0,,-7650000000.0,2468000000.0,26661000000.0,,,,,13540000000.0,,,,,8475000000.0,0.0,,,,75546000000.0,,,5518000000.0,,,,,104627000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,0.114021,,9279000000.0,-740000000.0,7881000000.0,,3178000000.0,675029000000.0,,,,,,,8393000000.0,,7400000000.0,,3726000000.0,-17103000000.0,,13017000000.0,32678262000.0,,,,7400000000.0,-8314000000.0,,,,726000000.0,,,,,31825000000.0,,,3113000000.0,675029000000.0,,0.114021,3726000000.0,3726000000.0,-572000000.0,,,-3298000000.0,,-19162000000.0,,,,-230133000000.0,104876000000.0,31825000000.0,,,,,706859000000.0,,,763000000.0,,,8393000000.0,726000000.0,,,-14237000000.0,,211648000000.0,,8393000000.0,370000000.0,6789000000.0,370000000.0,-7574000000.0,3178000000.0,31113000000.0,89059000000.0,31113000000.0,,,17830000000.0,,,,,8393000000.0,0.0,,706859000000.0,,89059000000.0,,,6839000000.0,,,,,104876000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183161600,,,,,,,,3318000000.0,789573000000.0,,,,,,,8206000000.0,,,,,,,,,,,,,,,,,3205000000.0,,,,,78971000000.0,,,,,,,,,,,,,,,,,,,170937000000.0,,,,,,,,,,,,8206000000.0,,,,,,,,,,,368000000.0,,,,116091000000.0,39033000000.0,,,,,,,,,,,868549000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191110400,,,,,,,,3749000000.0,847877000000.0,,,16126000000.0,1000000.0,,7420000000.0,8171000000.0,3714000000.0,,,,,,,,-18236000000.0,0.0,2922000000.0,,,,3716000000.0,-260000000.0,5247000000.0,,0.047509,2424000000.0,-48000000.0,81036000000.0,42981649600.0,,,,,,,,,,,,2042000000.0,,2042000000.0,,42981649600.0,,175063000000.0,,,-339000000.0,,23147000000.0,,,,,,,8171000000.0,,0.0,1674000000.0,,4780000000.0,,,,,,386000000.0,,,,50923000000.0,39033000000.0,,,,,,,0.047509,,,-102342000000.0,928918000000.0,,,,22808000000.0,,3986000000.0,-6000000.0,148000000.0,2042000000.0,,84442000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,0.21854,,11747000000.0,-1408000000.0,9713000000.0,,4092000000.0,927095000000.0,,,-28857000000.0,61000000.0,,8539000000.0,8444000000.0,3823000000.0,44843000000.0,,8290000000.0,37518000000.0,,15324000000.0,37933598261.0,4386000000.0,0.0,3674000000.0,44836000000.0,28111000000.0,,3832000000.0,2088000000.0,3730000000.0,,,3038000000.0,0.0,84136000000.0,,,4850000000.0,927095000000.0,,0.21854,8290000000.0,8290000000.0,684000000.0,,53027000000.0,-726000000.0,3043000000.0,-35123000000.0,3043000000.0,,,-287898000000.0,161897000000.0,84136000000.0,,-839000000.0,,-27042000000.0,1011236000000.0,,,2860000000.0,,,8444000000.0,3730000000.0,-269000000.0,789000000.0,15522000000.0,-22992000000.0,254121000000.0,,8444000000.0,389000000.0,13103000000.0,389000000.0,29519000000.0,4092000000.0,39033000000.0,150024000000.0,39033000000.0,,,27838000000.0,-551000000.0,90545000000.0,,,8444000000.0,62000000.0,-42043000000.0,1011236000000.0,37933598261.0,150024000000.0,,-27881000000.0,13140000000.0,4471000000.0,-144000000.0,3130000000.0,3043000000.0,161897000000.0,47211000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206921600,,,,,,,,5087000000.0,989999000000.0,,,,0.0,,9507000000.0,8357000000.0,5528000000.0,,121540000000.0,,,,,,18219000000.0,,3679000000.0,,,,5542000000.0,,5832000000.0,,0.104519,3019000000.0,,86054000000.0,40088396364.0,,,,,,,,,,,,4190000000.0,,4190000000.0,,40088396364.0,,221357000000.0,,,-99000000.0,,13077000000.0,,,,,,,8357000000.0,,,1352000000.0,,30995000000.0,,,,,,385000000.0,,,,22312000000.0,39033000000.0,,90545000000.0,,,,,0.104519,,,-26582000000.0,1076058000000.0,,,,12978000000.0,,5128000000.0,,,4190000000.0,,44899000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214784000,,,,,,,,5731000000.0,1027012000000.0,,,,63000000.0,,10743000000.0,8555000000.0,5592000000.0,,131355000000.0,,,,,,-69172000000.0,,4029000000.0,,,,5649000000.0,,10059000000.0,,,3359000000.0,,90191000000.0,,,,,,,,,,,,,4227000000.0,,4227000000.0,,,,253757000000.0,,,-505000000.0,,82319000000.0,,,,,,,8555000000.0,,,1422000000.0,,9815000000.0,,,,,,399000000.0,,,,179058000000.0,39033000000.0,,121540000000.0,,,,,,,,-556147000000.0,1117208000000.0,,,,81814000000.0,,5743000000.0,,,4227000000.0,,487418000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
