date,annualInvestingCashFlow,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,annualSaleOfInvestment,annualLongTermDebt,annualStockholdersEquity,trailingDepreciationAndAmortization,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,annualOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyGoodwill,quarterlyInventory,trailingChangeInInventory,quarterlyBasicEPS,annualStockBasedCompensation,annualRetainedEarnings,annualCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,annualInventory,annualGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualTotalAssets,quarterlyAccountsReceivable,trailingStockBasedCompensation,annualDepreciationAndAmortization,quarterlyLongTermDebt,annualPurchaseOfInvestment,quarterlyCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,annualCapitalStock,trailingGrossProfit,quarterlyOtherIncomeExpense,annualAccountsReceivable,trailingOperatingCashFlow,annualOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingExpense,annualCommonStockIssuance,annualNetPPE,quarterlyOtherIntangibleAssets,annualDilutedEPS,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,trailingOperatingIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,quarterlyDepreciationAndAmortization,annualEbitda,trailingTotalRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,annualAccountsPayable,quarterlyCashAndCashEquivalents,trailingNetOtherInvestingChanges,annualOperatingIncome,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualBasicEPS,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,quarterlyTotalAssets,annualGrossPPE,quarterlyTotalNonCurrentAssets,trailingPretaxIncome,annualNetOtherInvestingChanges,quarterlyNetIncomeCommonStockholders,quarterlyChangesInAccountReceivables,trailingEndCashPosition,annualPretaxIncome,annualOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,annualCashAndCashEquivalents,trailingOtherIncomeExpense,quarterlyDilutedAverageShares,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,trailingSellingGeneralAndAdministration,annualOperatingExpense,quarterlyDilutedEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCapitalExpenditure,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualInvestmentsAndAdvances,quarterlySaleOfInvestment,quarterlyGrossPPE,trailingNetIncomeContinuousOperations,annualChangesInAccountReceivables,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentAssets,trailingCapitalExpenditure,annualRepurchaseOfCapitalStock,quarterlyAccountsPayable,trailingOperatingExpense,annualCurrentAssets,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,quarterlyEndCashPosition,quarterlyEbitda,quarterlyInvestingCashFlow,quarterlyStockBasedCompensation,annualDilutedAverageShares,annualCurrentAccruedExpenses,annualTaxProvision,annualEndCashPosition,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,trailingChangesInAccountReceivables,trailingNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyChangeInInventory,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,trailingNetIncomeCommonStockholders,trailingChangeInAccountPayable,quarterlyGrossProfit,annualTotalRevenue,annualGrossProfit,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,annualTotalNonCurrentAssets,quarterlyBasicAverageShares,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,annualOtherCurrentAssets,annualBasicAverageShares,quarterlyNetPPE,trailingNetIncome,trailingTaxProvision,quarterlyOperatingIncome,quarterlyTotalRevenue,annualChangeInInventory,annualBeginningCashPosition,annualPurchaseOfBusiness,trailingOtherNonCashItems,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,annualCashDividendsPaid,quarterlyCashFlowFromContinuingFinancingActivities,annualNetIncome,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualCurrentDeferredRevenue,trailingBasicAverageShares,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingPurchaseOfBusiness,annualRepaymentOfDebt,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,annualInterestExpense,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,trailingInterestExpense,annualCurrentDebt,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,quarterlyRepaymentOfDebt,quarterlyInterestExpense,annualNonCurrentDeferredTaxesLiabilities,annualDeferredIncomeTax,trailingCashDividendsPaid,trailingDeferredIncomeTax,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares
2012-12-31,-23080000.0,130581000.0,,,,58065000.0,,65007000.0,170288000.0,,,-328744000.0,110000.0,,,,-33278000.0,,0.0,-150853000.0,98093000.0,44944000.0,7909000.0,3420000.0,,,163577000.0,,201430000.0,9335000.0,,-66065000.0,,,260765000.0,215798000.0,2055099000.0,,15766000.0,-117993000.0,780000.0,62000.0,,700000.0,18370000.0,,-0.472066,477000.0,25939000.0,-754125000.0,100878000.0,,23017000.0,,-12059000.0,8607571000.0,,3945000.0,66603000.0,,-15976000.0,-21394000.0,806749000.0,,155000.0,,-0.472066,,1255663000.0,,38671000.0,,-795621000.0,-100000.0,,,1297562000.0,-21005000.0,477000.0,,,77861000.0,2717000.0,,,,883000.0,,2809224000.0,166543000.0,,,-14980000.0,-20301000.0,166331000.0,,,,-798207000.0,-8234000.0,488636000.0,,,-344347000.0,0.0,,2809224000.0,140124000.0,700000.0,25834000.0,,,,,70348285.0,7478000.0,50000.0,77861000.0,5222000.0,-33209000.0,-34944000.0,-241654000.0,,,,,,-798207000.0,313117000.0,,601028000.0,145149000.0,,,,,23453000.0,,-11035000.0,98570000.0,-462340000.0,15555000.0,,6552472000.0,,,,,0.0,70348285.0,,-798207000.0,2586000.0,,,-2497000.0,52027000.0,0.0,47731000.0,,,0.0,,-21055000.0,-21055000.0,455879000.0,12282000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,,,-3031000.0,-3031000.0,-518000.0,,,,,-7774000.0,,,,,,,,-0.109512,,,,,,,178656000.0,,,,,,,,,,,,,579000.0,,,,,62316000.0,,,,,,,,,0.0,,3489000.0,,,,,,,,,,,,47518000.0,,0.0,,,,,,,-7704000.0,-11316000.0,,,,,,,,70348285.0,-3983000.0,,,0.0,,,-0.109512,,,,,,-34000.0,,,,,-976000.0,,,,,,,,,39744000.0,-181000.0,-7326000.0,0.0,,,,,,,,,-86000.0,62132000.0,-3877000.0,,12281000.0,,,58646000.0,,,-3030000.0,,-3741000.0,,,70348285.0,,,,,,,1000.0,0.0,,,,,,,,-3670000.0,237302000.0,,,,,-3465000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,-46991000.0,,-4157000.0,-4157000.0,40838000.0,65998000.0,,50347000.0,,25545000.0,944000.0,,121000.0,8342000.0,5165000.0,14963000.0,,,0.0,-190511000.0,145009000.0,0.0,14963000.0,5165000.0,224609000.0,11769000.0,196300000.0,7689000.0,,13091000.0,,-93000000.0,13397000.0,,,241186000.0,,219000.0,7689000.0,,3919000.0,-328000.0,75110000.0,0.0,22088000.0,3919000.0,-0.87,944000.0,40761000.0,,115308000.0,,50019000.0,3739000.0,-2928000.0,,115308000.0,34413000.0,102153000.0,65289000.0,,-16019000.0,,241186000.0,294000.0,39744000.0,-0.87,-53000000.0,,196300000.0,52029000.0,33173000.0,,-469000.0,-25741000.0,14952000.0,,-15480000.0,944000.0,2001000.0,,65289000.0,,,35892000.0,145953000.0,2001000.0,,,240260000.0,,-328000.0,-15779000.0,-29941000.0,239721000.0,,43035000.0,52029000.0,,8112000.0,,41146000.0,0.0,,,102153000.0,,163127000.0,,-12572000.0,65289000.0,-647000.0,-15294000.0,0.0,66304531.0,11769000.0,46000.0,65289000.0,8342000.0,-57731000.0,,,-383000.0,74861000.0,1485000.0,50347000.0,31666000.0,,,70724000.0,915843000.0,224241000.0,-4107000.0,163127000.0,0.0,145009000.0,33173000.0,,18634000.0,145953000.0,,36727000.0,944000.0,,50000.0,110000.0,-190511000.0,50019000.0,0.0,66304531.0,22088000.0,,,-4386000.0,295333000.0,-6630000.0,77861000.0,-3741000.0,,-4946000.0,-29941000.0,,0.0,-15526000.0,-15526000.0,691602000.0,13397000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,,,-28026000.0,-28026000.0,-24432000.0,,,,,69806000.0,,,,,,,,-0.500026,,,,,,,213500000.0,,,,,,,,,,,,,88000.0,,,,,93362000.0,,,,,,,,,-15000000.0,,4198000.0,,,,,,,,,,,,65289000.0,,-10000000.0,,,,,,,-35176000.0,1741000.0,,,,,0.0,,,70348285.0,-38506000.0,,,-28054000.0,,,-0.500026,,,,,,9979000.0,,,,,-5233000.0,,,,,,,,,135095000.0,-23957000.0,-17502000.0,4554000.0,,,,,,,,,-3407000.0,93113000.0,-630000.0,,-6478000.0,,,65207000.0,,,-28011000.0,,,,,70348285.0,,,,,,,15000.0,75000.0,,,,,,,,-28155000.0,278707000.0,,,,,-14074000.0,,,111720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,-23375000.0,-23375000.0,-15339000.0,,,,,-47314000.0,13195000.0,,,11255000.0,5165000.0,19803000.0,,-0.338099,,,,,,,226983000.0,38457000.0,,6647000.0,,,,,18033000.0,,,,,-184000.0,,,,,91720000.0,,,3416000.0,,,,,,0.0,,4693000.0,,,116602000.0,,,51585000.0,,,,72000.0,,135095000.0,,-55000000.0,,240822000.0,,59443000.0,,,-27980000.0,-701000.0,,,,6721000.0,-5528000.0,,,82756943.0,-31744000.0,162064000.0,,-974000.0,,,-0.338099,-321000.0,,,,,40023000.0,80201000.0,,,,2325000.0,0.0,,,81124000.0,,,,,87781000.0,-18573000.0,-30987000.0,974000.0,,,,,,,,,395000.0,91470000.0,-4210000.0,78758000.0,3172000.0,,,68454000.0,,,-23373000.0,181379000.0,,148869000.0,,82756943.0,,,,,13195000.0,,2000.0,44000.0,-27316000.0,65017000.0,,,44141000.0,,,-23266000.0,295437000.0,,,,,-16405000.0,-36060000.0,,-974000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,,-24143000.0,-24143000.0,-11066000.0,,,,,-57474000.0,12850000.0,,,12587000.0,4629000.0,21118000.0,,-0.349107,,,,,,,257161000.0,32697000.0,,5314000.0,,,,,21828000.0,,,,,-304000.0,,,,,102906000.0,,,3099000.0,,,,,,0.0,,5547000.0,,,130361000.0,,,30307000.0,,,,397463000.0,,87781000.0,,-45000000.0,,260528000.0,,65896000.0,,,-28891000.0,1336000.0,,,,8141000.0,5528000.0,,,82757659.0,-22398000.0,169435000.0,,0.0,,,-0.349107,-387000.0,,,,,9962000.0,89033000.0,,,,6761000.0,0.0,,,87686000.0,,,,,30307000.0,-23630000.0,-46373000.0,0.0,,,,,,,,,-3000.0,102657000.0,-1315000.0,91093000.0,2294000.0,,,79027000.0,,,-24094000.0,194632000.0,0.0,156585000.0,,82757659.0,,,,,12850000.0,,49000.0,769000.0,-305983000.0,100054000.0,,,50027000.0,,,-23879000.0,336188000.0,,,,,-11332000.0,-39006000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,-63002000.0,,-72554000.0,-72554000.0,62529000.0,125019000.0,,305539000.0,,325552000.0,17392000.0,,570000.0,15600000.0,3624000.0,19798000.0,,-0.73,60809000.0,-58122000.0,232592000.0,341150000.0,19798000.0,3624000.0,310209000.0,42335000.0,555523000.0,5949000.0,,22003000.0,,-135000000.0,26784000.0,,,83000.0,,-84000.0,5949000.0,,2854000.0,-366000.0,170909000.0,282893000.0,60639000.0,2854000.0,-2.97,17392000.0,66673000.0,,415859000.0,-24516000.0,60000000.0,7565000.0,-125781000.0,,415859000.0,11692000.0,147873000.0,355859000.0,,-147784000.0,,83000.0,-489000.0,30307000.0,-2.97,-25000000.0,,555523000.0,103783000.0,68655000.0,,531000.0,-58122000.0,-635000.0,,-147923000.0,17392000.0,1538000.0,-22457000.0,355859000.0,,80078304.0,50788000.0,249984000.0,1538000.0,0.0,,458882000.0,-0.73,-366000.0,-53552000.0,-43144000.0,457902000.0,,65055000.0,103783000.0,,1741000.0,,72555000.0,0.0,,-29028000.0,147873000.0,,486868000.0,-27985000.0,290570000.0,355859000.0,-64934000.0,31860000.0,55281000.0,50641601.0,42335000.0,175000.0,355859000.0,15600000.0,-150169000.0,,,3546000.0,170677000.0,1320000.0,305539000.0,67685000.0,,,98410000.0,1318951000.0,311098000.0,-72455000.0,486868000.0,0.0,232592000.0,68655000.0,80078304.0,-41860000.0,249984000.0,,76408000.0,17392000.0,,99000.0,-318000.0,-58122000.0,60000000.0,0.0,50641601.0,60639000.0,,,-72499000.0,408619000.0,-4835000.0,65289000.0,0.0,,-11741000.0,-43144000.0,-39516000.0,230404000.0,-148098000.0,-148098000.0,1007853000.0,26784000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,,,-27136000.0,-27136000.0,-35202000.0,,,,,-149777000.0,28425000.0,,,17247000.0,3526000.0,20011000.0,,-0.33,,,,,,,321536000.0,47727000.0,,7958000.0,,,,,31899000.0,79307000.0,,,,-108000.0,,,,,130081000.0,,,2589000.0,,,,,,0.0,,6744000.0,,,280295000.0,,,206082000.0,,,,83000.0,,355859000.0,,-104233000.0,,531208000.0,,161964000.0,,,-27136000.0,-2128000.0,,,,1559000.0,-4251000.0,,,83210000.0,-51368000.0,248634000.0,,0.0,,,-0.33,-176000.0,,,,,10000000.0,121686000.0,,,,-22683000.0,0.0,,,123336000.0,,,,,206082000.0,-20502000.0,-110097000.0,7642000.0,,,,,,,,,302000.0,129831000.0,-240000.0,282574000.0,-16800000.0,,,102835000.0,,,-27090000.0,369244000.0,,220209000.0,,83210000.0,,,,,28425000.0,,46000.0,231000.0,-85258000.0,74213000.0,,,74983000.0,,,-27246000.0,424371000.0,,,,,-16166000.0,-46703000.0,,-4236000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,-19334000.0,-19334000.0,28453000.0,,,,,30492000.0,24688000.0,,,21743000.0,3520000.0,21321000.0,,-0.23,,,,,,,370951000.0,42341000.0,,7064000.0,,,,,39919000.0,78730000.0,,,,-96000.0,,,,,140274000.0,,,2352000.0,,,,,,0.0,,7400000.0,,,287999000.0,,,236574000.0,,,,84000.0,,206082000.0,,-4078000.0,,543985000.0,,162347000.0,,,-19334000.0,929000.0,,,,1378000.0,-3586000.0,,,83603000.0,10989000.0,277138000.0,,0.0,,,-0.23,-416000.0,,,,,27000000.0,127863000.0,,,,33277000.0,0.0,,,148447000.0,,,,,236574000.0,-12073000.0,5458000.0,6592000.0,,,,,,,,,0.0,140038000.0,-1308000.0,266847000.0,19238000.0,,,120801000.0,,,-19261000.0,381638000.0,,252450000.0,,83603000.0,,,,,24688000.0,,73000.0,518000.0,-104592000.0,51425000.0,,,76367000.0,,,-19473000.0,491752000.0,,,,,-17464000.0,-51496000.0,,-3329000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,,,-15478000.0,-15478000.0,51504000.0,,,,,42116000.0,32916000.0,,,24070000.0,1924000.0,22552000.0,,-0.18,,,,,,,452586000.0,52083000.0,,9719000.0,,,,,45027000.0,74460000.0,,,,2746000.0,,,,,160023000.0,,,1975000.0,,,,,,0.0,,9207000.0,,,325344000.0,,,278690000.0,,,,84000.0,,236574000.0,,-32998000.0,,601344000.0,,168243000.0,,,-15478000.0,-2633000.0,,,,1242000.0,-5062000.0,,,83886000.0,35332000.0,346648000.0,,0.0,,,-0.18,-112000.0,,,,,41715000.0,145441000.0,,,,52619000.0,0.0,,,192552000.0,,,,,278690000.0,-18429000.0,-4595000.0,7507000.0,,,,,,,,,0.0,159815000.0,-1230000.0,254696000.0,57902000.0,,,141386000.0,,,-15566000.0,433101000.0,,313732000.0,,83886000.0,,,,,32916000.0,,-88000.0,646000.0,-120070000.0,46654000.0,,,88642000.0,,,-18637000.0,593972000.0,,,,,-16172000.0,-56799000.0,,-4960000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,-137728000.0,,-15495000.0,-15495000.0,90366000.0,133596000.0,,242545000.0,,55486000.0,55010000.0,,3027000.0,23669000.0,1924000.0,19900000.0,,-0.18,31015000.0,-135565000.0,397026000.0,-18616000.0,19900000.0,1924000.0,564088000.0,51560000.0,694581000.0,9906000.0,,32446000.0,,-207303000.0,50884000.0,79883000.0,,84000.0,,176000.0,9906000.0,,1778000.0,-136000.0,191696000.0,0.0,112325000.0,1778000.0,-0.92,55010000.0,135855000.0,,386071000.0,0.0,51895000.0,9095000.0,-48904000.0,,386071000.0,135121000.0,270913000.0,334176000.0,,-81350000.0,,84000.0,2718000.0,278690000.0,-0.92,-65994000.0,,694581000.0,176201000.0,202258000.0,,-4697000.0,-15495000.0,-201000.0,,-77348000.0,55010000.0,6348000.0,-6212000.0,334176000.0,,84191000.0,77984000.0,452036000.0,6348000.0,0.0,,622074000.0,-0.18,-136000.0,-62184000.0,-63876000.0,621183000.0,79883000.0,54881000.0,176201000.0,,-4033000.0,,85860000.0,0.0,,0.0,270913000.0,,492323000.0,-19111000.0,-21683000.0,334176000.0,-6899000.0,-28494000.0,9274000.0,83726000.0,51560000.0,95000.0,334176000.0,23669000.0,-77443000.0,,,-4999000.0,191499000.0,2647000.0,242545000.0,75515000.0,,,175702000.0,2249885000.0,540724000.0,-15431000.0,492323000.0,,397026000.0,202258000.0,84191000.0,72937000.0,452036000.0,,149073000.0,55010000.0,,64000.0,1632000.0,-135565000.0,51895000.0,0.0,83726000.0,112325000.0,,,-15994000.0,739790000.0,-131000.0,355859000.0,0.0,,-12382000.0,-63876000.0,0.0,-6091000.0,-77443000.0,-77443000.0,1709161000.0,50884000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,,,-41205000.0,-41205000.0,-51204000.0,,,,,-85378000.0,74294000.0,,,27813000.0,1924000.0,17763000.0,,-0.49,,,,,,,568292000.0,60600000.0,,11854000.0,,,,,48691000.0,70315000.0,,,,669000.0,,,,,221165000.0,,,1581000.0,,,,,,,,10487000.0,,,309454000.0,,,248798000.0,,,,85000.0,,334176000.0,,-28489000.0,,667427000.0,,243186000.0,,,-41205000.0,-1941000.0,,,,6772000.0,-6621000.0,,,84445000.0,-80582000.0,462421000.0,,,,,-0.49,28000.0,,,,,29620000.0,235325000.0,,,,-30045000.0,0.0,,,251023000.0,,,,,248798000.0,-31622000.0,-28247000.0,9715000.0,,,,,,,,,0.0,221165000.0,2142000.0,205006000.0,-29097000.0,,,179056000.0,,,-40888000.0,424241000.0,,388127000.0,,84445000.0,,,,,74294000.0,,317000.0,-156000.0,-176770000.0,60656000.0,,,162594000.0,,,-42109000.0,747348000.0,,,,,-29378000.0,-72731000.0,,-6570000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
