,trailingSellingGeneralAndAdministration,trailingOperatingExpense,annualOperatingExpense,annualOtherNonCurrentAssets,annualCapitalExpenditure,annualSellingGeneralAndAdministration,trailingCapitalExpenditure,quarterlyAccountsPayable,quarterlyGrossProfit,annualCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,trailingInterestExpense,quarterlyNetOtherInvestingChanges,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,annualNetOtherFinancingCharges,quarterlyEbitda,quarterlyEndCashPosition,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualEbitda,annualInterestExpense,quarterlyChangeInInventory,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualTotalNonCurrentAssets,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,annualCommonStockIssuance,annualFreeCashFlow,quarterlyPretaxIncome,annualGrossProfit,annualCostOfRevenue,quarterlyOtherNonCashItems,annualBasicAverageShares,quarterlyRetainedEarnings,annualResearchAndDevelopment,annualOtherCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyStockholdersEquity,trailingCostOfRevenue,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,annualChangeInInventory,annualTaxProvision,trailingTaxProvision,quarterlyOtherCurrentAssets,annualNetIncome,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCurrentDebt,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,quarterlyNetIncome,annualInvestingCashFlow,trailingSaleOfInvestment,quarterlyNetIncomeContinuousOperations,trailingInvestingCashFlow,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,annualStockholdersEquity,annualLongTermDebt,quarterlyLongTermDebt,trailingPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyDilutedEPS,annualNonCurrentDeferredTaxesLiabilities,trailingPretaxIncome,quarterlyOperatingCashFlow,trailingCashDividendsPaid,annualTotalAssets,annualDepreciationAndAmortization,quarterlyGoodwill,quarterlyInventory,trailingNetIncome,quarterlyNetPPE,annualInventory,annualCurrentLiabilities,annualRetainedEarnings,quarterlyCommonStockIssuance,trailingNetOtherInvestingChanges,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,annualDilutedAverageShares,annualChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,annualSaleOfInvestment,annualGoodwill,annualOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyAccountsReceivable,annualNetPPE,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualOperatingIncome,annualAccountsPayable,annualCapitalStock,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,trailingGrossProfit,quarterlyCapitalStock,trailingResearchAndDevelopment,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualTotalRevenue,annualRepaymentOfDebt,trailingTotalRevenue,annualDilutedEPS,annualEndCashPosition,annualBasicEPS,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,annualGrossPPE,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,annualCashAndCashEquivalents,annualNonCurrentDeferredRevenue,trailingChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,annualPretaxIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,trailingOperatingIncome,quarterlySaleOfInvestment,trailingEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingOperatingCashFlow,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,,,88853000.0,11530000.0,,68444000.0,,,,523517000.0,,,,,,,,,,,,,,382012000.0,,0.0,,,607182000.0,37015000.0,,0.0,,,,,,,1845498000.0,,,,,,683008000.0,3679256000.0,,,,,0.0,,,,,,,946546000.0,,,188155000.0,,,382012000.0,382012000.0,,,,800000000.0,,,,,,,,,,,,1422469000.0,,,,,,,,,,,2369015000.0,,,,,,418729000.0,946546000.0,,,,,,,,,,,0.0,,,1833968000.0,,,594155000.0,33718000.0,,,,,,,,,4362264000.0,,,,,,95317000.0,,1833968000.0,,,,,95317000.0,,,,570167000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,,,170693000.0,8325000.0,,153688000.0,,,,517686000.0,,,,,,,,,,,,,,201550000.0,,0.0,,,347579000.0,46758000.0,,370000000.0,,,,,,,2180591000.0,,,,,,517058000.0,3221256000.0,,,,,0.0,,,,,,,1237982000.0,,,99271000.0,,,201550000.0,201550000.0,,,,760000000.0,,,,,,,,,,,,1460295000.0,370000000.0,,,,,,,,,,2698277000.0,,,,,,500550000.0,867982000.0,,,,,,,,,,,0.0,,,2172266000.0,,,346365000.0,54419000.0,,,,,,,,,3738314000.0,,,,,,4689000.0,,2172266000.0,,,,,4689000.0,,,,300821000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,,,188800000.0,4925000.0,,160364000.0,,,,442298000.0,,,,,,,,,,,,,,441452000.0,,0.0,,,740605000.0,81722000.0,,970000000.0,,,,,,,2975879000.0,,,,,,938031000.0,5349503000.0,,,,,0.0,,,,,,,1389360000.0,,,217431000.0,,,441452000.0,441452000.0,,,,230000000.0,,,,,,,,,,,,2028817000.0,970000000.0,,,,,,,,,,3418177000.0,,,,,,428334000.0,419360000.0,,,,,,,,,,,0.0,,,2621421000.0,349533000.0,,749231000.0,77692000.0,,,,,,,,,6287534000.0,,,,,,3702000.0,,2621421000.0,,,,,3702000.0,,,,658883000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867628800,,,,,,,,53285000.0,,,1351293000.0,,,,,,,,,2512036000.0,,,,,,,,,,,,,,,,,766980000.0,499463000.0,,,,,,,,,,,248265000.0,,,,,851830000.0,,2277082000.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,120000000.0,,,851830000.0,,3321000.0,,,,,,,,,,452242000.0,,2512036000.0,,,,,,,0.0,,,,,,,,,,,346038000.0,,,,3393000.0,,,1319000000.0,,,,,,,,,,,,,,3628375000.0,,2861395000.0,,,,,,3393000.0,,,,230000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,,152542000.0,1718000.0,,132986000.0,,14417000.0,,3459888000.0,1212061000.0,,,,,,,,,2500085000.0,,,,510700000.0,,120000000.0,,,765085000.0,28150000.0,,480000000.0,,,,,3459888000.0,732061000.0,2844346000.0,,,,,,906421000.0,4837716000.0,,,328272000.0,,0.0,,,480000000.0,,5092173000.0,,1212061000.0,,,226235000.0,,0.0,510700000.0,510700000.0,,,,230000000.0,0.0,,,,,,,,,,120000000.0,5092173000.0,480000000.0,480000000.0,,1718000.0,,,,,,,6304234000.0,,,673673000.0,,2500085000.0,673673000.0,732061000.0,328272000.0,,,,0.0,,,,,,0.0,,,2500085000.0,342543000.0,342543000.0,753879000.0,14417000.0,2509000000.0,1611269000.0,,,2509000000.0,,,,5744137000.0,,,0.150794,,0.150794,1611269000.0,,2500085000.0,,6304234000.0,,2844346000.0,1611269000.0,,,,736935000.0,1611269000.0,,0.0,,230000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,,,,,,,39096000.0,,,915778000.0,,,,,,,,,2472128000.0,,,,,,,,,,,,,,,,,3301539000.0,435778000.0,,,,,,,,,,,432876000.0,,,,,480000000.0,,5196936000.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,480000000.0,,0.0,,,,,,,,,,622756000.0,,2472128000.0,,,,,,,,,,,,,,,625648000.0,,,339047000.0,,,,1241891000.0,,,2509000000.0,,,,,,,,,,,,,,6112714000.0,,2811175000.0,,,,,,1241891000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,,234996000.0,0.0,-356899000.0,224076000.0,,402209000.0,,3408304000.0,1241501000.0,,,,,,,,,2590258000.0,0.0,,,123775000.0,,120000000.0,-149735000.0,,453148000.0,60589000.0,,360000000.0,,,,,3408304000.0,881501000.0,2973875000.0,,,,564386000.0,,411545000.0,5282887000.0,,,352023000.0,,0.0,,,360000000.0,,5140678000.0,,1241501000.0,,161885000.0,52089000.0,,0.0,123775000.0,123775000.0,-54821000.0,,1311269000.0,484847000.0,0.0,-82170000.0,,-638850000.0,,,,-340442000.0,,,120000000.0,5140678000.0,360000000.0,360000000.0,,0.0,,,,,,,6382179000.0,216695000.0,,465720000.0,,2590258000.0,465720000.0,881501000.0,352023000.0,,,,0.0,,563693000.0,,,,0.0,,,2590258000.0,383617000.0,383617000.0,176549000.0,402209000.0,2509000000.0,1801976000.0,921285000.0,,2509000000.0,,,,5694432000.0,-350000000.0,,0.036547,1161534000.0,0.036547,1801976000.0,,2590258000.0,,6382179000.0,56525000.0,2973875000.0,1801976000.0,,,,175864000.0,1801976000.0,,0.0,,484847000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,,,,,,,,407663000.0,,,1374024000.0,,,,,,,,,2765890000.0,,,,,,,,,,,,,,,,,3437226000.0,1134024000.0,,,,,,,,,,,421057000.0,,,,,240000000.0,,5209712000.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,120000000.0,,,240000000.0,,0.0,,,,,,,,,,625588000.0,,2765890000.0,,,,,,,,,,,,,,,,,,380620000.0,,,,1684974000.0,,,2509000000.0,,,,,,,,,,,,,,6583736000.0,,3146510000.0,,,,,,1684974000.0,,,,482978000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,,220750000.0,0.0,-1147049000.0,205604000.0,,626487000.0,,3009672000.0,1539401000.0,,,,,,,,,3541627000.0,0.0,,,291261000.0,,120000000.0,-165719000.0,,683654000.0,37300000.0,,240000000.0,,,,,3009672000.0,1299401000.0,3961668000.0,,,,-635683000.0,,618208000.0,6320951000.0,,,585032000.0,,-681000.0,,,240000000.0,,5431939000.0,,1539401000.0,,-100348000.0,130032000.0,,-681000.0,291261000.0,291261000.0,-37854000.0,,1161534000.0,689435000.0,0.0,-75270000.0,,-457597000.0,,,,,86043000.0,,120000000.0,5431939000.0,240000000.0,240000000.0,,0.0,,,,,,,6971340000.0,225061000.0,,555216000.0,,3541627000.0,555216000.0,1299401000.0,585032000.0,,,,0.0,,10205000.0,,684501000.0,,0.0,,86043000.0,3541627000.0,420041000.0,420041000.0,397458000.0,626487000.0,2509000000.0,995815000.0,511366000.0,,2509000000.0,,,,6939159000.0,-120000000.0,,0.086001,995815000.0,0.086001,995815000.0,,3541627000.0,,6971340000.0,44059000.0,3961668000.0,995815000.0,,,,421293000.0,995815000.0,,0.0,,689435000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
