,quarterlyTotalRevenue,annualCashAndCashEquivalents,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualTaxProvision,quarterlyGrossProfit,annualOperatingExpense,trailingResearchAndDevelopment,quarterlySellingGeneralAndAdministration,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,trailingFreeCashFlow,trailingOperatingExpense,annualOtherShortTermInvestments,quarterlyCurrentAssets,trailingCostOfRevenue,quarterlyGrossPPE,trailingRepurchaseOfCapitalStock,annualInterestExpense,quarterlyCurrentLiabilities,annualCommonStockIssuance,annualRepurchaseOfCapitalStock,trailingBeginningCashPosition,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualCurrentAssets,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,annualResearchAndDevelopment,annualOtherNonCurrentAssets,trailingNetOtherInvestingChanges,annualNetOtherInvestingChanges,annualGrossPPE,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,trailingPretaxIncome,annualChangeInCashSupplementalAsReported,trailingGrossProfit,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualAccountsPayable,trailingInvestingCashFlow,annualCapitalExpenditure,trailingCapitalExpenditure,annualOperatingIncome,annualBasicAverageShares,annualInvestingCashFlow,trailingTotalRevenue,annualPretaxIncome,trailingOperatingIncome,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,annualEndCashPosition,quarterlyCapitalStock,quarterlyDilutedEPS,trailingEndCashPosition,trailingPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualDepreciationAndAmortization,quarterlyDilutedAverageShares,quarterlyInventory,quarterlyNetPPE,annualStockBasedCompensation,annualStockholdersEquity,annualChangeInInventory,annualPurchaseOfBusiness,trailingOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOperatingExpense,annualCapitalStock,annualOtherIntangibleAssets,quarterlyPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,quarterlyResearchAndDevelopment,annualInventory,quarterlyTaxProvision,annualEbitda,annualBasicEPS,annualGrossProfit,quarterlyOtherCurrentLiabilities,annualNetPPE,annualCurrentLiabilities,annualOperatingCashFlow,annualNetIncomeCommonStockholders,quarterlyAccountsReceivable,annualTotalAssets,quarterlyCostOfRevenue,trailingNetIncome,annualNetIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,annualBeginningCashPosition,annualRetainedEarnings,quarterlyStockholdersEquity,annualAccountsReceivable,quarterlyBasicEPS,quarterlyLongTermDebt,trailingNetIncomeCommonStockholders,trailingCommonStockIssuance,quarterlyNetIncome,annualCostOfRevenue,quarterlyNetIncomeContinuousOperations,annualCashDividendsPaid,annualDilutedAverageShares,annualFreeCashFlow,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTaxProvision,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualSellingGeneralAndAdministration,annualOtherCurrentAssets,annualTotalNonCurrentAssets,annualDilutedEPS,annualCurrentDeferredRevenue,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,annualGoodwill,trailingNetOtherFinancingCharges,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,trailingOtherIncomeExpense,trailingChangeInAccountPayable,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyChangeInInventory,quarterlyCommonStockIssuance,trailingOtherNonCashItems,annualInvestmentsAndAdvances,quarterlyDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalExpenditure,annualIncomeTaxPayable,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyGoodwill,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,trailingDilutedEPS,annualCashFlowFromContinuingFinancingActivities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,trailingBasicEPS,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,trailingCashDividendsPaid,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingInterestExpense,annualOtherIncomeExpense,trailingDeferredIncomeTax,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyEndCashPosition,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems
1285804800,25122000.0,,6441000.0,,6441000.0,1665000.0,,,,19548000.0,,,10014000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000875,,,,,,,,,1921993984.0,,,,,,,,,,13107000.0,,,2573000.0,,,4657000.0,,908000.0,,,,,,,,,,,5574000.0,,,,1921993984.0,,,,,0.000875,,,,1665000.0,,1665000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,,83468000.0,,702000.0,,,,,6621000.0,,49119000.0,,,,3791000.0,5400000.0,104704000.0,,,,,,,,,,0.0,-8422000.0,,-17713000.0,,131485000.0,16430000.0,,,15442000.0,2325000.0,,14705000.0,32425000.0,5400000.0,121656000.0,,,,24995000.0,,,,21689000.0,,-6272000.0,,34519000.0,1921992000.0,6965000.0,,10412000.0,,,,83468000.0,,,,,,,,,,4698000.0,,,,0.0,-211000.0,508000.0,,,,,,3000.0,5241000.0,,83468000.0,,,15178000.0,,39217000.0,0.002,83638000.0,,14712000.0,149978000.0,44755000.0,3936000.0,,158455000.0,,,3936000.0,155378000.0,,58537000.0,,,26948000.0,,,,,,21066000.0,,-19005000.0,1921992000.0,38483000.0,,,,,,30932000.0,37010000.0,201000.0,26970000.0,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301529600,30279000.0,,4160000.0,,4160000.0,5690000.0,,,,24215000.0,,,17390000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000375,,,,,,,,,3178274128.0,,,,,,,,,,20055000.0,,,7554000.0,,,3418000.0,,1864000.0,,,,,,,,,,,6064000.0,,,,1995506232.0,,,,,0.00275,,,,5690000.0,,5541000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,38344000.0,,9089000.0,,9089000.0,6372000.0,,,,31730000.0,,,18263000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,3260000000.0,,,,,,,,,,22641000.0,,,9089000.0,,,5386000.0,,2078000.0,,,,,,,,,,,6614000.0,,,,3260000000.0,,,,,0.002,,,,6372000.0,,7011000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317340800,32433000.0,,1415000.0,,1415000.0,420000.0,,,,26704000.0,,,19080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000125,,,,,,,,,3260000000.0,,,,,,,,,,25289000.0,,,1415000.0,,,6352000.0,,1072000.0,,,,,,,,,,,5729000.0,,,,3260000000.0,,,,,0.000125,,,,420000.0,,343000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,39268000.0,185049000.0,1267000.0,-66000.0,1267000.0,-1215000.0,45378000.0,,6517000.0,30318000.0,97176000.0,,24699000.0,,12562000.0,4808000.0,140324000.0,,,,277435000.0,,35707000.0,,,40570000.0,159425000.0,-1231000.0,,-17361000.0,,277435000.0,-2007000.0,,,22762000.0,7398000.0,,-24799000.0,35707000.0,4808000.0,0.0,35783000.0,313218000.0,,100852000.0,,,,35416000.0,,-15189000.0,,15791000.0,3051608000.0,-38989000.0,,19079000.0,,4540000.0,35416000.0,185049000.0,32000.0,,,,,,,185049000.0,185049000.0,6390000.0,,21235000.0,18346000.0,5118000.0,264114000.0,-6314000.0,,,7398000.0,-17361000.0,29051000.0,32000.0,4540000.0,1020000.0,185049000.0,,7606000.0,21235000.0,1503000.0,22181000.0,0.003875,112967000.0,0.0,18346000.0,40570000.0,11790000.0,11830000.0,36516000.0,313218000.0,8950000.0,,11830000.0,45378000.0,,83468000.0,,264114000.0,36516000.0,,,,,-1215000.0,27357000.0,-483000.0,-20000000.0,3340008000.0,-3399000.0,25000000.0,4808000.0,,,4808000.0,8534000.0,79432000.0,25000000.0,35783000.0,0.00225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333152000,42460000.0,,12768000.0,,11816000.0,10466000.0,,,,34164000.0,,,16319000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002625,,,0.0,,,,,,4000000000.0,,,,,,,,,,22348000.0,,,12768000.0,,,6372000.0,,2263000.0,,,,,,,,,,,8296000.0,,,,4000000000.0,,,,,0.002625,,,,10466000.0,,10505000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341014400,46425000.0,,16062000.0,,16062000.0,11400000.0,54693000.0,,,36996000.0,,,16841000.0,,,,,,,,261556000.0,,,,,35374000.0,,,,,,,,,,,,,,,,,83242000.0,344798000.0,,,,,,,,,,,,,,,,9509000.0,28215000.0,,32000.0,0.002875,,,,,,136748000.0,136748000.0,,4000000000.0,20404000.0,23973000.0,,,,,,23184000.0,,20934000.0,,,14289000.0,,,6403000.0,,2584000.0,,,,15000.0,,,,,41729000.0,,9429000.0,,,,4000000000.0,,,286035000.0,,0.002875,,,,11400000.0,,11705000.0,,,,49220000.0,19319000.0,,,19319000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348963200,44081000.0,,15542000.0,,15542000.0,9042000.0,,,,34640000.0,,,17671000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00225,,,,,,,,,4000000000.0,,,,,,,,,,19098000.0,,,11899000.0,,,4800000.0,,2708000.0,,,,,,,,,,,9441000.0,,,,4000000000.0,,,,,0.00225,,,,9042000.0,,9191000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,48509000.0,198443000.0,4585000.0,7000.0,4585000.0,1444000.0,63336000.0,,8821000.0,39500000.0,96343000.0,,28288000.0,,32862000.0,18847000.0,181475000.0,,,,280128000.0,,48351000.0,,,44489000.0,0.0,,,-21521000.0,-7348000.0,280128000.0,-4241000.0,,,23608000.0,20245000.0,,10610000.0,48351000.0,18847000.0,8547000.0,84018000.0,364146000.0,,13293000.0,,-544673000.0,-84000.0,2566000.0,,-22357000.0,,48957000.0,4000000000.0,-29153000.0,,41683000.0,,17145000.0,2566000.0,198443000.0,32000.0,,,,,,,198443000.0,198443000.0,7324000.0,,24711000.0,26830000.0,0.0,296567000.0,-5773000.0,-21678000.0,,20245000.0,-21521000.0,34915000.0,32000.0,17145000.0,2727000.0,198443000.0,546570000.0,6033000.0,24711000.0,1266000.0,56281000.0,0.008125,145300000.0,8547000.0,26830000.0,44489000.0,42523000.0,32352000.0,39017000.0,364146000.0,9009000.0,,32352000.0,63336000.0,,185049000.0,-7348000.0,296567000.0,39017000.0,,,,,1444000.0,36175000.0,1461000.0,0.0,4000000000.0,20166000.0,0.0,18847000.0,,,18847000.0,-8116000.0,79119000.0,0.0,84018000.0,0.008125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
