,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyRetainedEarnings,annualFreeCashFlow,quarterlyGoodwill,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,trailingPretaxIncome,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,annualNetOtherInvestingChanges,annualPretaxIncome,annualEndCashPosition,annualCurrentDebt,annualTaxProvision,annualCurrentDeferredRevenue,annualTotalAssets,annualOtherCurrentAssets,trailingOperatingIncome,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,quarterlyTotalNonCurrentAssets,annualNetIncome,annualLongTermDebt,annualCashDividendsPaid,trailingTotalRevenue,annualOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,trailingTaxProvision,annualDilutedAverageShares,quarterlyPurchaseOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,annualOtherNonCashItems,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyBasicAverageShares,annualStockholdersEquity,annualRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeContinuousOperations,annualBasicAverageShares,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyInvestingCashFlow,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualAccountsReceivable,quarterlyEndCashPosition,annualCurrentAssets,quarterlyInventory,annualNetPPE,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualCurrentLiabilities,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualCommonStockIssuance,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualRepaymentOfDebt,annualEbitda,quarterlyCapitalStock,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,annualOtherNonCurrentLiabilities,quarterlyOperatingExpense,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,annualBeginningCashPosition,quarterlyBasicEPS,annualOtherIncomeExpense,annualGrossPPE,annualTotalNonCurrentAssets,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,trailingDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,annualSellingGeneralAndAdministration,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,trailingOtherNonCashItems,quarterlyChangeInWorkingCapital,trailingNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,quarterlyOperatingIncome,annualPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualDilutedEPS,quarterlyAccountsPayable,annualCapitalExpenditure,trailingStockBasedCompensation,trailingNetOtherFinancingCharges,quarterlyIncomeTaxPayable,annualInvestingCashFlow,quarterlyTotalRevenue,annualChangeInInventory,quarterlyGrossPPE,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,trailingDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,trailingBeginningCashPosition,annualInterestExpense,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,quarterlyDilutedAverageShares,annualPurchaseOfInvestment,annualCapitalStock,trailingNetIncome,annualGoodwill,quarterlyTaxProvision,annualTotalRevenue,annualBasicEPS,annualStockBasedCompensation,trailingCostOfRevenue,annualChangesInAccountReceivables,quarterlyNetPPE,quarterlyStockBasedCompensation,annualDeferredIncomeTax,trailingOperatingExpense,annualNetOtherFinancingCharges,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualAccumulatedDepreciation,quarterlyOtherNonCashItems,annualGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyEbitda,annualInventory,annualResearchAndDevelopment,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingDilutedEPS,annualChangeInAccountPayable,trailingBasicEPS,trailingResearchAndDevelopment,trailingCommonStockIssuance,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,111100000.0,,,,0.0,,,,,,,,100600000.0,,,43500000.0,0.0,2000000.0,21100000.0,,225300000.0,1400000.0,,,,311300000.0,,22400000.0,53100000.0,,,43800000.0,,,,,,,285140449.0,,,,,,,,,,,,114200000.0,,,,285140449.0,,38800000.0,,,,,,,,,,146000000.0,,72400000.0,22400000.0,,,49500000.0,6900000.0,0.0,,,,,,61600000.0,,,,,50900000.0,,,,,100000.0,,47500000.0,,,,38800000.0,,,,,,,,,,0.0,,3400000.0,121900000.0,79300000.0,,,,,,,30700000.0,,,,,,,,8400000.0,,,,,0.078558,,,,,,0.0,,,,37800000.0,,,22400000.0,,,,,3700000.0,,,,,,,,,392900000.0,0.078558,,,,,,,,,,,-49500000.0,,81600000.0,,,,54800000.0,,,,,,,,,,,,,,,,,,,
347068800,,,127300000.0,,,,0.0,,,,,,,,111500000.0,,,42300000.0,0.0,2000000.0,20600000.0,,254000000.0,4600000.0,,,,313100000.0,,21700000.0,56100000.0,,,43200000.0,,,,,,,287062351.0,,,,,,,,,,,,126700000.0,,,,287062351.0,,43400000.0,,,,,,,,,,154000000.0,,87600000.0,21700000.0,,,59000000.0,12400000.0,0.0,,,,,,68300000.0,,,,,51800000.0,,,,,0.0,,57000000.0,,,,43400000.0,,,,,,,,,,0.0,,3500000.0,143500000.0,100000000.0,,,,,,,35300000.0,,,,,,,,12200000.0,,,,,0.075593,,,,,,0.0,,,,43900000.0,,,21700000.0,,,,,4400000.0,,,,,,,,,400200000.0,0.075593,,,,,,,,,,,-55900000.0,,87100000.0,,,,47800000.0,,,,,,,,,,,,,,,,,,,
378604800,,,121900000.0,,,,0.0,,,,,,,,126600000.0,,,51700000.0,0.0,1900000.0,25200000.0,,265300000.0,5900000.0,,,,345800000.0,,26500000.0,54400000.0,,,50300000.0,,,,,,,293091159.0,,,,,,,,,,,,143400000.0,,,,293091159.0,,42600000.0,,,,,,,,,,160700000.0,,93600000.0,26500000.0,,,51700000.0,11000000.0,0.0,,,,,,70200000.0,,,,,60400000.0,,,,,0.0,,49800000.0,,,,42600000.0,,,,,,,,,,0.0,,5600000.0,157000000.0,104600000.0,,,,,,,41900000.0,,,,,,,,15800000.0,,,,,0.090416,,,,,,0.0,,,,52000000.0,,,26500000.0,,,,,4300000.0,,,,,,,,,448100000.0,0.090416,,,,,,,,,,,-63400000.0,,102300000.0,,,,58300000.0,,,,,,,,,,,,,,,,,,,
410140800,,,132500000.0,,,,0.0,,,,,,,,140800000.0,,,50900000.0,0.0,9800000.0,23600000.0,,291600000.0,26400000.0,,,,318100000.0,,27300000.0,51800000.0,,,47300000.0,,,,,,,292353823.0,,,,,,,,,,,,159100000.0,,,,292353823.0,,50000000.0,,,,,,,,,,176100000.0,,97800000.0,27300000.0,,,60400000.0,17700000.0,0.0,,,,,,72100000.0,,,,,60200000.0,,,,,0.0,,50600000.0,,,,50000000.0,,,,,,,,,,0.0,,8500000.0,172900000.0,115500000.0,,,,,,,45400000.0,,,,,,,,20300000.0,,,,,0.09338,,,,,,0.0,,,,58300000.0,,,27300000.0,,,,,4900000.0,,,,,,,,,423700000.0,0.09338,,,,,,,,,,,-75100000.0,,105600000.0,,,,53000000.0,,,,,,,,,,,,,,,,,,,
441676800,,,133500000.0,,,,0.0,,,,,,,,162500000.0,,,58200000.0,0.0,4200000.0,26100000.0,,309200000.0,12500000.0,,,,331700000.0,,32100000.0,46700000.0,,,53700000.0,,,,,,,292657725.0,,,,,,,,,,,,175700000.0,,,,292657725.0,,73100000.0,,,,,,,,,,190200000.0,,98800000.0,32100000.0,,,66200000.0,20200000.0,0.0,,,,,,67300000.0,,,,,68400000.0,,,,,-100000.0,,62000000.0,,,,73100000.0,,,,,,,,,,0.0,,9100000.0,186200000.0,119000000.0,,,,,,,48100000.0,,,,,,,,20700000.0,,,,,0.109684,,,,,,0.0,,,,62800000.0,,,32100000.0,,,,,4600000.0,,,,,,,,,448200000.0,0.109684,,,,,,,,,,,-87400000.0,,116500000.0,,,,44500000.0,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,0.034091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294355323.0,,,,9900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034091,,,,,,,,,,,,,,,,,,,123900000.0,,,,,,,,,,,123900000.0,,,,,,,,,,,,,,294355323.0,,,,,,,,,,,,,,,,,,,,,,,123900000.0,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,0.035573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294355323.0,,,,10400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035573,,,,,,,,,,,,,,,,,,,130300000.0,,,,,,,,,,,130300000.0,,,,,,,,,,,,,,294355323.0,,,,,,,,,,,,,,,,,,,,,,,130300000.0,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,0.048913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294004498.0,,,,14300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048913,,,,,,,,,,,,,,,,,,,128600000.0,,,,,,,,,,,128600000.0,,,,,,,,,,,,,,294004498.0,,,,,,,,,,,,,,,,,,,,,,,128600000.0,,,,,,,,,,,,,,,,,,,,
473299200,63500000.0,,136200000.0,,,187700000.0,0.0,,,72700000.0,193800000.0,,,,187700000.0,,,69700000.0,0.0,5600000.0,27000000.0,,337100000.0,6200000.0,,337100000.0,,368600000.0,143300000.0,42700000.0,41100000.0,,,61800000.0,,,,,100000.0,,293960163.0,,,43100000.0,,,136200000.0,,,,,,200900000.0,,,8100000.0,293960163.0,,76900000.0,,,22300000.0,41100000.0,,,,,,193800000.0,48800000.0,100200000.0,42700000.0,,,72700000.0,43100000.0,0.0,,,,,,63500000.0,,,,,77800000.0,,,,,100000.0,,67100000.0,,,,76900000.0,,,200900000.0,,-96900000.0,,,6200000.0,,0.0,,12200000.0,197100000.0,143300000.0,,,,,5600000.0,76900000.0,57500000.0,76900000.0,,,,,,,22300000.0,-321100000.0,,,,0.145258,,,,,,0.0,121000000.0,,197100000.0,73500000.0,,,42700000.0,,,,,4400000.0,67100000.0,,,,,,,,503900000.0,0.145258,,,,100200000.0,,,,,,,-96900000.0,,135300000.0,,,-321100000.0,48800000.0,,,,,,,,,,,,,,,,,,,
