,trailingFreeCashFlow,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualOperatingIncome,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualChangeInAccountPayable,annualOtherCurrentAssets,quarterlyOtherNonCashItems,annualAccountsPayable,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,annualChangeInWorkingCapital,trailingTotalRevenue,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,trailingTaxProvision,trailingEndCashPosition,quarterlyTotalRevenue,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualCashDividendsPaid,annualPretaxIncome,quarterlyFreeCashFlow,annualCostOfRevenue,annualInvestmentsAndAdvances,annualNetIncome,annualCurrentDebt,annualFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,quarterlyNetIncome,annualOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,annualLongTermDebt,annualStockholdersEquity,annualCurrentAssets,annualRepurchaseOfCapitalStock,trailingPretaxIncome,quarterlyDilutedEPS,annualTotalAssets,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualRetainedEarnings,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualNetIncomeCommonStockholders,quarterlyInventory,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyOtherIncomeExpense,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualAccountsReceivable,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,annualSaleOfInvestment,quarterlyGrossProfit,annualCommonStockIssuance,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,annualGrossProfit,annualOtherIncomeExpense,annualNetPPE,quarterlyOperatingExpense,quarterlyPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,annualDilutedEPS,annualTotalNonCurrentAssets,annualEbitda,quarterlyStockholdersEquity,trailingRepaymentOfDebt,quarterlyCapitalStock,annualBasicAverageShares,quarterlyBeginningCashPosition,annualCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,annualChangeInInventory,quarterlyDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,annualBasicEPS,trailingDepreciationAndAmortization,quarterlyInterestExpense,trailingChangeInCashSupplementalAsReported,annualOtherNonCashItems,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,annualGrossPPE,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualPurchaseOfBusiness,annualIncomeTaxPayable,trailingOtherIncomeExpense,quarterlyOtherIntangibleAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,annualInvestingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyIncomeTaxPayable,annualDeferredIncomeTax,trailingOperatingExpense,quarterlySaleOfInvestment,trailingCapitalExpenditure,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,annualCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,trailingDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,trailingPurchaseOfInvestment,annualNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,trailingInterestExpense,trailingCashDividendsPaid,trailingBeginningCashPosition,trailingNetIncome,quarterlyChangeInWorkingCapital,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,quarterlyNetPPE,quarterlyBasicEPS,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,quarterlyCommonStockIssuance,annualInventory,quarterlyOtherShortTermInvestments,annualRepaymentOfDebt,trailingChangeInWorkingCapital,annualCapitalStock,quarterlyBasicAverageShares,annualDilutedAverageShares,annualInterestExpense,trailingChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,trailingPurchaseOfBusiness,annualGoodwill,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,annualNonCurrentDeferredRevenue,annualOtherIntangibleAssets,trailingBasicAverageShares,quarterlyChangeInAccountPayable,trailingBasicEPS,quarterlyChangeInInventory,trailingChangesInAccountReceivables,trailingOtherNonCashItems,annualStockBasedCompensation,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance,trailingChangeInAccountPayable,quarterlyGoodwill
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591580800,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868371033154.0,,,,,,,,,,,,,,,,,80645161225.0,,,,,,,,,,,45.509303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868371033154.0,,,,,,,,,,,,1868371033154.0,,,,45.509303,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599529600,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749987448624.0,,,,,,,,,,,,,,,,,75547865584.0,,,,,,,,,,,43.879444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749987448624.0,,,,,,,,,,,,1749987448624.0,,,,43.879444,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607305600,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849752214958.0,,,,,,,,,,,,,,,,,79854762278.0,,,,,,,,,,,46.380961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849752214958.0,,,,,,,,,,,,1849752214958.0,,,,46.380961,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615168000,,4352790465440.0,1962558844670.0,,,,468885403430.0,3289078590990.0,,1487742738320.0,8037326023950.0,,1111805268760.0,,,,,,,298089796280.0,3450301582990.0,1487742738320.0,0.0,2814607962480.0,,,,2488069379076.0,1939814886870.0,,346960515730.0,,645050312010.0,,6422893682720.0,,346960515730.0,942031700220.0,0.0,7167398427920.0,,,,1437159024580.0,107409480599.0,,3450301582990.0,849904276220.0,265773223330.0,1437159024580.0,1221969514990.0,3717096844930.0,4352790465440.0,,,,7167398427920.0,1111805268760.0,,1962558844670.0,,3289078590990.0,,,346960515730.0,334897581150.0,,,,,,,1221969514990.0,,,,,,,,,,1614432341230.0,261440355420.0,1377448937900.0,,,1939814886870.0,0.0,1939814886870.0,1939814886870.0,,200.089249,2814607962480.0,764528065010.0,3717096844930.0,,,1734028777.0,,,,,,,,,200.089249,,,,,,,942031700220.0,-2066792387980.0,3444241325880.0,,265773223330.0,0.0,,,,,,3444241325880.0,0.0,,1145546937800.0,,,,,,,-2066792387980.0,,,,,,,,-5080371241444.0,1020527144450.0,,,,,,,,,,,-5080371241444.0,,,1377448937900.0,,1020527144450.0,,,334897581150.0,,,,,,1734028777.0,84296592960.0,,,,,,,,,,,,,,,,,,,,,,,,,,
623116800,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109337243093.0,,,,,,,,,,,,,,,,,101257342136.0,,,,,,,,,,,57.215422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109337243093.0,,,,,,,,,,,,2109337243093.0,,,,57.215422,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631065600,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172362753738.0,,,,,,,,,,,,,,,,,104282840176.0,,,,,,,,,,,58.924979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172362753738.0,,,,,,,,,,,,2172362753738.0,,,,58.924979,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638841600,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376881076153.0,,,,,,,,,,,,,,,,,114100607256.0,,,,,,,,,,,64.472504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376881076153.0,,,,,,,,,,,,2376881076153.0,,,,64.472504,,,,,,,,,1728918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646704000,,5172457819230.0,2694001765020.0,,,,643654011450.0,3680105888970.0,,1488349068945.0,9202212883065.0,,2375492720385.0,,681216983790.0,,,234844677150.0,,415643116545.0,4182350833965.0,1488349068945.0,0.0,3267232813335.0,,,,2071569654606.0,1363697227995.0,-614401161840.0,441745425120.0,-55948738380.0,857388541665.0,,7146918627870.0,,441745425120.0,1307094029400.0,524770552395.0,8439690632565.0,,,,1712402762550.0,99443603352.0,,4182350833965.0,1071884072130.0,265832607330.0,1712402762550.0,1222516461615.0,4240186852965.0,5172457819230.0,,,,8439690632565.0,2375492720385.0,,2694001765020.0,,3680105888970.0,,,441745425120.0,338325491145.0,,339756171615.0,,,,,1222516461615.0,,,,,,9268983045.0,,,,2055294255195.0,334490049885.0,1554830050785.0,,,1363697227995.0,1051504485435.0,1363697227995.0,1363697227995.0,,251.130083,3267232813335.0,983410183065.0,4240186852965.0,,,1759030303.0,,349131694695.0,,,,-3759341235.0,,,251.130083,,,,22464727380.0,,,1307094029400.0,-2309513998710.0,3864344049495.0,,265832607330.0,1218254860215.0,,,,,,3864344049495.0,-1264660655460.0,,1411640243745.0,,,,,,,-2309513998710.0,,-123525560580.0,-526733933040.0,,,,,-6486989217009.0,705690751830.0,,,,,681216983790.0,,,,,,-6486989217009.0,145442367780.0,122764560330.0,1554830050785.0,,705690751830.0,,,338325491145.0,,,,,,1759030303.0,119279179185.0,,,,,,,,,,,,,,,,,,,,,,,,,,
654652800,,,,,,,,,,,,,,,,,,,,,,,,,,,,2221354646035.0,,,,,,,,,,,,,,,,,79506350693.0,,,,,,,,,,,42.841941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683881000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2221354646035.0,,,,,,,,,,,,2221354646035.0,,,,42.841941,,,,,,,,,1683881000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
