,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,trailingTaxProvision,trailingEndCashPosition,annualOperatingExpense,annualDilutedAverageShares,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetOtherFinancingCharges,annualCurrentDebt,annualCostOfRevenue,annualCurrentAssets,trailingFreeCashFlow,quarterlyGrossPPE,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyCurrentAssets,annualOtherNonCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,trailingOperatingExpense,trailingBeginningCashPosition,trailingNetIncomeContinuousOperations,trailingCostOfRevenue,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,annualPretaxIncome,trailingChangeInWorkingCapital,annualInterestExpense,quarterlyTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,annualCapitalStock,quarterlyCashAndCashEquivalents,annualTotalRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingIncome,annualPurchaseOfInvestment,trailingCapitalExpenditure,trailingGrossProfit,annualCapitalExpenditure,annualInvestingCashFlow,annualAccountsPayable,trailingInvestingCashFlow,annualBasicAverageShares,trailingInterestExpense,quarterlyCapitalStock,trailingRepaymentOfDebt,annualEndCashPosition,trailingPurchaseOfInvestment,quarterlyAccountsPayable,annualOperatingIncome,trailingTotalRevenue,quarterlyCurrentDebt,annualPurchaseOfBusiness,annualDepreciationAndAmortization,annualOtherNonCashItems,annualCurrentLiabilities,quarterlyOtherNonCurrentAssets,trailingChangeInInventory,trailingDepreciationAndAmortization,annualSaleOfInvestment,trailingOtherNonCashItems,quarterlyInventory,annualOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,annualNetPPE,annualOtherIntangibleAssets,annualGrossProfit,annualInventory,trailingNetIncome,trailingPretaxIncome,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,trailingCashDividendsPaid,trailingPurchaseOfBusiness,quarterlyNetPPE,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualEbitda,annualBasicEPS,quarterlyAccountsReceivable,annualNetIncomeCommonStockholders,annualRetainedEarnings,quarterlyStockholdersEquity,annualFreeCashFlow,annualCommonStockIssuance,annualOtherShortTermInvestments,annualBeginningCashPosition,annualNetIncome,annualCashDividendsPaid,annualOtherCurrentAssets,trailingOperatingCashFlow,annualAccountsReceivable,annualDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualTotalAssets,trailingSaleOfInvestment,annualTaxProvision,annualStockholdersEquity,quarterlyOtherCurrentAssets,annualLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,annualStockBasedCompensation,quarterlyFreeCashFlow,annualGoodwill,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,trailingNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,annualRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,1472343000.0,5170757000.0,,,1519421000.0,4018000000.0,,,20451000.0,160108000.0,16858738000.0,19331069000.0,,,737109000.0,-249868000.0,,,4382648000.0,21234346000.0,,,,,,,1433908000.0,-1572378000.0,,2271884000.0,165002000.0,0.0,-191896000.0,,,1987369000.0,,34655000.0,,0.0,3300000000.0,,20517769000.0,,,-12337000.0,,,-924532000.0,-533091000.0,9671321000.0,,4018000000.0,,,,5170757000.0,,,2139610000.0,,,,71712000.0,-173955000.0,20497237000.0,,,,391324000.0,,,2828234000.0,,,2022016000.0,5205000.0,3659031000.0,212285000.0,,,-37661000.0,914000.0,9125974000.0,,,,,,2093736000.0,0.367071,,1474893000.0,1323780000.0,,1903702000.0,20451000.0,3955217000.0,5078823000.0,1474893000.0,-698016000.0,3176301000.0,,6426789000.0,0.367071,,,7277172000.0,,1384645000.0,26608241000.0,,515026000.0,5379736000.0,,225529000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,1928162000.0,12089395000.0,,,1688143000.0,3321638000.0,,24852406000.0,261000.0,133920000.0,17564553000.0,27936051000.0,,2588991000.0,581888000.0,-317638000.0,2673411000.0,27936051000.0,3670124000.0,24852406000.0,24270518000.0,,,,,6472079000.0,5037037000.0,-236632000.0,,2588991000.0,6924067000.0,0.0,-57631000.0,34769829000.0,7659000.0,2615878000.0,,24898000.0,6833778000.0,0.0,4018000000.0,12089395000.0,21296063000.0,18561474000.0,,-2518579000.0,,,-308560000.0,-2597432000.0,10943270000.0,,3321638000.0,,4018000000.0,,12089395000.0,,10943270000.0,2043367000.0,,133920000.0,,98802000.0,-295823000.0,24270518000.0,3670124000.0,,,,,225731000.0,6972064000.0,0.0,-317638000.0,2271353000.0,7659000.0,3731510000.0,225731000.0,,,-13446000.0,774000.0,18561474000.0,,,2271353000.0,,,2739578000.0,0.58,5510059000.0,1927689000.0,2673411000.0,9920341000.0,6663504000.0,3012561000.0,6472079000.0,5170757000.0,1927689000.0,-354238000.0,3191436000.0,,5510059000.0,0.58,774000.0,154618000.0,6833778000.0,0.0,1564874000.0,34769829000.0,,687716000.0,9920341000.0,3191436000.0,154618000.0,581888000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372550400,,,,,,,,22640219000.0,,,,,,2285859000.0,,,,26950708000.0,,,22149185000.0,,,,,4725292000.0,,,,,,,,33335883000.0,7797000.0,,,,6385175000.0,,,13909000000.0,,18634292000.0,,,,,,,,,,,4125700000.0,,,,12577598000.0,,,126180000.0,,,,,3619700000.0,,,,,470191000.0,,0.0,,,,,,,,,,,,,2285859000.0,,,,,4808365000.0,,,10697903000.0,,,,,,,,,,,774000.0,117938000.0,,0.0,,,,,,2305351000.0,,491034000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,1960241000.0,14550166000.0,,,1777689000.0,4125405000.0,,20197103000.0,0.0,234307000.0,17683814000.0,25903900000.0,,2652991000.0,407162000.0,-379870000.0,3785335000.0,25903900000.0,-485012000.0,20197103000.0,19789941000.0,,,,,3622336000.0,-1763287000.0,-180248000.0,,2652991000.0,2597130000.0,0.0,3045659000.0,31953164000.0,7919000.0,2664105000.0,,20819000.0,6049264000.0,6049264000.0,4125700000.0,14550166000.0,21426272000.0,18172502000.0,,-105400000.0,,,-246829000.0,3228965000.0,12227087000.0,,4125405000.0,,4125700000.0,,14550166000.0,,12227087000.0,1964769000.0,,234307000.0,,81034000.0,-464452000.0,19789941000.0,-485012000.0,,,41391000.0,,212735000.0,-499924000.0,0.0,-379870000.0,2273121000.0,7919000.0,3742458000.0,212735000.0,,,12996000.0,0.0,18172502000.0,,,2273121000.0,,,2765958000.0,0.47,7267228000.0,1959257000.0,3785335000.0,11739625000.0,-746753000.0,519426000.0,3622336000.0,12089395000.0,1959257000.0,-674965000.0,2372575000.0,,7267228000.0,0.47,0.0,79637000.0,6049264000.0,6049264000.0,1714656000.0,31953164000.0,,703864000.0,11739625000.0,2372575000.0,79637000.0,407162000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404086400,,,,,,,,21510062000.0,,,,,,2333398000.0,,,4080168000.0,27743508000.0,,,21082361000.0,,,,,2422811000.0,,,,,,,,33559835000.0,8025000.0,,,,5816327000.0,,,15686179000.0,,18108990000.0,,,,,,,,,,,4125700000.0,,,,14897887000.0,,,255369000.0,,,,,238781000.0,,,,,275656000.0,,0.0,,,,,,,,,,,,,2333398000.0,,,,,9148018000.0,,,12032874000.0,,,,,,,,,,,,43461000.0,,0.0,,,,,,6071062000.0,,427701000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,2096235000.0,17792501000.0,,,1596049000.0,4125700000.0,,24169754000.0,1750000.0,205742000.0,19257365000.0,31447411000.0,,2876563000.0,690055000.0,-429786000.0,4895756000.0,31447411000.0,-701689000.0,24169754000.0,23479699000.0,,,,,4170349000.0,2386631000.0,-401860000.0,,2876563000.0,3283576000.0,29960000.0,-48800000.0,37223342000.0,8746000.0,2738144000.0,,20545000.0,5775931000.0,327650000.0,4125700000.0,17792501000.0,23007745000.0,21962850000.0,,-51852394000.0,,,-300801000.0,-290469000.0,13764067000.0,,4125700000.0,,4125700000.0,,17792501000.0,,13764067000.0,2154331000.0,,205742000.0,-50000000.0,82121000.0,-514069000.0,23479699000.0,-701689000.0,,,51423275000.0,,259979000.0,4110844000.0,29960000.0,-429786000.0,2446777000.0,8746000.0,3750380000.0,259979000.0,,,-47244000.0,438000.0,21962850000.0,,,2446777000.0,,,2840810000.0,0.51,8924347000.0,2096918000.0,4895756000.0,13035482000.0,3810043000.0,0.0,4170349000.0,14550166000.0,2096918000.0,-783883000.0,0.0,,8924347000.0,0.51,438000.0,359789000.0,5775931000.0,327650000.0,1649404000.0,37223342000.0,,641909000.0,13035482000.0,0.0,359789000.0,690055000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,,,,,,,24901777000.0,,,,,,2499008000.0,,,4878122000.0,32084714000.0,,,24145076000.0,,,,,5492195000.0,,,,,,,,37954674000.0,8367000.0,,,,5869960000.0,,,18447083000.0,,23939278000.0,,,,,,,,,,,4125700000.0,,,,13441390000.0,,,64578000.0,,,,,249191000.0,,,,,352803000.0,,0.0,,,,,,,,,,,,,2499008000.0,,,,,7446797000.0,,,13019088000.0,,,,,,,,,,,1782000.0,436666000.0,,0.0,,,,,,0.0,,756701000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,2054172000.0,20344614000.0,,,1801796000.0,4125700000.0,,28031012000.0,7357000.0,428275000.0,17366556000.0,35415222000.0,,3419292000.0,833109000.0,-538404000.0,5874038000.0,35415222000.0,-1088531000.0,28031012000.0,27197903000.0,,,,,4035091000.0,2027383000.0,-224581000.0,,3419292000.0,2157590000.0,0.0,-9363000.0,42232428000.0,9496000.0,2776763000.0,,35290000.0,6817206000.0,0.0,4125700000.0,20344614000.0,20757364000.0,24379705000.0,,-50145088000.0,,,-463121000.0,-691322000.0,16754747000.0,,4125700000.0,,4125700000.0,,20344614000.0,,16754747000.0,1589012000.0,,428275000.0,-384633000.0,102126000.0,-442399000.0,27197903000.0,-1088531000.0,,,49825559000.0,,254089000.0,3439765000.0,0.0,-538404000.0,2880888000.0,9496000.0,3390808000.0,254089000.0,,,5890000.0,1430000.0,24379705000.0,,,2880888000.0,,,2914179000.0,0.5,10467293000.0,2051775000.0,5874038000.0,14166833000.0,2976644000.0,,4035091000.0,17986146000.0,2051775000.0,-845940000.0,4035091000.0,,10467293000.0,0.5,1430000.0,397078000.0,6817206000.0,0.0,1744127000.0,42232428000.0,,722591000.0,14166833000.0,4035091000.0,397078000.0,833109000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,,,,,,,28917446000.0,,,,,,2994040000.0,,,6059809000.0,35752928000.0,,,28210329000.0,,,,,4265769000.0,,,,,,,,42908146000.0,8289000.0,,,,7155218000.0,,,19852861000.0,,24118630000.0,,,,,,,,,,,4125700000.0,,,,16382921000.0,,,369846000.0,,,,,565977000.0,,,,,665237000.0,,0.0,,,,,,,,,,,,,2994040000.0,,,,,10396847000.0,,,13941168000.0,,,,,,,,,,,28368000.0,274141000.0,,0.0,,,,,,4265769000.0,,707117000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
