date,trailingFreeCashFlow,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualOperatingIncome,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,trailingCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualChangeInAccountPayable,annualOtherCurrentAssets,quarterlyOtherNonCashItems,annualAccountsPayable,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,annualChangeInWorkingCapital,trailingTotalRevenue,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,trailingTaxProvision,trailingEndCashPosition,quarterlyTotalRevenue,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualCurrentDeferredRevenue,annualCashDividendsPaid,annualPretaxIncome,quarterlyFreeCashFlow,annualCostOfRevenue,annualInvestmentsAndAdvances,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,quarterlyTotalAssets,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyNetIncome,annualOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentAssets,annualStockholdersEquity,annualLongTermDebt,annualCurrentAssets,annualRepurchaseOfCapitalStock,trailingPretaxIncome,quarterlyDilutedEPS,annualTotalAssets,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualRetainedEarnings,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyInventory,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,annualDepreciationAndAmortization,quarterlyOtherIncomeExpense,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,annualAccountsReceivable,trailingOperatingCashFlow,annualSaleOfInvestment,quarterlyGrossProfit,annualCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,annualGrossProfit,annualNetPPE,quarterlyOperatingExpense,annualOtherIncomeExpense,quarterlyPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,trailingGrossProfit,annualTotalNonCurrentAssets,annualEbitda,quarterlyStockholdersEquity,quarterlyCapitalStock,trailingRepaymentOfDebt,annualBasicAverageShares,quarterlyBeginningCashPosition,annualCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,annualChangeInInventory,quarterlyDilutedAverageShares,annualBasicEPS,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingChangeInCashSupplementalAsReported,annualOtherNonCashItems,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,annualGrossPPE,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualPurchaseOfBusiness,trailingOtherIncomeExpense,quarterlyOtherIntangibleAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,annualInvestingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,trailingOperatingExpense,quarterlySaleOfInvestment,trailingCapitalExpenditure,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingInvestingCashFlow,annualChangesInAccountReceivables,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,trailingInterestExpense,trailingCashDividendsPaid,trailingBeginningCashPosition,trailingNetIncome,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,quarterlyNetPPE,quarterlyBasicEPS,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,quarterlyCommonStockIssuance,annualInventory,quarterlyOtherShortTermInvestments,annualRepaymentOfDebt,trailingChangeInWorkingCapital,annualCapitalStock,quarterlyBasicAverageShares,annualDilutedAverageShares,annualGoodwill,annualInterestExpense,trailingSellingGeneralAndAdministration,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingStockBasedCompensation,quarterlyChangeInAccountPayable,trailingPurchaseOfInvestment,quarterlyChangeInInventory,trailingChangesInAccountReceivables,annualStockBasedCompensation,annualIncomeTaxPayable,trailingChangeInInventory,trailingChangeInAccountPayable,annualDeferredIncomeTax,trailingDepreciationAndAmortization,trailingDeferredIncomeTax,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingDilutedAverageShares
1992-03-31,17928000000.0,,,,,,,,,451000000.0,,,,,,,137091000000.0,,,179176000000.0,,,,,,,5613000000.0,29099000000.0,6182800000.0,,,,,,,,,,,,,,12929000000.0,128800000.0,128800000.0,,128800000.0,1059000000.0,,,,,,,,,15582000000.0,0.150001,,,,,,,,,,,,,,,129000000.0,9799000000.0,,,,,28726000000.0,,,,,,-3934000000.0,,,,,,,,,,,,,42085000000.0,,,,,-92000000.0,,,,,,,,858660942.0,,-8920000000.0,,3847000000.0,,,,,,,539000000.0,,,,,4478000000.0,,,,,,,29156000000.0,,-10798000000.0,,,,,,-15959000000.0,,6182800000.0,,9969000000.0,,,,1737000000.0,-5470000000.0,25252000000.0,9799000000.0,-6506000000.0,,6182800000.0,,,,0.150001,,-879000000.0,,,,,3919000000.0,,858660942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6182800000.0,,,,,,,,,,,,,,,128800000.0,128800000.0,,128800000.0,,,,,,,,,,,0.150001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858660942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6182800000.0,,,,,,,,,,,,6182800000.0,,,,0.150001,,,,,,,,,858660942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6182900000.0,,,,,,,,,,,,,,,128900000.0,128900000.0,,128900000.0,,,,,,,,,,,0.155001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831607538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6182900000.0,,,,,,,,,,,,6182900000.0,,,,0.155001,,,,,,,,,831607538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31,,9739400000.0,6334600000.0,,,,1243900000.0,5304300000.0,,,5834700000.0,24731500000.0,,1407700000.0,,2553600000.0,,,-117300000.0,,12169300000.0,313900000.0,5834700000.0,0.0,11188800000.0,,,,6183000000.0,2762900000.0,-695000000.0,515400000.0,,-303800000.0,829300000.0,,22501100000.0,,515400000.0,-109900000.0,1321000000.0,20928200000.0,,128700000.0,128700000.0,2273500000.0,128700000.0,,12169300000.0,1488500000.0,,2273500000.0,8347400000.0,3739000000.0,9739400000.0,,,,20928200000.0,1407700000.0,,6334600000.0,,5304300000.0,,515400000.0,,2340300000.0,,,986500000.0,,,,607200000.0,3739000000.0,,,,238200000.0,,138500000.0,,,,2230400000.0,7325600000.0,,-375500000.0,,2762900000.0,1589700000.0,1785200000.0,,2762900000.0,2762900000.0,0.61,,11188800000.0,2230400000.0,8347400000.0,260900000.0,,844918033.0,,262700000.0,,,,-44900000.0,,0.61,,,,403100000.0,,,1321000000.0,-7953800000.0,15279400000.0,,,1488500000.0,2922700000.0,,,1589700000.0,,15279400000.0,-2207800000.0,,986500000.0,,,,-7953800000.0,,-70400000.0,,-1895100000.0,,,-17304600000.0,2460000000.0,,607200000.0,,2553600000.0,,,,,,,-17304600000.0,-159900000.0,0.0,7325600000.0,,2460000000.0,,,2340300000.0,,,,260900000.0,,844918033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5895500000.0,,,,,,,,,,,,,,,157300000.0,157300000.0,,157300000.0,,,,,,,,,,,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760008000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5895500000.0,,,,,,,,,,,,5895500000.0,,,,0.365,,,,,,,,,760008000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5895500000.0,,,,,,,,,,,,,,,157300000.0,157300000.0,,157300000.0,,,,,,,,,,,0.365001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760008000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5895500000.0,,,,,,,,,,,,5895500000.0,,,,0.365001,,,,,,,,,760008000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5622800000.0,,,,,,,,,,,,,,,94800000.0,94800000.0,,94800000.0,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760008000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5622800000.0,,,,,,,,,,,,5622800000.0,,,,0.21,,,,,,,,,760008000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31,,10350300000.0,6625400000.0,,,,1061600000.0,5237100000.0,,,6746300000.0,23036700000.0,,1269300000.0,,2253900000.0,,,430400000.0,,13371700000.0,279700000.0,6746300000.0,0.0,12388100000.0,,,,5622900000.0,4075200000.0,-182200000.0,504200000.0,,-124300000.0,783900000.0,,20988400000.0,,504200000.0,410500000.0,1912100000.0,22738400000.0,,94900000.0,94900000.0,3365700000.0,94900000.0,,13371700000.0,1616000000.0,,3365700000.0,8989600000.0,4094200000.0,10350300000.0,,,,22738400000.0,1269300000.0,,6625400000.0,,5237100000.0,,504200000.0,,1994900000.0,,,986700000.0,,,,1036100000.0,4094200000.0,,,,,,695300000.0,,,,2048300000.0,7471000000.0,,-149100000.0,,4075200000.0,1551400000.0,2185000000.0,,4075200000.0,4075200000.0,0.57,,12388100000.0,2048300000.0,8989600000.0,250600000.0,,884561404.0,,1590900000.0,,,,,,0.57,,,,478000000.0,,,1912100000.0,-7719100000.0,15190100000.0,,,1616000000.0,2595000000.0,,,1551400000.0,,15190100000.0,-2331800000.0,,986700000.0,,,,-7719100000.0,,-650200000.0,,-1774500000.0,,,-16352200000.0,2459400000.0,,1036100000.0,,2253900000.0,,,,,,,-16352200000.0,1480100000.0,-1900000.0,7471000000.0,,2459400000.0,,,1994900000.0,,,,250600000.0,,884561404.0,,89400000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5986000000.0,,,,,,,,,,,,,,,148100000.0,148100000.0,,148100000.0,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878308000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5986000000.0,,,,,,,,,,,,5986000000.0,,,,0.32,,,,,,,,,878308000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6283700000.0,,,,,,,,,,,,,,,155500000.0,155500000.0,,155500000.0,,,,,,,,,,,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878308000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6283700000.0,,,,,,,,,,,,6283700000.0,,,,0.335,,,,,,,,,878308000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
