,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualCurrentDeferredRevenue,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalRevenue,annualCurrentDebt,annualEndCashPosition,quarterlyCashDividendsPaid,annualOperatingIncome,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,trailingCostOfRevenue,annualFreeCashFlow,trailingTaxProvision,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,annualNetOtherFinancingCharges,trailingEndCashPosition,quarterlyDilutedEPS,quarterlyPurchaseOfInvestment,quarterlyEbitda,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualAccountsPayable,quarterlyStockBasedCompensation,annualNetIncomeContinuousOperations,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,quarterlyDeferredIncomeTax,quarterlyTotalNonCurrentAssets,trailingNetIncome,quarterlyCurrentAssets,annualOperatingExpense,quarterlyCurrentLiabilities,quarterlyGrossPPE,annualGainsLossesNotAffectingRetainedEarnings,trailingSellingGeneralAndAdministration,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualDilutedAverageShares,annualAccountsReceivable,annualBeginningCashPosition,annualLongTermDebt,quarterlyLongTermDebt,annualCurrentAssets,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,annualNetIncome,annualCashDividendsPaid,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualSaleOfInvestment,annualBasicAverageShares,quarterlyAccountsReceivable,annualNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,quarterlyStockholdersEquity,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,annualStockholdersEquity,trailingRepurchaseOfCapitalStock,quarterlyOtherIncomeExpense,annualTotalAssets,quarterlyInventory,quarterlyGrossProfit,trailingCommonStockIssuance,annualTaxProvision,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingNetIncomeCommonStockholders,annualRetainedEarnings,annualCurrentAccruedExpenses,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingCashFlow,annualCapitalStock,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,trailingOtherIncomeExpense,quarterlyOperatingExpense,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,annualStockBasedCompensation,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,quarterlyTaxProvision,annualOtherIncomeExpense,quarterlyCapitalStock,annualNetPPE,annualOperatingCashFlow,annualInventory,annualTotalNonCurrentAssets,annualGrossProfit,annualCurrentLiabilities,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,quarterlyInterestExpense,annualEbitda,quarterlyBasicEPS,quarterlyCommonStockIssuance,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfInvestment,trailingCapitalExpenditure,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,trailingInterestExpense,trailingOperatingExpense,annualPretaxIncome,annualInterestExpense,annualNonCurrentDeferredRevenue,trailingBeginningCashPosition,quarterlyTotalAssets,annualDilutedEPS,annualAccumulatedDepreciation,annualGoodwill,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlySaleOfInvestment,annualDeferredIncomeTax,trailingInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualRepaymentOfDebt,quarterlyDilutedAverageShares,annualBasicEPS,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,quarterlyAccountsPayable,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,trailingGrossProfit,annualInvestingCashFlow,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingDeferredIncomeTax,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingChangeInInventory,annualIncomeTaxPayable,annualChangesInAccountReceivables,trailingPurchaseOfBusiness,annualResearchAndDevelopment,quarterlyResearchAndDevelopment,annualChangeInAccountPayable,quarterlyChangesInAccountReceivables,trailingBasicAverageShares,trailingSaleOfInvestment,quarterlyChangeInAccountPayable,trailingBasicEPS,annualOtherShortTermInvestments,quarterlyChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingChangeInAccountPayable
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,,,,66000000.0,9046000000.0,,289000000.0,,609000000.0,,,,1000000.0,,,,,,,576000000.0,,,,,1332000000.0,,839000000.0,,324000000.0,,39000000.0,,,,,,,,530000000.0,,,,,8437000000.0,,,,,,2971000000.0,,,331000000.0,289000000.0,550489363.0,,239000000.0,422000000.0,,1367000000.0,,,324000000.0,,,675000000.0,,515812867.0,,324000000.0,,32000000.0,,126000000.0,,,,,2586000000.0,,,5557000000.0,,,,207000000.0,,,,,,,333000000.0,,,,,,,,,,,,,,,1448000000.0,,-88000000.0,,1537000000.0,521000000.0,129000000.0,4190000000.0,,1639000000.0,,910000000.0,-859000000.0,,,735000000.0,,,,,289000000.0,,,0.0,,,,,,,,,,,,531000000.0,22000000.0,,,,0.588567,,,,,,1537000000.0,,,,,-15000000.0,,0.628135,,,,,,577000000.0,,-1048000000.0,57000000.0,,,50000000.0,-520000000.0,,,,,,,,,,,,,,,,,,,,,,
891302400,,25000000.0,,,,,,,,,89000000.0,,,,,0.0,-161000000.0,,,30000000.0,,,0.163216,,168000000.0,,,,,,,,,-39000000.0,138000000.0,2192000000.0,,-30000000.0,,,,4345000000.0,,1671000000.0,,1600000000.0,1883000000.0,,,,,,3325000000.0,,,,,,,755000000.0,,514129880.0,342000000.0,,,,,,,,,970000000.0,,2691000000.0,,,1725000000.0,,1999000000.0,,,10000000.0,,,193000000.0,,,-35000000.0,,89000000.0,89000000.0,,,,478000000.0,,,478000000.0,,,,,55000000.0,145000000.0,,1561000000.0,,1730000000.0,,56000000.0,,,,,,,,,,,,,3000000.0,,0.173108,,,-104000000.0,,,,,1054000000.0,124000000.0,-322000000.0,-163000000.0,226000000.0,,,729000000.0,,,,,,,,6016000000.0,,,,,,,,,,,189000000.0,,545289267.0,,289000000.0,,,871000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,24000000.0,,,,,,,,,101000000.0,,,,,0.0,-116000000.0,75000000.0,,32000000.0,,,0.183,,194000000.0,,,,,,,,,-73000000.0,162000000.0,2539000000.0,,,,,,4489000000.0,,1500000000.0,,1675000000.0,2132000000.0,,,,,,3336000000.0,,,,,,,668000000.0,,510519417.0,389000000.0,,,,,,,,,993000000.0,,2653000000.0,,,1661000000.0,,2321000000.0,,,8000000.0,,,218000000.0,,,86000000.0,,101000000.0,101000000.0,,,,318000000.0,,,318000000.0,,,,,56000000.0,164000000.0,,1812000000.0,,1737000000.0,,63000000.0,,,,,,,,,,,,,6000000.0,,0.197838,,,-22000000.0,,,,,940000000.0,181000000.0,-320000000.0,-254000000.0,-225000000.0,,,817000000.0,,,,,,,,5989000000.0,,,,,,,,,,,-160000000.0,,551912884.0,,0.0,,,858000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907113600,,25000000.0,,,,,,,-12000000.0,,86000000.0,,,,,0.0,-178000000.0,132000000.0,,31000000.0,,,0.15827,,170000000.0,,,,,,,,,6000000.0,139000000.0,2263000000.0,,,,,,4642000000.0,,1513000000.0,,1742000000.0,2341000000.0,,,,,,3599000000.0,,,,,,,858000000.0,,511411414.0,371000000.0,,,,,,,,,999000000.0,,2556000000.0,,,1857000000.0,,2068000000.0,,,7000000.0,,,195000000.0,,,-1000000.0,,86000000.0,86000000.0,,,,335000000.0,,,335000000.0,,,,,56000000.0,140000000.0,,2021000000.0,,1722000000.0,,54000000.0,,,,,,,,,,,,,6000000.0,,0.168162,5000000.0,,-117000000.0,,,,,899000000.0,203000000.0,-320000000.0,-197000000.0,-8000000.0,,,877000000.0,,,,,,,,6155000000.0,,,,-175000000.0,,,,,,,17000000.0,,543374628.0,,0.0,,,865000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,36000000.0,,7092000000.0,263000000.0,7968000000.0,,0.0,-13000000.0,626000000.0,114000000.0,,,-380000000.0,,0.0,-269000000.0,218000000.0,15000000.0,47000000.0,0.0,,,,234000000.0,2251000000.0,,497000000.0,,390000000.0,,-7000000.0,,-274000000.0,187000000.0,974000000.0,,,-398000000.0,,,4900000000.0,,1333000000.0,250000000.0,1412000000.0,2639000000.0,,,,3663000000.0,,3663000000.0,-71000000.0,390000000.0,540085644.0,,208000000.0,1267000000.0,1267000000.0,1333000000.0,,263000000.0,390000000.0,-37000000.0,110000000.0,913000000.0,,505464770.0,,390000000.0,984000000.0,,2570000000.0,140000000.0,,2251000000.0,,704000000.0,2570000000.0,,11000000.0,6233000000.0,75000000.0,270000000.0,,242000000.0,-121000000.0,,114000000.0,114000000.0,,218000000.0,,390000000.0,,,390000000.0,,,,,83000000.0,183000000.0,,2275000000.0,,1712000000.0,1712000000.0,69000000.0,36000000.0,,2275000000.0,605000000.0,75000000.0,4900000000.0,876000000.0,1412000000.0,,984000000.0,,,15000000.0,766000000.0,,8000000.0,,117000000.0,390000000.0,,,15000000.0,913000000.0,97000000.0,-364000000.0,-371000000.0,308000000.0,,,915000000.0,,,,632000000.0,30000000.0,,,6233000000.0,0.722108,-364000000.0,,-107000000.0,,,2639000000.0,,76000000.0,,136000000.0,,,0.771567,0.0,,,497000000.0,,301000000.0,,-724000000.0,915000000.0,,,182000000.0,-985000000.0,,,,,,,,,,,,,,,,,,,,,,
922838400,,29000000.0,,,,,,,-12000000.0,,100000000.0,,,,,0.0,-161000000.0,242000000.0,,33000000.0,,,0.187946,,197000000.0,,,,,,,,,-121000000.0,164000000.0,1895000000.0,,-36000000.0,,,,5146000000.0,,1306000000.0,,1344000000.0,2701000000.0,,,,,,3668000000.0,,,,,,,1266000000.0,,493136361.0,339000000.0,,,,,,,,,1058000000.0,,2784000000.0,,,2324000000.0,,1669000000.0,,,7000000.0,,,226000000.0,,,-91000000.0,,100000000.0,100000000.0,,,,335000000.0,,,335000000.0,,,,,62000000.0,160000000.0,,2337000000.0,,1818000000.0,,60000000.0,,,,,,,,,,,,,11000000.0,,0.202784,26000000.0,,0.0,,,,,991000000.0,135000000.0,-364000000.0,-256000000.0,-29000000.0,,,875000000.0,,,,,,,,6452000000.0,,,,-5000000.0,,,,,,,-55000000.0,,532068179.0,,390000000.0,,,469000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,,28000000.0,,,,,,,-13000000.0,,114000000.0,,,,,0.0,-197000000.0,323000000.0,,36000000.0,,,0.20773,,224000000.0,,,,,,,,,41000000.0,188000000.0,2042000000.0,,46000000.0,,,,5320000000.0,,1239000000.0,,1421000000.0,2835000000.0,,,,,,3686000000.0,,,,,,,1178000000.0,,501069424.0,350000000.0,,,,,,,,,1087000000.0,,2873000000.0,,,2265000000.0,,1790000000.0,,,6000000.0,,,252000000.0,,,-53000000.0,,114000000.0,114000000.0,,,,240000000.0,,,240000000.0,,,,,64000000.0,183000000.0,,2471000000.0,,1843000000.0,,69000000.0,,,,,,,,,,,,,11000000.0,,0.227513,8000000.0,,0.0,,,,,1006000000.0,234000000.0,-364000000.0,-193000000.0,-132000000.0,,,938000000.0,,,,,,,,6559000000.0,,,,-27000000.0,,,,,,,-95000000.0,,548790321.0,,0.0,,,483000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938649600,,30000000.0,,,,,,,-13000000.0,,96000000.0,,,,,324000000.0,-278000000.0,400000000.0,,34000000.0,,,0.178054,,192000000.0,,,,,,,,,-67000000.0,158000000.0,1995000000.0,,38000000.0,,,,5603000000.0,,1387000000.0,,1582000000.0,3061000000.0,,,,,,4159000000.0,,,,,,,1458000000.0,,497688389.0,382000000.0,,,,,,,,,1119000000.0,,2831000000.0,,,2577000000.0,,1773000000.0,,,0.0,,,222000000.0,,,237000000.0,,96000000.0,96000000.0,,,,324000000.0,,,324000000.0,,,,,64000000.0,153000000.0,,2697000000.0,,1846000000.0,,57000000.0,,3000000.0,,,,,,,,,,,12000000.0,,0.192892,2000000.0,,0.0,,,,,1060000000.0,213000000.0,-364000000.0,-280000000.0,149000000.0,,,1043000000.0,,,,,,,,6990000000.0,,,,-114000000.0,-33000000.0,,,,,,84000000.0,,539162421.0,,0.0,,,539000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,77000000.0,,7747000000.0,278000000.0,8739000000.0,,489000000.0,-14000000.0,666000000.0,90000000.0,,,-279000000.0,,489000000.0,-151000000.0,508000000.0,43000000.0,59000000.0,0.0,,,,215000000.0,2673000000.0,,628000000.0,,400000000.0,,145000000.0,,-132000000.0,156000000.0,2807000000.0,,97000000.0,-354000000.0,,,5724000000.0,,1600000000.0,326000000.0,1743000000.0,3272000000.0,-36000000.0,,,4416000000.0,,4416000000.0,-233000000.0,489000000.0,535591809.0,,390000000.0,1676000000.0,1676000000.0,1600000000.0,,278000000.0,400000000.0,-52000000.0,164000000.0,1059000000.0,,499224464.0,,400000000.0,997000000.0,,2908000000.0,162000000.0,,2673000000.0,,2515000000.0,2908000000.0,,0.0,7324000000.0,93000000.0,292000000.0,,237000000.0,-326000000.0,,90000000.0,90000000.0,,508000000.0,,489000000.0,,3000000.0,489000000.0,,,,,136000000.0,141000000.0,,2845000000.0,,1820000000.0,1820000000.0,51000000.0,0.0,3000000.0,2845000000.0,711000000.0,93000000.0,5724000000.0,992000000.0,1743000000.0,,997000000.0,,,27000000.0,828000000.0,,7000000.0,,0.0,489000000.0,,,-17000000.0,1059000000.0,129000000.0,-427000000.0,-261000000.0,187000000.0,,,1115000000.0,,,,637000000.0,61000000.0,,,7324000000.0,0.746837,-427000000.0,,-208000000.0,-36000000.0,,3272000000.0,,87000000.0,,165000000.0,,,0.801243,324000000.0,,,628000000.0,,175000000.0,,-787000000.0,1115000000.0,,,99000000.0,-990000000.0,,,,,,,,,,,,,,,,,,,,,,
