,annualOtherCurrentAssets,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,annualOperatingIncome,annualEndCashPosition,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,trailingCostOfRevenue,annualCurrentDebt,trailingTaxProvision,annualOtherShortTermInvestments,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualFreeCashFlow,quarterlyRetainedEarnings,annualCommonStockIssuance,annualNetOtherFinancingCharges,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyEbitda,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,annualAccountsPayable,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,annualDilutedAverageShares,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,trailingNetIncome,quarterlyCurrentAssets,annualOperatingExpense,trailingPretaxIncome,quarterlyGrossPPE,quarterlyBasicAverageShares,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualLongTermDebt,quarterlyLongTermDebt,annualBeginningCashPosition,annualCurrentAssets,annualAccountsReceivable,quarterlyOtherCurrentAssets,annualNetIncome,annualCashDividendsPaid,annualSellingGeneralAndAdministration,annualSaleOfInvestment,quarterlyAccountsReceivable,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,quarterlyStockholdersEquity,annualBasicAverageShares,quarterlyInvestmentsAndAdvances,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,trailingRepurchaseOfCapitalStock,quarterlyOtherIncomeExpense,trailingSaleOfInvestment,annualTotalAssets,quarterlyGrossProfit,annualTaxProvision,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingNetIncomeCommonStockholders,annualCurrentAccruedExpenses,annualRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,trailingOperatingCashFlow,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,trailingOtherIncomeExpense,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,annualBasicEPS,quarterlyTaxProvision,quarterlyNetPPE,annualOtherIntangibleAssets,annualOtherIncomeExpense,quarterlyCapitalStock,annualNetPPE,annualOperatingCashFlow,annualGrossProfit,annualTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyDilutedAverageShares,annualCurrentLiabilities,quarterlyInterestExpense,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,quarterlyCommonStockIssuance,annualEbitda,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,annualPurchaseOfInvestment,trailingCapitalExpenditure,trailingPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,trailingInterestExpense,annualPretaxIncome,trailingChangesInAccountReceivables,trailingCashDividendsPaid,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,annualInterestExpense,trailingBeginningCashPosition,quarterlyTotalAssets,annualAccumulatedDepreciation,annualGoodwill,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,annualDilutedEPS,annualIncomeTaxPayable,quarterlyChangesInAccountReceivables,trailingOperatingExpense,trailingChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,annualDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualGrossPPE,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,quarterlyAccountsPayable,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingGrossProfit,annualInvestingCashFlow,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,trailingDeferredIncomeTax,annualCapitalExpenditure,annualInventory,trailingBasicAverageShares,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingOtherNonCashItems,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,trailingNetOtherInvestingChanges,annualChangeInInventory,trailingChangeInInventory,trailingChangeInAccountPayable,trailingResearchAndDevelopment,quarterlyInventory,trailingDilutedAverageShares,annualChangeInAccountPayable
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891302400,,,,,,,,,,,0.185,63500000.0,,,,,,,,,,,,,,,471100000.0,,,,,,,,,471100000.0,,471100000.0,,,,,,,,,,,,,334210526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51400000.0,63500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,343243243.0,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,197000000.0,,,,,,,,995600000.0,0.175,61300000.0,,,,,,,,,-298900000.0,,,,,,141400000.0,,,,,,,,,106000000.0,,484000000.0,,,,,,966500000.0,,,849800000.0,,,743900000.0,340555556.0,,,1768200000.0,,,,,,,,,,176500000.0,,,,,,,,772600000.0,,-253700000.0,,,,,145600000.0,772600000.0,,,-31100000.0,,,338400000.0,,,,39700000.0,61300000.0,,,,247900000.0,,,247900000.0,,,,232400000.0,,70700000.0,,188000000.0,,31000000.0,303200000.0,,,,,,,,,350285714.0,,4200000.0,,,,,,,,,,,0.18,475300000.0,,,-440700000.0,,,,,,,,,,,,,,,1816300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907113600,,192000000.0,,,,,,,-31700000.0,943000000.0,0.2,68700000.0,,,,,,8200000.0,0.0,,-261900000.0,,,,34300000.0,-17300000.0,137400000.0,,-65600000.0,,,-30400000.0,,,,103100000.0,,459600000.0,,,,,18900000.0,969500000.0,-8800000.0,,699800000.0,,,716400000.0,343500000.0,,,1694300000.0,,,,,,,,,,168100000.0,,,,,,,,751300000.0,,-326900000.0,,,,,130200000.0,751300000.0,,,5700000.0,,,329400000.0,,55800000.0,,68700000.0,68700000.0,,,,156400000.0,,,156400000.0,,,,226300000.0,,108600000.0,,189900000.0,,39900000.0,298700000.0,,,,,,,,1500000.0,343500000.0,,200000.0,,,3300000.0,,,-1000000.0,,,,,0.2,480900000.0,42300000.0,-141900000.0,-417700000.0,-72700000.0,,,,941500000.0,,,,,,,,,,1669300000.0,,,,-113200000.0,,,,,,15900000.0,,-91500000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,228200000.0,188800000.0,,,568200000.0,1934500000.0,448700000.0,0.0,-30200000.0,1352700000.0,,86600000.0,,,36900000.0,,,-35600000.0,0.0,286800000.0,-240900000.0,41000000.0,3900000.0,,36400000.0,-12100000.0,182700000.0,505800000.0,,,,61900000.0,246400000.0,,-59100000.0,146300000.0,,519800000.0,,343406000.0,-220200000.0,,-108200000.0,1025200000.0,-32000000.0,,764000000.0,917600000.0,,728400000.0,,1858500000.0,,1858500000.0,,,-76300000.0,90600000.0,,,81800000.0,764000000.0,,228200000.0,280100000.0,-137400000.0,776000000.0,50900000.0,,280100000.0,535100000.0,0.0,,-371000000.0,338984000.0,,141600000.0,,148300000.0,505800000.0,-371000000.0,,-5400000.0,,1789200000.0,371500000.0,153400000.0,-77700000.0,,86600000.0,86600000.0,,,-240900000.0,90600000.0,,505800000.0,90600000.0,,,,225200000.0,,140600000.0,,191800000.0,0.825,54000000.0,298300000.0,191800000.0,-36800000.0,,298300000.0,342200000.0,1366300000.0,1025200000.0,36900000.0,,1352700000.0,300000.0,,,19000000.0,590300000.0,0.0,4500000.0,505800000.0,,90600000.0,,,535100000.0,21100000.0,-50400000.0,-430100000.0,40800000.0,-50400000.0,,,1315800000.0,,,399800000.0,,,,,12100000.0,,1789200000.0,-430100000.0,,,-79100000.0,0.815,,,,,13400000.0,-49200000.0,-65800000.0,,728400000.0,0.0,,,,,-227300000.0,,1315800000.0,,,-104700000.0,,8800000.0,,-55400000.0,,,,,,,,,,,,,,,,,,
922838400,,204800000.0,,,,,,,-30600000.0,1374700000.0,0.18,60400000.0,,,,,,-20000000.0,0.0,,-180900000.0,,,,35400000.0,-9900000.0,140000000.0,,10800000.0,,,57000000.0,,,,104600000.0,,490900000.0,,,,,-36700000.0,1019900000.0,,,801400000.0,,,727700000.0,326486486.0,,,1887200000.0,,,,,,,,,,212300000.0,,,,,,,,512500000.0,,-367900000.0,,,,,146100000.0,512500000.0,,,0.0,,,344800000.0,,-8800000.0,,60400000.0,60400000.0,,,,70900000.0,,,70900000.0,,,,240200000.0,,98200000.0,,179000000.0,,37800000.0,293000000.0,,,,,,,,64300000.0,335555556.0,,800000.0,,,27000000.0,,,1300000.0,,,,,0.185,547900000.0,67300000.0,-66500000.0,-434700000.0,-10300000.0,,,,1310400000.0,,,,,,,,,,1821300000.0,,,,-91100000.0,,,,,,9000000.0,,-19700000.0,,,90600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,,193800000.0,,,,,,,-29900000.0,1363700000.0,0.2,66400000.0,,,,,,-39400000.0,0.0,,-144900000.0,,,,36200000.0,-3700000.0,151700000.0,,,,,114500000.0,,,,115500000.0,,497300000.0,,,,,38700000.0,1014200000.0,,,705800000.0,,,727900000.0,323902439.0,,,1879800000.0,,,,,,,,,,188000000.0,,,,,,,,0.0,,-461900000.0,,,,,151800000.0,516100000.0,,,-700000.0,,,345500000.0,,-29000000.0,,66400000.0,66400000.0,,,,76400000.0,,516100000.0,76400000.0,,,,230000000.0,,108000000.0,,171100000.0,,41600000.0,285400000.0,,,,,,,,129200000.0,332000000.0,,1200000.0,,,9800000.0,,,-700000.0,,,,,0.205,557700000.0,125700000.0,-80400000.0,-442500000.0,-11200000.0,,,,1234500000.0,,,,,,,,,,1720000000.0,,,,-124500000.0,,,,,,4500000.0,,5500000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938649600,,199600000.0,,,,,,,-29800000.0,1342900000.0,0.205,66100000.0,,,,,,-27300000.0,70800000.0,,-108700000.0,,,,33500000.0,-4000000.0,145000000.0,,,,,76400000.0,,,,111500000.0,,473700000.0,,,,,1800000.0,1023600000.0,,,689600000.0,,,728000000.0,322439024.0,,,1845100000.0,,,,,,,,,,192800000.0,,,,,,,,0.0,,-433600000.0,,,,,129100000.0,502200000.0,,,11600000.0,,,344600000.0,,-18800000.0,,66100000.0,66100000.0,,,,70800000.0,,502200000.0,70800000.0,,,,233100000.0,,116600000.0,,168500000.0,,50500000.0,277700000.0,,,1700000.0,,,,,102600000.0,322439024.0,,1400000.0,,,4900000.0,,,700000.0,,,,,0.205,577400000.0,83700000.0,-62300000.0,-450300000.0,-7300000.0,,,,1240300000.0,,,,,,,,,,1713200000.0,,,-229900000.0,-11900000.0,,,,,,2800000.0,,-5600000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,217400000.0,193100000.0,,,559500000.0,1971800000.0,480100000.0,113200000.0,-29800000.0,1414800000.0,,63100000.0,,,127300000.0,,,-23400000.0,113200000.0,300600000.0,-105900000.0,48400000.0,7500000.0,,35800000.0,-4200000.0,184300000.0,485600000.0,5200000.0,,,52700000.0,256000000.0,,-94800000.0,148500000.0,,509900000.0,,328568000.0,-237900000.0,,-98600000.0,1000700000.0,34900000.0,,785000000.0,932200000.0,,724100000.0,,1900400000.0,,1900400000.0,,-219500000.0,-66700000.0,113200000.0,,,90600000.0,785000000.0,,217400000.0,256000000.0,-120100000.0,791300000.0,22500000.0,,256000000.0,553200000.0,485600000.0,9300000.0,-416600000.0,324506000.0,,140900000.0,,132500000.0,485600000.0,-416600000.0,,-27700000.0,,1785700000.0,377400000.0,178900000.0,-10100000.0,,63100000.0,63100000.0,,,-105900000.0,113200000.0,1700000.0,,113200000.0,,,,228900000.0,,112100000.0,,167500000.0,0.79,49000000.0,280000000.0,167500000.0,-17800000.0,1700000.0,280000000.0,344700000.0,1412300000.0,1000700000.0,127300000.0,,1414800000.0,1600000.0,,,6700000.0,621000000.0,485600000.0,6200000.0,,,113200000.0,,,553200000.0,68000000.0,-2500000.0,-444100000.0,-15300000.0,-21800000.0,,,1287500000.0,,,434900000.0,,,,,5000000.0,,1785700000.0,-444100000.0,,-219500000.0,-10400000.0,0.78,,,,,6200000.0,24500000.0,42400000.0,,724100000.0,70800000.0,,,,,-211700000.0,,1287500000.0,,,-110100000.0,,22600000.0,,-44100000.0,,,,,,,,,,,,,,,,,,
954460800,,195000000.0,,,,,,,-29900000.0,1365600000.0,0.21,67800000.0,,,,,,-35300000.0,70000000.0,,-39000000.0,,,,34100000.0,-1100000.0,153900000.0,,6800000.0,,,88000000.0,,,,119800000.0,,495700000.0,,,,,-1600000.0,1013500000.0,,,797900000.0,,,727300000.0,322400000.0,,,1841700000.0,,,,,,,,,,219900000.0,,,,,,,,476100000.0,,-332400000.0,,,,,146800000.0,476100000.0,,,-300000.0,,,348900000.0,,-6500000.0,,67800000.0,67800000.0,,,,70000000.0,,,70000000.0,,,,229100000.0,,113600000.0,,174100000.0,,45800000.0,275700000.0,,,1700000.0,,,,,38900000.0,325000000.0,,1100000.0,,,16000000.0,,,-2700000.0,,,,,0.21,563700000.0,99200000.0,-106800000.0,-451600000.0,-11200000.0,,,,1326700000.0,,,,,,,,,,1811400000.0,,,-224000000.0,-3500000.0,,,,,,900000.0,,-43200000.0,,,113200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
