,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,trailingNetIncome,annualGoodwill,quarterlyCostOfRevenue,annualTotalAssets,trailingPretaxIncome,quarterlyTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualRetainedEarnings,trailingChangeInWorkingCapital,annualNetIncome,quarterlyLongTermDebt,annualGainsLossesNotAffectingRetainedEarnings,annualDilutedEPS,annualPurchaseOfInvestment,trailingOperatingIncome,annualCostOfRevenue,annualOtherCurrentAssets,trailingInvestingCashFlow,annualAccountsPayable,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualOperatingIncome,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualCashDividendsPaid,annualBasicAverageShares,annualCurrentDebt,annualEndCashPosition,annualFreeCashFlow,annualPretaxIncome,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,trailingEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTaxProvision,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,quarterlyCurrentDebt,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualStockholdersEquity,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualInvestmentsAndAdvances,annualSaleOfInvestment,quarterlyNetIncomeCommonStockholders,annualTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyGrossProfit,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,trailingChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsReceivable,trailingOperatingCashFlow,annualChangeInAccountPayable,quarterlyOperatingExpense,annualOtherShortTermInvestments,annualCommonStockIssuance,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,quarterlyCashDividendsPaid,annualRepurchaseOfCapitalStock,annualOtherIntangibleAssets,quarterlyBasicEPS,annualCurrentLiabilities,annualCurrentAssets,annualEbitda,trailingNetOtherInvestingChanges,annualOtherNonCurrentAssets,annualNetPPE,trailingNetIncomeCommonStockholders,quarterlyBasicAverageShares,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualOtherNonCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,trailingGrossProfit,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingDeferredIncomeTax,quarterlySaleOfInvestment,trailingOtherIncomeExpense,annualBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,trailingInterestExpense,annualSellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,trailingCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,annualTotalNonCurrentAssets,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualGrossPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,quarterlyCapitalExpenditure,quarterlyTotalRevenue,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,quarterlyDilutedEPS,trailingChangeInInventory,trailingNetOtherFinancingCharges,annualNetOtherFinancingCharges,annualChangeInInventory,trailingStockBasedCompensation,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,annualStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,trailingOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualCapitalExpenditure,annualBasicEPS,annualNetIncomeContinuousOperations,annualOperatingExpense,annualTotalRevenue,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,annualCapitalStock,quarterlyOperatingCashFlow,annualDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyCurrentLiabilities,annualInterestExpense,quarterlyGrossPPE,trailingCostOfRevenue,trailingBeginningCashPosition,trailingFreeCashFlow,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,trailingChangesInAccountReceivables,annualInventory,quarterlyTaxProvision,quarterlyDeferredIncomeTax,quarterlyNetPPE,quarterlyPretaxIncome,annualAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,trailingOperatingExpense,annualGrossProfit,trailingNetIncomeContinuousOperations,quarterlyStockBasedCompensation,quarterlyOtherCurrentLiabilities,annualChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingSaleOfInvestment,trailingBasicEPS,trailingPurchaseOfInvestment,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488937600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,17984000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,0.0025,,,,,,,,1800000.0,,,,17984000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,,,,,,
496886400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,17984000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,0.0025,,,,,,,,1800000.0,,,,17984000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,,,,,,
504835200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,17984000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,0.0025,,,,,,,,1800000.0,,,,17984000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,,,,,,
512611200,,,,,2200000.0,,,,,3800000.0,,3800000.0,2500000.0,300000.0,,200000.0,2000000.0,,0.0125,,,6500000.0,300000.0,,,,,600000.0,2000000.0,0.0,0.0,,16000000.0,100000.0,0.0,0.0,300000.0,,,,2200000.0,,0.0,,100000.0,,600000.0,,,1300000.0,,,,,,100000.0,,,,,100000.0,,,,,300000.0,2500000.0,,200000.0,,0.0,2200000.0,,,,,,,600000.0,16000000.0,,,,,300000.0,1600000.0,800000.0,,300000.0,1900000.0,,,1300000.0,200000.0,200000.0,0.0,,,,,,,600000.0,,,,,0.0,,,,,300000.0,,,,2200000.0,100000.0,,,2300000.0,600000.0,,,,1900000.0,,,,,,,,,,,-4800000.0,,200000.0,,,,,,-400000.0,,,0.0125,200000.0,200000.0,7300000.0,,,,,,,300000.0,300000.0,2300000.0,,,,,,,1600000.0,,100000.0,,,1900000.0,,-400000.0,300000.0,,-4800000.0,,800000.0,,,200000.0,,,,,,,,,,,,,,,
520473600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,26976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000.0,,,0.0025,,,,,,,,2300000.0,,,,26976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000.0,,,,,,,,,,,,,,,,,,,,
528422400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,26976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000.0,,,0.0025,,,,,,,,2300000.0,,,,26976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000.0,,,,,,,,,,,,,,,,,,,,
536371200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,26976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000.0,,,0.0025,,,,,,,,2300000.0,,,,26976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000.0,,,,,,,,,,,,,,,,,,,,
544147200,,,,,3000000.0,,,,,6800000.0,,6800000.0,3000000.0,500000.0,,200000.0,1400000.0,,0.0075,,,8600000.0,100000.0,,,,,300000.0,1400000.0,100000.0,0.0,,26666667.0,300000.0,0.0,0.0,300000.0,,,,1600000.0,,0.0,,300000.0,,2200000.0,,,3800000.0,,,,,,100000.0,,,,,400000.0,,,,,0.0,3000000.0,,200000.0,,0.0,1600000.0,,,,,,,2200000.0,26666667.0,,,600000.0,,1400000.0,3800000.0,600000.0,,0.0,2400000.0,,,3800000.0,200000.0,1100000.0,0.0,,,,,,,2200000.0,,,,,0.0,,600000.0,,,100000.0,,,,3000000.0,200000.0,,,3000000.0,2200000.0,,,,2300000.0,,,,,,,,,,,-6600000.0,,200000.0,,,,,,-600000.0,,,0.0075,200000.0,300000.0,9200000.0,,,,,,,1400000.0,300000.0,3000000.0,,,,,,,3800000.0,,400000.0,,,2400000.0,,-600000.0,500000.0,,-6600000.0,,600000.0,,,1100000.0,,,,,,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,,,,,26976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000.0,,,0.0125,,,,,,,,7000000.0,,,,26976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000.0,,,,,,,,,,,,,,,,,,,,
