date,annualEndCashPosition,annualTaxProvision,annualCurrentDebt,trailingTaxProvision,annualTotalRevenue,annualOtherCurrentAssets,annualAccountsPayable,annualCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,trailingOperatingIncome,trailingEndCashPosition,annualNetOtherFinancingCharges,annualOtherShortTermInvestments,quarterlyTotalLiabilitiesNetMinorityInterest,annualDilutedEPS,annualRepurchaseOfCapitalStock,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,quarterlyDilutedEPS,annualOperatingExpense,annualOtherNonCurrentAssets,trailingNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,trailingNetOtherInvestingChanges,annualNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,trailingOperatingExpense,trailingCostOfRevenue,annualDilutedAverageShares,trailingNetIncome,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingInterestExpense,trailingBeginningCashPosition,trailingPretaxIncome,quarterlyTotalAssets,trailingPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,trailingCapitalExpenditure,annualPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,annualBasicAverageShares,trailingInvestingCashFlow,annualGrossPPE,annualOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,annualInterestExpense,annualPretaxIncome,trailingRepaymentOfDebt,quarterlyAccountsPayable,annualRepaymentOfDebt,quarterlyCapitalStock,trailingGrossProfit,annualCapitalExpenditure,annualInvestingCashFlow,annualOperatingIncome,annualOtherCurrentLiabilities,trailingTotalRevenue,quarterlyBasicEPS,quarterlyAccumulatedDepreciation,annualInventory,quarterlyNetPPE,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingCashFlow,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualCurrentLiabilities,quarterlyCurrentDebt,annualCapitalStock,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,annualPurchaseOfBusiness,annualGrossProfit,annualNetPPE,annualEbitda,annualChangeInInventory,annualCashCashEquivalentsAndMarketableSecurities,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualBeginningCashPosition,annualAccountsReceivable,annualCurrentAssets,quarterlyLongTermDebt,annualBasicEPS,annualNetIncomeCommonStockholders,quarterlyAccountsReceivable,annualSaleOfInvestment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherNonCashItems,trailingNetIncomeCommonStockholders,annualDepreciationAndAmortization,annualStockholdersEquity,annualTotalAssets,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,annualStockBasedCompensation,quarterlyFreeCashFlow,annualGoodwill,annualRetainedEarnings,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,trailingNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,trailingSaleOfInvestment,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyRetainedEarnings,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
2010-12-31,1023000000.0,1324000000.0,9322000000.0,2228000000.0,8871000000.0,59000000.0,5199000000.0,2261000000.0,32456000000.0,0.0,-1832000000.0,8666000000.0,11808000000.0,882000000.0,,,4.58,,47356000000.0,-1007000000.0,,121000000.0,83000000.0,16505000000.0,1733000000.0,-452000000.0,26094000000.0,,-1101000000.0,-1149000000.0,1042000000.0,1898000000.0,4356000000.0,5690000000.0,16434000000.0,6201000000.0,,,,756000000.0,2612000000.0,18733000000.0,,-3028000000.0,,-15000000.0,-117000000.0,-1824000000.0,9196000000.0,5690000000.0,11302000000.0,7340000000.0,0.0,,1264000000.0,27418000000.0,-5962000000.0,,-349000000.0,,10564000000.0,-4744000000.0,-5273000000.0,6489000000.0,0.0,14920000000.0,,,,,,,,6318000000.0,,2912000000.0,14900000000.0,,5690000000.0,193000000.0,,,-473000000.0,6610000000.0,6333000000.0,28934000000.0,,1042000000.0,3900000000.0,-4914000000.0,-9000000.0,28556000000.0,26045000000.0,,,1066000000.0,1168000000.0,7929000000.0,,4.58,26045000000.0,,2566000000.0,,,911000000.0,197783000000.0,-1000000.0,16434000000.0,252000000.0,157877000000.0,205712000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1179000000.0,1296000000.0,8630000000.0,,9581000000.0,69000000.0,8088000000.0,2334000000.0,24496000000.0,4500000000.0,430000000.0,,,-10863000000.0,,41659000000.0,4.4,,41659000000.0,-1303000000.0,,1242000000.0,108000000.0,,,,25179000000.0,,930000000.0,-2487000000.0,1180000000.0,,,5704027397.0,,,7918000000.0,10184000000.0,17163000000.0,,,,218234000000.0,,0.0,182000000.0,,0.0,,5704027397.0,,7918000000.0,0.0,208050000000.0,1504000000.0,26475000000.0,,8088000000.0,-628000000.0,5850000000.0,,-5270000000.0,11718000000.0,6005000000.0,0.0,,,-1303000000.0,,6615000000.0,,4246000000.0,1180000000.0,,1180000000.0,5700000000.0,17163000000.0,8630000000.0,5850000000.0,10000000.0,10000000.0,108000000.0,0.0,7247000000.0,6615000000.0,28271000000.0,,1180000000.0,4246000000.0,,-12451000000.0,20250000000.0,25126000000.0,69000000.0,0.0,1023000000.0,1945000000.0,10184000000.0,20250000000.0,4.4,25126000000.0,1945000000.0,18305000000.0,24496000000.0,176043000000.0,1029000000.0,208050000000.0,62000000.0,,292000000.0,176043000000.0,218234000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,,,,,,,,,,,,,,,47164000000.0,,,,,0.0,,,,,,,,,,,,,,,,,14703000000.0,19851000000.0,,,,232358000000.0,,1069000000.0,,,,,,,,,217655000000.0,,,,6778000000.0,,5850000000.0,,,,,,,0.0,,,6668000000.0,,4548000000.0,4661000000.0,,4661000000.0,,,11383000000.0,,,10000000.0,123000000.0,,,,,,,,,,,,65000000.0,10627000000.0,,,,12138000000.0,,,2589000000.0,,27313000000.0,184640000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1936000000.0,1863000000.0,4664000000.0,,14052000000.0,0.0,1064000000.0,3770000000.0,31275000000.0,0.0,5352000000.0,,,-6173000000.0,,43804000000.0,3.21,,43804000000.0,-1509000000.0,,1075000000.0,188000000.0,,,,19099000000.0,,-1447000000.0,-115000000.0,1940000000.0,,,5850000000.0,,,8346000000.0,11938000000.0,12529000000.0,,,,237060000000.0,,1953000000.0,758000000.0,,-2516000000.0,,5850000000.0,,8346000000.0,0.0,225122000000.0,1173000000.0,20962000000.0,,1064000000.0,-6854000000.0,0.0,,-493000000.0,-4371000000.0,9207000000.0,1953000000.0,,,-1509000000.0,7017000000.0,6837000000.0,7017000000.0,4995000000.0,1940000000.0,,1940000000.0,5845000000.0,12529000000.0,4664000000.0,0.0,8000000.0,8000000.0,188000000.0,-5000000.0,10282000000.0,6837000000.0,22360000000.0,76000000.0,1940000000.0,4995000000.0,,-2340000000.0,26197000000.0,18763000000.0,0.0,0.0,1179000000.0,278000000.0,11938000000.0,26197000000.0,3.21,18763000000.0,278000000.0,0.0,31275000000.0,192614000000.0,873000000.0,225122000000.0,103000000.0,,225000000.0,192614000000.0,237060000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,,,,,,,,,,,,,,,47036000000.0,,,,,0.0,,,,,,,,,,,,,,,,8764000000.0,13825000000.0,13950000000.0,,,,245291000000.0,,2065000000.0,,,,,,,,,231466000000.0,,,,933000000.0,,0.0,,,,,,,0.0,-1625000000.0,,7139000000.0,7729000000.0,5328000000.0,3627000000.0,,3627000000.0,,,5285000000.0,,,67000000.0,193000000.0,,,,,,,,,,,,0.0,0.0,,,,27318000000.0,,,180000000.0,,33086000000.0,197542000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,2521000000.0,1344000000.0,7589000000.0,,12935000000.0,0.0,1003000000.0,3531000000.0,33000000000.0,,5952000000.0,,,15000000.0,,48807000000.0,2.14,,48807000000.0,-1736000000.0,,1137000000.0,706000000.0,,,,12655000000.0,,185000000.0,-56000000.0,2521000000.0,,,5850000000.0,,,8961000000.0,13192000000.0,15807000000.0,,,,251957000000.0,,2116000000.0,573000000.0,,-1000000.0,,5850000000.0,,8961000000.0,0.0,238765000000.0,1248000000.0,13999000000.0,,1003000000.0,-4132000000.0,0.0,,-429000000.0,-5804000000.0,8267000000.0,2116000000.0,,,-1736000000.0,8096000000.0,7225000000.0,8096000000.0,5604000000.0,2521000000.0,,2521000000.0,6381000000.0,15807000000.0,7589000000.0,0.0,75000000.0,75000000.0,706000000.0,-1000000.0,9404000000.0,7225000000.0,15544000000.0,-1322000000.0,2521000000.0,5604000000.0,,-3393000000.0,26946000000.0,12525000000.0,0.0,0.0,1936000000.0,612000000.0,13192000000.0,26946000000.0,2.14,12525000000.0,612000000.0,,33000000000.0,202350000000.0,974000000.0,238765000000.0,141000000.0,,297000000.0,202350000000.0,251957000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,,,,,,,,,,,,,,51690000000.0,,,,,0.0,,,,,,,250000000.0,,,,,,,,,9506000000.0,14109000000.0,14506000000.0,,,,258480000000.0,,2171000000.0,,,,,,,,,244371000000.0,,,,1123000000.0,,0.0,,,,,,,0.0,-1857000000.0,,7649000000.0,7625000000.0,5938000000.0,3381000000.0,,3131000000.0,,,6554000000.0,,,77000000.0,736000000.0,,,,,,,,,,,,0.0,0.0,,,,30727000000.0,,,963000000.0,,37184000000.0,205997000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,2874000000.0,1646000000.0,4201000000.0,,15387000000.0,0.0,1337000000.0,5176000000.0,39414000000.0,,8643000000.0,,,600000000.0,,51808000000.0,1.63,-1256000000.0,51808000000.0,-1947000000.0,,1225000000.0,920000000.0,,,,9723000000.0,,1403000000.0,-65000000.0,2874000000.0,,,5850000000.0,,,9650000000.0,13759000000.0,12394000000.0,,,,260355000000.0,,2295000000.0,384000000.0,,-23000000.0,,5850000000.0,,9650000000.0,0.0,246596000000.0,1143000000.0,11369000000.0,,1337000000.0,-8674000000.0,0.0,,-630000000.0,-6392000000.0,8986000000.0,2295000000.0,,,-1947000000.0,8056000000.0,7703000000.0,8056000000.0,6105000000.0,2874000000.0,,2874000000.0,9273000000.0,12394000000.0,4201000000.0,0.0,82000000.0,82000000.0,920000000.0,0.0,10211000000.0,7703000000.0,12783000000.0,273000000.0,2874000000.0,6105000000.0,,-3627000000.0,32744000000.0,9516000000.0,0.0,0.0,2521000000.0,275000000.0,13759000000.0,32744000000.0,1.63,9516000000.0,275000000.0,7000000.0,39414000000.0,207691000000.0,1010000000.0,246596000000.0,64000000.0,,271000000.0,207691000000.0,260355000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,,,,,,,,,,52561000000.0,,,,,0.0,,,,,,,50000000.0,,,,,,,,,10039000000.0,13934000000.0,14150000000.0,,,,267669000000.0,,2295000000.0,,,,,,,,,253735000000.0,,,,1054000000.0,,0.0,,,,,,,0.0,-2074000000.0,,7965000000.0,7288000000.0,6476000000.0,3032000000.0,,2982000000.0,,,5546000000.0,,,121000000.0,902000000.0,,,,,,,,,,,,50000000.0,0.0,,,,31259000000.0,,,962000000.0,,38411000000.0,213533000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,4358000000.0,2057000000.0,7260000000.0,,16447000000.0,28000000.0,1210000000.0,5781000000.0,38031000000.0,,7594000000.0,,,767000000.0,28000000.0,54775000000.0,2.41,,54775000000.0,-1884000000.0,,1359000000.0,942000000.0,,,,14196000000.0,28000000.0,1039000000.0,-70000000.0,4358000000.0,,,5850000000.0,,,9936000000.0,14941000000.0,16744000000.0,,,,272724000000.0,,2389000000.0,1566000000.0,,-32000000.0,,5850000000.0,,9936000000.0,0.0,257783000000.0,1125000000.0,16253000000.0,,1210000000.0,-4445000000.0,0.0,,-576000000.0,-4425000000.0,9307000000.0,2389000000.0,,,-1884000000.0,7687000000.0,8052000000.0,7687000000.0,6787000000.0,4386000000.0,,4358000000.0,8170000000.0,16744000000.0,7260000000.0,0.0,127000000.0,127000000.0,942000000.0,,10666000000.0,8052000000.0,17656000000.0,476000000.0,4386000000.0,6787000000.0,,-3920000000.0,30474000000.0,14072000000.0,28000000.0,0.0,2874000000.0,293000000.0,14941000000.0,30474000000.0,2.41,14072000000.0,293000000.0,98000000.0,38031000000.0,216247000000.0,1166000000.0,257783000000.0,-8000000.0,,278000000.0,216247000000.0,272724000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
