date,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,annualStockholdersEquity,quarterlyCapitalExpenditure,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,trailingSaleOfInvestment,annualDepreciationAndAmortization,annualInvestingCashFlow,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,annualPurchaseOfInvestment,annualAccountsReceivable,annualPurchaseOfBusiness,quarterlyInventory,quarterlyChangeInCashSupplementalAsReported,annualInventory,trailingCashDividendsPaid,trailingPretaxIncome,annualChangeInInventory,annualCurrentLiabilities,annualNetPPE,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingNetIncome,annualGrossProfit,quarterlyCommonStockIssuance,quarterlyTaxProvision,annualOperatingCashFlow,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,annualChangeInWorkingCapital,annualRepaymentOfDebt,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,trailingGrossProfit,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,annualChangeInCashSupplementalAsReported,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,annualTotalRevenue,annualCapitalStock,annualOtherNonCurrentLiabilities,trailingResearchAndDevelopment,quarterlyFreeCashFlow,trailingPurchaseOfInvestment,annualPretaxIncome,annualEndCashPosition,trailingTotalRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlySaleOfInvestment,trailingInterestExpense,trailingEndCashPosition,quarterlyPurchaseOfInvestment,annualOperatingIncome,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyAccountsPayable,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingSellingGeneralAndAdministration,annualNetOtherFinancingCharges,trailingNetOtherFinancingCharges,annualOperatingExpense,quarterlyEndCashPosition,annualDilutedAverageShares,annualCapitalExpenditure,annualCashAndCashEquivalents,quarterlyGrossProfit,annualNetIncomeContinuousOperations,annualBeginningCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,annualInterestExpense,trailingCostOfRevenue,trailingBeginningCashPosition,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,annualBasicAverageShares,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyDilutedEPS,trailingOperatingExpense,annualOtherNonCurrentAssets,quarterlyCurrentAssets,annualNetIncomeCommonStockholders,quarterlyEbitda,annualDilutedEPS,annualResearchAndDevelopment,quarterlyRetainedEarnings,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualEbitda,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherShortTermInvestments,annualOtherIntangibleAssets,quarterlyDilutedAverageShares,annualTotalLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyOperatingExpense,annualCommonStockIssuance,annualRetainedEarnings,annualFreeCashFlow,annualCostOfRevenue,trailingNetIncomeCommonStockholders,annualNetIncome,quarterlyLongTermDebt,annualCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,annualCurrentDebt,annualTotalAssets,trailingTaxProvision,annualTaxProvision,quarterlyNetOtherInvestingChanges,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualBasicEPS,annualOtherCurrentAssets,quarterlyOtherCurrentAssets,annualOtherNonCashItems,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualCurrentAccruedExpenses,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,trailingDeferredIncomeTax,annualAccumulatedDepreciation,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,trailingOperatingCashFlow,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,trailingBasicEPS,trailingChangeInWorkingCapital,quarterlyStockBasedCompensation,annualOtherIncomeExpense,trailingCommonStockIssuance,annualGoodwill,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingChangeInInventory,annualIncomeTaxPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,annualCurrentDeferredRevenue,trailingChangeInAccountPayable,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,trailingChangesInAccountReceivables,trailingBasicAverageShares,quarterlyGoodwill,quarterlyIncomeTaxPayable,trailingPurchaseOfBusiness,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,trailingDepreciationAndAmortization,annualStockBasedCompensation
1970-01-01 00:00:01.104451200,,,,,26499000000.0,,425000000.0,534000000.0,43245000000.0,5466000000.0,-17747000000.0,,,,,-1941000000.0,2719000000.0,,,,2691000000.0,-21322000000.0,69170000000.0,283000000.0,24447000000.0,80105000000.0,,,,45677000000.0,19058000000.0,,,21397000000.0,,-2680000000.0,,,3799000000.0,-20803000000.0,7338000000.0,5616000000.0,103221000000.0,-58000000.0,,2977000000.0,,,39267000000.0,15000000000.0,650000000.0,478000000.0,,-64723000000.0,11823000000.0,7138000000.0,247866000000.0,,73139000000.0,,,3633000000.0,86125000000.0,,14296000000.0,-18561000000.0,80105000000.0,4411000000.0,-42946000000.0,,-19394000000.0,,,-33440000000.0,,,,19800000000.0,473000000.0,1264000000.0,4762000000.0,,14994296578.0,-16761000000.0,7193000000.0,,9344000000.0,4161000000.0,,2437000000.0,144645000000.0,104703000000.0,47737000000.0,,14994296578.0,,57789000000.0,,,30082000000.0,0.0,,7887000000.0,,0.526,,,54719000000.0,16037000000.0,19726000000.0,,,145000000.0,11451000000.0,,72184000000.0,,,,,473000000.0,7693000000.0,4636000000.0,20209000000.0,45677000000.0,7887000000.0,,-2711000000.0,,,46332000000.0,,,8241000000.0,112265000000.0,14451000000.0,2479000000.0,,96228000000.0,3934000000.0,0.526,0.0,,2639000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.135987200,,,,,57553000000.0,,611000000.0,443000000.0,,5946000000.0,-17267000000.0,,,,,-1090000000.0,2508000000.0,,,,3572000000.0,,,-854000000.0,22836000000.0,92944000000.0,,,,,29108000000.0,,,26806000000.0,,,,,1708000000.0,-46701000000.0,19891000000.0,3764000000.0,,205000000.0,,12687000000.0,,,52242000000.0,18090000000.0,852000000.0,,,,21002000000.0,19825000000.0,,,,,,,,,22793000000.0,,92944000000.0,6601000000.0,,,,,,,,,,,24732000000.0,,6315000000.0,,16685584563.0,-17007000000.0,19891000000.0,,17049000000.0,7138000000.0,,2577000000.0,,,44487000000.0,,16685584563.0,,,,,,0.0,,14700000000.0,,0.881,,,,27419000000.0,29525000000.0,,,,14226000000.0,,67323000000.0,,,,,24732000000.0,12206000000.0,9799000000.0,23134000000.0,,14700000000.0,,-10577000000.0,,,39933000000.0,,,5751000000.0,140448000000.0,,3953000000.0,,113029000000.0,5097000000.0,0.881,100000000.0,,1960000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.167523200,,,0.0,9255000000.0,65917000000.0,,729000000.0,1179000000.0,,7377000000.0,-25435000000.0,,,,,-2256000000.0,4311000000.0,,4761000000.0,,4761000000.0,,,-1221000000.0,33233000000.0,112740000000.0,112740000000.0,,,,34103000000.0,,,25686000000.0,,,5675000000.0,,-3015000000.0,-25184000000.0,15509000000.0,5675000000.0,,-912000000.0,133131000000.0,-4362000000.0,14974000000.0,163320000000.0,64240000000.0,18090000000.0,942000000.0,,,,24384000000.0,15501000000.0,,15509000000.0,,,,,,,26395000000.0,,112740000000.0,9133000000.0,,15509000000.0,,9133000000.0,18090000000.0,,,,,,1253000000.0,,7708000000.0,,18081408141.0,-23935000000.0,15509000000.0,,19153000000.0,19825000000.0,79114000000.0,2585000000.0,,,45881000000.0,,18081408141.0,33233000000.0,,112740000000.0,,,0.0,30189000000.0,16436000000.0,,0.909,,19798000000.0,,30189000000.0,34346000000.0,65917000000.0,45881000000.0,,14974000000.0,,79114000000.0,4311000000.0,,,,1253000000.0,19798000000.0,1751000000.0,30137000000.0,,16436000000.0,40840000000.0,-10213000000.0,,729000000.0,40840000000.0,942000000.0,,9255000000.0,163320000000.0,,5231000000.0,,133131000000.0,6203000000.0,0.909,2050000000.0,2050000000.0,2365000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.175299200,0.0,745000000.0,,,,-6802000000.0,,,,,,18089843750.0,5496000000.0,4631000000.0,0.256,,,,,3647000000.0,,,,,,,,,6962000000.0,,,,1466000000.0,,,,,,,,,,,,,,,,,,,,778000000.0,,,,,,,4631000000.0,51000000.0,,,-121000000.0,,,,,,,,,,,15758000000.0,7584000000.0,18489000000.0,,,,,19405000000.0,,,,9476000000.0,,,,,,,,-6811000000.0,,,,,0.256,,,,,7707000000.0,,,,,,,,,,,18089843750.0,,,-788000000.0,9013000000.0,1892000000.0,,,,,,,,,1470000000.0,,,,-12403000000.0,,,,,61000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.183161600,337000000.0,851000000.0,310000000.0,10613000000.0,,-4187000000.0,,,,,,,6233000000.0,5175000000.0,,,,,5989000000.0,-3865000000.0,,,,,,,118785000000.0,,7752000000.0,,,,1519000000.0,,,,5009000000.0,,,,,,,,141384000000.0,,16929000000.0,171928000000.0,,,,,2017000000.0,,,,,15381000000.0,,5175000000.0,2294000000.0,,,-1258000000.0,,,,,,15381000000.0,,8619000000.0,18090000000.0,,19405000000.0,8615000000.0,19842000000.0,,,,,15283000000.0,,,,10457000000.0,,,84403000000.0,,,,,-3131000000.0,,34167000000.0,,118785000000.0,,,,30544000000.0,,8603000000.0,,,22544000000.0,,,,69476000000.0,50236000000.0,,,,,5497000000.0,-7018000000.0,9385000000.0,1842000000.0,,,,,,,44115000000.0,,1408000000.0,615000000.0,,1002000000.0,-4563000000.0,,,,,-17000000.0,,,,,236000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.191110400,67636000000.0,816000000.0,,,,-9021000000.0,,,,,,18096428571.0,5862000000.0,5067000000.0,0.28,,,,,73542000000.0,,,,,,,,,7702000000.0,,,0.0,1840000000.0,,,,,,,,,,,,,,,,,,,,3088000000.0,,,,,,,5067000000.0,100000000.0,,,-618000000.0,,,,,,,,,,,15283000000.0,8462000000.0,21226000000.0,,,,,89082000000.0,,,,10604000000.0,,,,,,,,-12722000000.0,,,,,0.28,,,,,8518000000.0,,,,,,,,,,,18096428571.0,,,-553000000.0,10622000000.0,2142000000.0,,,,,,,,,1663000000.0,,,,-8341000000.0,,,,,104000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.199059200,-1132000000.0,1392000000.0,937000000.0,6356000000.0,128250000000.0,-8063000000.0,659000000.0,2649000000.0,,8882000000.0,-30742000000.0,,5479000000.0,4845000000.0,,-2724000000.0,5886000000.0,-3328000000.0,6337000000.0,-35678000000.0,6337000000.0,,,-1644000000.0,33371000000.0,138728000000.0,138728000000.0,0.0,7132000000.0,,41391000000.0,317000000.0,1653000000.0,29935000000.0,37000000.0,,6166000000.0,,-4745000000.0,-49603000000.0,53473000000.0,6166000000.0,,81000000.0,166694000000.0,37646000000.0,21310000000.0,238821000000.0,82107000000.0,19890000000.0,1018000000.0,,-4021000000.0,,29629000000.0,53404000000.0,,53473000000.0,,4845000000.0,204000000.0,,,-727000000.0,32413000000.0,,138728000000.0,9074000000.0,,53436000000.0,,9074000000.0,19890000000.0,,89082000000.0,7626000000.0,22024000000.0,,66841000000.0,,8978000000.0,53404000000.0,18542213884.0,-28073000000.0,53436000000.0,10564000000.0,23148000000.0,15758000000.0,90005000000.0,3417000000.0,,,56634000000.0,-8078000000.0,18542213884.0,33371000000.0,,138728000000.0,,,937000000.0,72127000000.0,19766000000.0,8524000000.0,1.066,,14396000000.0,,72127000000.0,41928000000.0,128250000000.0,56634000000.0,37000000.0,21310000000.0,,90005000000.0,5886000000.0,-18090000000.0,11460000000.0,2938000000.0,654000000.0,14396000000.0,1862000000.0,40716000000.0,,19766000000.0,49718000000.0,-26449000000.0,2459000000.0,659000000.0,49718000000.0,1018000000.0,-24296000000.0,6356000000.0,238821000000.0,,6481000000.0,-67000000.0,166694000000.0,7146000000.0,1.066,424000000.0,424000000.0,2801000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.206921600,50000000.0,1166000000.0,680000000.0,8066000000.0,,-5511000000.0,,,,,,19917177914.0,7335000000.0,6493000000.0,0.326,,,,7279000000.0,6592000000.0,,,,,,,142127000000.0,-50000000.0,8827000000.0,,,50000000.0,1492000000.0,,156000000.0,,5000000000.0,,,,,,,,170043000000.0,,21403000000.0,250490000000.0,,,,,4080000000.0,,,,,60162000000.0,,6493000000.0,12000000.0,,,-71000000.0,,,,,,60006000000.0,,8352000000.0,19890000000.0,,53404000000.0,9912000000.0,23788000000.0,,,,,59996000000.0,,,,12106000000.0,,,100081000000.0,,,,,-5328000000.0,,40451000000.0,,142127000000.0,0.326,,,80447000000.0,,9993000000.0,,,15144000000.0,,,,129127000000.0,59630000000.0,,,19917177914.0,,6383000000.0,-878000000.0,11682000000.0,2194000000.0,,,,,,,52268000000.0,,1701000000.0,618000000.0,,1027000000.0,-7059000000.0,,,,,263000000.0,,,,,495000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.214784000,165000000.0,636000000.0,3508000000.0,11155000000.0,,-8731000000.0,,,,,,,8690000000.0,7653000000.0,,,,,7408000000.0,-2872000000.0,,,,,,,148333000000.0,-317000000.0,10702000000.0,,,1063000000.0,2012000000.0,,87000000.0,,5724000000.0,,,,,,,,179094000000.0,,21399000000.0,253724000000.0,,,,,4146000000.0,,,,,57342000000.0,,7653000000.0,213000000.0,,,-173000000.0,,,,,,57255000000.0,,8933000000.0,19890000000.0,,59996000000.0,11150000000.0,25494000000.0,,,,,57124000000.0,,,,13346000000.0,,,97405000000.0,,,,,-9014000000.0,,37160000000.0,,148333000000.0,,,,74630000000.0,,11338000000.0,,,19217000000.0,,,,133143000000.0,60245000000.0,,,,,6464000000.0,-10557000000.0,12148000000.0,2196000000.0,,,,,,,52578000000.0,,1648000000.0,731000000.0,,1040000000.0,-4664000000.0,,,,,-15000000.0,,,,,200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.222732800,-555000000.0,765000000.0,3976000000.0,12293000000.0,,-8212000000.0,,,,,,19877551020.0,8854000000.0,7792000000.0,0.392,,,,7895000000.0,3533000000.0,,,,,,,155906000000.0,0.0,10587000000.0,,,0.0,1733000000.0,,100000000.0,,4633000000.0,,,,,,,,187308000000.0,,21568000000.0,266664000000.0,,,,,2242000000.0,,,,,60956000000.0,,7792000000.0,424000000.0,,,0.0,,,,,,60856000000.0,,8759000000.0,19890000000.0,,57124000000.0,11323000000.0,28229000000.0,,,,,60657000000.0,,,,14489000000.0,,,101128000000.0,,,,,-7629000000.0,,39578000000.0,,155906000000.0,0.392,,,79356000000.0,,11352000000.0,,,27009000000.0,,,,140935000000.0,61550000000.0,,,19877551020.0,,7199000000.0,-563000000.0,13740000000.0,3166000000.0,,,,,,,54383000000.0,,2531000000.0,713000000.0,,1212000000.0,-7743000000.0,,,,,161000000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
