,trailingCashDividendsPaid,trailingPretaxIncome,trailingPurchaseOfInvestment,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,annualAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualRetainedEarnings,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualNetOtherInvestingChanges,annualInvestingCashFlow,quarterlyGoodwill,trailingNetIncome,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualOtherNonCashItems,quarterlyCurrentDebt,annualAccountsPayable,trailingInvestingCashFlow,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,trailingOperatingIncome,annualPretaxIncome,annualEndCashPosition,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalRevenue,quarterlyCashAndCashEquivalents,annualBasicAverageShares,trailingNetOtherFinancingCharges,annualOperatingIncome,quarterlyNetPPE,trailingTotalRevenue,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,trailingChangeInWorkingCapital,trailingPurchaseOfBusiness,annualAccumulatedDepreciation,quarterlyRetainedEarnings,trailingNetIncomeContinuousOperations,annualRepaymentOfDebt,annualChangeInWorkingCapital,annualCapitalStock,annualInterestExpense,annualGoodwill,annualNetOtherFinancingCharges,trailingInterestExpense,trailingBeginningCashPosition,quarterlyOtherCurrentAssets,annualBeginningCashPosition,annualChangeInCashSupplementalAsReported,annualCurrentAssets,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,trailingRepaymentOfDebt,quarterlyAccountsPayable,annualSellingGeneralAndAdministration,trailingSellingGeneralAndAdministration,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualNetIncomeContinuousOperations,annualGrossPPE,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,trailingEndCashPosition,annualInvestmentsAndAdvances,annualTaxProvision,trailingTaxProvision,trailingOperatingCashFlow,annualOperatingCashFlow,annualOtherCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualStockholdersEquity,annualRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,trailingNetIncomeCommonStockholders,annualOtherNonCurrentAssets,trailingNetOtherInvestingChanges,annualNetPPE,annualDilutedAverageShares,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,annualCommonStockIssuance,annualOtherIntangibleAssets,trailingRepurchaseOfCapitalStock,quarterlyAccountsReceivable,annualDilutedEPS,annualSaleOfInvestment,annualCurrentDeferredRevenue,quarterlyOperatingIncome,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,quarterlyBasicEPS,trailingResearchAndDevelopment,quarterlyCurrentAccruedExpenses,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,annualCostOfRevenue,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualGrossProfit,annualStockBasedCompensation,quarterlyNetIncomeContinuousOperations,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualDeferredIncomeTax,annualDepreciationAndAmortization,quarterlyChangeInInventory,annualInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,annualIncomeTaxPayable,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,trailingGrossProfit,trailingDilutedEPS,annualCashFlowFromContinuingFinancingActivities,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInInventory,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,trailingBasicEPS,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyInventory,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,trailingOperatingExpense,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingDepreciationAndAmortization,trailingChangeInInventory,quarterlyNetIncome,trailingCostOfRevenue,quarterlyGrossProfit,quarterlyPretaxIncome,trailingDeferredIncomeTax,quarterlyCostOfRevenue,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,annualOperatingExpense,quarterlyEndCashPosition,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,annualOtherShortTermInvestments,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,annualEbitda,quarterlyOperatingExpense
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259539200,,,,-25000000.0,688000000.0,1754000000.0,,,,11223000000.0,,-24000000.0,0.0,-98000000.0,,,90659000000.0,1087000000.0,,75700000000.0,,,-28000000.0,5008000000.0,,,,-1137000000.0,,,,2411000000.0,3405000000.0,,,0.15,,19016000000.0,,12000000000.0,,2432000000.0,,,,,,,,-465000000.0,,,-49000000.0,-3417000000.0,12044000000.0,5000000.0,129000000.0,401000000.0,,,,4164000000.0,-851000000.0,3405000000.0,,,-36000000.0,0.0,,,,,,165000000.0,,-288000000.0,87254000000.0,1757000000.0,791000000.0,,3379000000.0,,,68885000000.0,654000000.0,,,-1101000000.0,,,3405000000.0,3405000000.0,14908000000.0,,,,,1600000000.0,,326000000.0,12000000000.0,243000000.0,75457000000.0,1754000000.0,,104000000.0,,,0.15,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291075200,,,,0.0,597000000.0,2701000000.0,,3930000000.0,0.0,13924000000.0,597000000.0,-15000000.0,0.0,-149000000.0,126000000.0,,107865000000.0,1754000000.0,87943000000.0,88230000000.0,1773000000.0,,-15000000.0,4536000000.0,,,,-653000000.0,105241000000.0,107865000000.0,,3549000000.0,2595000000.0,-533000000.0,,0.22,2595000000.0,18394000000.0,2595000000.0,12044000000.0,,3558000000.0,318000000.0,,,287000000.0,2624000000.0,,,-533000000.0,13924000000.0,,-173000000.0,-3246000000.0,12044000000.0,5000000.0,126000000.0,0.0,,,0.0,3405000000.0,-890000000.0,2624000000.0,,,-19000000.0,0.0,851000000.0,12044000000.0,88230000000.0,,,144000000.0,,-236000000.0,105241000000.0,2710000000.0,851000000.0,,3930000000.0,126000000.0,,85105000000.0,839000000.0,,,-634000000.0,0.0,1754000000.0,2595000000.0,2595000000.0,19555000000.0,,85105000000.0,19555000000.0,,1773000000.0,,318000000.0,12044000000.0,287000000.0,87943000000.0,2701000000.0,,126000000.0,,,0.22,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306800000,,,,,,,,3435000000.0,0.0,,556000000.0,,,,,,,,94244000000.0,,2290000000.0,,,,,,,,112261000000.0,115782000000.0,,,,,,,3465000000.0,,3465000000.0,,,,442000000.0,,,308000000.0,3521000000.0,,,,15238000000.0,,,,,,,,,,0.0,,,,,,,,,12044000000.0,94552000000.0,,,,,,,,,,,265000000.0,,,,,,,,1803000000.0,,,,,94911000000.0,21141000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322611200,,,,-172000000.0,559000000.0,1600000000.0,,2567000000.0,0.0,15354000000.0,559000000.0,,0.0,-119000000.0,,,114461000000.0,1810000000.0,92756000000.0,93046000000.0,2544000000.0,,0.0,-283000000.0,,,,1980000000.0,110070000000.0,114461000000.0,,2168000000.0,4303000000.0,-567000000.0,,0.13,4303000000.0,14388000000.0,4303000000.0,12031000000.0,,2156000000.0,359000000.0,,,290000000.0,4391000000.0,,,-567000000.0,15354000000.0,,-39000000.0,,12044000000.0,12000000.0,,0.0,,,0.0,2595000000.0,1697000000.0,4391000000.0,,,-142000000.0,0.0,926000000.0,12044000000.0,93046000000.0,,,1478000000.0,,114000000.0,110070000000.0,1608000000.0,926000000.0,,2567000000.0,276000000.0,,92315000000.0,560000000.0,,,2122000000.0,0.0,1810000000.0,4303000000.0,4303000000.0,21313000000.0,-105000000.0,92315000000.0,21313000000.0,,2544000000.0,,359000000.0,12032000000.0,290000000.0,92756000000.0,1600000000.0,10000000.0,276000000.0,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338422400,,,,,,,,4517000000.0,0.0,,622000000.0,,,,,,,,96052000000.0,,2641000000.0,,,,,,,,116346000000.0,119494000000.0,,,,,,,3110000000.0,,3110000000.0,,,,391000000.0,,,319000000.0,3148000000.0,,,,16459000000.0,,,,,,,,,,0.0,,,,,,,,,12044000000.0,96371000000.0,,,,,,,,,,,297000000.0,,,,,,,,1866000000.0,,,,,92544000000.0,23012000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354233600,,,,-533000000.0,766000000.0,3019000000.0,468000000.0,2665000000.0,0.0,17843000000.0,766000000.0,,4000000.0,-460000000.0,126000000.0,,134439000000.0,2229000000.0,104885000000.0,107611000000.0,5000000.0,,,-7827000000.0,,182000000.0,,-876000000.0,129484000000.0,134439000000.0,,3714000000.0,2948000000.0,,,0.25,2948000000.0,20387000000.0,2948000000.0,11997000000.0,,3719000000.0,412000000.0,,,2726000000.0,4955000000.0,,,,17843000000.0,,-453000000.0,,12044000000.0,19000000.0,126000000.0,-84000000.0,,,0.0,4303000000.0,-1452000000.0,4955000000.0,,,-464000000.0,0.0,,12044000000.0,107611000000.0,,182000000.0,233000000.0,,127000000.0,129484000000.0,3029000000.0,,,2665000000.0,146000000.0,,105247000000.0,685000000.0,,,-412000000.0,0.0,2229000000.0,2948000000.0,2948000000.0,26697000000.0,,105247000000.0,26697000000.0,,5000000.0,,412000000.0,12008000000.0,2726000000.0,104885000000.0,3019000000.0,,146000000.0,,468000000.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369958400,,,,,,,,5661000000.0,0.0,,2032000000.0,,,,1115000000.0,,,,119284000000.0,,3202000000.0,,,,167000000.0,,,,144813000000.0,146926000000.0,,,,,,,2036000000.0,,2036000000.0,,,,457000000.0,,,321000000.0,2113000000.0,,,,19397000000.0,,,,,,,,,,0.0,,,,,,,,457000000.0,12044000000.0,119605000000.0,,,,,,,,,,,194000000.0,,,,,,,,2699000000.0,,,,,114927000000.0,27172000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385769600,,,,-604000000.0,1950000000.0,2822000000.0,870000000.0,2631000000.0,0.0,20070000000.0,1950000000.0,,-296000000.0,-2286000000.0,1129000000.0,,146585000000.0,2036000000.0,119135000000.0,121754000000.0,233000000.0,,-1832000000.0,-5175000000.0,176000000.0,2439000000.0,,554000000.0,141960000000.0,146585000000.0,,3491000000.0,2228000000.0,-578000000.0,176000000.0,0.24,2228000000.0,21926000000.0,2228000000.0,11974000000.0,,3524000000.0,933000000.0,,,2619000000.0,4625000000.0,,,-578000000.0,20070000000.0,,-1733000000.0,8467000000.0,12044000000.0,71000000.0,1129000000.0,-108000000.0,,,0.0,2948000000.0,-647000000.0,4625000000.0,,,-361000000.0,0.0,1511000000.0,12044000000.0,121754000000.0,,2439000000.0,359000000.0,,155000000.0,141960000000.0,2847000000.0,1511000000.0,,2631000000.0,192000000.0,,113257000000.0,644000000.0,,,915000000.0,0.0,2036000000.0,2228000000.0,2228000000.0,24686000000.0,-87000000.0,113257000000.0,24686000000.0,,233000000.0,,933000000.0,12006000000.0,2619000000.0,119135000000.0,2822000000.0,,192000000.0,,870000000.0,0.24,82000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401494400,,,,,,,,6789000000.0,0.0,,2932000000.0,,,,1129000000.0,,,,130027000000.0,,3816000000.0,,,,,,,,156451000000.0,158553000000.0,,,,,,,2039000000.0,,2039000000.0,,,,464000000.0,,,347000000.0,2102000000.0,,,,21174000000.0,,,,,,,,,,0.0,,,,,,,,464000000.0,13961000000.0,130374000000.0,,,,,,,,,,,986000000.0,,,,,,,,2482000000.0,,,,,123432000000.0,28030000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
