date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,trailingRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,trailingNetOtherFinancingCharges,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,annualOperatingExpense,trailingDeferredIncomeTax,annualCashAndCashEquivalents,annualCapitalExpenditure,trailingChangesInAccountReceivables,annualBasicAverageShares,quarterlyChangeInInventory,annualCurrentAssets,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualChangesInAccountReceivables,trailingCostOfRevenue,annualInterestExpense,trailingBeginningCashPosition,annualNetIncomeCommonStockholders,quarterlyCashDividendsPaid,annualDeferredIncomeTax,quarterlyEbitda,annualNetOtherFinancingCharges,trailingOperatingExpense,annualAccumulatedDepreciation,annualEbitda,quarterlyRepurchaseOfCapitalStock,annualDilutedEPS,annualOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,trailingRepaymentOfDebt,quarterlyCapitalStock,trailingChangeInWorkingCapital,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,trailingGrossProfit,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,trailingOtherIncomeExpense,quarterlyBasicAverageShares,annualTotalRevenue,quarterlyFreeCashFlow,quarterlyBasicEPS,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualEndCashPosition,trailingInterestExpense,annualPretaxIncome,annualCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,trailingTotalRevenue,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,trailingChangeInCashSupplementalAsReported,annualOperatingIncome,trailingCapitalExpenditure,quarterlyChangesInAccountReceivables,annualOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,annualAccountsPayable,trailingInvestingCashFlow,annualGrossPPE,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,trailingOtherNonCashItems,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,quarterlyDilutedEPS,annualStockholdersEquity,annualInvestingCashFlow,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingStockBasedCompensation,annualChangeInInventory,annualDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyLongTermDebt,trailingPretaxIncome,quarterlyOtherCurrentLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,annualCapitalStock,quarterlyOtherIncomeExpense,trailingNetIncome,annualGoodwill,quarterlyInventory,quarterlyTaxProvision,quarterlyNetPPE,annualDilutedAverageShares,annualStockBasedCompensation,trailingChangeInInventory,quarterlyCostOfRevenue,annualNetPPE,annualOtherIntangibleAssets,quarterlyAccountsReceivable,annualInventory,trailingNetOtherInvestingChanges,quarterlyCommonStockIssuance,annualChangeInWorkingCapital,annualOperatingCashFlow,annualGrossProfit,annualCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,quarterlyCurrentAssets,quarterlyRetainedEarnings,annualCommonStockIssuance,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,annualCostOfRevenue,trailingFreeCashFlow,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,trailingChangeInAccountPayable,trailingNetIncomeCommonStockholders,annualRetainedEarnings,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualTaxProvision,annualBeginningCashPosition,annualTotalAssets,annualLongTermDebt,annualCashDividendsPaid,annualCurrentDebt,annualBasicEPS,trailingTaxProvision,annualOtherNonCashItems,annualSellingGeneralAndAdministration,quarterlyDilutedAverageShares,trailingDepreciationAndAmortization,annualOtherCurrentAssets,annualTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,annualInvestmentsAndAdvances,annualCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,trailingCashDividendsPaid,quarterlyInvestmentsAndAdvances,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyPurchaseOfInvestment,quarterlyPurchaseOfBusiness,annualPurchaseOfBusiness,trailingBasicEPS,trailingResearchAndDevelopment,annualPurchaseOfInvestment,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,annualOtherShortTermInvestments,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingSaleOfInvestment,trailingPurchaseOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
2011-01-31,,,-251000.0,,443142000.0,,,,,-297928000.0,,10000.0,2166054000.0,,,30998000.0,1300332000.0,-622000.0,,-132169000.0,-9667000.0,71632530.0,,,,,-1168000.0,4110605000.0,99309000.0,107259000.0,-74615000.0,,886000.0,,-1227000.0,2378368000.0,,299196000.0,,-1.041636,,,50659000.0,,,-1529500000.0,,-13627000.0,,,,,,,2965265000.0,-28033000.0,,9463000.0,,3701089000.0,,,-246000000.0,5464000.0,30214000.0,51381000.0,53128000.0,-43278000.0,147096000.0,7075870000.0,,586897000.0,,,39837000.0,148411000.0,-332970000.0,,7066000.0,,,-372070000.0,,,,-329266000.0,,,,53310000.0,240000.0,,,,-159962000.0,,,,39812000.0,-30933000.0,146759000.0,,,,545354000.0,,741173000.0,,,,443142000.0,,,,,71632530.0,2230000.0,51703000.0,,,,,,-2316000.0,,-14169000.0,208704000.0,1448743000.0,,,,,76535000.0,,,,,,,,,2252346000.0,408203000.0,,,,-84288000.0,443142000.0,,,,,30998000.0,22130000.0,24750000.0,,,0.0,,-1.041636,102212000.0,31023000.0,1153573000.0,,212314000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-31,,,-6000.0,,,,,,,,,,,,,-6272000.0,1368844000.0,,35664000.0,-153373000.0,,71632530.0,,877988000.0,,,-1650000.0,,129121000.0,,-129542000.0,,-701000.0,,-30640000.0,,-616947000.0,271771000.0,,-1.965922,112973000.0,2991746000.0,85824000.0,,,,,,,,35664000.0,,224352000.0,221343000.0,,-6157000.0,,,,3887531000.0,,,-2274544000.0,5450000.0,35664000.0,,-10420000.0,-85760000.0,,,,,,,,155223000.0,,,-36995000.0,,,,,,276285000.0,,1482162000.0,,,,,276985000.0,,-995890000.0,-158773000.0,,,,,-38033000.0,153070000.0,,,,,,,40119000.0,46000.0,,,47064000.0,,,,71632530.0,5797000.0,,,865215000.0,597903000.0,,682260000.0,,,34223000.0,249983000.0,1524067000.0,505287000.0,,,3497033000.0,96610000.0,,,0.0,,,,,,2363464000.0,,,,,,,-995932000.0,,,,-6272000.0,-4148000.0,30214000.0,2501143000.0,1605464000.0,-297917000.0,7659000.0,-1.808424,,39027000.0,1215774000.0,,,521000.0,1623155000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-30,,,,23009000.0,,,370071000.0,194837000.0,202961000.0,,-5446000.0,,,,989956000.0,,,,,,,,21319000.0,,-28342000.0,53654000.0,,,,,,-1686000.0,,63747000.0,,,,,0.0,,,,,10827000.0,791000.0,,,,35664000.0,39925000.0,,,,,,,,,71632530.0,,216500000.0,-0.532286,,,,,,,,,-38129000.0,,,,,,,-7609000.0,,,29479000.0,,,,,,,,-13000.0,,,,-0.532286,,,244756000.0,-3940000.0,-3940000.0,,,,-198424000.0,-28256000.0,,,,,,,813000.0,,,,-1717000.0,,,,,619885000.0,,,,,,,,,,,17990000.0,,,,,,,-5657000.0,347062000.0,,,-86000.0,,,,,307137000.0,,,,,-252319000.0,,,,,,,,,,,,,71632530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-31,,,,-14884000.0,,,328191000.0,-24165000.0,-8869000.0,,-3984000.0,,,,871740000.0,,,,,,,,24094000.0,,-33460000.0,31670000.0,,,,,,-25000.0,,20307000.0,,,,,,,,,,5598000.0,612000.0,,,,53654000.0,39978000.0,,,,,,,,,71632530.0,,-27912000.0,-0.932635,,,,,,,,,-66807000.0,,,,,,,5260000.0,,,27629000.0,,,,,,,,-747000.0,,,,-0.932635,,,5838000.0,-31257000.0,-31257000.0,,,,5638000.0,-33750000.0,,,,,,,-1694000.0,,,,-16044000.0,,,,,543549000.0,,,,,,,,,,,-21984000.0,,,,,,,-47301000.0,343075000.0,,,-344000.0,,,,,303096000.0,,,,,-236370000.0,,,,,,,,,,,,,71632530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-31,3819013000.0,678092000.0,,5644000.0,,,381463000.0,231135000.0,32155000.0,,-6591000.0,,,,975852000.0,,,,,,,,-208144000.0,,-67475000.0,30169000.0,,,,,,0.0,,46615000.0,,,,,,,,,,1742000.0,565000.0,,988571000.0,,31670000.0,40845000.0,,576443000.0,,,,,,,71632530.0,,-4646000.0,-0.612613,,,,,,,,,-43883000.0,,1631504000.0,2680002000.0,,,,-9534000.0,,30169000.0,27421000.0,,30169000.0,5515000.0,,,,114307000.0,-47000.0,,,,-0.612613,,,62602000.0,-7447000.0,-7447000.0,,,,3372000.0,-67248000.0,1422571000.0,,252916000.0,,,,257000.0,,,844991000.0,-14204000.0,893690000.0,,,,594389000.0,,,43638000.0,,,,,,,,-1501000.0,2882490000.0,,,1048498000.0,-1139054000.0,,-21651000.0,375819000.0,47064000.0,936523000.0,0.0,,,-1139011000.0,254082000.0,334975000.0,,,,,-220381000.0,483000.0,,,,,,,,,,,,71632530.0,,,,1205837000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,3587540000.0,500406000.0,-7000.0,142142000.0,,,555655000.0,-177686000.0,-8924000.0,,9485000.0,,,1601175000.0,1327956000.0,25301000.0,1479468000.0,,43336000.0,-166721000.0,,71632530.0,164801000.0,879654000.0,-36539000.0,43336000.0,-7814000.0,,113927000.0,,-121622000.0,0.0,-6536000.0,179209000.0,-459000.0,,-722870000.0,309878000.0,,-1.69786,112978000.0,2847485000.0,224121000.0,13064000.0,779000.0,,47000.0,,30169000.0,46038000.0,43336000.0,560081000.0,229425000.0,238865000.0,,-530000.0,,,,4165504000.0,101846000.0,,-856317000.0,7672000.0,43336000.0,,29165000.0,-279021000.0,,,27197000.0,,1598428000.0,2478082000.0,,155912000.0,,4069000.0,-8645000.0,43336000.0,29398000.0,,43336000.0,784000.0,500406000.0,,1601175000.0,112978000.0,348000.0,,0.0,253339000.0,,-1109458000.0,-165816000.0,139313000.0,67945000.0,67945000.0,,2070000.0,166786000.0,-89607000.0,-37467000.0,1335532000.0,,238865000.0,,41734000.0,47000.0,-8021000.0,,47064000.0,680190000.0,35828000.0,878305000.0,71632530.0,2747000.0,,772301000.0,878305000.0,560081000.0,41734000.0,680190000.0,,,217323000.0,452509000.0,1635380000.0,740055000.0,13167000.0,2847485000.0,3587540000.0,285788000.0,879654000.0,-1109501000.0,,103773000.0,413513000.0,47064000.0,740055000.0,-100000.0,2530124000.0,,-1109458000.0,253339000.0,367475000.0,,,-1109501000.0,-722870000.0,-147247000.0,191000.0,25301000.0,3864000.0,35664000.0,2478082000.0,1335532000.0,-1711000.0,784000.0,-1.69786,,31231000.0,1312682000.0,,,191000.0,1598428000.0,229425000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,4050187000.0,630660000.0,,33640000.0,,,405336000.0,130254000.0,55159000.0,,-5376000.0,,,,1072989000.0,,,,,,,,-47029000.0,,-29650000.0,102672000.0,,,,,,-336000000.0,,69649000.0,,,,,-7000.0,,,,,6939000.0,510000.0,,47000.0,,43336000.0,43992000.0,,551200000.0,,,,,,,71632530.0,,65939000.0,-0.649635,,,,,,,,,-46535000.0,,1592514000.0,2594200000.0,,,,-6508000.0,,102672000.0,34304000.0,,102672000.0,9737000.0,,,,122640000.0,-13528000.0,,,,-0.649635,,,95703000.0,-5563000.0,-5563000.0,,,,-6717000.0,-29764000.0,1671658000.0,,221575000.0,,,,872000.0,,,727219000.0,-3084000.0,871610000.0,,,,667653000.0,,,46362000.0,,,,,,,,59336000.0,3188215000.0,,,1001686000.0,-1456030000.0,,-8647000.0,371696000.0,47064000.0,861972000.0,0.0,,,-1455987000.0,251167000.0,327704000.0,,,,,-155253000.0,191000.0,,,,,,,,,,,,71632530.0,,,,230661000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-31,4081057000.0,555593000.0,,3156000.0,,,371160000.0,-75067000.0,-63699000.0,,-7175000.0,,,,971480000.0,,,,,,,,-21089000.0,,-37956000.0,33407000.0,,,,,,324000.0,,35337000.0,,,,,,,,,,10961000.0,5175000.0,,47000.0,,102672000.0,41247000.0,,544315000.0,,,,,,,71632530.0,,-76076000.0,-0.934589,,,,,,,,,-66947000.0,,1606306000.0,2565900000.0,,,,3265000.0,,33407000.0,33327000.0,,33407000.0,9663000.0,,,,132737000.0,-8598000.0,,,,-0.934589,,,-37841000.0,-25014000.0,-25014000.0,,,,6532000.0,-38235000.0,1684675000.0,,270786000.0,,,,-6463000.0,,,748308000.0,-14223000.0,882190000.0,,,,600320000.0,,,41640000.0,,,,,,,,-69265000.0,3245015000.0,,,959594000.0,-1515200000.0,,-39237000.0,368004000.0,47064000.0,836042000.0,0.0,,,-1515157000.0,247065000.0,326757000.0,,,,,-171378000.0,0.0,,,,,,,,,,,,71632530.0,,,,237031000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-31,3196676000.0,708399000.0,,18998000.0,,,423218000.0,152806000.0,-6699000.0,,721000.0,,,,1072855000.0,,,,,,,,-154118000.0,,-285219000.0,31557000.0,,,,,,-324000.0,,49255000.0,,,,,,,,,,4046000.0,2517000.0,,7000.0,,33407000.0,41071000.0,,537429000.0,,,,,,,73632530.0,,-28829000.0,-0.235326,,,,,,,,,-16857000.0,,1616017000.0,2980892000.0,,,,-4131000.0,,31557000.0,32719000.0,,31557000.0,231460000.0,,,,136112000.0,-23268000.0,,,,-0.235326,,,25419000.0,-16857000.0,-16857000.0,,,,257950000.0,-54248000.0,1484285000.0,,279162000.0,,,,-308000.0,,,902426000.0,-7678000.0,895412000.0,,,,649637000.0,,,54619000.0,,,,,,,,-1850000.0,1977655000.0,,,1364875000.0,-1555993000.0,,-24535000.0,404220000.0,47064000.0,1219021000.0,-230759000.0,,,-215784000.0,249585000.0,363149000.0,,,,,-347208000.0,0.0,,,,,,,,,,,,73632530.0,,,,243785000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,2771560000.0,542987000.0,0.0,150253000.0,,,566315000.0,-165412000.0,65144000.0,,-6143000.0,,,1727961000.0,1344663000.0,16150000.0,1559983000.0,,132984000.0,-168267000.0,,73686524.0,182374000.0,1016520000.0,188031000.0,132984000.0,1573000.0,,127739000.0,,16150000.0,0.0,-17973000.0,174052000.0,-45873000.0,,-825304000.0,328292000.0,,0.219332,124298000.0,1867744000.0,42581000.0,24711000.0,2001000.0,,7000.0,,31557000.0,41885000.0,132984000.0,530553000.0,255877000.0,301803000.0,,2700000.0,,,73686524.0,4461987000.0,160050000.0,0.863531,-1066030000.0,89648000.0,132984000.0,,32358000.0,-34909000.0,,,63584000.0,,1604572000.0,2621092000.0,,206047000.0,,8947000.0,-22924000.0,132984000.0,27390000.0,,132984000.0,59026000.0,542987000.0,,1727961000.0,124298000.0,-23747000.0,,,242708000.0,0.863531,-150468000.0,-164794000.0,206070000.0,63584000.0,63584000.0,,-39862000.0,168195000.0,-292674000.0,-46020000.0,1369159000.0,,301803000.0,,35678000.0,7000.0,-17023000.0,,47064000.0,720052000.0,41193000.0,902657000.0,73686524.0,10203000.0,,778348000.0,902657000.0,530553000.0,35678000.0,720052000.0,,23268000.0,49904000.0,289351000.0,1766030000.0,903816000.0,101427000.0,1867744000.0,2771560000.0,121084000.0,1016520000.0,-1492409000.0,260667000.0,104777000.0,416062000.0,47064000.0,903816000.0,233459000.0,2695957000.0,,-150468000.0,242708000.0,374178000.0,,,-1492409000.0,-825304000.0,-735191000.0,0.0,16150000.0,16208000.0,43336000.0,2621092000.0,1369159000.0,-336000000.0,59026000.0,0.219332,,46657000.0,1391788000.0,73686524.0,,0.0,1604572000.0,255877000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
