,quarterlyChangesInAccountReceivables,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,annualEbitda,annualInterestExpense,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualDilutedEPS,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualCapitalExpenditure,quarterlyOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingCashFlow,annualBasicAverageShares,annualSellingGeneralAndAdministration,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyAccountsPayable,quarterlyNetOtherInvestingChanges,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyDilutedEPS,quarterlyNetPPE,trailingTaxProvision,trailingNetOtherFinancingCharges,quarterlyEbitda,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,annualOtherNonCashItems,quarterlyDilutedAverageShares,annualCurrentDebt,trailingOtherNonCashItems,annualBasicEPS,annualStockBasedCompensation,annualNetOtherFinancingCharges,trailingOperatingExpense,quarterlyGrossPPE,trailingFreeCashFlow,annualGrossProfit,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,annualCostOfRevenue,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingSellingGeneralAndAdministration,annualOperatingExpense,quarterlyAccumulatedDepreciation,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,trailingNetIncomeContinuousOperations,annualChangesInAccountReceivables,quarterlyTaxProvision,trailingNetIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,annualRetainedEarnings,annualNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,annualChangeInWorkingCapital,trailingChangeInWorkingCapital,annualCashDividendsPaid,annualNetIncome,annualGoodwill,annualFreeCashFlow,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,annualCommonStockIssuance,annualOtherShortTermInvestments,annualPretaxIncome,annualInvestingCashFlow,annualOperatingIncome,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOtherCurrentAssets,annualTotalRevenue,annualAccountsReceivable,quarterlyOtherNonCurrentLiabilities,annualAccountsPayable,trailingInvestingCashFlow,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualStockholdersEquity,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualTaxProvision,annualTotalAssets,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualDepreciationAndAmortization,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyCurrentDebt,annualCashAndCashEquivalents,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyInvestingCashFlow,trailingEndCashPosition,trailingRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyCashDividendsPaid,annualDilutedAverageShares,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualCurrentAssets,annualOtherNonCurrentAssets,annualOperatingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,quarterlyOtherNonCurrentAssets,trailingPretaxIncome,annualRepurchaseOfCapitalStock,annualCashCashEquivalentsAndMarketableSecurities,quarterlyBasicAverageShares,quarterlyBasicEPS,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyChangeInInventory,trailingDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,quarterlyInventory,annualNonCurrentDeferredTaxesLiabilities,annualInventory,trailingCostOfRevenue,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyPurchaseOfInvestment,trailingNetOtherInvestingChanges,trailingBasicEPS,trailingResearchAndDevelopment,annualPurchaseOfInvestment,quarterlyDeferredIncomeTax,trailingGrossProfit,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,annualChangeInInventory,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingSaleOfInvestment,trailingOtherIncomeExpense,trailingPurchaseOfInvestment,trailingOperatingIncome,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,,,39446000.0,,,,141939000.0,,,,,0.20848,-79956000.0,,,,,,,,189208003.0,37614000.0,,,,,,,,,,,,,,,,,,,,,39446000.0,,,,,,,,,0.20848,,,,,,,,,,,,,,,,,176184000.0,,,,,,,,,,9935071000.0,,,,,,,,,,,,,,,,39446000.0,,,,,,,48565000.0,,141939000.0,,,,318123000.0,,,,,,,,,,,,9119000.0,10348829000.0,,,,,,,,,,,,,,,,,,,189208003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,,,941077000.0,,,,870333000.0,,,,,4.97377,96527000.0,,,,,,,,189208003.0,67796000.0,,,,,,,,,,,,,,,,,,,,,941077000.0,,,,,,,,,4.97377,,,,,,,,,,,,,,,,,224090000.0,,,,,,,,,,13856783000.0,,,,,,,,,,,,,,,,941077000.0,,,,,,,953026000.0,,870333000.0,,,,1094423000.0,,,,,,,,,,,,11949000.0,14937386000.0,,,,,,,,,,,,,,,,,,,189208003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,,,,1523314000.0,,,,503463000.0,,,,,8.28,,,,,,,,,183868331.0,,,,,,,,,,,,,,,,,,,,,,1523314000.0,,,,,,,,,8.28,,,,,,,,,,,,,,,,,,,,,,,,,,,19317508000.0,,,,,,,,,,,,,,,,1523314000.0,,,,,,,,,503463000.0,,,,503463000.0,,,,,,,,,,,,,21253939000.0,,,,,,,,,,,,,,,,,,,183868331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112227200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124187000.0,1.81,,,,124187000.0,,,,,,,,183868331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124187000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,332666000.0,332666000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332666000.0,,,,,,,,,,,,,,,,,183868331.0,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120089600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124187000.0,1.81,,,,124187000.0,,,,,,,,183868331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124187000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,332666000.0,332666000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332666000.0,,,,,,,,,,,,,,,,,183868331.0,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128038400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124187000.0,1.81,,,,124187000.0,,,,,,,,183868331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124187000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,332666000.0,332666000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332666000.0,,,,,,,,,,,,,,,,,183868331.0,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,,-39277000.0,,1330663000.0,,-2936728000.0,,5794663000.0,23830000.0,125691000.0,,,7.24,,,-7353000.0,,,1818749000.0,20287019000.0,,183868331.0,182605000.0,,0.0,,1818749000.0,,,,1824945000.0,,,-2738350000.0,,,5266717000.0,,,,,5422102000.0,,1330663000.0,,,,,-1221539000.0,,,,7.24,,-2424853000.0,,,,,,,,,,,,,,,-155385000.0,,,,,62873000.0,,,,5422102000.0,2082771000.0,,,,,,,,,,,20287019000.0,,-8278000.0,,,1330663000.0,,2701905000.0,,21121124000.0,,20287019000.0,1342923000.0,-7353000.0,5794663000.0,332666000.0,332666000.0,,5639278000.0,,,,,837627000.0,,86414000.0,1824945000.0,,,837627000.0,12260000.0,21121124000.0,,,,,,,0.0,,,,,,,,,332666000.0,,,183868331.0,-67012000.0,,,,,2709258000.0,2082771000.0,,,,,,20287019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143763200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220989000.0,2.57,,,,220989000.0,,,,,,,,189208003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220989000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,487155000.0,487155000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487155000.0,,,,,,,,,,,,,,,,,189208003.0,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151625600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299763000.0,4.11,,,,299763000.0,,,,,,,,183868331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299763000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,593017000.0,593017000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593017000.0,,,,,,,,,,,,,,,,,183868331.0,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
