date,trailingNetIncomeCommonStockholders,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyChangeInInventory,annualBeginningCashPosition,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,trailingGrossProfit,trailingCapitalExpenditure,trailingDeferredIncomeTax,quarterlySaleOfInvestment,annualCapitalExpenditure,trailingOtherIncomeExpense,quarterlyOtherIntangibleAssets,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,annualSellingGeneralAndAdministration,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,annualTotalNonCurrentAssets,quarterlyBeginningCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyTotalRevenue,trailingChangeInInventory,quarterlyCapitalExpenditure,trailingNetOtherFinancingCharges,quarterlyDilutedEPS,quarterlyEbitda,annualNetOtherFinancingCharges,annualChangeInInventory,annualStockBasedCompensation,quarterlyOperatingIncome,trailingPurchaseOfBusiness,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualCurrentDebt,quarterlyDilutedAverageShares,trailingOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,annualOperatingExpense,annualBasicEPS,trailingSellingGeneralAndAdministration,quarterlyOtherNonCashItems,annualTotalRevenue,annualDeferredIncomeTax,annualCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyGrossPPE,quarterlyPurchaseOfBusiness,trailingFreeCashFlow,annualInterestExpense,trailingChangesInAccountReceivables,quarterlyCurrentLiabilities,quarterlyCurrentAssets,trailingCashDividendsPaid,quarterlyDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,annualAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyTaxProvision,annualInventory,annualChangesInAccountReceivables,quarterlyNetPPE,annualGrossProfit,quarterlyOtherCurrentLiabilities,quarterlyStockBasedCompensation,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyGoodwill,trailingNetIncome,annualGoodwill,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualTotalAssets,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,trailingChangeInWorkingCapital,annualNetIncome,annualRetainedEarnings,annualDilutedEPS,annualAccountsReceivable,quarterlyFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualCostOfRevenue,annualAccountsPayable,trailingOperatingIncome,trailingInvestingCashFlow,annualOperatingIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,trailingTotalRevenue,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,annualBasicAverageShares,annualCashDividendsPaid,trailingCommonStockIssuance,annualFreeCashFlow,annualPretaxIncome,trailingEndCashPosition,annualEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTaxProvision,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualStockholdersEquity,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualTaxProvision,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyInventory,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,annualCurrentAccruedExpenses,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,trailingChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualDilutedAverageShares,annualChangeInAccountPayable,quarterlyOperatingExpense,annualOtherIntangibleAssets,annualCommonStockIssuance,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCashDividendsPaid,annualSaleOfInvestment,annualOtherShortTermInvestments,annualRepurchaseOfCapitalStock,quarterlyBasicEPS,annualOtherNonCurrentAssets,annualCurrentLiabilities,annualCurrentAssets,trailingNetOtherInvestingChanges,quarterlyBasicAverageShares,annualNetPPE,annualEbitda,trailingBasicAverageShares,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,trailingInterestExpense,annualCurrentDeferredRevenue,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingDilutedAverageShares
1991-12-31,862200000.0,,,,,,,,,,,,3776200000.0,-1421900000.0,25900000.0,,,-74800000.0,,,-2827800000.0,-1177700000.0,,,,,,,-104300000.0,,,,,163800000,-123000000.0,,-17200000.0,0.113636,163800000,,,,163800000,-42800000.0,60600000.0,,,73040000.0,-75100000.0,,,,,,,1733700000.0,,,,,,,,,14609100000.0,,,1016400000.0,,257100000.0,,,-471800000.0,,,,260700000.0,,,,,,,,,,2142800000.0,867600000.0,,,,,,,,862300000.0,,,,,1128200000.0,,,32100000.0,,,,,,,,,,,1633400000.0,-1367700000.0,,8300000,,18385300000.0,8300000,,,,20900000.0,,,153600000.0,,,,260600000.0,,,,,,,,,,,,,8300000,,,,-44400000.0,,,,,,2438300000.0,,,61900000.0,,,,,,,,,,,,,,,0.113636,,,,31100000.0,73040000.0,,,,,,,,,,,,,,,,,,,
1992-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163900000,,,,0.113636,163900000,,,,163900000,,,,,73040000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300000,,,8300000,,,,,,,,,,,,,,,,,,,,,,,,8300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113636,,,,,73040000.0,,,,,,,,,,,,,,,,,,,
1992-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163900000,,,,0.113636,163900000,,,,163900000,,,,,73040000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300000,,,8300000,,,,,,,,,,,,,,,,,,,,,,,,8300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113636,,,,,73040000.0,,,,,,,,,,,,,,,,,,,
1992-09-30,,327600000.0,32900000.0,24300000.0,4500000.0,209600000.0,,,,3200000.0,,22100000.0,,,,,-40400000.0,,7100000.0,,,,103300000.0,23500000.0,,100000.0,181000000.0,,,4000000.0,25300000.0,400000.0,25300000.0,163900000,,,,,-432500000,200000.0,2700000.0,,-432500000,,,-8200000.0,4000000.0,,,,,-153700000.0,33200000.0,132200000.0,0.459091,,,655500000.0,1100000.0,4000000.0,,,,,,327600000.0,,,3800000.0,,51800000.0,131100000.0,,,10900000.0,,,-153700000.0,180100000.0,,45100000.0,,173900000.0,191300000.0,24300000.0,,,,,,1200000.0,1700000.0,181000000.0,,,,,,,312100000.0,,102500000.0,312100000.0,,33200000.0,180100000.0,0.459091,,,,35300000.0,,464200000.0,23500000.0,,,59100000.0,8300000,-35100000.0,,8300000,,71663366.0,-2400000.0,,25000000.0,55700000.0,,0.0,,50700000.0,,35300000.0,4500000.0,100000.0,100000.0,4000000.0,25300000.0,28900000.0,,,209600000.0,,,8000000,,22500000.0,,,45100000.0,,,,,,,0.0,,102500000.0,10900000.0,50700000.0,65400000.0,71663366.0,,,7100000.0,1100000.0,25300000.0,,,,-1700000.0,,0.0,51800000.0,131100000.0,,,173900000.0,88000000.0,,,,,,,,,,,,,,,,,
1992-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162600000,,,,0.086364,162600000,,,,162600000,,,,,72947368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300000,,,6300000,,,,,,,,,,,,,,,,,,,,,,,,6300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086364,,,,,72947368.0,,,,,,,,,,,,,,,,,,,
1993-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162700000,,,,0.086364,162700000,,,,162700000,,,,,74105263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400000,,,6400000,,,,,,,,,,,,,,,,,,,,,,,,6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086364,,,,,74105263.0,,,,,,,,,,,,,,,,,,,
1993-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162700000,,,,0.086364,162700000,,,,162700000,,,,,74105263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400000,,,6400000,,,,,,,,,,,,,,,,,,,,,,,,6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086364,,,,,74105263.0,,,,,,,,,,,,,,,,,,,
1993-09-30,,375900000.0,25200000.0,33100000.0,3300000.0,235000000.0,,,,25300000.0,,25900000.0,,,,,-53200000.0,,,,,,102000000.0,19100000.0,,500000.0,204600000.0,,,,51200000.0,-10600000.0,51200000.0,162700000,,,,,-431900000,-100000.0,2800000.0,,-431900000,,,19700000.0,3300000.0,,,,,-176700000.0,25500000.0,131100000.0,0.345455,,,650700000.0,-1200000.0,,,,,,,375900000.0,,,4000000.0,,55500000.0,150500000.0,,,9700000.0,,,-176700000.0,202800000.0,,42200000.0,,199200000.0,187200000.0,33100000.0,,,,,,5500000.0,-400000.0,204600000.0,,,,,,,355100000.0,,120100000.0,355100000.0,,25500000.0,202800000.0,0.345455,,,,51600000.0,,463500000.0,19100000.0,,,56100000.0,6300000,-52800000.0,,6300000,,72947368.0,-2700000.0,,5700000.0,41500000.0,,0.0,,64600000.0,,51600000.0,3300000.0,500000.0,100000.0,3300000.0,51200000.0,29100000.0,,,235000000.0,,,6000000,,16000000.0,,,42200000.0,,,,,,,5400000.0,,120100000.0,9700000.0,64600000.0,58900000.0,72947368.0,,,,10100000.0,51200000.0,,,,-3200000.0,,5400000.0,55500000.0,150500000.0,,,199200000.0,85200000.0,,,,,,,,,,,,,,,,,
1993-12-31,,,,,,244300000.0,0.0,,-4000000.0,,,,,,,,,,22300000.0,,,,,15300000.0,,1900000.0,,51200000.0,,,5400000.0,,5400000.0,158700000,,-56700000.0,,0.109091,21200000,,,,13300000,,,,,70583333.0,,6400000.0,,-183300000.0,,,,,100000.0,,,,-45800000.0,10400000.0,-300000.0,12900000.0,,416100000.0,,,,,59900000.0,114700000.0,,900000.0,,-6200000.0,,,209900000.0,5100000.0,,,232800000.0,,35300000.0,,,,,1500000.0,,,255000000.0,,,,,,110700000.0,,,,369700000.0,,,,,,-46300000.0,,51600000.0,,,,,,,7800000,,,7800000,26800000.0,,,,,,,,7900000.0,65500000.0,,,3300000.0,,,9300000.0,,,-6200000.0,700000.0,,0.0,-62600000.0,7700000,,,,,52100000.0,48000000.0,0.0,,300000.0,,,-100000.0,,125400000.0,10600000.0,,,,,34700000.0,,,,-800000.0,,,,0.109091,,,,,70583333.0,,,,,,,,,,,,,,,,,,,
1994-03-31,,,,,,263700000.0,-31700000.0,,1100000.0,,,,,,,,,,18200000.0,,,,,17700000.0,,800000.0,,0.0,,,2200000.0,,2200000.0,173100000,,17400000.0,,0.136364,25400000,,,,16700000,,,,,71866667.0,,4100000.0,,-190100000.0,,,,,-200000.0,,,,-3200000.0,6700000.0,-3800000.0,16100000.0,,432200000.0,,,,,52300000.0,121800000.0,,1300000.0,,-13000000.0,,,218900000.0,6200000.0,,,242100000.0,,25300000.0,,,,,10300000.0,,,260300000.0,,,,,,119900000.0,,,,382100000.0,,,,,,24100000.0,,51100000.0,,,,,,,9900000,,,9900000,28200000.0,,,,,,,,8700000.0,66100000.0,,,3100000.0,,,9300000.0,,,,700000.0,,0.0,-14100000.0,9800000,,,,,51000000.0,53200000.0,-100000.0,,100000.0,,,0.0,,118400000.0,11900000.0,,,,,36500000.0,,,,-800000.0,,,,0.136364,,,,,71866667.0,,,,,,,,,,,,,,,,,,,
