date,annualOtherShortTermInvestments,annualFreeCashFlow,quarterlyCurrentAssets,annualCommonStockIssuance,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualOtherCurrentAssets,quarterlyOtherNonCashItems,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,annualEndCashPosition,quarterlyCurrentLiabilities,trailingCostOfRevenue,trailingTaxProvision,trailingNetIncome,trailingPretaxIncome,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,annualCashAndCashEquivalents,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualNetIncome,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,trailingOperatingIncome,annualInvestmentsAndAdvances,quarterlyTotalAssets,annualDilutedAverageShares,quarterlyTotalNonCurrentAssets,annualCurrentDebt,quarterlyGrossProfit,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualLongTermDebt,annualBasicAverageShares,annualCurrentAssets,annualDepreciationAndAmortization,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualStockholdersEquity,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,annualTotalAssets,annualTaxProvision,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,annualNetIncomeCommonStockholders,quarterlyGoodwill,trailingNetIncomeCommonStockholders,annualCurrentLiabilities,annualRetainedEarnings,annualCurrentAccruedExpenses,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,annualOtherIntangibleAssets,annualOtherIncomeExpense,quarterlyCapitalStock,trailingGrossProfit,annualTotalNonCurrentAssets,annualNetPPE,annualRepaymentOfDebt,annualOperatingCashFlow,annualGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,annualEbitda,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,annualChangeInInventory,quarterlyBasicEPS,quarterlyCurrentDebt,annualGrossPPE,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyInterestExpense,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,annualAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,annualIncomeTaxPayable,quarterlySaleOfInvestment,trailingSellingGeneralAndAdministration,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,annualCapitalExpenditure,quarterlyCommonStockIssuance,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,trailingOperatingExpense,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,quarterlyTaxProvision,annualInventory,annualGoodwill,quarterlyNetPPE,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,annualBasicEPS,annualOtherCurrentLiabilities,quarterlyEbitda,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,annualCapitalStock,annualPurchaseOfInvestment,annualTotalRevenue,trailingResearchAndDevelopment,annualStockBasedCompensation,annualInterestExpense,trailingBeginningCashPosition,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,trailingCommonStockIssuance,annualChangesInAccountReceivables,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,trailingChangeInWorkingCapital,trailingCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,trailingStockBasedCompensation,quarterlyChangeInAccountPayable,trailingPurchaseOfInvestment,trailingInterestExpense,quarterlyChangeInInventory,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingCapitalExpenditure,trailingNetOtherInvestingChanges,trailingChangeInInventory,trailingChangeInAccountPayable,trailingCashDividendsPaid,trailingEndCashPosition,trailingOperatingCashFlow,trailingNetOtherFinancingCharges,trailingInvestingCashFlow,trailingDepreciationAndAmortization,trailingSaleOfInvestment,trailingDeferredIncomeTax,quarterlyCurrentDeferredRevenue,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares,trailingFreeCashFlow
1979-12-31,,0.0,,,,,620000000.0,,,86600000.0,,,59300000.0,,22319500000.0,,,,541500000.0,,,0.0,,4721200000.0,628000000.0,8318400000.0,5265900000.0,,,,175600000.0,,333700000.0,824000000.0,333700000.0,559200000.0,,,5789500000.0,,,1191785714.0,,100300000.0,,,,,,,,209500000.0,836100000.0,,8200000.0,1191785714.0,1317000000.0,,,,1586200000.0,,,,,2206200000.0,225500000.0,,,333700000.0,,8318400000.0,533400000.0,1445500000.0,,,,,,,,,,,175600000.0,,,29100000.0,,17598300000.0,889200000.0,679700000.0,,0.0,1426800000.0,,,,590700000.0,,,,,,,1078100000.0,,,,,0.0,0.0,,-203400000.0,-398400000.0,,885300000.0,78400000.0,,,,6213800000.0,0.0,,,,0.28,,,,4637900000.0,,,,,,11808800000.0,,,,,,612600000.0,,,,,0.28,433100000.0,,,,,,,2250800000.0,5595000000.0,,11500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,,0.0,,,,,872400000.0,,,133600000.0,,,72100000.0,,,,,,565300000.0,,,0.0,,,,,,,,,202300000.0,,342000000.0,966800000.0,342000000.0,590400000.0,,,,,,1179310345.0,,184700000.0,,,,,,,,220800000.0,969800000.0,,32900000.0,1179310345.0,1537700000.0,,,,1735100000.0,,,,,2607500000.0,248400000.0,,,342000000.0,,,738800000.0,1577100000.0,,,,,,,,,,,202300000.0,,,43500000.0,,,1069800000.0,849000000.0,,0.0,1591800000.0,,,,622000000.0,,,,,,,1295900000.0,,,,,0.0,0.0,,,-446900000.0,,1026500000.0,100700000.0,,,,,0.0,,,,0.29,,,,,,,,,,,,,,,,672500000.0,,,,,0.29,554100000.0,,,,,,,2558600000.0,,,18400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,0.0,,,,,1014000000.0,,,196200000.0,,,96100000.0,,,,,,616500000.0,,,0.0,,,,,,,,,262700000.0,,374500000.0,1014600000.0,374500000.0,646000000.0,,,,,,1208064516.0,,209000000.0,,,,,,,,230700000.0,1072900000.0,,53800000.0,1208064516.0,1665400000.0,,,,1888300000.0,,,,,2902300000.0,271500000.0,,,374500000.0,,,817800000.0,1765300000.0,,,,,,,,,,,262700000.0,,,51600000.0,,,1236900000.0,1006200000.0,,0.0,1758600000.0,,,,685700000.0,,,,,,,1496600000.0,,,,,0.0,0.0,,,-490400000.0,,1142100000.0,142400000.0,,,,,0.0,,,,0.31,,,,,,,,,,,,,,,,679200000.0,,,,,0.31,608800000.0,,,,,,,2773200000.0,,,22200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,0.0,,,,,1099600000.0,,,226000000.0,,,99000000.0,,,,,,670900000.0,,,0.0,,,,,,,,,303800000.0,,411800000.0,1046000000.0,411800000.0,684100000.0,,,,,,1211176471.0,,245600000.0,,,,,,,,339000000.0,1162700000.0,,49400000.0,1211176471.0,1680500000.0,,,,2055500000.0,,,,,3155100000.0,272300000.0,,,411800000.0,,,873600000.0,1979800000.0,,,,,,,,,,,303800000.0,,,40000000.0,,,1474600000.0,1135600000.0,,0.0,1916700000.0,,,,754000000.0,,,,,,,1689400000.0,,,,,0.0,0.0,,,-553800000.0,,1245800000.0,176600000.0,,,,,0.0,,,,0.34,,,,,,,,,,,,,,,,658300000.0,,,,,0.34,628000000.0,,,,,,,2962700000.0,,,26700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,0.0,,,,,1292800000.0,,,304500000.0,,,109700000.0,,,,,,724900000.0,,,0.0,,,,,,,,,491000000.0,,457400000.0,1004900000.0,457400000.0,754800000.0,,,,,,1172820513.0,,306500000.0,,,,,,,,371100000.0,1205600000.0,,90700000.0,1172820513.0,1830100000.0,,,,2121000000.0,,,,,3413800000.0,297400000.0,,,457400000.0,,,988300000.0,2227600000.0,,,,,,,,,,,491000000.0,,,63400000.0,,,1583700000.0,1212600000.0,,0.0,2028800000.0,,,,823200000.0,,,,,,,1840900000.0,,,,,0.0,0.0,,,-628300000.0,,1303900000.0,213800000.0,,,,,0.0,,,,0.39,,,,,,,,,,,,,,,,628000000.0,,,,,0.39,681800000.0,,,,,,,3033700000.0,,,33500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162768000.0,,146700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894800000.0,,894800000.0,,,,,,1162768000.0,,,,,,,,,894800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162768000.0,,114000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723900000.0,,723900000.0,,,,,,1162768000.0,,,,,,,,,723900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162768000.0,,111700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712600000.0,,712600000.0,,,,,,1162768000.0,,,,,,,,,712600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,0.0,1827500000.0,,2497000000.0,,1422700000.0,,,355500000.0,,,118700000.0,,,,,,744300000.0,355500000.0,,0.0,1067200000.0,,,,,,,0.0,445300000.0,,490200000.0,1007700000.0,490200000.0,770700000.0,,,,,3643900000.0,1140000000.0,1816400000.0,,,,192000000.0,1422700000.0,,,117800000.0,192000000.0,1236500000.0,,116600000.0,1140000000.0,1827500000.0,,,118700000.0,2221200000.0,,,,630200000.0,3643900000.0,280500000.0,,,490200000.0,,,1067200000.0,2497000000.0,,238900000.0,116600000.0,,,,,,,344000000.0,445300000.0,,344000000.0,73400000.0,,,1816400000.0,1280400000.0,,0.0,2101500000.0,445300000.0,2221200000.0,445300000.0,865000000.0,,,,,,,2004200000.0,-723800000.0,,,,0.0,0.0,,,-723800000.0,,1357200000.0,238900000.0,2004200000.0,,,,0.0,,,,0.43,,,,,,-1587000000.0,,777900000.0,,,,,,,,630200000.0,,1280400000.0,,,0.43,,-1587000000.0,,,,,,3109200000.0,,,47000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148800000.0,,160900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908800000.0,,908800000.0,,,,,,1148800000.0,,,,,,,,,908800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
