date,trailingInvestingCashFlow,quarterlyOperatingCashFlow,annualAccountsReceivable,quarterlyOtherCurrentLiabilities,annualLongTermDebt,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualGoodwill,annualPretaxIncome,trailingDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualDepreciationAndAmortization,annualBasicAverageShares,quarterlyCostOfRevenue,annualOtherNonCashItems,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualStockholdersEquity,annualStockBasedCompensation,quarterlyOtherIncomeExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,annualTotalAssets,quarterlyLongTermDebt,annualPurchaseOfInvestment,quarterlyNetIncome,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,annualRetainedEarnings,trailingOtherIncomeExpense,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,trailingOperatingIncome,quarterlyCurrentDeferredRevenue,annualOperatingCashFlow,annualOperatingIncome,quarterlyCashAndCashEquivalents,trailingChangeInAccountPayable,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,trailingOperatingCashFlow,annualOtherIncomeExpense,trailingTotalRevenue,annualCommonStockIssuance,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyDepreciationAndAmortization,trailingEndCashPosition,quarterlyBeginningCashPosition,annualEbitda,annualOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,annualNetPPE,trailingCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,annualCurrentLiabilities,annualNetOtherInvestingChanges,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,annualDilutedEPS,quarterlyTotalAssets,trailingPretaxIncome,quarterlyBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,trailingDeferredIncomeTax,trailingCapitalExpenditure,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,annualBeginningCashPosition,annualCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,trailingBeginningCashPosition,annualChangesInAccountReceivables,annualInterestExpense,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,trailingChangesInAccountReceivables,annualOtherNonCurrentAssets,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualGrossPPE,annualSellingGeneralAndAdministration,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,annualTaxProvision,annualEndCashPosition,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,quarterlySellingGeneralAndAdministration,annualRepaymentOfDebt,annualCapitalExpenditure,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,annualCapitalStock,annualOtherCurrentAssets,trailingGrossProfit,annualCostOfRevenue,trailingCommonStockIssuance,trailingFreeCashFlow,annualTotalRevenue,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,quarterlyRepaymentOfDebt,annualCurrentDebt,trailingCostOfRevenue,annualBasicEPS,quarterlyRetainedEarnings,quarterlyTaxProvision,annualChangeInWorkingCapital,annualGrossProfit,annualTotalNonCurrentAssets,quarterlyEbitda,trailingTaxProvision,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,annualNetIncomeContinuousOperations,quarterlyTotalRevenue,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyNetPPE,trailingNetIncome,quarterlyChangeInWorkingCapital,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,quarterlyDeferredIncomeTax,trailingCashDividendsPaid,annualNonCurrentDeferredTaxesLiabilities,annualCurrentDeferredRevenue,annualOperatingExpense,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,trailingInterestExpense,annualSaleOfInvestment,trailingDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualResearchAndDevelopment,trailingBasicEPS,annualIncomeTaxPayable,quarterlyChangeInInventory,annualRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,quarterlyInterestExpense,annualOtherShortTermInvestments,trailingSaleOfInvestment,annualCurrentAccruedExpenses,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,annualInventory,quarterlyInventory,trailingPurchaseOfInvestment,quarterlySaleOfInvestment,trailingDilutedEPS,quarterlyOtherShortTermInvestments
2012-12-31,-715005000.0,,613000.0,,18898000.0,0.0,5012000.0,,-394000.0,424265000.0,,,,4267000.0,27642586.0,,-527000.0,564000.0,,,30029000.0,0.0,,,-2477000.0,36720000.0,158955000.0,,,,,,-410000.0,,,20878000.0,-613000.0,119165000.0,575000.0,133967000.0,,2890000.0,5308000.0,,-736000.0,,,370377000.0,-11404000.0,947599000.0,0.0,,,,-860756000.0,,,358577000.0,,9575000.0,22600000.0,,111697000.0,193210000.0,,9761000.0,1864000.0,62875000.0,,,,115523000.0,,0.03169,,-164225000.0,,,3000.0,27642586.0,,3000.0,-19640000.0,-37783000.0,531517000.0,107252000.0,,0.0,8854000.0,,,509995000.0,106000.0,,,,-871000.0,13976000.0,-1270000.0,-9609000.0,121306000.0,4602000.0,-82548000.0,876000.0,-36879000.0,7754000.0,-151418000.0,-186000.0,,,,-1270000.0,3000.0,,,3000.0,,-2291000.0,-2274000.0,,,,8824000.0,665484000.0,1517000.0,0.0,332594000.0,15694000.0,,,,616000.0,,,,1191000.0,282115000.0,0.03169,,,-456000.0,14177000.0,150101000.0,,-18677000.0,,,,876000.0,,,-145548000.0,46816000.0,0.0,,-82548000.0,,-740097000.0,,128926000.0,876000.0,,-165578000.0,4499000.0,205000.0,8869000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,,-42299000.0,,,,,,,,,,,0.0,,,334000.0,,,,,,,0.0,,,,,,,-491000.0,,,,-491000.0,,,,,,,,,,,,,,,,,,2209000.0,,-491000.0,,,1090000.0,,3000.0,,,,,,,,,,-42299000.0,-454000.0,,,-1071000.0,,,,27642586.0,,,,,,,,,,,,,,-0.017762,,,,,,,,,,,,,,,,,,3000.0,-725000.0,846000.0,,,2641000.0,-725000.0,,1119000.0,,,,-2000.0,,,,,,,,-942000.0,,,,0.0,27642586.0,-305000.0,,,,,-451000.0,,,,1522000.0,,-0.017762,,,,2975000.0,432000.0,,,,,,-41796000.0,,,,,-1100000.0,,,,,,,43024000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,733000.0,,,,,,,,,,,0.0,,,311000.0,,,,,,,0.0,,,,,,,341000.0,,,,341000.0,,,,,,,,,,,,,,,,,,2319000.0,,341000.0,,,1111000.0,,3000.0,,,,,,,,,,-4683000.0,-387000.0,,,5870000.0,,,,27642586.0,,,,,,,,,,,,,,0.012336,,,,,,,,,,,,,,,,,,3000.0,-5848000.0,1199000.0,,,4352000.0,-432000.0,,1208000.0,,,,-345000.0,,,,,,,,655000.0,,,,0.0,27642586.0,-755000.0,,,,,314000.0,,,,3144000.0,,0.012336,,,,4663000.0,2033000.0,,,,,,-1139000.0,,,,,765000.0,,,,,,,5115000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,,-2545000.0,,,,,,,,,,,402000.0,,,511000.0,,,,,,,-3926000.0,,,,,,,74000.0,,,,74000.0,,,,,,,,,,,,,,,,,,2776000.0,,74000.0,,,1341000.0,,3000.0,,,,,,,,,,-1517000.0,-1296000.0,,,3358000.0,,,,27642586.0,,,,,,,,,,,,,,0.002677,,,,,,,,,,,,,,,,,,405000.0,1039000.0,1969000.0,,,4890000.0,11000.0,,1435000.0,,,,-272000.0,,,,,,,,151000.0,,,,0.0,27642586.0,-1450000.0,,,,,77000.0,,,,3455000.0,,0.002677,,,,5401000.0,2114000.0,,,,,,-1649000.0,,,,,-2039000.0,,,,,,,1908000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,36909000.0,1505000.0,0.0,286687000.0,,5376000.0,,-370000.0,,34312000.0,-1776000.0,639000.0,4961000.0,27642586.0,677000.0,-695000.0,,,1505000.0,2674000.0,,770000.0,422803000.0,272482000.0,,566877000.0,286687000.0,,-206000.0,,6600000.0,-264239000.0,-206000.0,,,4774000.0,422803000.0,8688000.0,,428000.0,-7202000.0,5126000.0,1044000.0,,,,,771000.0,,,3206000.0,22600000.0,-13877000.0,,,1419000.0,,405000.0,10087000.0,22600000.0,1044000.0,407356000.0,,,128622000.0,-58878000.0,,-164064000.0,1245000.0,460519000.0,-1776000.0,-35763000.0,-0.5,566877000.0,,,551425000.0,1044000.0,27642586.0,18166000.0,1044000.0,,,,,421617000.0,3000.0,106358000.0,,,,-892000.0,,0.0,8688000.0,,18166000.0,-253000.0,-14261000.0,421617000.0,5447000.0,,-13953000.0,,0.0,,-27606000.0,1044000.0,-258705000.0,760000.0,-88000.0,1044000.0,3753000.0,-57732000.0,1041000.0,1787000.0,-4641000.0,-205361000.0,2674000.0,-76000.0,,0.0,,1935000.0,,,17469000.0,-234000.0,106358000.0,128622000.0,-212563000.0,,,-2131000.0,34312000.0,,-0.5,,-28000.0,-10162000.0,15534000.0,460519000.0,1966000.0,,,,,-282000.0,4430000.0,547000.0,,,,407356000.0,,34422000.0,,5376000.0,551425000.0,-282000.0,2121000.0,,6600000.0,428000.0,10408000.0,-200973000.0,-14261000.0,222435000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,,-20611000.0,,0.0,,,,,,,49228000.0,153000.0,221446000.0,,,812000.0,,,,9771000.0,,,-595000.0,768516000.0,,,,630666000.0,,-720000.0,,6149000.0,,-1081000.0,,,,,,,480000.0,,,222490000.0,,,,,,,,4929000.0,60958000.0,-3841000.0,,,3241000.0,,1044000.0,,,222490000.0,,,,,,,-119144000.0,-7507000.0,691819000.0,,21345000.0,,1018118000.0,,27642586.0,967673000.0,,,17802000.0,,,,,,603353000.0,,,,-0.14,,,,0.0,27575000.0,,,,,,,,,,,,,222490000.0,-92889000.0,18112000.0,,,11068000.0,19855000.0,,1688000.0,,,37483000.0,30000.0,,,,,,,,-1538000.0,326299000.0,199157000.0,,-14211000.0,27642586.0,-568000.0,,,,,-457000.0,,,,9380000.0,,-0.14,,,,11880000.0,6139000.0,,,,586032000.0,,-22945000.0,,6837000.0,,,-451000.0,,,,,-98533000.0,-17321000.0,334946000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,30016000.0,,0.0,,,,,,,202744000.0,8419000.0,-206574000.0,,,2171000.0,,,22462000.0,15380000.0,,,-3259000.0,857902000.0,,,,824788000.0,,-12909000.0,,1639000.0,,-12438000.0,,,,,,,21190000.0,,,16016000.0,,,,,,,,10123000.0,132029000.0,-12909000.0,,287013000.0,5531000.0,,222490000.0,,,16016000.0,,,,,,,-357207000.0,-2989000.0,1325333000.0,,176179000.0,,1457800000.0,,291765.0,1153996000.0,,,42487000.0,,,,,,1148549000.0,,,573000.0,-44.244512,,,,0.0,22760000.0,,,,,,,,,,,,,16016000.0,-574982000.0,-19057000.0,,,19797000.0,-10840000.0,,2500000.0,,,287586000.0,13295000.0,,,,,,,,-17756000.0,132467000.0,296094000.0,,-176919000.0,291765.0,-42355000.0,,,,573000.0,-5318000.0,,,,15205000.0,,-44.244512,,,,21968000.0,9674000.0,,,,1126606000.0,,33019000.0,,6838000.0,,,-6424000.0,,,,,-387223000.0,-21943000.0,338392000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,18162000.0,,0.0,,,,,,,270900000.0,-773025000.0,243789000.0,,,6979000.0,,,27358000.0,50028000.0,,,-868000.0,1114425000.0,,,,1033134000.0,,2256000.0,,702000.0,,-1521000.0,,,,,,,7245000.0,,,259363000.0,,,,,,,,21623000.0,289209000.0,-4014000.0,,974000.0,15839000.0,,16016000.0,,,259363000.0,,,,,,,-110138000.0,-22441000.0,2184402000.0,,195519000.0,,2613080000.0,,27066000.0,1481795000.0,,,10477000.0,,,,,,1882447000.0,,,-931000.0,-0.15,,,,0.0,60360000.0,,,,,,,,,,,,,259363000.0,-301721000.0,29683000.0,,,46242000.0,-301721000.0,,8035000.0,,,313511000.0,2597000.0,,,,,,,,1285000.0,428678000.0,367370000.0,,-164406000.0,27066000.0,-474128000.0,,,,-4014000.0,2806000.0,,,,40458000.0,,-0.15,,,,53221000.0,24619000.0,,,,1848635000.0,,8777000.0,,35840000.0,,,2807000.0,,,,,-128300000.0,-33812000.0,527348000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,55011000.0,32036000.0,0.0,1599277000.0,-7249000.0,52214000.0,,-86612000.0,,80133000.0,-944080000.0,208852000.0,45470000.0,29602000.0,8485000.0,16278000.0,,,31986000.0,472099000.0,5787000.0,-16812000.0,1678194000.0,2198331000.0,,3669350000.0,1517962000.0,,-21603000.0,,7702000.0,-1814618000.0,-62387000.0,-25617000.0,,4062000.0,1761706000.0,83612000.0,,21989000.0,84227000.0,21615000.0,468393000.0,,-1637000.0,,,-22036000.0,,770421000.0,49075000.0,361673000.0,-21603000.0,,1090000.0,20088000.0,,259363000.0,67085000.0,361673000.0,468393000.0,2637139000.0,,,391723000.0,-32453000.0,,-792505000.0,29505000.0,2765614000.0,1729666000.0,123275000.0,-0.87,3378018000.0,,,1862097000.0,468554000.0,29602000.0,29419000.0,468554000.0,,,,,2377883000.0,1044000.0,593772000.0,-1637000.0,,,-3431000.0,,0.0,81781000.0,,29419000.0,-4773000.0,-52981000.0,2690120000.0,40128000.0,,-25617000.0,,205288000.0,,727285000.0,468393000.0,-558433000.0,-25367000.0,-4689000.0,468554000.0,34081000.0,903139000.0,467940000.0,27578000.0,-739570000.0,-1782165000.0,471392000.0,270000.0,1090000.0,102581000.0,,18693000.0,,,127156000.0,-63007000.0,612404000.0,183903000.0,-1697938000.0,,,-224285000.0,97412000.0,,-0.87,-25617000.0,-620000.0,99103000.0,108463000.0,3075578000.0,5094000.0,,,4220000.0,336800000.0,-81923000.0,42566000.0,-14994000.0,,,-34000000.0,2327803000.0,,77962000.0,,52081000.0,2153429000.0,-36765000.0,-705000.0,,7702000.0,24264000.0,86848000.0,-847516000.0,-50080000.0,712274000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,,-10609000.0,,0.0,,,,,,,229517000.0,3976000.0,-315130000.0,,,20463000.0,,,,58258000.0,,,-49045000.0,2175703000.0,,,,1965161000.0,,-28116000.0,,5983000.0,,-83660000.0,,,,,,,23242000.0,,,153423000.0,,,-31784000.0,,,,,47857000.0,454928000.0,-28116000.0,,1220000.0,31555000.0,,468554000.0,,,153423000.0,,,-10000000.0,,,,-93367000.0,-20985000.0,4028432000.0,,-190155000.0,,4365618000.0,,49694000.0,2509608000.0,,,92428000.0,,,,,,3504587000.0,,,-2609000.0,-0.57,,,,0.0,81146000.0,,,,,,,,,,,,,153423000.0,-918063000.0,417000.0,,,50052000.0,-14585000.0,,15966000.0,,,703396000.0,8187000.0,,,,,,,,-83705000.0,337186000.0,333905000.0,,-810720000.0,49694000.0,-576410000.0,,,,-53733000.0,-45000.0,,,,34086000.0,,-0.57,5144000.0,342192000.0,,70515000.0,2195000.0,,,,3429630000.0,,-10544000.0,,57413000.0,,,0.0,,,,,-82758000.0,-74957000.0,613542000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
