,annualGainsLossesNotAffectingRetainedEarnings,trailingFreeCashFlow,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,annualOperatingIncome,annualOtherShortTermInvestments,annualDilutedEPS,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,annualChangeInAccountPayable,annualAccountsPayable,quarterlySellingGeneralAndAdministration,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualOtherCurrentAssets,annualTaxProvision,trailingTotalRevenue,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualBasicAverageShares,quarterlyTotalRevenue,trailingTaxProvision,trailingPretaxIncome,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,annualPretaxIncome,annualDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyTotalAssets,trailingOperatingIncome,annualCostOfRevenue,quarterlyNetIncomeCommonStockholders,annualFreeCashFlow,annualInvestmentsAndAdvances,annualCurrentDebt,annualNetIncome,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualInvestingCashFlow,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualOperatingExpense,quarterlyGrossPPE,quarterlyDilutedEPS,trailingInvestingCashFlow,quarterlyOperatingCashFlow,annualCapitalExpenditure,annualAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,annualChangesInAccountReceivables,trailingInterestExpense,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyEbitda,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualInventory,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualChangeInCashSupplementalAsReported,annualInterestExpense,annualRepaymentOfDebt,annualPurchaseOfInvestment,annualTotalRevenue,annualGoodwill,annualCapitalStock,annualTotalNonCurrentAssets,quarterlyOperatingExpense,annualNetPPE,trailingGrossProfit,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyBasicAverageShares,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualGrossProfit,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,annualEbitda,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyBasicEPS,annualChangeInInventory,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,annualGrossPPE,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,annualBeginningCashPosition,annualPurchaseOfBusiness,quarterlyOtherIntangibleAssets,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualLongTermDebt,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualOtherNonCashItems,annualTotalAssets,quarterlyOtherCurrentAssets,annualStockholdersEquity,quarterlyGoodwill,annualCurrentLiabilities,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,trailingNetIncomeCommonStockholders,annualBasicEPS,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyGrossProfit,annualSaleOfInvestment,annualCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyDilutedAverageShares,trailingEndCashPosition,trailingCashDividendsPaid,trailingDilutedAverageShares,annualResearchAndDevelopment,annualStockBasedCompensation,trailingChangeInWorkingCapital,quarterlyStockBasedCompensation,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherFinancingCharges,trailingBasicEPS,annualRetainedEarnings,trailingCommonStockIssuance,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingDepreciationAndAmortization,trailingDeferredIncomeTax,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,quarterlyRetainedEarnings,trailingChangesInAccountReceivables,trailingRepaymentOfDebt,trailingPurchaseOfInvestment,trailingOtherNonCashItems,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingBeginningCashPosition
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,,,,,103400000.0,,2.795555,,,,400000.0,,,,-38900000.0,,,300000.0,,200000.0,,,36951515.0,,,,103300000.0,200000.0,,,103600000.0,36951515.0,,,,,,207100000.0,,103600000.0,,,103300000.0,,,-64600000.0,,,,,0.0,85400000.0,,,,,-13700000.0,,,-2300000.0,,,,,,,,,,,,,,,-52500000.0,,,,-300000.0,200000.0,-500000.0,-103100000.0,395900000.0,,,,,,,,0.0,,,,,117300000.0,,188800000.0,,,156400000.0,,-53000000.0,,,,,,,-2600000.0,,,,,,,,,500000.0,,,,,,,,,30300000.0,,0.0,,300000.0,,,,,,,103300000.0,52600000.0,,,,,,2.795555,,,,,,,,,,52000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301529600,,,,,,,,,2400000.0,8900000.0,,,14400000.0,,,,,,,,,,,94400000.0,,,,,-188900000.0,,,,,,55000000.0,,,,37200000.0,,,,,,,,,,,36000000.0,,,,1.006725,,60300000.0,,,-200000.0,,,36600000.0,,,,,,,11900000.0,,-100000.0,,46200000.0,,,,,,,,,,,,,,26600000.0,,,,,,,,36951515.0,,,,200000.0,-200000.0,,,,0.0,,,37200000.0,2300000.0,1.006725,,,97700000.0,,100000.0,-5300000.0,97900000.0,,,,,,,,37200000.0,37200000.0,,,,,,,,,,,,,31200000.0,,,0.0,0.0,,,,,,,,,1000000.0,,,,63200000.0,,,-158200000.0,0.0,-5600000.0,,36951515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,,,,,,,,300000.0,8800000.0,,,8200000.0,,,,,,,,,,,102800000.0,,,,,-71700000.0,,,,,,21400000.0,,,,32800000.0,,,,,,,,,,,275700000.0,,,,0.88765,,27400000.0,,,400000.0,,,39200000.0,,,,,,,-14500000.0,,0.0,,41700000.0,,,,,,,,,,,,,,19800000.0,,,,,,,,36951515.0,,,,0.0,-100000.0,,,,0.0,,,32800000.0,-300000.0,0.88765,,,14300000.0,,100000.0,-6000000.0,14400000.0,,,,,,,,32800000.0,32800000.0,,,,,,,,,,,,,43800000.0,,,-239300000.0,-7500000.0,,,,,,,,,-3400000.0,,,,59000000.0,,,-41300000.0,400000.0,,,36951515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317340800,,,,,,,,,-1500000.0,9700000.0,,,10700000.0,,,,,,,,,,,109300000.0,,,,,0.0,,,,,,43000000.0,,,,39300000.0,,,,,,,,,,,0.0,,,,1.063556,,53900000.0,,,13300000.0,,,46500000.0,,,,,,,6500000.0,,-100000.0,,49000000.0,,,,,,,,,,,,,,23100000.0,,,,,,,,36951515.0,,,,400000.0,-200000.0,,,,0.0,,,39300000.0,-3100000.0,1.063556,,,-94800000.0,,0.0,-10900000.0,-94600000.0,,,,,,,,39300000.0,39300000.0,,,,,,,,,,,,,39700000.0,,,65100000.0,-7400000.0,,,,,,,,,1800000.0,,,,69600000.0,,,54200000.0,13700000.0,,,36951515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,,,,51100000.0,132000000.0,0.0,3.626374,298700000.0,-2000000.0,8900000.0,,34700000.0,40400000.0,12800000.0,12600000.0,63900000.0,200000.0,100000.0,,100000.0,12800000.0,,36951515.0,104100000.0,,,134000000.0,0.0,-220000000.0,100000.0,134100000.0,36951515.0,63900000.0,,12700000.0,1303100000.0,,162900000.0,24700000.0,132100000.0,,700000.0,134000000.0,1004400000.0,,-218700000.0,,,,0.0,-200000.0,115700000.0,1240800000.0,,,40300000.0,-49800000.0,-374000000.0,-13600000.0,-1000000.0,,3100000.0,1700000.0,,,,,34700000.0,8700000.0,,0.0,,33700000.0,1700000.0,37300000.0,9000000.0,,0.0,-100000.0,200000.0,-600000.0,-480600000.0,410600000.0,134200000.0,,1004400000.0,52400000.0,866800000.0,,,0.0,100000.0,100000.0,,,181900000.0,100000.0,247700000.0,13700000.0,-100000.0,170600000.0,,36700000.0,100000.0,,866800000.0,24800000.0,100000.0,,900000.0,700000.0,19500000.0,1240800000.0,0.0,-27600000.0,19600000.0,-374000000.0,3400000.0,200000.0,,,0.0,,24700000.0,24700000.0,3400000.0,0.0,67500000.0,11200000.0,,298700000.0,-800000.0,1303100000.0,200000.0,1239200000.0,134200000.0,51100000.0,48600000.0,134000000.0,36300000.0,174200000.0,0.0,15600000.0,6400000.0,,3.626374,1239200000.0,6400000.0,11200000.0,,1500000.0,,,15600000.0,55500000.0,311700000.0,,-73400000.0,100000.0,,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333152000,,,,45800000.0,,,,327000000.0,-1400000.0,9200000.0,,,16600000.0,,,,,,,,12500000.0,,,102100000.0,,,,,-36600000.0,,,,58300000.0,,32800000.0,1341800000.0,,,35200000.0,,,,,1014800000.0,,,,,,0.0,,,1258800000.0,0.9526,,50400000.0,,,5100000.0,,,34900000.0,2400000.0,,,,,30900000.0,7400000.0,,0.0,,44500000.0,,,,,,,,,,,,,,29500000.0,,,,,,5200000.0,,36951515.0,,5200000.0,,100000.0,-100000.0,,,,100000.0,,876600000.0,35300000.0,1800000.0,0.9526,,700000.0,8900000.0,,0.0,-17600000.0,9000000.0,-382200000.0,4000000.0,,,,,,35200000.0,35200000.0,,0.0,,,,,,,0.0,,134200000.0,,37700000.0,,,0.0,0.0,13800000.0,,,,1283500000.0,,11100000.0,,800000.0,,,,64400000.0,,,-54200000.0,5200000.0,-7200000.0,8200000.0,36951515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341014400,,,,220900000.0,,,,449100000.0,-1600000.0,9200000.0,,,17000000.0,,,,,,,,12200000.0,,,110400000.0,,,,,36600000.0,,,,233100000.0,,7300000.0,1501600000.0,,,29800000.0,,,,,1052500000.0,,,,,,0.0,,,1267300000.0,0.806462,,44500000.0,,,-4600000.0,,,36800000.0,169200000.0,,,,,41000000.0,6800000.0,,0.0,,39100000.0,,,,,,,,,,,,,,29200000.0,,,,,,600000.0,,36951515.0,,600000.0,,5200000.0,-200000.0,,,,100000.0,,914300000.0,29900000.0,-2500000.0,0.806462,,700000.0,121900000.0,,0.0,-37200000.0,122100000.0,-353000000.0,4000000.0,,,,,,29800000.0,29800000.0,,0.0,,,,,,,500000.0,,134200000.0,,44400000.0,,,-170400000.0,-7300000.0,16300000.0,3600000.0,,,1268500000.0,,10900000.0,,-300000.0,,,,66000000.0,,,-171000000.0,600000.0,,8500000.0,36951515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348963200,,,,62600000.0,,,,152500000.0,-2200000.0,9400000.0,,,11200000.0,,,,,,,,12000000.0,,,121100000.0,,,,,0.0,,,,74600000.0,,-27500000.0,1250200000.0,,,36900000.0,,,,,1097700000.0,,,,,,0.0,,,1334200000.0,0.998606,,26900000.0,,,67900000.0,,,44000000.0,1600000.0,,,,,42500000.0,-17100000.0,,-100000.0,,46200000.0,,,,,,,,,,,,,,23600000.0,,,,,,68500000.0,,36951515.0,,68500000.0,,600000.0,-200000.0,,,,-100000.0,,958300000.0,36800000.0,2600000.0,0.998606,,700000.0,-296800000.0,,0.0,-54400000.0,-296600000.0,-375900000.0,5200000.0,,,,,,36900000.0,36900000.0,,0.0,,,,,,,500000.0,,134200000.0,,53500000.0,,,392200000.0,-7700000.0,13700000.0,8100000.0,,,1175600000.0,,10700000.0,,-1600000.0,,,,67600000.0,,,337800000.0,68500000.0,,10100000.0,36951515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,,,,63300000.0,143500000.0,,0.17,283800000.0,-3700000.0,11600000.0,-8000000.0,39000000.0,11700000.0,11200000.0,15900000.0,74500000.0,2600000.0,300000.0,,216700000.0,11200000.0,,74000000.0,108600000.0,,,144000000.0,1300000.0,0.0,216700000.0,144300000.0,74000000.0,74500000.0,,42400000.0,1301300000.0,,218200000.0,-89000000.0,55000000.0,,700000.0,13100000.0,1017500000.0,,87400000.0,,,,221700000.0,-100000.0,80500000.0,1186300000.0,,,68800000.0,-135600000.0,-276300000.0,148200000.0,-2000000.0,,21500000.0,3000000.0,,,,,39000000.0,18800000.0,,0.0,,55200000.0,3000000.0,-265100000.0,8900000.0,,,216600000.0,1300000.0,-700000.0,0.0,442200000.0,104700000.0,691100000.0,1017500000.0,4900000.0,910000000.0,,,-300000.0,216700000.0,216700000.0,,,190600000.0,216700000.0,224000000.0,68500000.0,-200000.0,185000000.0,691100000.0,-61400000.0,200000.0,,910000000.0,42300000.0,-3900000.0,,-1000000.0,700000.0,104600000.0,1186300000.0,1300000.0,-26400000.0,-99600000.0,-276300000.0,2800000.0,100000.0,,,0.0,,-88800000.0,42100000.0,2800000.0,0.0,49800000.0,10600000.0,-202700000.0,283800000.0,-8900000.0,1301300000.0,2600000.0,0.0,104700000.0,63300000.0,82200000.0,12900000.0,39400000.0,-220500000.0,21000000.0,17600000.0,0.0,,0.17,0.0,0.0,10600000.0,,100000.0,,,17600000.0,26400000.0,221700000.0,407100000.0,-25200000.0,216700000.0,,8900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
