,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,annualDepreciationAndAmortization,annualBasicAverageShares,annualOtherNonCashItems,trailingPurchaseOfBusiness,annualStockholdersEquity,quarterlyInvestmentsAndAdvances,annualBasicEPS,quarterlyNetPPE,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,annualInvestingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,annualCapitalStock,annualOperatingCashFlow,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyOtherCurrentLiabilities,trailingGrossProfit,annualPurchaseOfInvestment,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyPretaxIncome,annualGoodwill,quarterlyTaxProvision,annualStockBasedCompensation,annualSaleOfInvestment,quarterlyDilutedAverageShares,annualNetPPE,quarterlyAccountsReceivable,annualCurrentLiabilities,annualOtherIntangibleAssets,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,trailingNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,annualChangeInWorkingCapital,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,trailingNetIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,trailingCashDividendsPaid,annualTotalAssets,quarterlyGoodwill,trailingFreeCashFlow,trailingCommonStockIssuance,annualRetainedEarnings,quarterlyStockholdersEquity,annualOtherCurrentAssets,annualCostOfRevenue,annualCurrentDeferredRevenue,annualCashDividendsPaid,quarterlyRepaymentOfDebt,annualCurrentDebt,quarterlyBasicAverageShares,annualBeginningCashPosition,annualDilutedEPS,annualLongTermDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualFreeCashFlow,annualTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,trailingTaxProvision,trailingDepreciationAndAmortization,annualDilutedAverageShares,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,quarterlyTotalRevenue,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,quarterlyChangeInWorkingCapital,quarterlyChangeInAccountPayable,annualRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,annualTaxProvision,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,annualCurrentAccruedExpenses,annualCapitalExpenditure,trailingNetOtherFinancingCharges,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,annualTotalRevenue,trailingChangeInAccountPayable,annualCurrentAssets,quarterlyCashDividendsPaid,trailingOperatingExpense,trailingBeginningCashPosition,annualInterestExpense,trailingCostOfRevenue,annualChangesInAccountReceivables,trailingRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,trailingChangesInAccountReceivables,quarterlyEndCashPosition,annualOtherNonCurrentAssets,annualCommonStockIssuance,annualNetOtherFinancingCharges,annualOtherShortTermInvestments,quarterlyStockBasedCompensation,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,quarterlyFreeCashFlow,trailingNetOtherInvestingChanges,annualRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,annualEbitda,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,trailingPretaxIncome,trailingInterestExpense,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,trailingCapitalExpenditure,annualOtherIncomeExpense,annualPretaxIncome,annualEndCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingTotalRevenue,annualOperatingIncome,annualNonCurrentDeferredRevenue,trailingOtherIncomeExpense,trailingEndCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualInvestmentsAndAdvances,quarterlyCapitalStock,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,annualGrossPPE,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualChangeInInventory,trailingDilutedAverageShares,annualResearchAndDevelopment,trailingBasicEPS,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,annualDeferredIncomeTax,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,annualInventory,quarterlyInventory,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfInvestment,trailingOtherNonCashItems,trailingDilutedEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301529600,,,,,,,,,,,,,,0.0,,,,,,0.0,,-16000.0,-16000.0,0.0,,,,,,,,,,16000.0,-16000.0,,,,,5580000.0,,,,,,0.0,,,,,0.0,,-0.002867,,,,,,,,,,,,,,,,,,,,5580000.0,,,,,,,,,,,,,,,0.0,-16000.0,,16000.0,,,,,0.0,,,,,,,,,16000.0,0.0,,,,0.0,,,,,,,0.0,,,10000.0,,,,,0.0,,,,-16000.0,,,0.0,,,,,10000.0,,,,,,,,,-0.002867,,,,,,,,,,,,,,,,,,,,-16000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1309392000,,,,,,,,,,,,,,,,,,0.0,,0.0,,-485.0,-485.0,0.0,,,,,0.0,,,,,485.0,,,,,,5580000.0,,,,,,0.0,,,,,0.0,0.0,-8.7e-05,,,,,1966411.0,166510.0,,,,,,,-16000.0,,,,,,,5580000.0,,,,0.0,,,,,,,,,,,0.0,-485.0,,10.0,,,,,0.0,1966411.0,,,,,,,,485.0,,,,,,,,,,,,0.0,-16010.0,,10.0,,,,,,,,,-485.0,,,0.0,,,,,10000.0,,,1783901.0,,,,,,-8.7e-05,,,,10.0,10.0,,,,,,,,,,,,,,1950411.0,-485.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317340800,,,,,,,,,,,,100785000.0,,-604000.0,,,,0.0,-13822000.0,587000.0,,-634000.0,-669000.0,243000.0,,,,,0.0,,,687000.0,65350000.0,456000.0,,,,,,1515710.0,,,,,,830000.0,,,,,0.0,65350000.0,-0.42,,,,,1894000.0,2195000.0,,,,,,,41564000.0,,,,,,,1515710.0,,,,0.0,,,,0.0,,,,,,,576000.0,120000.0,,507990.0,,,929000.0,,576000.0,67244000.0,,,,114607000.0,,,,84000.0,,,,,,,,,,,,,-650000.0,,830000.0,,,,,,,,,492000.0,,,243000.0,,,,,10.0,,,110453000.0,,,,,,-0.42,,,,830000.0,830000.0,,,,,,,,,,,,,,112648000.0,-634000.0,7605000.0,,,58000.0,,,,,185000.0,,,,,,,,,,,,,,,,,,,,,,
1325289600,72667000.0,16529000.0,,,1624000.0,2045320.0,377000.0,,53630000.0,,-1.26,122032000.0,-3228000.0,-1270000.0,19756000.0,,-17528000.0,0.0,-14841000.0,19169000.0,,-1925000.0,-1143000.0,677000.0,73000.0,920000.0,,,0.0,,,724000.0,,1580000.0,,,,182000.0,,,122032000.0,,74249000.0,,3022000.0,2318000.0,,,,784000.0,153000.0,0.0,,,,,74249000.0,74249000.0,9549000.0,,131581000.0,,,,-4025000.0,53630000.0,1818000.0,153000.0,724000.0,-1449000.0,,72667000.0,,0.0,-1.26,,1818000.0,-2575000.0,-16608000.0,122032000.0,0.0,440000.0,,,2045320.0,-1828000.0,3148000.0,2599000.0,866000.0,,260000.0,,,,,2446000.0,74249000.0,2052000.0,,,136873000.0,,-17528000.0,,340000.0,160000.0,3175000.0,,9549000.0,,,,924000.0,,,,,-4025000.0,,3148000.0,0.0,21766000.0,-7878000.0,,,,-2575000.0,,2121000.0,0.0,-14841000.0,-16851000.0,,-11159000.0,,2594000.0,830000.0,,,122032000.0,0.0,,,3148000.0,,,0.0,3148000.0,0.0,3148000.0,3148000.0,,,,,-1874000.0,,3148000.0,,,970000.0,,,,131581000.0,-1925000.0,,1255000.0,,73000.0,,,136873000.0,,739000.0,,,,,,,,,,,,,,,,,,,,,,
1333152000,,,-8629000.0,,,,,,,,,117035000.0,-283000.0,-342000.0,,,,0.0,-16348000.0,5343000.0,,-630000.0,-308000.0,906000.0,,,,,0.0,,,603000.0,79859000.0,1937000.0,-308000.0,,,,,7174934.0,,,,,,-2380000.0,,,,,119000.0,79859000.0,-0.09,,0.0,,,1344000.0,7239000.0,,,,,,,51569000.0,,,,,,,7174934.0,,,,4275000.0,,,,0.0,,,,,,,2944000.0,888000.0,,-580000.0,,,,,2825000.0,81203000.0,,,,133383000.0,,,,418000.0,288000.0,,,,-1566000.0,,,,,,,-8629000.0,-6223000.0,,768000.0,,,,,137000.0,,,,2065000.0,,,-7723000.0,,,,,3148000.0,,,129153000.0,,,,,,-0.09,,,,768000.0,768000.0,,,,,,,,,,,,,,136392000.0,-630000.0,12118000.0,1519000.0,,73000.0,,,,,854000.0,,,,,,,,,,,,,,,,,,,,,,
1341014400,105153000.0,,-58169000.0,,,,,,,,,171636000.0,-719000.0,-2136000.0,,,,0.0,-18092000.0,59253000.0,,-2040000.0,-2042000.0,255000.0,,,,,0.0,,,695000.0,105153000.0,2250000.0,-2042000.0,,,,,7653170.0,,,,,,1339000.0,,,,,121000.0,105153000.0,-0.28,,0.0,,,2351000.0,9235000.0,,,,,,,83887000.0,,,,,,,7653170.0,,,,4627000.0,,,,0.0,,,,,,,3348000.0,977000.0,,195000.0,,,,,3227000.0,107504000.0,,,,189728000.0,,,,495000.0,349000.0,,,,-1650000.0,,,,,,,-58169000.0,-9915000.0,,2107000.0,,,,,183000.0,,,,596000.0,,,-57914000.0,,,,,768000.0,,,191931000.0,,,,,,-0.28,,,,2107000.0,2107000.0,,,,,,,,-13000.0,,,,,,201166000.0,-2040000.0,20295000.0,1755000.0,,112000.0,,,,,883000.0,,,,,,,,,,,,,,,,,,,,,,
1348963200,,4607000.0,-25700000.0,,,,,,,,,190463000.0,-2172000.0,-819000.0,,,,0.0,-20954000.0,24563000.0,,-804000.0,-825000.0,2256000.0,,,,,0.0,,,803000.0,126850000.0,3435000.0,,,,,,10846432.0,,,,,,1672000.0,,,,,315000.0,126850000.0,-0.09,,0.0,,,2079000.0,11810000.0,,,,,,,88137000.0,,,,,793000.0,,10846432.0,,,,812000.0,,,,0.0,,,,,,,4880000.0,1130000.0,,-481000.0,,,,,4565000.0,128929000.0,,,,211417000.0,,,,617000.0,741000.0,,,,-2569000.0,,,,,,,-25147000.0,-13295000.0,,3779000.0,,,,,472000.0,,,,3948000.0,,,-23444000.0,,,,,2107000.0,,,214769000.0,,,,,,-0.09,,,,3779000.0,3779000.0,,,,,,,,-13000.0,,,,,,226579000.0,-804000.0,24306000.0,2818000.0,,120000.0,,,,,1136000.0,,,,,,,,,,,,,,,,,,,,,,
1356912000,,0.0,-32956000.0,,9438000.0,9150785.0,817000.0,,81952000.0,,-0.84,216042000.0,-1627000.0,-3292000.0,118433000.0,,-124901000.0,0.0,-24233000.0,29274000.0,,-3804000.0,-3629000.0,2651000.0,120000.0,6068000.0,,,0.0,,,763000.0,160362000.0,3961000.0,,,,1170000.0,,,216042000.0,,3782000.0,28404000.0,15724000.0,-1031000.0,,,,1592000.0,543000.0,161125000.0,,,-54000.0,,164907000.0,3782000.0,6632000.0,,256069000.0,,,,-19705000.0,81952000.0,665000.0,1098000.0,763000.0,-8396000.0,-12000.0,,,3148000.0,-0.84,160362000.0,665000.0,-7278000.0,6014000.0,249437000.0,0.0,2261000.0,,,9150785.0,-6804000.0,2748000.0,5650000.0,1146000.0,,2458000.0,,,3782000.0,763000.0,5107000.0,164907000.0,11583000.0,,,240275000.0,,-54000.0,,731000.0,725000.0,16822000.0,,6632000.0,-2611000.0,,,4356000.0,,,,-32956000.0,-19705000.0,,2748000.0,0.0,34935000.0,-4801000.0,,378000.0,3020000.0,-7646000.0,,-2097000.0,161125000.0,-24233000.0,95095000.0,,-122000.0,,6990000.0,3779000.0,,,249437000.0,0.0,,,2748000.0,-11000.0,,553000.0,-400000.0,0.0,2748000.0,2748000.0,,3782000.0,,,-6589000.0,-6804000.0,2748000.0,-11000.0,,4141000.0,763000.0,,,256069000.0,-4172000.0,28404000.0,3346000.0,,120000.0,,,240275000.0,,1483000.0,,,,,,,,,,,,,,,,,,,,,,
1364688000,640000000.0,27543000.0,-262296000.0,,,,,,,4000.0,,1980079000.0,-28474000.0,-142652000.0,,,,0.0,-81207000.0,126492000.0,,-137920000.0,-138350000.0,-6774000.0,,,,,5012000.0,,,5270000.0,905118000.0,27292000.0,-138350000.0,,,,,153339174.0,,,,,,-104461000.0,4000.0,,,,2404000.0,910388000.0,-0.9,,-1041000.0,,,11693000.0,69775000.0,,,,,,,1041912000.0,,,,,-159604000.0,,153339174.0,,,,679000.0,,,,265118000.0,,,,,,,40200000.0,10504000.0,,-5858000.0,-3178000.0,,6589000.0,5270000.0,37796000.0,922081000.0,,,,2061286000.0,,,,2183000.0,108247000.0,,,,-37451000.0,,,,,,,-224179000.0,-290484000.0,,52412000.0,,,,,3255000.0,,,-350522000.0,-106976000.0,,,-6774000.0,,,,,156873000.0,,,2018327000.0,,,,,,-0.900474,,,,52412000.0,52412000.0,,,,,,,,-5018000.0,,,,,,2088102000.0,-138078000.0,241501000.0,25172000.0,,1551000.0,,44198000.0,,,6202000.0,-2004000.0,,,,,,,,,,,,,,,,,,,,,
