date,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,quarterlyBasicEPS,annualCapitalStock,trailingOperatingCashFlow,annualOtherIntangibleAssets,annualNetPPE,quarterlyTaxProvision,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,annualOtherNonCashItems,quarterlyCapitalExpenditure,quarterlyInterestExpense,annualGrossPPE,annualBeginningCashPosition,annualPurchaseOfBusiness,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyOperatingCashFlow,trailingInvestingCashFlow,trailingCapitalExpenditure,trailingOperatingExpense,quarterlySaleOfInvestment,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualPurchaseOfInvestment,annualInvestingCashFlow,annualCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,trailingCashDividendsPaid,quarterlyAccountsPayable,trailingInterestExpense,trailingNetIncomeContinuousOperations,trailingPurchaseOfInvestment,trailingBeginningCashPosition,trailingNetIncome,annualBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,trailingNetOtherFinancingCharges,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualChangeInWorkingCapital,trailingChangeInWorkingCapital,annualNetOtherFinancingCharges,annualInterestExpense,annualAccountsPayable,quarterlyOtherNonCashItems,annualOperatingIncome,quarterlyCashDividendsPaid,trailingFreeCashFlow,annualTotalRevenue,quarterlySellingGeneralAndAdministration,annualDilutedAverageShares,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualEndCashPosition,quarterlyRetainedEarnings,trailingTotalRevenue,quarterlyDilutedEPS,annualNetOtherInvestingChanges,annualDilutedEPS,annualNetIncomeContinuousOperations,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,trailingTaxProvision,annualCashAndCashEquivalents,annualInvestmentsAndAdvances,annualNetIncome,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,trailingEndCashPosition,annualPretaxIncome,annualFreeCashFlow,quarterlyTotalAssets,annualCashDividendsPaid,annualBasicEPS,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualSellingGeneralAndAdministration,trailingPretaxIncome,annualTotalAssets,quarterlyNetOtherInvestingChanges,annualStockholdersEquity,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,trailingNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyStockholdersEquity,annualRetainedEarnings,annualSaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyDilutedAverageShares,quarterlyEndCashPosition,quarterlyOperatingExpense,annualCommonStockIssuance,quarterlyInvestingCashFlow,annualCurrentDeferredRevenue,annualCurrentAssets,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,trailingResearchAndDevelopment,annualGoodwill,quarterlyOtherNonCurrentAssets,quarterlyCurrentAccruedExpenses,trailingCommonStockIssuance,annualCostOfRevenue,trailingOtherIncomeExpense,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualGrossProfit,annualStockBasedCompensation,trailingCashFlowFromContinuingFinancingActivities,quarterlyLongTermDebt,annualDeferredIncomeTax,quarterlyChangeInInventory,annualInventory,annualTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCurrentLiabilities,trailingOtherNonCashItems,quarterlyCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,trailingRepurchaseOfCapitalStock,annualIncomeTaxPayable,annualOtherNonCurrentAssets,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyGoodwill,quarterlyNonCurrentDeferredRevenue,trailingGrossProfit,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingDilutedEPS,annualCashFlowFromContinuingFinancingActivities,annualGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,annualChangeInInventory,trailingBasicEPS,quarterlyOtherShortTermInvestments,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentAssets,quarterlyOtherCurrentLiabilities,annualCurrentDebt,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,annualChangesInAccountReceivables,trailingDilutedAverageShares,annualLongTermDebt,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingCostOfRevenue,quarterlyCurrentDebt,quarterlyGrossProfit,annualOtherIncomeExpense,trailingDeferredIncomeTax,quarterlyCostOfRevenue,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,annualOtherNonCurrentLiabilities,quarterlyDeferredIncomeTax,annualAccountsReceivable,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyResearchAndDevelopment,trailingBasicAverageShares,annualOtherCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualOtherCurrentLiabilities,trailingOperatingIncome,quarterlyCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyAccumulatedDepreciation,annualEbitda,annualAccumulatedDepreciation
2002-12-31,,219784000000.0,,160730000000.0,1216438000000.0,,70631000000.0,,-1037386000000.0,,,,,,,554379000000.0,,,,,70631000000.0,,,,,,-858653000000.0,-43658000000.0,272329000000.0,,,192870000000.0,73747000000.0,-64688000000.0,-48462000000.0,-7226000000.0,,-117076000000.0,,421150000000.0,311291000000.0,-2422055000000.0,1884523000000.0,309761000000.0,,,,150095000000.0,0.0,168341000000.0,,691899000000.0,,,89630000000.0,,9740000000.0,,1172780000000.0,83487000000.0,,,153000000.0,4594767000000.0,,,840783000000.0,,-1639000000.0,,6749000000.0,,,,,77753000000.0,17846000000.0,988391000000.0,6527000000.0,,,,2411640000000.0,6902000000.0,212558000000.0,,,,1612609000000.0,,,47943000000.0,389044000000.0,4776773000000.0,,178208000000.0,309761000000.0,6527000000.0,-9181000000.0,,,1428000000.0,25091000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,,160884000000.0,,160671000000.0,,,78086000000.0,,,,,,,,,,,-36293000000.0,,,78086000000.0,213629000000.0,,,,,,,,,,,78439000000.0,-346227000000.0,-132124000000.0,-7531000000.0,,,,,,,,,,,,,,28991000000.0,103312000000.0,,0.0,66361000000.0,,,69872000000.0,,,184604000000.0,,,11292000000.0,5095658000000.0,242620000000.0,,,,-1582000000.0,,22494000000.0,,,,,,483803000000.0,11452000000.0,22374000000.0,,,,,33786000000.0,153353000000.0,,-91000000.0,,,,,46936000000.0,,4560174000000.0,,-537099000000.0,,22374000000.0,,8654000000.0,,-718592000000.0,221862000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,,120764000000.0,,160669000000.0,,1088000000.0,76576000000.0,,,,,,,,,,,-30859000000.0,,,76576000000.0,242620000000.0,,,,,,,,,,,87941000000.0,-467936000000.0,-200067000000.0,-6730000000.0,,,,,,,,,,,,,,-74601000000.0,60426000000.0,,1465000000.0,70161000000.0,35581000000.0,,84005000000.0,,,202805000000.0,,,23193000000.0,5577369000000.0,168019000000.0,,,,2973000000.0,,31118000000.0,,,,,,536128000000.0,9009000000.0,30763000000.0,,,,,54311000000.0,114034000000.0,,-226000000.0,,,,,47067000000.0,,5072874000000.0,,-508163000000.0,,30763000000.0,,8977000000.0,,-687837000000.0,269896000000.0,,,,,1467000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,639519000000.0,367494000000.0,,248000000000.0,,1023000000.0,109976000000.0,,,248000000000.0,,,,109976000000.0,,,,-27014000000.0,,,109976000000.0,168019000000.0,,,1023000000.0,,,,,,109976000000.0,,122708000000.0,-719996000000.0,-397411000000.0,-7623000000.0,,,39144000000.0,,,,,,,,,,-138000000.0,126405000000.0,306251000000.0,,124314000000.0,86599000000.0,39144000000.0,,91666000000.0,,,241388000000.0,,,25007000000.0,6196255000000.0,294424000000.0,5009000000.0,,,-1764000000.0,0.148215,37869000000.0,,,,,,639519000000.0,7069000000.0,37405000000.0,,6196255000000.0,,,62876000000.0,359871000000.0,6457239000000.0,-728000000.0,0.148215,,,,61293000000.0,,6457239000000.0,,256947000000.0,,37405000000.0,,10101000000.0,256947000000.0,5009000000.0,326795000000.0,7069000000.0,,,,166000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,680961000000.0,,,,,,,,,286509000000.0,,,,105372000000.0,,,,,,,,,,,,,,,,,105372000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18656000000.0,,,,,,,,,,,,,,,6725160000000.0,,,,,7055477000000.0,,,,,,,,,,,,,,,326225000000.0,,,7090000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,,,0.039307,,,,,4164000000.0,,,,17099000000.0,,,,,325053268500.0,,,28441000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18749000000.0,,,,,,,0.039307,,,,,16658000000.0,46106000000.0,,,,,,12777000000.0,,,,,,,,,,12777000000.0,12935000000.0,,,,,,,,,,,,,,325053268500.0,,21639000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,910163000000.0,396221000000.0,,334019000000.0,,,106768000000.0,4822000000.0,,334019000000.0,,15787000000.0,,106768000000.0,,,,-31656000000.0,,29717000000.0,106768000000.0,,,,,,,,,,106768000000.0,,75888000000.0,-2352936000000.0,-343450000000.0,-4585000000.0,,,,,,,,,275993081429.0,,,,,212370000000.0,306628000000.0,,185682000000.0,109823000000.0,,,103001000000.0,,,178889000000.0,17045000000.0,275993081429.0,22185000000.0,7037685000000.0,,5344000000.0,,,-2022000000.0,0.143274,49336000000.0,,47885000000.0,47204000000.0,,,910163000000.0,17405000000.0,48719000000.0,10749000000.0,7037685000000.0,,,71521000000.0,391636000000.0,7509118000000.0,-23624000000.0,0.143274,,10749000000.0,10965000000.0,64469000000.0,,7509118000000.0,,466896000000.0,,48719000000.0,,10195000000.0,466896000000.0,5344000000.0,2014571000000.0,17405000000.0,,,19341000000.0,188676000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,138787000000.0,,0.058961,,,,,9061000000.0,,334019000000.0,506794000000.0,27953000000.0,,83822000000.0,,,317259995333.0,,-767000000.0,30374000000.0,,,,0.0,,106169000000.0,,,,211052000000.0,83822000000.0,,,,,,-263807000000.0,,,,,,,,,77601000000.0,,,,,,,,,,-7355000000.0,,-176000000.0,,,16295000000.0,,,,,24405000000.0,,0.058961,,,,105402000000.0,27783000000.0,55932000000.0,-579424000000.0,,,,,18706000000.0,7390853000000.0,2456000000.0,,,,7880806000000.0,,,,18706000000.0,18892000000.0,,,,0.0,,,,,,485352000000.0,,,1887012000000.0,317259995333.0,242987000000.0,19382000000.0,,-369011000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,1108820000000.0,,,,,,,8152000000.0,,334019000000.0,242987000000.0,30458000000.0,,77713000000.0,,,,,-534000000.0,31215000000.0,,,,-575000000.0,,207990000000.0,,,,613000000000.0,77713000000.0,,,,,,86439000000.0,,,,,,,,,177742000000.0,,,,,,,,,,-9723000000.0,,-15445000000.0,,,19821000000.0,,,,,41201000000.0,,,,,,207456000000.0,29794000000.0,60553000000.0,-716190000000.0,,,,,22138000000.0,7800671000000.0,2396000000.0,,,,8303988000000.0,,,,22138000000.0,22306000000.0,,,,-540000000.0,,,,,,498618000000.0,,,1975214000000.0,,329426000000.0,24132000000.0,,-103610000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,240911000000.0,,0.068788,,,,,10344000000.0,,334019000000.0,329426000000.0,33028000000.0,,76946000000.0,,,326554258000.0,,-713000000.0,34961000000.0,,,,575000000.0,,123162000000.0,,,,379619000000.0,76946000000.0,,,,,,97981000000.0,,,,,,,,,90038000000.0,,,,,,,,,,-6148000000.0,,-1205000000.0,,,20829000000.0,,,,,63656000000.0,,0.068788,,,,122449000000.0,33105000000.0,65880000000.0,-402002000000.0,,,,,22463000000.0,8071719000000.0,2354000000.0,,,,8597756000000.0,,,,22463000000.0,22684000000.0,,,,-887000000.0,,,,,,520958000000.0,,,1912703000000.0,326554258000.0,427407000000.0,24952000000.0,,-23257000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
