,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualStockholdersEquity,annualOtherNonCashItems,annualPurchaseOfBusiness,quarterlyBasicEPS,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualInventory,annualPurchaseOfInvestment,trailingOperatingCashFlow,quarterlyNetPPE,quarterlyOtherIncomeExpense,annualAccountsReceivable,annualCapitalStock,quarterlyTaxProvision,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualNetPPE,quarterlyOperatingExpense,annualOperatingCashFlow,annualGrossProfit,annualCurrentLiabilities,annualGoodwill,annualOtherIntangibleAssets,annualSaleOfInvestment,quarterlyAccountsReceivable,quarterlyCapitalStock,annualBasicAverageShares,annualOtherNonCurrentLiabilities,annualEbitda,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualOperatingIncome,annualOtherCurrentLiabilities,trailingGrossProfit,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,trailingInterestExpense,annualEndCashPosition,annualPretaxIncome,annualNonCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,quarterlyCashAndCashEquivalents,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualAccountsPayable,trailingOperatingIncome,trailingInvestingCashFlow,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,trailingEndCashPosition,annualIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,annualInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualOtherNonCurrentAssets,quarterlyGrossProfit,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,quarterlyIncomeTaxPayable,trailingOperatingExpense,annualCashAndCashEquivalents,annualCapitalExpenditure,annualCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyGrossPPE,annualTaxProvision,quarterlyOperatingIncome,trailingBeginningCashPosition,annualInterestExpense,annualChangesInAccountReceivables,trailingCostOfRevenue,annualDilutedEPS,annualCurrentAssets,annualTotalRevenue,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEbitda,annualChangeInAccountPayable,annualAccumulatedDepreciation,annualOtherShortTermInvestments,annualCommonStockIssuance,annualNetOtherFinancingCharges,annualDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,annualBasicEPS,quarterlyGoodwill,trailingNetIncomeCommonStockholders,annualRetainedEarnings,quarterlyPretaxIncome,trailingNetIncome,quarterlyStockholdersEquity,annualTotalAssets,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualNetIncome,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualBeginningCashPosition,annualLongTermDebt,annualCostOfRevenue,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualTotalNonCurrentAssets,quarterlyDilutedAverageShares,annualSellingGeneralAndAdministration,trailingTaxProvision,annualFreeCashFlow,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,trailingResearchAndDevelopment,trailingNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingOtherIncomeExpense,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualStockBasedCompensation,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,trailingOtherNonCashItems,quarterlyDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,trailingRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyCashDividendsPaid,trailingPurchaseOfInvestment,trailingDilutedEPS,annualRepurchaseOfCapitalStock,quarterlyFreeCashFlow,trailingBasicEPS,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,trailingDilutedAverageShares,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingDeferredIncomeTax,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,trailingCapitalExpenditure,trailingChangeInWorkingCapital,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,trailingNetOtherInvestingChanges,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems
820368000,,177216000.0,809536000.0,88192000.0,,,7488000.0,-341952000.0,7488000.0,44096000.0,,31616000.0,230464000.0,-257920000.0,,741312000.0,,,,,230464000.0,,17472000.0,,140608000.0,,,741312000.0,,104000000.0,261248000.0,723840000.0,,,,,,2533333333.0,,107328000.0,-4160000.0,,24960000.0,63232000.0,140608000.0,,-15808000.0,-230464000.0,185536000.0,,,,35776000.0,,7488000.0,2173184000.0,185536000.0,,185536000.0,,873600000.0,133952000.0,,,918528000.0,449280000.0,,,,,,741312000.0,133952000.0,,,198016000.0,177216000.0,,31616000.0,,,,,185536000.0,-68224000.0,,,284544000.0,873600000.0,4160000.0,-788736000.0,,26624000.0,-9152000.0,,0.01248,1254656000.0,1136512000.0,,31616000.0,17472000.0,-788736000.0,-13312000.0,-132288000.0,,,22464000.0,2533333333.0,17472000.0,-3328000.0,,99840000.0,0.01248,,,99840000.0,,,809536000.0,2173184000.0,1254656000.0,,723840000.0,,741312000.0,449280000.0,31616000.0,677248000.0,-132288000.0,,-3328000.0,416000000.0,17472000.0,875264000.0,677248000.0,,918528000.0,,153920000.0,,35776000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828230400,,,,,,0.004165,14994000.0,,14994000.0,,,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14994000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004165,308210000.0,,,308210000.0,,,,,,,,,,,308210000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,,,,,,0.00416,14976000.0,,14976000.0,,,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00416,307840000.0,,,307840000.0,,,,,,,,,,,307840000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844041600,,,,,,0.00415,14940000.0,,14940000.0,,,,,,,,,,,,,,,2400000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14940000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00415,307100000.0,,,307100000.0,,,,,,,,,,,307100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,,65570000.0,856560000.0,181770000.0,,,16600000.0,-67230000.0,16600000.0,91300000.0,,36520000.0,182600000.0,-9960000.0,,816720000.0,,,,,182600000.0,,9960000.0,,135290000.0,,,816720000.0,,275560000.0,395910000.0,618350000.0,,,,,,2960000000.0,,199200000.0,-217460000.0,,39840000.0,107900000.0,135290000.0,,6640000.0,-10790000.0,174300000.0,,,,68890000.0,,16600000.0,2110690000.0,174300000.0,,174300000.0,,1020070000.0,145250000.0,,,882290000.0,337810000.0,,,,,,628310000.0,145250000.0,,,288010000.0,65570000.0,,61420000.0,,,,,174300000.0,-63910000.0,,,307930000.0,1020070000.0,7470000.0,-813400000.0,,26560000.0,-40670000.0,,0.02075,1228400000.0,1229230000.0,,61420000.0,9960000.0,-813400000.0,-25730000.0,-203350000.0,,,-215800000.0,2960000000.0,9960000.0,125330000.0,,148570000.0,0.02075,,,148570000.0,,,856560000.0,2110690000.0,1228400000.0,,618350000.0,,628310000.0,337810000.0,61420000.0,736210000.0,-203350000.0,,-3320000.0,185090000.0,9960000.0,833320000.0,736210000.0,,882290000.0,,196710000.0,,211650000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859766400,,,,,,0.01245,38180000.0,,38180000.0,,,,,,,,,,,,,,,3066666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38180000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01245,498000000.0,,,498000000.0,,,,,,,,,,,498000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3066666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867628800,,68807000.0,,,,0.012435,38134000.0,,38134000.0,,,,,,,722888000.0,5803000.0,,,5803000.0,208908000.0,,2487000.0,3066666667.0,178235000.0,,368076000.0,,56372000.0,,,,,,,,,,,,,,,,,,,,,,,,,,38134000.0,2230839000.0,218027000.0,,218027000.0,,,,,,791695000.0,264451000.0,,,,,,710453000.0,265280000.0,,,,,129324000.0,,,,,,,,,0.012435,497400000.0,925993000.0,,72952000.0,,,,,,,,,,,72952000.0,,,,,,,2487000.0,,,208079000.0,,,,,43937000.0,,867134000.0,,1439144000.0,56372000.0,707966000.0,,,,,779260000.0,-203105000.0,,,,,,,,,3066666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875577600,,,,,,0.0207,48852000.0,,48852000.0,,,,,,,,,,,,,,,2360000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48852000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0207,714564000.0,,,714564000.0,,,,,,,,,,,714564000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,52164000.0,955512000.0,300564000.0,,,48024000.0,-169740000.0,48024000.0,150696000.0,,-167256000.0,334512000.0,14904000.0,,664884000.0,,,,,334512000.0,,,,197064000.0,,,664884000.0,,420624000.0,805644000.0,702144000.0,,,,,,2600000000.0,,514188000.0,-106812000.0,,12420000.0,363492000.0,197064000.0,,-144900000.0,132480000.0,295596000.0,,,,212796000.0,,48024000.0,2392920000.0,295596000.0,,295596000.0,,982836000.0,288972000.0,,,717048000.0,216108000.0,,,,,,701316000.0,288972000.0,,,442152000.0,52164000.0,,172224000.0,,,,,295596000.0,-39744000.0,,,713736000.0,982836000.0,40572000.0,-1345500000.0,,,-59616000.0,,0.06624,1675872000.0,2422728000.0,,172224000.0,-828000.0,-1345500000.0,153180000.0,-317952000.0,,,-828000.0,2600000000.0,-828000.0,60444000.0,,298080000.0,0.06624,,,298080000.0,,,955512000.0,2392920000.0,1675872000.0,,702144000.0,,701316000.0,216108000.0,172224000.0,863604000.0,-317952000.0,,-11592000.0,162288000.0,,1617084000.0,863604000.0,,717048000.0,,291456000.0,,380880000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891302400,,,,,,0.02484,62100000.0,,62100000.0,,,,,,,,,,,,,,,2500000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02484,691380000.0,,,691380000.0,,,,,,,,,,,691380000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
