,quarterlyOperatingCashFlow,trailingInvestingCashFlow,annualPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,annualInvestingCashFlow,annualBasicAverageShares,quarterlyNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualNonCurrentDeferredRevenue,annualTotalAssets,trailingPurchaseOfBusiness,trailingNetIncome,annualStockholdersEquity,quarterlyOtherCurrentLiabilities,annualLongTermDebt,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,trailingChangeInInventory,trailingNetOtherInvestingChanges,quarterlyCostOfRevenue,annualCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,annualRetainedEarnings,trailingStockBasedCompensation,quarterlyGoodwill,annualSaleOfInvestment,annualGoodwill,annualCommonStockIssuance,annualStockBasedCompensation,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualBasicEPS,annualCapitalStock,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualAccountsReceivable,trailingChangeInWorkingCapital,annualAccountsPayable,trailingOtherIncomeExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCashDividendsPaid,trailingGrossProfit,quarterlyCashAndCashEquivalents,annualNetPPE,annualDilutedAverageShares,trailingOperatingIncome,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualOtherIntangibleAssets,annualCashFlowFromContinuingFinancingActivities,quarterlyCapitalStock,annualEndCashPosition,annualEbitda,quarterlyBasicEPS,trailingTotalRevenue,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualOperatingIncome,trailingRepaymentOfDebt,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,annualGrossPPE,annualDilutedEPS,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,trailingPretaxIncome,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,quarterlyIncomeTaxPayable,trailingCapitalExpenditure,annualCapitalExpenditure,quarterlyRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,quarterlyGrossPPE,annualAccumulatedDepreciation,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,trailingInterestExpense,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,annualOtherNonCurrentAssets,annualCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangesInAccountReceivables,annualRepurchaseOfCapitalStock,trailingOperatingExpense,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,annualNetOtherFinancingCharges,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingChangesInAccountReceivables,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,annualInterestExpense,quarterlyEndCashPosition,annualRepaymentOfDebt,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyOperatingExpense,annualTotalRevenue,quarterlyCurrentDeferredRevenue,trailingChangeInAccountPayable,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,quarterlyCurrentAssets,annualGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,annualChangeInWorkingCapital,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyNetPPE,annualOtherCurrentAssets,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyDilutedEPS,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,annualChangeInInventory,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,trailingTaxProvision,annualNetIncome,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualFreeCashFlow,annualBeginningCashPosition,annualOperatingExpense,annualCurrentDeferredRevenue,annualCashDividendsPaid,trailingSellingGeneralAndAdministration,annualCostOfRevenue,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualResearchAndDevelopment,trailingBasicAverageShares,trailingDeferredIncomeTax,annualInvestmentsAndAdvances,quarterlyInvestmentsAndAdvances,trailingDilutedEPS,trailingBasicEPS,trailingResearchAndDevelopment,trailingCommonStockIssuance,trailingSaleOfInvestment,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299548800,,,,,,,,0.0,118620690.0,,76600000.0,,,0.0,,,388000000.0,,102100000.0,,,,,,,330100000.0,,,,308400000.0,,,,,,,,,,0.58,,,,,,,,-718100000.0,,,,,235900000.0,120701754.0,,0.0,,,101300000.0,,14200000.0,,,0.0,160400000.0,,,9300000.0,,121000000.0,,101300000.0,,,,392100000.0,0.57,,,,,,,,,,120100000.0,,,,,,,,-896800000.0,,,,,247300000.0,,-156200000.0,,,,,,,,,,-875600000.0,625500000.0,,,,,,,,,,,,,,,68800000.0,315300000.0,,,,,,10300000.0,,,,,,1074900000.0,,,-625500000.0,,,407700000.0,,,,51300000.0,-388000000.0,,237800000.0,,,,,,,0.0,,,,,68800000.0,,,,,,,68800000.0,,14800000.0,0.0,0.0,286700000.0,,,,667200000.0,,,,,,,,,,,,,,,
331171200,,,,,,,,0.0,120757576.0,,96900000.0,,,1139800000.0,,,449000000.0,,215900000.0,,,,,,,378000000.0,,,,364000000.0,,,,,,,,,,0.66,,,,,,,,312800000.0,,,,,331500000.0,122615385.0,,0.0,,,107700000.0,,19300000.0,,,0.0,186800000.0,,,8600000.0,,135800000.0,,107700000.0,,,,530000000.0,0.65,,,,,,,,,,132800000.0,,,,,,,,0.0,,,,,296900000.0,,-198500000.0,,,,,,,,,,32900000.0,756100000.0,,,,,,,,,,,,,,,79700000.0,369900000.0,,,,,,11600000.0,,,,,,1300900000.0,,,383700000.0,,,483700000.0,,,,53100000.0,690800000.0,,303200000.0,,,,,,,0.0,,,,,79700000.0,,,,,,,79700000.0,,8100000.0,0.0,0.0,347900000.0,,,,817200000.0,,,,,,,,,,,,,,,
362707200,,,,,,,,0.0,123087248.0,,139200000.0,,,1313800000.0,,,556000000.0,,213300000.0,,,,,,,405300000.0,,,,443100000.0,,,,,,,,,,0.745,,,,,,,,352500000.0,,,,,415400000.0,124761905.0,,0.0,,,114400000.0,,18500000.0,,,0.0,221400000.0,,,16400000.0,,154400000.0,,114400000.0,,,,666500000.0,0.735,,,,,,,,,,148700000.0,,,,,,,,0.0,,,,,376100000.0,,-251100000.0,,,,,,,,,,32300000.0,847600000.0,,,,,,,,,,,,,,,91700000.0,397300000.0,,,,,,22000000.0,,,,,,1551500000.0,,,466200000.0,,,597500000.0,,,,57000000.0,757800000.0,,360600000.0,,,,,,,100000.0,,,,,91700000.0,,,,,,,91700000.0,,8000000.0,0.0,0.0,443100000.0,,,,954000000.0,,,,,,,,,,,,,,,
394243200,,,,,,,,0.0,124827586.0,,165800000.0,,,1307700000.0,,,596600000.0,,222900000.0,,,,,,,322400000.0,,,,491000000.0,,,,,,,,,,0.435,,,,,,,,388700000.0,,,,,392200000.0,124827586.0,,0.0,,,57100000.0,,19200000.0,,,0.0,149600000.0,,,8900000.0,,82100000.0,,57100000.0,,,,474300000.0,0.435,,,,,,,,,,80800000.0,,,,,,,,0.0,,,,,342000000.0,,-82100000.0,,,,,,,,,,249500000.0,646800000.0,,,,,,,,,,,,,,,54300000.0,312400000.0,,,,,,10100000.0,,,,,,1301800000.0,,,660900000.0,,,491600000.0,,,,26500000.0,711100000.0,,240200000.0,,,,,,,0.0,,,,,54300000.0,,,,,,,54300000.0,,10000000.0,0.0,0.0,409500000.0,,,,810200000.0,,,,,,,,,,,,,,,
425779200,,,,,,,,0.0,157727273.0,,124900000.0,,,1637200000.0,,,761300000.0,,257500000.0,,,,,,,493600000.0,,,,612900000.0,,,,,,,,,,0.44,,,,,,,,382300000.0,,,,,467200000.0,157727273.0,,0.0,,,309400000.0,,20500000.0,,,0.0,182000000.0,,,18000000.0,,91700000.0,,309400000.0,,,,796400000.0,0.44,,,,,,,,,,81000000.0,,,,,,,,-100000.0,,,,,540000000.0,,-329200000.0,,,,,,,,,,54700000.0,1094800000.0,,,,,,,,,,,,,,,69400000.0,482300000.0,,,,,,28700000.0,,,,,,1809300000.0,,,542400000.0,,,722000000.0,,,,17200000.0,875900000.0,,341500000.0,,,,,,,0.0,,,,,63800000.0,,,,,,,69400000.0,,11300000.0,0.0,0.0,630300000.0,,,,1087300000.0,,,,,,,,,,,,,,,
449539200,,,,,,159704000.0,,,,19800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159704000.0,,,,502500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,502500000.0,,,,502500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,100000.0,,,,0.0,159207921.0,23800000.0,108800000.0,,,1696900000.0,,,818100000.0,544900000.0,213300000.0,,,,,,,556600000.0,,,,658500000.0,,,,,,,353700000.0,108800000.0,213300000.0,0.505,,,,,,,,322200000.0,,,,144100000.0,529100000.0,159207921.0,,0.0,144100000.0,,144100000.0,,19600000.0,,,0.0,188900000.0,,,37100000.0,,88100000.0,,144100000.0,,,11700000.0,919400000.0,0.505,,,,,,,,878800000.0,1696900000.0,102200000.0,,99400000.0,19600000.0,648100000.0,,,,100000.0,,,,,590900000.0,919400000.0,-390300000.0,,,0.0,,,,,,,99400000.0,1048800000.0,,,,,,,,,,-1319100000.0,,,818100000.0,,80400000.0,544900000.0,,,,,,23000000.0,,,,,,1995800000.0,,,648100000.0,,1048800000.0,779800000.0,,556600000.0,,21800000.0,878800000.0,322200000.0,353700000.0,,,,,,529100000.0,0.0,658500000.0,,,588600000.0,80400000.0,,,-1319100000.0,,,,80400000.0,-390300000.0,11700000.0,0.0,0.0,691700000.0,,,,1216000000.0,,,,,,,,,,,,,,,
465350400,,,,,,159792000.0,,,,25300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159792000.0,,,,511700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,511700000.0,,,,511700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,,,,,,160888000.0,,,,21700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160888000.0,,,,585000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,585000000.0,,,,585000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
