,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingNetOtherInvestingChanges,quarterlyRetainedEarnings,quarterlyFreeCashFlow,annualChangeInWorkingCapital,annualOperatingIncome,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,quarterlyCurrentLiabilities,annualBasicEPS,trailingNetIncome,annualRetainedEarnings,annualTotalAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyGoodwill,trailingFreeCashFlow,annualPretaxIncome,annualNetIncome,quarterlyNetIncomeCommonStockholders,annualNonCurrentDeferredRevenue,annualCashDividendsPaid,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,annualEndCashPosition,annualCurrentDebt,annualOtherCurrentAssets,trailingTotalRevenue,annualLongTermDebt,annualCurrentDeferredRevenue,annualCostOfRevenue,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,trailingOperatingIncome,trailingInvestingCashFlow,annualAccountsPayable,trailingTaxProvision,annualFreeCashFlow,annualIncomeTaxPayable,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,annualStockholdersEquity,annualInvestmentsAndAdvances,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyGrossProfit,annualOtherNonCashItems,annualRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,annualDilutedEPS,quarterlyNetIncome,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualTaxProvision,annualDepreciationAndAmortization,quarterlyChangeInInventory,quarterlyLongTermDebt,trailingChangeInAccountPayable,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualCurrentAssets,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,annualAccountsReceivable,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,annualChangeInAccountPayable,annualNetPPE,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualCurrentLiabilities,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualCommonStockIssuance,annualSaleOfInvestment,quarterlyAccountsReceivable,annualOtherIntangibleAssets,quarterlyCapitalStock,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyPretaxIncome,annualEbitda,quarterlyBeginningCashPosition,quarterlyDilutedEPS,trailingRepaymentOfDebt,trailingGrossProfit,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,trailingNetIncomeCommonStockholders,annualCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,annualDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCapitalExpenditure,annualBeginningCashPosition,trailingChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,annualOtherIncomeExpense,quarterlyChangesInAccountReceivables,trailingOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,annualTotalNonCurrentAssets,annualGrossPPE,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualSellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInWorkingCapital,annualNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,quarterlyCommonStockIssuance,trailingOtherNonCashItems,annualPurchaseOfBusiness,trailingOperatingExpense,trailingNetIncomeContinuousOperations,trailingNetOtherFinancingCharges,quarterlyIncomeTaxPayable,annualCapitalExpenditure,trailingStockBasedCompensation,annualInvestingCashFlow,quarterlyOperatingCashFlow,trailingSellingGeneralAndAdministration,trailingDeferredIncomeTax,quarterlyCapitalExpenditure,quarterlyOperatingIncome,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,quarterlyGrossPPE,quarterlyTotalRevenue,trailingBeginningCashPosition,trailingChangesInAccountReceivables,annualBasicAverageShares,annualChangesInAccountReceivables,trailingCashDividendsPaid,trailingCostOfRevenue,annualInterestExpense,annualPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,annualCapitalStock,quarterlyNetPPE,annualTotalRevenue,quarterlyTaxProvision,annualDeferredIncomeTax,trailingChangeInInventory,annualGrossProfit,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,annualStockBasedCompensation,annualGoodwill,quarterlyChangeInCashSupplementalAsReported,annualInventory,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,annualNetOtherFinancingCharges,quarterlyEbitda,annualResearchAndDevelopment,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingSaleOfInvestment,trailingBasicEPS,annualOtherShortTermInvestments,trailingPurchaseOfInvestment,quarterlyOtherShortTermInvestments,trailingDilutedEPS,trailingDilutedAverageShares,trailingInterestExpense,trailingResearchAndDevelopment,trailingCommonStockIssuance
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,,,,,,4700000.0,27400000.0,,0.0,,0.44,,,422600000.0,,,,298700000.0,,,,8900000.0,4700000.0,,,,,,0.0,100000.0,22800000.0,,144700000.0,,130700000.0,,,,,,48100000.0,,11900000.0,,,,,,,123900000.0,,,,,,33800000.0,,,,0.44,,12700000.0,,4200000.0,18100000.0,,,,,,,45800000.0,,,,4700000.0,,,,192700000.0,,,199700000.0,66400000.0,99000000.0,99000000.0,,,,,,85100000.0,,,15500000.0,,45500000.0,,,,,50800000.0,-34800000.0,,,12700000.0,,,,,10681818.0,,,,47500000.0,,,-3500000.0,,,,,376800000.0,227900000.0,,,,,12700000.0,,,,39500000.0,,,,4700000.0,,30800000.0,,,,,,,,-54500000.0,,-54700000.0,,,,,,-400000.0,-46500000.0,,,,,10681818.0,,,,14900000.0,-200000.0,,,,188900000.0,,2500000.0,,58200000.0,,,,,,4600000.0,-35200000.0,,0.0,,,,,,,,,,,,,,
851990400,,195700000.0,,5100000.0,38300000.0,,,,,115300000.0,,,,,800000.0,63100000.0,,,22173913.0,,,,,5100000.0,,,450200000.0,23300000.0,,,,,,,,0.23,-17000000.0,387100000.0,,,,,,,,5000000.0,91000000.0,311000000.0,0.0,,,,,22173913.0,17500000.0,,,,5100000.0,,5100000.0,,,,,-1600000.0,129400000.0,,6300000.0,43000000.0,,,200000.0,,,,,5800000.0,,,,67400000.0,,,,,0.0,-28500000.0,,,,,,,,8600000.0,,12700000.0,0.23,,,,,,,,139200000.0,-100000.0,,27400000.0,,,15200000.0,,,,800000.0,,,,15200000.0,800000.0,,,,83500000.0,3300000.0,,,,66400000.0,-2100000.0,,,-19600000.0,1400000.0,,,,,,,,,,,,,,50500000.0,,,-12200000.0,11700000.0,,,,84900000.0,,,,,,,,,48100000.0,,212600000.0,,3500000.0,,,,,41100000.0,,,2500000.0,,,,,16700000.0,,,,,,,,,,,,,
859766400,,339700000.0,,49500000.0,59900000.0,,,,,84500000.0,,,,,1200000.0,123400000.0,,,32246377.0,,,,,44500000.0,,,857100000.0,27700000.0,,,,,,,,1.38,-10100000.0,733700000.0,,,,,,,,9800000.0,10100000.0,424200000.0,98100000.0,,,,,32246377.0,92400000.0,,,,44500000.0,,44500000.0,,,,,2500000.0,228000000.0,,9200000.0,84000000.0,,,300000.0,,,,,11000000.0,,,,82900000.0,,,,,0.0,-161500000.0,,,,,,,,73800000.0,,0.0,1.38,,,,,,,,432900000.0,-139500000.0,,26200000.0,,-35200000.0,58000000.0,,,,700000.0,,,,58000000.0,300000.0,,,,236900000.0,7900000.0,,,,78200000.0,28900000.0,,,131900000.0,-12200000.0,,,,,,,,,,,,,,72500000.0,,,-12600000.0,81400000.0,,,521900000.0,175300000.0,,,,,,,,,6000000.0,,486700000.0,,29300000.0,,,,,1600000.0,,,42700000.0,,,,,91200000.0,,,,,,,,,,,,,
867628800,,331400000.0,,36200000.0,-27400000.0,,,,,61100000.0,,,,,3200000.0,72900000.0,,,34750000.0,,,,,-13900000.0,,,814400000.0,28900000.0,,,,,,,,-0.4,-9200000.0,741500000.0,,,,,,,,9600000.0,9500000.0,392500000.0,0.0,,,,,34750000.0,-4700000.0,,,,-13900000.0,,-13900000.0,,,,,300000.0,228000000.0,,8700000.0,74500000.0,,,700000.0,,,,,12900000.0,,,,42600000.0,,,,,0.0,-23900000.0,,,,,,,,-21600000.0,,0.0,-0.4,,,,,,,,421900000.0,-100000.0,,26100000.0,,-35200000.0,21700000.0,,,,500000.0,,,,21700000.0,300000.0,,,,233200000.0,4600000.0,,,,54900000.0,-8600000.0,,,0.0,-5900000.0,,,,0.0,,,,,,,,,,-12300000.0,,,-15100000.0,-17600000.0,,,534000000.0,37900000.0,,,,,,,,,5900000.0,,498800000.0,,-7700000.0,,,,,5700000.0,,,-36200000.0,,,,,-7900000.0,,,,,,,,,,,,,
875577600,,372300000.0,,19700000.0,-75300000.0,-10600000.0,52800000.0,,-146400000.0,77900000.0,0.64,,19700000.0,855900000.0,-700000.0,76400000.0,,450200000.0,,,,33700000.0,19700000.0,-16500000.0,,,855900000.0,23300000.0,0.0,1700000.0,28800000.0,,263300000.0,,239000000.0,,,779500000.0,,,70200000.0,,-4500000.0,,,9600000.0,168100000.0,450200000.0,-42100000.0,405700000.0,,,,,-13800000.0,100000.0,,,-16500000.0,0.64,-16500000.0,14700000.0,,14000000.0,34000000.0,-2000000.0,263300000.0,,10800000.0,85700000.0,,76400000.0,0.0,,,19700000.0,,8900000.0,,411100000.0,,46800000.0,372300000.0,103400000.0,168100000.0,77900000.0,0.0,-37900000.0,98200000.0,2500000.0,,200300000.0,,,23300000.0,-27100000.0,86800000.0,0.0,,,,6000000.0,2600000.0,,,14700000.0,405700000.0,-6700000.0,,28800000.0,30979448.0,-59900000.0,14700000.0,,12100000.0,,500000.0,1200000.0,,,14700000.0,1700000.0,779500000.0,471000000.0,,200300000.0,4400000.0,,4700000.0,,70200000.0,-10800000.0,85700000.0,,38700000.0,6100000.0,19700000.0,,38700000.0,0.0,,,,,,,-107900000.0,,-251800000.0,-7300000.0,,,-68000000.0,-22700000.0,-800000.0,151000000.0,471000000.0,33000000.0,,,30979448.0,,,,20300000.0,,6000000.0,,411100000.0,330500000.0,-10600000.0,7400000.0,,91500000.0,,-48300000.0,,,-6400000.0,10800000.0,-59900000.0,,-42200000.0,-13100000.0,,,,,,,,,,,,,
878256000,,,,,,,,,,,,,,,,,,,33793103.0,,,,,-9800000.0,,,,,,,,,,,,-0.29,,,,,,,,,,,,,,,,,,33793103.0,,,,,-9800000.0,,-9800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100000.0,,,,4100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,4100000.0,,,,,,,,,,,,,
886204800,,410500000.0,,35800000.0,,,,,,104900000.0,,,,,1700000.0,102300000.0,,,34255319.0,,,,,16100000.0,,,948100000.0,24100000.0,,,,,,,,0.47,,845800000.0,,,,,,,,,151600000.0,515400000.0,,,,,,34255319.0,50400000.0,,,,16100000.0,,16100000.0,,,,,,289300000.0,,13000000.0,97100000.0,,,500000.0,,,,,15200000.0,,,,141200000.0,,,,,,,,,,,,,,27500000.0,,,0.47,,,,,,,,432700000.0,,,32400000.0,,-59900000.0,28100000.0,,,,,,,,28100000.0,1700000.0,,,,202600000.0,8100000.0,,,,102800000.0,,,,,,,,,,,,,,,,,,,,,,,35200000.0,,,551500000.0,191600000.0,,,,,,,,,400000.0,,491600000.0,,11400000.0,,,,,,,,,,,,,48700000.0,,,,,,,,,,,,,
893894400,,396500000.0,,77500000.0,76600000.0,,,,,60500000.0,,,,,1500000.0,84700000.0,,,34750000.0,,,,,41700000.0,,,934000000.0,23300000.0,,,,,,,,1.21,,849300000.0,,,,,,,,11800000.0,148700000.0,457000000.0,3400000.0,,,,,34462810.0,88600000.0,,,,41700000.0,,41700000.0,,,,,2700000.0,246600000.0,,10300000.0,126600000.0,,,900000.0,,,,,13300000.0,,,,85400000.0,,,,,0.0,-16700000.0,,,,,,,,71200000.0,,0.0,1.2,,,,,,,,477000000.0,-41400000.0,,34900000.0,,-59900000.0,11700000.0,,,,,,,,11700000.0,1700000.0,,,,199700000.0,4900000.0,,,,58400000.0,29500000.0,,,-41000000.0,-40400000.0,,,,1700000.0,,,,,,,,,,41400000.0,,,35200000.0,75300000.0,,,560800000.0,174000000.0,,,,,,,,,400000.0,,500900000.0,,29500000.0,,,,,-1700000.0,,,-16400000.0,,,,,87100000.0,,,,,,,,,,,,,
901843200,,,,,,,,,,,,,60716000.0,912122000.0,,,,449498000.0,,,,,,,,,,,,1734000.0,4708000.0,,282280000.0,,,,,,,,55012000.0,,,2239000.0,,,,,,462624000.0,,,,,,,,,,,,13366000.0,,,,,,,,,,71726000.0,,,22224000.0,,,,,501371000.0,,,390513000.0,,138916000.0,58985000.0,,,,,,186132000.0,,,28886000.0,,,,,,,0.0,,,,13366000.0,,,,,,,,,,,,,,,,,840396000.0,,,,,,,,,,79347000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345000.0,,,,,,,,,,,,8893000.0,,,,,,,,,,,,,,,,,
