date,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,trailingSaleOfInvestment,annualSaleOfInvestment,annualStockholdersEquity,quarterlyNetIncomeContinuousOperations,annualDilutedAverageShares,annualDepreciationAndAmortization,quarterlyNetIncome,quarterlyOperatingCashFlow,annualInvestingCashFlow,annualPurchaseOfInvestment,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,trailingCashDividendsPaid,trailingPretaxIncome,quarterlyTaxProvision,trailingNetIncome,quarterlyNetPPE,annualBasicAverageShares,quarterlyDilutedEPS,annualOtherIntangibleAssets,annualDilutedEPS,quarterlyChangeInCashSupplementalAsReported,annualOperatingCashFlow,annualNetPPE,annualChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyDilutedAverageShares,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,annualNetOtherInvestingChanges,annualCapitalStock,quarterlyFreeCashFlow,annualTotalRevenue,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualEndCashPosition,trailingInterestExpense,trailingPurchaseOfInvestment,trailingTotalRevenue,trailingEndCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualPretaxIncome,annualOperatingIncome,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,trailingInvestingCashFlow,quarterlyInterestExpense,trailingCapitalExpenditure,annualAccountsPayable,annualBasicEPS,quarterlyCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,quarterlyOperatingIncome,annualInvestmentsAndAdvances,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,annualCapitalExpenditure,quarterlyGrossPPE,quarterlyBasicEPS,annualCashAndCashEquivalents,quarterlyBasicAverageShares,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualNetIncomeContinuousOperations,trailingBeginningCashPosition,annualInterestExpense,annualNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualNetIncomeCommonStockholders,quarterlyCashDividendsPaid,trailingOperatingExpense,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualCommonStockIssuance,trailingFreeCashFlow,quarterlyOperatingExpense,trailingOperatingCashFlow,quarterlyStockholdersEquity,annualRetainedEarnings,trailingNetIncomeCommonStockholders,quarterlyRepaymentOfDebt,annualTaxProvision,annualCashDividendsPaid,quarterlySellingGeneralAndAdministration,annualBeginningCashPosition,annualNetIncome,quarterlyNetOtherInvestingChanges,annualTotalAssets,annualOtherNonCashItems,trailingTaxProvision,annualSellingGeneralAndAdministration,annualOtherShortTermInvestments,quarterlyCostOfRevenue,annualCostOfRevenue,annualTotalNonCurrentAssets,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,annualGrossProfit,annualLongTermDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAssets,quarterlyStockBasedCompensation,annualResearchAndDevelopment,trailingBasicEPS,annualCurrentDebt,annualCashCashEquivalentsAndMarketableSecurities,trailingChangeInInventory,quarterlyChangeInWorkingCapital,annualEbitda,annualGoodwill,quarterlyTotalNonCurrentAssets,annualCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyGoodwill,quarterlyOtherShortTermInvestments,trailingRepurchaseOfCapitalStock,annualOtherIncomeExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,trailingOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCommonStockIssuance,annualOtherCurrentAssets,quarterlyIncomeTaxPayable,annualStockBasedCompensation,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,annualAccountsReceivable,trailingOtherIncomeExpense,annualInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,annualChangeInInventory,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,trailingGrossProfit,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingDilutedEPS,annualAccumulatedDepreciation,trailingResearchAndDevelopment,annualRepurchaseOfCapitalStock,quarterlyCurrentDebt,trailingChangeInWorkingCapital,trailingStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,trailingCostOfRevenue,quarterlyInventory,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,annualCurrentAssets,annualOtherCurrentLiabilities,quarterlyLongTermDebt,annualOtherNonCurrentLiabilities,quarterlyChangeInAccountPayable,annualOtherNonCurrentAssets,annualCurrentDeferredRevenue
2007-09-30,464039000000.0,180000000.0,,,,5886000000.0,,,5868000000.0,133738000000.0,,,-3218000000.0,,,,2410000000.0,,23874000000.0,,0.109091,,,72459000000.0,,,,180000000.0,52250000000.0,48994000000.0,,154064000000.0,1282000000.0,,,130520000000.0,,,,,,,,,2219881000000.0,5868000000.0,,,,,-268350000000.0,215429000000.0,,9719000000.0,,,,132380000000.0,2097265000000.0,,11927000000.0,7944000000.0,,,16360000000.0,,23874000000.0,0.109091,,53790000000.0,,,,,,,-56181000000.0,226523000000.0,,-5353000000.0,,,14878000000.0,,,8296000000.0,,,6538000000.0,,122240000000.0,,,,,,5534000000.0,,,4471000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,492747000000.0,0.0,,864727000000.0,128379000000.0,5774000000.0,52250000000.0,2564000000.0,5727000000.0,-103795000000.0,-154303000000.0,-1011821000000.0,-2757000000.0,,,,2700000000.0,,25368000000.0,52475116279.0,,1258000000.0,0.390909,-130611000000.0,21018000000.0,25368000000.0,5744000000.0,0.0,,48994000000.0,,226523000000.0,1258000000.0,4461000000.0,48994000000.0,-106552000000.0,62322000000.0,-89810000000.0,,95912000000.0,,,,,2103626000000.0,5727000000.0,31038000000.0,30850000000.0,,25368000000.0,-303170000000.0,278870000000.0,,10439000000.0,,12756000000.0,0.390909,344011000000.0,1974829000000.0,,12756000000.0,8775000000.0,492747000000.0,,18754000000.0,-7713000000.0,25368000000.0,,344011000000.0,,,24014000000.0,20641000000.0,,36376000000.0,24930000000.0,-26719000000.0,95912000000.0,20513000000.0,-30000000.0,,1974829000000.0,18612000000.0,13305000000.0,,8474000000.0,25384000000.0,,7328000000.0,,128379000000.0,18612000000.0,,,10397000000.0,-5889000000.0,6227000000.0,185722000000.0,20513000000.0,-3129000000.0,2103626000000.0,-7107000000.0,,20214000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,509351000000.0,0.0,,,,7904000000.0,,,7883000000.0,22604000000.0,,,-965000000.0,,,,2375000000.0,,25282000000.0,,0.145455,,,1167000000.0,,,,,,48994000000.0,,95912000000.0,1359000000.0,,,21639000000.0,,,,,,,,,2260999000000.0,7883000000.0,,,,,-363649000000.0,344365000000.0,,10793000000.0,,,,110235000000.0,2125276000000.0,,13898000000.0,10297000000.0,,,18023000000.0,,25282000000.0,0.145455,,54195625000.0,,,,,,,-19984000000.0,97079000000.0,,-1004000000.0,,,26495000000.0,,,10279000000.0,,,5933000000.0,,135303000000.0,,,,,,4793000000.0,,,2390000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,530444000000.0,0.0,,,,7689000000.0,,,7651000000.0,29312000000.0,,,-1306000000.0,,,,2361000000.0,,25595000000.0,,,,,-3078000000.0,,,,,,48994000000.0,,97079000000.0,1394000000.0,,,28006000000.0,,,,,,,,,2426366000000.0,7651000000.0,,,,,-508581000000.0,486586000000.0,,12303000000.0,,,,409971000000.0,2290968000000.0,,16618000000.0,10052000000.0,,,19616000000.0,,25595000000.0,,,,,,,,,,-23112000000.0,94001000000.0,,-9027000000.0,,,16348000000.0,,,10050000000.0,,,7229000000.0,,134955000000.0,,,,,,5954000000.0,,,3097000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-30,540951000000.0,3013000000.0,,,,7286000000.0,,,7255000000.0,39527000000.0,,,-1921000000.0,,,,1990000000.0,,26777000000.0,,0.136364,,,26699000000.0,,,,,,48994000000.0,,94001000000.0,1403000000.0,,,37606000000.0,,,,,,,,,2491295000000.0,7255000000.0,,,,,-849257000000.0,835665000000.0,,14089000000.0,,,,122476000000.0,2353416000000.0,,19342000000.0,9604000000.0,,,19770000000.0,,26777000000.0,0.136364,,53203333333.0,,,,,,,-15593000000.0,120700000000.0,,-193000000.0,,,18704000000.0,,,9276000000.0,,,7239000000.0,,137447000000.0,,,,,,5868000000.0,,,2750000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,536824000000.0,0.0,,2401157000000.0,145209000000.0,5641000000.0,,2747000000.0,5634000000.0,101888000000.0,-50663000000.0,-2445360000000.0,-2435000000.0,,,,572000000.0,,28396000000.0,53905689655.0,,1367000000.0,0.527273,105032000000.0,193331000000.0,28396000000.0,172976000000.0,0.0,,48994000000.0,,120700000000.0,1367000000.0,14102000000.0,48994000000.0,99453000000.0,76660000000.0,129820000000.0,,225732000000.0,,,,,2678255000000.0,5634000000.0,35818000000.0,35783000000.0,,28396000000.0,-723873000000.0,734541000000.0,,14059000000.0,,22259000000.0,0.527273,567458000000.0,2532613000000.0,,22259000000.0,5830000000.0,536824000000.0,,19251000000.0,-6627000000.0,28396000000.0,,567458000000.0,,,29042000000.0,28520000000.0,,51244000000.0,23000000.0,8026000000.0,225732000000.0,28423000000.0,-4849000000.0,,2532613000000.0,21508000000.0,186704000000.0,,6213000000.0,23000000.0,,8641000000.0,,145209000000.0,21508000000.0,,,7298000000.0,-15073000000.0,7413000000.0,95912000000.0,28423000000.0,5865000000.0,2678255000000.0,-11513000000.0,,24028000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,555582000000.0,0.0,,,,7968000000.0,,,7946000000.0,-5487000000.0,,,-822000000.0,,,,2160000000.0,,28409000000.0,,0.145455,,,-24053000000.0,,,,,,48994000000.0,,225732000000.0,1339000000.0,,,-6309000000.0,,,,,,,,,3034868000000.0,7946000000.0,,,,,-529428000000.0,512722000000.0,,13158000000.0,,,,240236000000.0,2882152000000.0,,22062000000.0,10054000000.0,,,17865000000.0,,28409000000.0,0.145455,,54628750000.0,,,,,,,-17475000000.0,201679000000.0,,-1097000000.0,,,29454000000.0,,,10128000000.0,,,6034000000.0,,152250000000.0,,,,,,4771000000.0,,,4180000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,698685000000.0,0.0,,,,7667000000.0,,,7633000000.0,105282000000.0,,,-963000000.0,,,,2108000000.0,,28572000000.0,,,,,-20419000000.0,,,,,,48994000000.0,,201679000000.0,1306000000.0,,,104319000000.0,,,,,,,,,3294120000000.0,7633000000.0,,,,,-1211876000000.0,1090736000000.0,,12721000000.0,,,,579026000000.0,3138174000000.0,,25116000000.0,9788000000.0,,,18948000000.0,,28572000000.0,,,,,,,,,,-122077000000.0,181260000000.0,,-3605000000.0,,,19406000000.0,,,9775000000.0,,,6552000000.0,,155424000000.0,,,,,,5236000000.0,,,5699000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,719065000000.0,12955000000.0,,,,7441000000.0,,,7391000000.0,-14061000000.0,,,-1120000000.0,,,,1917000000.0,,28855000000.0,,0.136364,,,-37002000000.0,,,,,,48994000000.0,,181260000000.0,1255000000.0,,,-15181000000.0,,,,,,,,,3300898000000.0,7391000000.0,,,,,-815383000000.0,782799000000.0,,12490000000.0,,,,133779000000.0,3143481000000.0,,24677000000.0,9593000000.0,,,20626000000.0,,28855000000.0,0.136364,,54200666667.0,,,,,,,-33626000000.0,144258000000.0,,-2218000000.0,,,21897000000.0,,,9358000000.0,,,8407000000.0,,156883000000.0,,,,,,6832000000.0,,,5387000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,670527000000.0,0.0,,549371000000.0,163848000000.0,7135000000.0,,3141000000.0,7105000000.0,-11987000000.0,-132187000000.0,-676695000000.0,-2485000000.0,,,,1844000000.0,,29878000000.0,54233606557.0,,1151000000.0,0.554545,24240000000.0,73747000000.0,29878000000.0,52113000000.0,,,48994000000.0,,144258000000.0,1151000000.0,21944000000.0,48994000000.0,-14472000000.0,80937000000.0,-57234000000.0,-12000000000.0,168498000000.0,,,,,3309137000000.0,7105000000.0,38240000000.0,38219000000.0,,29878000000.0,1879992000000.0,-1836886000000.0,,11706000000.0,,25156000000.0,0.554545,546330000000.0,3144712000000.0,,25156000000.0,8784000000.0,670527000000.0,,23498000000.0,-5390000000.0,29878000000.0,,546330000000.0,,,31822000000.0,30211000000.0,,50075000000.0,35000000.0,40991000000.0,168498000000.0,30075000000.0,-4902000000.0,,3144712000000.0,26046000000.0,68357000000.0,,8979000000.0,,,10829000000.0,,163848000000.0,26046000000.0,,0.0,8029000000.0,-11822000000.0,9204000000.0,225732000000.0,30075000000.0,6678000000.0,3309137000000.0,-10532000000.0,,26043000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,695245000000.0,73000000.0,,,,10492000000.0,,,10451000000.0,-52590000000.0,,,-747000000.0,,,,2993000000.0,,29676000000.0,,0.190909,,,-66325000000.0,,,,73000000.0,,48994000000.0,,168498000000.0,1116000000.0,,,-53337000000.0,,,,,,,,,3532782000000.0,10451000000.0,,,,,-82088000000.0,70180000000.0,,12461000000.0,,,,102361000000.0,3357353000000.0,,25341000000.0,13453000000.0,,,23936000000.0,,29676000000.0,0.190909,,54743333333.0,,,,,,,-12714000000.0,102173000000.0,,-1046000000.0,,,36497000000.0,,-173000000.0,13485000000.0,,,7878000000.0,,174684000000.0,,,,,,5916000000.0,,,4094000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,750062000000.0,17188000000.0,,,,9936000000.0,,,9906000000.0,29442000000.0,,,-1705000000.0,,,,2730000000.0,,30440000000.0,,,,,27321000000.0,,,,17238000000.0,,52800000000.0,,102173000000.0,1086000000.0,,,27737000000.0,,,,,,,,,3709279000000.0,9906000000.0,,,,,-127054000000.0,115226000000.0,,13476000000.0,,,,586491000000.0,3512129000000.0,,28238000000.0,12644000000.0,,,25462000000.0,,30440000000.0,,,,,,,,,,-13515000000.0,129494000000.0,,-4901000000.0,,,20713000000.0,,0.0,12666000000.0,,,10032000000.0,,196348000000.0,,,,,,7690000000.0,,,7602000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,768369000000.0,15379000000.0,,,,9208000000.0,,,9180000000.0,-34781000000.0,,,-1285000000.0,,,,2503000000.0,,30562000000.0,,0.154545,,,-6262000000.0,,,,15498000000.0,,56260000000.0,,129494000000.0,1233000000.0,,,-36066000000.0,,,,,,,,,3802705000000.0,9180000000.0,,,,,-92473000000.0,109170000000.0,,14813000000.0,,,,114004000000.0,3586752000000.0,,30644000000.0,11619000000.0,,,26571000000.0,,30562000000.0,0.154545,,59400000000.0,,,,,,,15485000000.0,123232000000.0,,-967000000.0,,,24267000000.0,,0.0,11711000000.0,,,10248000000.0,,215105000000.0,,,,,,7658000000.0,,,6667000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,771934000000.0,-149000000.0,,361556000000.0,222773000000.0,9536000000.0,,3597000000.0,9505000000.0,33762000000.0,-4788000000.0,-357866000000.0,-4874000000.0,-173000000.0,,,2556000000.0,,33911000000.0,58830410959.0,,1221000000.0,0.663636,33667000000.0,-24167000000.0,33911000000.0,-56150000000.0,0.0,,56260000000.0,,123232000000.0,1221000000.0,24510000000.0,56260000000.0,28888000000.0,104234000000.0,-11599000000.0,-3000000000.0,156899000000.0,,,,,3951593000000.0,9505000000.0,49954000000.0,49700000000.0,,33911000000.0,-56251000000.0,66980000000.0,,16160000000.0,,32715000000.0,0.663636,703387000000.0,3727936000000.0,,32715000000.0,11984000000.0,771934000000.0,,28265000000.0,-8611000000.0,33911000000.0,,703387000000.0,,,42001000000.0,39172000000.0,,56910000000.0,32491000000.0,5956000000.0,156899000000.0,39042000000.0,-5626000000.0,,3727936000000.0,29941000000.0,-32778000000.0,0.0,12092000000.0,32809000000.0,,13843000000.0,,222773000000.0,29941000000.0,,0.0,10782000000.0,-12540000000.0,11171000000.0,168498000000.0,39042000000.0,6147000000.0,3951593000000.0,-12062000000.0,,32435000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,785193000000.0,0.0,,,,13311000000.0,,,13280000000.0,-23992000000.0,,,-1203000000.0,,,,3882000000.0,,34059000000.0,,0.218182,,,-26684000000.0,,,,,,56260000000.0,,156899000000.0,1224000000.0,,,-25195000000.0,,,,,,,,,4128673000000.0,13280000000.0,,,,,-80197000000.0,79619000000.0,,18101000000.0,,,,98010000000.0,3891517000000.0,,30777000000.0,17135000000.0,,,30239000000.0,,34059000000.0,0.218182,,60866666667.0,,,,,,,-1615000000.0,130215000000.0,,-996000000.0,,,43221000000.0,,,17193000000.0,,,9919000000.0,,236251000000.0,,,,,,7207000000.0,,,4285000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,799293000000.0,21000000.0,,,,13137000000.0,,,13116000000.0,34412000000.0,,,-1184000000.0,,,,3662000000.0,,34375000000.0,,,,,42088000000.0,,,,,,56260000000.0,,130215000000.0,1089000000.0,,,33228000000.0,,,,,,,,,4347717000000.0,13116000000.0,,,,,-64325000000.0,73156000000.0,,20695000000.0,,,,804309000000.0,4099307000000.0,,34667000000.0,16709000000.0,,,31698000000.0,,34375000000.0,,,,,,,,,,7727000000.0,172303000000.0,,-1000000.0,,,33112000000.0,,,16799000000.0,,,12222000000.0,,247542000000.0,,,,,,9172000000.0,,,8072000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,768449000000.0,0.0,,,,12054000000.0,,,12020000000.0,7177000000.0,,,-2055000000.0,,,,3521000000.0,,35319000000.0,,0.19,,,37098000000.0,,,,0.0,,61886000000.0,,172303000000.0,1098000000.0,,,5122000000.0,,,,,,,,,4362297000000.0,12020000000.0,,,,,-33110000000.0,67261000000.0,,24012000000.0,,,,141412000000.0,4103673000000.0,,38182000000.0,15479000000.0,,,32258000000.0,,35319000000.0,0.19,,63263157895.0,,,,,,,32229000000.0,209401000000.0,,-2041000000.0,,,39506000000.0,,,15575000000.0,,,13169000000.0,,257745000000.0,,,,,,9974000000.0,,,7544000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,777573000000.0,89000000.0,,268010000000.0,271802000000.0,12315000000.0,,3644000000.0,12319000000.0,-18743000000.0,28045000000.0,-232964000000.0,-3174000000.0,,,,3569000000.0,,37017000000.0,61871951220.0,,1165000000.0,0.82,234000000.0,-1146000000.0,37017000000.0,-41921000000.0,120000000.0,,61886000000.0,,209401000000.0,1165000000.0,24658000000.0,61886000000.0,-21917000000.0,126956000000.0,52736000000.0,,209635000000.0,,,,,4611177000000.0,12319000000.0,65451000000.0,64896000000.0,,37017000000.0,-55332000000.0,47974000000.0,,25463000000.0,,39053000000.0,0.82,982330000000.0,4338389000000.0,,39053000000.0,15573000000.0,777573000000.0,,32761000000.0,-7616000000.0,37017000000.0,,982330000000.0,,,49368000000.0,50817000000.0,,88271000000.0,110000000.0,-10296000000.0,209635000000.0,50735000000.0,-64000000.0,,4338389000000.0,46834000000.0,-8762000000.0,,15884000000.0,141000000.0,,14058000000.0,,271802000000.0,46834000000.0,,,14634000000.0,-3102000000.0,11176000000.0,156899000000.0,50735000000.0,4757000000.0,4611177000000.0,-12194000000.0,,37529000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,811670000000.0,0.0,,,,15908000000.0,,,15880000000.0,43667000000.0,,,-1610000000.0,,,,4590000000.0,,37560000000.0,,0.26,,,15590000000.0,,,,,,61886000000.0,,209635000000.0,1115000000.0,,,42057000000.0,,,,,,,,,4882834000000.0,15880000000.0,,,,,-72047000000.0,50019000000.0,,29224000000.0,,,,287206000000.0,4593767000000.0,,41811000000.0,20454000000.0,,,36515000000.0,,37560000000.0,0.26,,61076923077.0,,,,,,,-23531000000.0,225225000000.0,,-1015000000.0,,,62714000000.0,,,20498000000.0,,,12140000000.0,,288046000000.0,,,-9000000000.0,,,8158000000.0,,,6330000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,809393000000.0,0.0,,,,15232000000.0,,,15208000000.0,152685000000.0,,,-2002000000.0,,,,4438000000.0,,38449000000.0,,,,,146216000000.0,,,,,,61886000000.0,,225225000000.0,1096000000.0,,,150683000000.0,,,,,,,,,5152208000000.0,15208000000.0,,,,,-94544000000.0,95062000000.0,,30585000000.0,,,,421533000000.0,4853154000000.0,,48761000000.0,19447000000.0,,,37127000000.0,,38449000000.0,,,,,,,,,,-1351000000.0,371441000000.0,,-6221000000.0,,,57008000000.0,,,19670000000.0,,,13928000000.0,,298029000000.0,,,0.0,,,9996000000.0,,,7601000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,840911000000.0,56774000000.0,,,,13452000000.0,,,13425000000.0,-144781000000.0,,,-2843000000.0,,,,3929000000.0,,41859000000.0,,0.2,,,-119237000000.0,,,,,,74263000000.0,,371441000000.0,1206000000.0,,,-147624000000.0,,,,,,,,,5173349000000.0,13425000000.0,,,,,-108055000000.0,80126000000.0,,30585000000.0,,,,327325000000.0,4805607000000.0,,48977000000.0,17250000000.0,,,36023000000.0,,41859000000.0,0.2,,67125000000.0,,,,,,,-30252000000.0,252204000000.0,,-1084000000.0,,,70433000000.0,,,17381000000.0,,,15280000000.0,,366252000000.0,,,-3803000000.0,,,11803000000.0,,,7223000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,855686000000.0,0.0,,293339000000.0,379918000000.0,13884000000.0,,3968000000.0,13860000000.0,25033000000.0,-59389000000.0,-342833000000.0,-4423000000.0,,,,3783000000.0,,45536000000.0,66332954545.0,,1363000000.0,0.88,19394000000.0,76604000000.0,45536000000.0,25796000000.0,0.0,,74263000000.0,,252204000000.0,1363000000.0,27469000000.0,74263000000.0,20610000000.0,147337000000.0,61963000000.0,-12803000000.0,271598000000.0,,,,,5273379000000.0,13860000000.0,75216000000.0,74380000000.0,,45536000000.0,-68187000000.0,68132000000.0,,30076000000.0,,50757000000.0,0.88,1142955000000.0,4891932000000.0,,50757000000.0,17229000000.0,855686000000.0,,37672000000.0,-10878000000.0,45536000000.0,,1142955000000.0,,,57770000000.0,58476000000.0,,120470000000.0,56744000000.0,-4255000000.0,271598000000.0,58373000000.0,-1488000000.0,,4891932000000.0,77867000000.0,65726000000.0,,17667000000.0,56744000000.0,,16422000000.0,,379918000000.0,77867000000.0,,0.0,16740000000.0,-9808000000.0,12772000000.0,209635000000.0,58373000000.0,6315000000.0,5273379000000.0,-14659000000.0,,42729000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,900503000000.0,176000000.0,,,,17750000000.0,,,17706000000.0,11574000000.0,,,-3756000000.0,,,,5133000000.0,,48575000000.0,,0.24,,,-25215000000.0,,,,176000000.0,,74263000000.0,,271598000000.0,1526000000.0,,,7818000000.0,,,,,,,,,5636378000000.0,17706000000.0,,,,,-102906000000.0,65030000000.0,,29183000000.0,,,,320770000000.0,5236151000000.0,,55446000000.0,22857000000.0,,,42187000000.0,,48575000000.0,0.24,,73775000000.0,,,,,,,-41582000000.0,246383000000.0,,-755000000.0,,,95515000000.0,,,22883000000.0,,,14046000000.0,,398477000000.0,,,-9572000000.0,,,8648000000.0,,,7264000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
