,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualCommonStockIssuance,annualFreeCashFlow,quarterlyFreeCashFlow,quarterlyRetainedEarnings,annualOperatingIncome,annualDilutedEPS,annualNetOtherInvestingChanges,quarterlyCurrentLiabilities,annualTotalRevenue,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentAssets,annualRetainedEarnings,trailingCommonStockIssuance,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,annualEndCashPosition,annualTaxProvision,annualCurrentDebt,annualCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,annualTotalAssets,annualPretaxIncome,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,annualOtherCurrentAssets,quarterlyTotalAssets,annualCostOfRevenue,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,trailingPurchaseOfInvestment,annualNetIncome,annualLongTermDebt,trailingInvestingCashFlow,annualAccountsPayable,quarterlyDilutedEPS,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,annualBasicAverageShares,trailingTaxProvision,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualOtherNonCashItems,annualStockholdersEquity,trailingRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,annualCashAndCashEquivalents,annualDepreciationAndAmortization,trailingSaleOfInvestment,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualDilutedAverageShares,quarterlyInventory,quarterlyEndCashPosition,annualCurrentAssets,quarterlyChangeInInventory,quarterlyCurrentAccruedExpenses,annualChangeInAccountPayable,quarterlyBasicAverageShares,quarterlyAccountsReceivable,annualOperatingCashFlow,annualOtherNonCurrentAssets,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,annualNetPPE,quarterlyBasicEPS,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualEbitda,annualRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,annualOtherNonCurrentLiabilities,quarterlyCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,trailingGrossProfit,quarterlyStockholdersEquity,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,annualOtherCurrentLiabilities,quarterlyRepaymentOfDebt,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,trailingOtherIncomeExpense,quarterlyOtherCurrentAssets,annualGrossPPE,quarterlySaleOfInvestment,annualOtherIncomeExpense,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,annualTotalNonCurrentAssets,trailingChangeInCashSupplementalAsReported,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingPurchaseOfBusiness,quarterlyDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,trailingOtherNonCashItems,trailingOperatingExpense,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,trailingStockBasedCompensation,annualCapitalExpenditure,quarterlyTotalRevenue,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualOperatingExpense,annualPurchaseOfInvestment,quarterlyOperatingIncome,annualChangeInInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualInvestingCashFlow,quarterlyOperatingCashFlow,trailingNetOtherFinancingCharges,quarterlyDilutedAverageShares,trailingCashDividendsPaid,trailingBeginningCashPosition,annualInterestExpense,annualGoodwill,trailingResearchAndDevelopment,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,trailingNetIncome,trailingCostOfRevenue,quarterlyTaxProvision,annualCapitalStock,quarterlyCommonStockIssuance,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualNetOtherFinancingCharges,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualInventory,annualAccumulatedDepreciation,annualDeferredIncomeTax,trailingChangeInInventory,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,annualStockBasedCompensation,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyStockBasedCompensation,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544147200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028394,,,,,,,,,,,,,,,,,,,,,,,,,66438225.0,,,,,,,,,,,,,,,1072744908.0,,,,,,,0.028394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6503109300.0,,,,,,6503109300.0,,,,,,,1072744908.0,,,,,,,,,,,,,,,,,,,,,,,6503109300.0,,,,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028806,,,,,,,,,,,,,,,,,,,,,,,,,67489468.0,,,,,,,,,,,,,,,1072744908.0,,,,,,,0.028806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6597360508.0,,,,,,6597360508.0,,,,,,,1072744908.0,,,,,,,,,,,,,,,,,,,,,,,6597360508.0,,,,,,,,,,,,,
559958400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02884,,,,,,,,,,,,,,,,,,,,,,,,,67569688.0,,,,,,,,,,,,,,,1072744908.0,,,,,,,0.02884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6605202328.0,,,,,,6605202328.0,,,,,,,1072744908.0,,,,,,,,,,,,,,,,,,,,,,,6605202328.0,,,,,,,,,,,,,
567907200,6890573484.0,,14983775316.0,,,0.0,,3757579938.0,868291830.0,0.100182,,8093201832.0,22944717216.0,,,12081506994.0,3757579938.0,,,,0.0,90938304.0,7244418726.0,,,21736405224.0,325580634.0,,9654898230.0,605000862.0,21736405224.0,16078952070.0,,,,234642330.0,3822481008.0,,,,,2615858748.0,,,,1072744908.0,,,14983775316.0,,1595644650.0,,,,,6752629908.0,,,,801777834.0,,,,,32021708.0,,3822481008.0,,452233728.0,,,,1072744908.0,5263131150.0,,12081506994.0,,,,,,0.0,1595644650.0,,,8046657396.0,,,12596184.0,8093201832.0,6890573484.0,234642330.0,,,,2066158206.0,,12596184.0,,,,2615858748.0,,,,6752629908.0,801777834.0,,,848783106.0,,,,-8953275420.0,0.0,,605000862.0,16999932816.0,,292093218.0,801777834.0,,9654898230.0,,4799606940.0,801777834.0,,,7244418726.0,,,,,,,452233728.0,,,,,,,0.100182,,,,,3129110232.0,16999932816.0,,234642330.0,5997473316.0,,-18947315154.0,,,,0.0,,,,,,816985422.0,,,8046657396.0,848783106.0,,,,,,,,,,,6865765146.0,5263131150.0,-8953275420.0,,,-18947315154.0,,,,,,,,,,,,,
575769600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028445,,,,,,,,,,,,,,,,,,,,,,,,,53144520.0,,,,,,,,,,,,,,,1072744908.0,,,,,,,0.028445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5623012304.0,,,,,,5623012304.0,,,,,,,1072744908.0,,,,,,,,,,,,,,,,,,,,,,,5623012304.0,,,,,,,,,,,,,
583632000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030959,,,,,,,,,,,,,,,,,,,,,,,,,57928718.0,,,,,,,,,,,,,,,1072744908.0,,,,,,,0.030959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6119936816.0,,,,,,6119936816.0,,,,,,,1072744908.0,,,,,,,,,,,,,,,,,,,,,,,6119936816.0,,,,,,,,,,,,,
591580800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031992,,,,,,,,,,,,,,,,,,,,,,,,,59952706.0,,,,,,,,,,,,,,,1072744908.0,,,,,,,0.031992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6324195416.0,,,,,,6324195416.0,,,,,,,1072744908.0,,,,,,,,,,,,,,,,,,,,,,,6324195416.0,,,,,,,,,,,,,
599529600,7260657500.0,,15485709375.0,,,0.0,,3883693125.0,901117500.0,0.123319,,8225051875.0,23917545625.0,,,12701098750.0,3883693125.0,,,,0.0,134773750.0,7304240625.0,,,22540010625.0,361251875.0,,9838911875.0,645698125.0,22540010625.0,16843721875.0,,,,226478125.0,4307365625.0,,,,,2625348125.0,,,,1072744908.0,,,15485709375.0,,1903957500.0,,,,,7054301250.0,,,,609478750.0,,,,,46891696.0,,4307365625.0,,327943750.0,,,,1072744908.0,5381959375.0,,12701098750.0,,,,,,0.0,1903957500.0,,,7914918125.0,,,20036250.0,8225051875.0,7260657500.0,226478125.0,,,,2082485625.0,,20036250.0,,,,2625348125.0,,,,7054301250.0,609478750.0,,,920811250.0,,,,-9051161875.0,0.0,,645698125.0,16966080000.0,,395758750.0,609478750.0,,9838911875.0,,4991338125.0,609478750.0,,,7304240625.0,,,,,,,327943750.0,,,,,,,0.123319,,,,,4944959377.0,16966080000.0,,226478125.0,6172706250.0,,-18071468748.0,,,,0.0,,,,,,899062500.0,,,7914918125.0,920811250.0,,,,,,,,,,,7073823750.0,5381959375.0,-9051161875.0,,,-18071468748.0,,,,,,,,,,,,,
607305600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012345,,,,,,,,,,,,,,,,,,,,,,,,,92220870.0,,,,,,,,,,,,,,,1072744908.0,,,,,,,0.012345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5226606450.0,,,,,,5226606450.0,,,,,,,1072744908.0,,,,,,,,,,,,,,,,,,,,,,,5226606450.0,,,,,,,,,,,,,
