,trailingCashDividendsPaid,annualNetIncome,trailingPretaxIncome,quarterlyTotalAssets,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualRetainedEarnings,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualAccountsReceivable,annualPurchaseOfInvestment,annualLongTermDebt,quarterlyBasicAverageShares,quarterlyLongTermDebt,trailingInvestingCashFlow,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,annualGoodwill,annualSaleOfInvestment,annualPretaxIncome,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCashItems,annualOperatingIncome,annualDepreciationAndAmortization,annualInvestingCashFlow,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,annualStockholdersEquity,trailingStockBasedCompensation,annualTotalAssets,quarterlyNetIncomeCommonStockholders,annualEndCashPosition,quarterlyInventory,trailingTotalRevenue,trailingOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,annualOperatingCashFlow,annualAccountsPayable,trailingOperatingIncome,quarterlyCurrentDebt,annualCurrentLiabilities,quarterlyOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualChangeInAccountPayable,quarterlyEndCashPosition,annualCommonStockIssuance,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyInvestingCashFlow,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,trailingEndCashPosition,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,annualEbitda,annualOtherNonCurrentLiabilities,annualOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,trailingNetOtherInvestingChanges,annualNetPPE,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,trailingInterestExpense,annualInterestExpense,trailingBeginningCashPosition,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,annualChangesInAccountReceivables,annualCurrentAssets,annualBeginningCashPosition,annualDilutedEPS,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,annualGrossPPE,quarterlySaleOfInvestment,annualNetIncomeCommonStockholders,annualBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,trailingRepaymentOfDebt,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,annualSellingGeneralAndAdministration,annualRepaymentOfDebt,annualBasicEPS,annualTotalNonCurrentAssets,annualOtherIncomeExpense,quarterlyBeginningCashPosition,quarterlyCapitalStock,trailingGrossProfit,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingNetIncomeCommonStockholders,annualCurrentAccruedExpenses,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,annualTaxProvision,annualCurrentDebt,quarterlyRepaymentOfDebt,annualInventory,quarterlyTaxProvision,quarterlyAccumulatedDepreciation,trailingTaxProvision,quarterlyNetPPE,annualCapitalStock,quarterlyOtherNonCashItems,annualCostOfRevenue,annualTotalRevenue,annualCurrentDeferredRevenue,annualOtherCurrentAssets,quarterlyStockBasedCompensation,quarterlyEbitda,trailingChangeInInventory,annualGrossProfit,trailingDepreciationAndAmortization,annualStockBasedCompensation,annualFreeCashFlow,annualNetOtherFinancingCharges,quarterlyChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,trailingOtherNonCashItems,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,annualAccumulatedDepreciation,annualOperatingExpense,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,annualPurchaseOfBusiness,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyOperatingCashFlow,quarterlyTotalRevenue,trailingOperatingExpense,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyOperatingIncome,trailingCostOfRevenue,quarterlyCurrentAssets,annualChangeInInventory,trailingNetIncome,quarterlyPurchaseOfBusiness,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualDilutedAverageShares,annualResearchAndDevelopment,trailingBasicAverageShares,trailingDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,annualNonCurrentDeferredTaxesLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,trailingChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,annualCashFlowFromContinuingFinancingActivities,annualIncomeTaxPayable,trailingSaleOfInvestment,trailingOtherIncomeExpense,trailingPurchaseOfInvestment,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880848000,,666050000.0,,,-130456000.0,,,,,,,-38378000.0,,,,,,,,42288000.0,672283000.0,,,,,2540000.0,660979000.0,167287000.0,-454901000.0,,,,,,,,,139989000.0,,,,,,,,877580000.0,,,,,,,,,22035000.0,,,,,,,,,,,,,,,895468000.0,,,,,,,,38846000.0,,,,55898000.0,,,,,,111629000.0,0.932091,,,,,666050000.0,713841721.0,,,,,,,,,,296533000.0,-424391000.0,0.932091,,5436000.0,,,,,,,,-497657000.0,28360000.0,,,6233000.0,,,,,,,,,,1322669000.0,2447468000.0,,,,,,1124799000.0,,,379923000.0,0.0,,,,,,,463820000.0,88272000.0,,,,666050000.0,,,,,,,,,,,,-1689000.0,,,,,,716812076.0,,,,,,,,,,,,,,,,,,,,,,,,,
912384000,,835885000.0,,,-178458000.0,63036000.0,3379628000.0,,,,60837000.0,,1563014000.0,,,,,,437464000.0,,850802000.0,,,,,-8428000.0,819792000.0,200668000.0,-1321053000.0,,,,,4285476000.0,,7179323000.0,,137273000.0,,,,,,,,1091840000.0,168546000.0,,,1135113000.0,,1626050000.0,,,18758000.0,,,,,,,,,,5956000.0,,,546693000.0,,1109242000.0,0.0,56773000.0,24699000.0,,5768114000.0,,,72228000.0,137273000.0,143229000.0,,57772000.0,,,,,370279000.0,139989000.0,1.165113,,,6820413000.0,,835885000.0,714996459.0,,,,,,,,,,369469000.0,-1006586000.0,1.165113,6809044000.0,1793000.0,,,,0.0,,,206968000.0,-1150413000.0,-2716000.0,,,3815000.0,67626000.0,,75449000.0,,,,,5955000.0,,1619377000.0,3009306000.0,638383000.0,0.0,,,,1389929000.0,,,-58573000.0,-4253000.0,,2761163000.0,,,,-1052299000.0,570137000.0,115672000.0,,,,846987000.0,,,,,,,,,,,,-3913000.0,,,,,,719095116.0,,,,,,,,,,,,,,,,,,,,,,,,,
943920000,,1027240000.0,,,-219179000.0,82680000.0,4176498000.0,,,,62887000.0,-68280000.0,867515000.0,,,,,,462340000.0,,1044032000.0,,,,,4007000.0,943941000.0,243658000.0,-910380000.0,,,,,5931247000.0,,8286355000.0,,521771000.0,,,,,,,,1329724000.0,195879000.0,,,1404913000.0,,950195000.0,,,27333000.0,,,,,,,,,,22800000.0,,,586922000.0,,1334646000.0,0.0,34930000.0,1116000.0,,6410527000.0,,,30884000.0,521771000.0,544571000.0,,46956000.0,,,,,791636000.0,137273000.0,1.381491,,,7680410000.0,,1027240000.0,735960774.0,,,,,,,,,,447235000.0,-564838000.0,1.398136,7494719000.0,29357000.0,,,,0.0,,,262170000.0,-872984000.0,384498000.0,,,2778000.0,206267000.0,,84019000.0,,,,,6170000.0,,1862636000.0,3497470000.0,675816000.0,0.0,,,,1634834000.0,,,456740000.0,-176000.0,,2355108000.0,,,,-1269883000.0,690893000.0,101476000.0,,,,1041254000.0,,,,,,,,,,,,-8570000.0,,,,,,740185600.0,,,,,,,,,,,,,,,,,,,,,,,,,
954460800,,,,4418067394.248387,,,,,879949016.171433,-8922169.999203,,,,819010560.0,,,4003186489.28543,,,,,788815422.608141,,,1073368915.797021,,,,,32820839.639927,133832549.988051,134629172.309408,180833266.94814,,,,133832549.988051,,92886162.670278,,,0.0,,0.0,,,,,,,255715765.15574,,22783398.390823,,,-8922169.999203,,,0.16309,-669640723.333068,,,,,,,3457022225.762766,,273082131.761332,,,,,,,,1953317931.968454,,,,,,,,321994742.292679,,,,,,,,,,,,,,,,433043893.889907,,819010560.0,,,,,,,,,,,,,,,,2455986616.745001,15613797.498606,,,,,20074882.498208,,,502350035.848004,,,,,,,,252369951.406038,,,,,,,,,,,,,,,,,,,,,0.16309,,1221859316.498048,,-672667888.154226,154704054.807616,177328128.734167,,414880904.962957,,,-15613797.498606,502350035.848004,879949016.171433,,,,,,,,,,,,,,,,,,,,,,,,,,,
962323200,,,,4135905278.139479,,,,,,-261798236.989865,,,,,,,3757986857.644672,,,,,-461770635.641482,,,879841322.714472,,,,,114768494.685522,-91513560.193059,-91931658.455428,-104371407.032324,,,,-91513560.193059,,75704811.797838,,,0.0,,0.0,,,,,917693728.613391,,-147155065.03764,,-14910097.963848,,,-270720406.989068,,,,286120146.765221,,,,,,,3043333434.273082,,,,,,,,,,1797535051.327862,,,,,,,,302213608.696969,,,,,,,,,,,,,,,,-267553175.299833,,,,,,,,,,,,,,,,,,2338218817.18802,-13039833.897479,,,,,-13715678.307189,,,589589074.281561,,,,,,,,-120557434.726465,,,,,,,,,,,,,,,,,,,,,,,-729323810.941315,,,-105647336.762617,-120398110.262193,,377918420.494807,,,13039833.897479,589589074.281561,917693728.613391,,,,,,,,,,,,,,,,,,,,,,,,,,,
970272000,,,,0.0,,,,,,301564562.833224,,,,,,,0.0,,,,,884879652.230507,,,0.0,,,,,0.0,234835673.723309,236818424.752867,182835660.745341,,,,234835673.723309,,0.0,,,0.0,,0.0,,,,,,,258469996.458052,,27250666.515174,,,30844155.844156,,,,-312170096.395554,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,558092516.356798,,,,,,,,,,,,,,,,,,0.0,12184005.702297,,,,,35405848.937671,,,0.0,,,,,,,,375109275.918423,,,,,,,,,,,,,,,,,,,,,,,1442972168.587305,,-324237161.849308,272224273.690538,299622519.898746,,0.0,,,-12184005.702297,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
975542400,,965458000.0,,,-254333000.0,146332000.0,4884023000.0,,,,95361000.0,,2099077000.0,,,,,,701385000.0,,966552000.0,,,,,-14689000.0,945130000.0,287667000.0,-1292027000.0,,,,,5870617000.0,,9831320000.0,,189282000.0,,,,,,,,1279535000.0,332694000.0,,,1715294000.0,,2245409000.0,,,58133000.0,,7811000.0,,,,,,,,,-705137000.0,,437391000.0,,1295591000.0,0.0,141744000.0,-75059000.0,,8001318000.0,,,94961000.0,189282000.0,189282000.0,,41372000.0,,,,,549482000.0,521771000.0,1.331558,,,9485663000.0,,965458000.0,720557464.0,,,,,,,,,,487403000.0,-388429000.0,1.33988,9281838000.0,8460000.0,,,,0.0,,,302585000.0,-1003348000.0,-332489000.0,,,1094000.0,248219000.0,,100451000.0,,,,,6176000.0,,2058342000.0,3778542000.0,770425000.0,0.0,,,,1720200000.0,,,276187000.0,0.0,,3960703000.0,,,,-1484345000.0,775070000.0,62461000.0,,,,965458000.0,,,,,,,,,,,,-8205000.0,,,,,,723257459.0,,,,,,,,,,,,,,,,,,,,,,,,,
985996800,,,,4853968568.877804,,,,,,-25365964.260915,,,,832228160.0,1377272662.85941,,4403899839.868494,,,,,386724673.005796,,,2058327546.87035,,,,,112517182.252328,114359403.120439,114359403.120439,84317032.040472,,,,114359403.120439,,74113962.617087,,,120027775.022319,,120027775.022319,,,,,174585854.577919,,121019740.105148,,13745801.86206,,,-25365964.260915,,,0.137983,-22956906.202616,,,,,,,3518925276.687403,,,,,,,,,,2232913401.448269,,,,,,,,255926991.369904,,,,,,,,,,,,,,,,153612878.540961,,832228160.0,,,,,,,,,,,,,,,,2620913458.131988,,,,,,-95512066.546686,,,753468335.057463,,,,,,,,69295846.500489,,,,,,,,,,,,,,,,,,,,,0.137983,,540337551.546757,,-38119801.040146,18847336.573753,32593138.435813,,450068729.00931,,,,753468335.057463,174585854.577919,,,,,,,,,,,,,,,,,,,,,,,,,,,
993859200,,,,4924201637.81134,,,,,,-341866474.604518,,,,,1482672636.082854,,4308888951.857414,,,,,414612778.469084,,,2370859425.915956,,,,,110509761.695616,90792051.924757,90933731.106418,94057057.670786,,,,90792051.924757,,84015754.725001,,,230937066.107506,,230937066.107506,,,,,61488764.840894,,131169203.251515,,18557051.556658,,,-367232438.865433,,,,-440900734.555651,,,,,,,3573573999.036582,,,,,,,,,,2432348190.75685,,,,,,,,300359865.121419,,,,,,,,,,,,,,,,243513867.654953,,,,,,,,,,,,,,,,,,2491570088.691168,,,,,,3562277.648667,,,614179252.500638,,,,,,,,150165205.892472,,,,,,,,,,,,,,,,,,,,,,,658126646.124037,,-442455983.154124,94496008.755085,112344664.403438,,615312685.953926,,,,614179252.500638,61488764.840894,,,,,,,,,,,,,,,,,,,,,,,,,,,
