,annualOperatingIncome,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualChangeInAccountPayable,trailingOperatingIncome,annualAccountsPayable,annualFreeCashFlow,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,annualBasicEPS,trailingFreeCashFlow,trailingCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualEndCashPosition,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,annualOtherCurrentAssets,quarterlyOtherNonCashItems,trailingTotalRevenue,quarterlyDilutedAverageShares,annualChangeInWorkingCapital,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,annualCashAndCashEquivalents,trailingNetIncome,trailingTaxProvision,trailingPretaxIncome,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,annualNetIncome,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,annualInvestmentsAndAdvances,annualCurrentDebt,quarterlyTotalAssets,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualOperatingExpense,annualCurrentDeferredRevenue,annualCostOfRevenue,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyBasicEPS,annualSaleOfInvestment,trailingSaleOfInvestment,quarterlyOtherCurrentAssets,annualDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,annualDilutedEPS,annualStockholdersEquity,annualOtherNonCashItems,annualLongTermDebt,annualRepurchaseOfCapitalStock,annualCurrentAssets,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualRetainedEarnings,quarterlyEndCashPosition,annualCurrentAccruedExpenses,annualCurrentLiabilities,trailingNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,annualTotalAssets,annualTaxProvision,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyChangeInInventory,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyInventory,quarterlyGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualAccountsReceivable,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualNetPPE,trailingGrossProfit,quarterlyOperatingExpense,trailingOtherIncomeExpense,annualOperatingCashFlow,quarterlyPretaxIncome,annualGrossProfit,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,annualEbitda,quarterlyNetPPE,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyCurrentDebt,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyBasicAverageShares,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualPurchaseOfBusiness,annualCapitalExpenditure,quarterlySaleOfInvestment,trailingOperatingExpense,annualDeferredIncomeTax,quarterlyIncomeTaxPayable,trailingSellingGeneralAndAdministration,annualInvestingCashFlow,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,trailingDeferredIncomeTax,trailingInvestingCashFlow,annualAccumulatedDepreciation,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,annualIncomeTaxPayable,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingCashDividendsPaid,annualChangesInAccountReceivables,quarterlyAccountsPayable,annualNonCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,trailingPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetIncomeContinuousOperations,trailingCapitalExpenditure,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,trailingChangeInInventory,trailingNetOtherFinancingCharges,trailingStockBasedCompensation,annualOtherCurrentLiabilities,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,quarterlyStockBasedCompensation,annualGoodwill,annualInventory,annualNetOtherFinancingCharges,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepaymentOfDebt,annualInterestExpense,annualCapitalStock,annualPurchaseOfInvestment,annualBasicAverageShares,annualTotalRevenue,trailingResearchAndDevelopment,trailingBasicAverageShares,trailingOtherNonCashItems,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingBasicEPS,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562636800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,1300000.0,,,,,,,,,,,,,,,100000.0,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,,,,,,,,,0.01,,,,,,,,,,,,,,,
570585600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000.0,1400000.0,,,,,,,,,,,,,,,100000.0,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000.0,,,,,,,,,0.01,,,,,,,,,,,,,,,
578361600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000.0,1400000.0,,,,,,,,,,,,,,,100000.0,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000.0,,,,,,,,,0.01,,,,,,,,,,,,,,,
586310400,500000.0,,,1700000.0,2600000.0,,,,,0.0,,,4500000.0,,4300000.0,0.01,,,,2600000.0,,0.0,,500000.0,200000.0,,,,,,,300000.0,2300000.0,,,,-3600000.0,1400000.0,,4300000.0,700000.0,400000.0,,,,,4800000.0,,400000.0,2600000.0,,2400000.0,100000.0,,0.0,2500000.0,,,,200000.0,40000000.0,,0.01,500000.0,,,,4500000.0,,400000.0,,,500000.0,,,1700000.0,,,500000.0,4800000.0,300000.0,,,,,,,,,,1200000.0,,,,,,,100000.0,300000.0,300000.0,,,,0.0,,3100000.0,,,2300000.0,,,,2300000.0,2300000.0,,600000.0,300000.0,,,,,400000.0,,,,,,,0.0,,,,-100000.0,,0.0,,,,,,,,0.0,,,,,-100000.0,,400000.0,,,,,,,,,,,,,,,,,,,,,,,-3600000.0,,,,,1200000.0,,,,,,,,,,,40000000.0,5500000.0,,,,,,,
594259200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100000.0,4100000.0,,,,,,,,,,,,,,,600000.0,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100000.0,,,,,,,,,0.01,,,,,,,,,,,,,,,
602208000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600000.0,5600000.0,,,,,,,,,,,,,,,800000.0,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600000.0,,,,,,,,,0.01,,,,,,,,,,,,,,,
609897600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7700000.0,7700000.0,,,,,,,,,,,,,,,1100000.0,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7700000.0,,,,,,,,,0.01,,,,,,,,,,,,,,,
617846400,6900000.0,,,8800000.0,300000.0,,,,1500000.0,1900000.0,200000.0,,15500000.0,,9100000.0,0.01,,,,300000.0,,0.0,,5700000.0,1300000.0,,,,-1000000.0,,-100000.0,1000000.0,4200000.0,,,,-10500000.0,10300000.0,,9100000.0,7000000.0,4200000.0,,,,100000.0,16500000.0,,4200000.0,9300000.0,,11500000.0,1600000.0,,200000.0,9200000.0,,,,1300000.0,3851316000.0,100000.0,0.01,7400000.0,100000.0,200000.0,,15500000.0,,4200000.0,,,5700000.0,,,8800000.0,,,7400000.0,16500000.0,2800000.0,,,100000.0,,,200000.0,,,,2600000.0,,,,,,,200000.0,1000000.0,800000.0,,,,2200000.0,,16200000.0,,,4200000.0,,,2700000.0,4200000.0,4200000.0,,7000000.0,800000.0,,,,,1000000.0,100000.0,,,,,-1400000.0,200000.0,,,,-200000.0,100000.0,2300000.0,,-300000.0,,,-1200000.0,,,-400000.0,,,,,-200000.0,,1000000.0,,,,,,1500000.0,,,,,,,,,,7200000.0,,,,,,7200000.0,-10500000.0,1900000.0,,,,2600000.0,-100000.0,,100000.0,,,,,,2700000.0,,3851316000.0,27700000.0,,,,,,,
625795200,,,,8400000.0,,,,,,,,,17100000.0,4800000.0,,,,,100000.0,300000.0,,,,7200000.0,,,,3851316000.0,,,,1600000.0,,,,,4100000.0,14100000.0,,8700000.0,,,2500000.0,,,,18700000.0,-400000.0,,,,,2500000.0,2500000.0,,,0.01,,,1400000.0,,100000.0,,,,,,,5100000.0,,,,,0.0,,,,-700000.0,10000000.0,,,,-100000.0,,300000.0,,200000.0,,,,2300000.0,9000000.0,,,,100000.0,,,,,,4900000.0,,,4200000.0,,,,,,,2700000.0,3700000.0,3700000.0,1700000.0,,1200000.0,4200000.0,,,,,100000.0,-600000.0,,,,,400000.0,3851316000.0,,0.0,-200000.0,,,,,,,,,,,200000.0,,,,,,1400000.0,,,,,,1800000.0,,-500000.0,-2400000.0,,,,,,,6500000.0,,,,,,,4200000.0,,,,,,,,,0.01,,,,,,,,,,,,,,,
