,annualOtherCurrentLiabilities,annualGrossPPE,annualNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualEbitda,annualInterestExpense,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyCashAndCashEquivalents,annualCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,trailingCapitalExpenditure,quarterlyCapitalStock,annualRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockholdersEquity,trailingInterestExpense,annualChangeInInventory,annualStockBasedCompensation,quarterlyNetPPE,trailingTaxProvision,annualInventory,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,annualCurrentDebt,annualNetOtherFinancingCharges,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingFreeCashFlow,trailingOperatingExpense,quarterlyRetainedEarnings,annualGrossProfit,annualAccumulatedDepreciation,annualCostOfRevenue,quarterlyOtherCurrentLiabilities,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualDilutedAverageShares,quarterlyAccumulatedDepreciation,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,trailingCostOfRevenue,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,trailingNetIncome,quarterlyCurrentAssets,quarterlyBasicEPS,trailingCashDividendsPaid,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyGoodwill,annualRetainedEarnings,annualNetOtherInvestingChanges,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyLongTermDebt,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualNetIncome,quarterlyTotalAssets,annualGoodwill,annualOtherShortTermInvestments,annualFreeCashFlow,annualDilutedEPS,annualBasicEPS,annualCommonStockIssuance,annualPretaxIncome,annualInvestingCashFlow,annualOperatingIncome,annualTotalRevenue,annualAccountsPayable,trailingInvestingCashFlow,annualPurchaseOfInvestment,annualAccountsReceivable,annualOtherCurrentAssets,annualStockholdersEquity,annualLongTermDebt,annualBasicAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,annualDepreciationAndAmortization,annualEndCashPosition,annualTotalAssets,annualTaxProvision,annualCurrentLiabilities,quarterlyInventory,annualCashAndCashEquivalents,quarterlyDilutedEPS,quarterlyCurrentDebt,annualSaleOfInvestment,trailingEndCashPosition,trailingOperatingIncome,annualOtherNonCurrentAssets,annualNetPPE,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentAssets,quarterlyOtherNonCurrentAssets,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,trailingRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,trailingNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,trailingSaleOfInvestment,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyStockBasedCompensation,trailingPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
1041292800,0.0,,1490985328.613863,-2092367123.419454,,,1917252362.000997,,6240082843.23059,3343475962.69379,,18372108608.360435,4612481724.157117,-1306339479.77965,,,,,,,,,-7487251260.772969,,,,,,,,,3594238755.864831,1707765831.378496,2871984816.275251,-1293153446.916853,2418009603.249102,-291521165.656237,,,,,,6057635904.665327,,24529735500.25576,,4140383542.66433,,2288134694.0,,,,,384678763.300433,12672548048.741653,,,,,,,,,-228503071.698432,,,,,-995462173.005945,,1490985328.613863,,,,1565645336.495601,0.651616,0.661342,43860406.614609,2063369524.872729,-876057737.151472,1917252362.000997,30587371404.921085,6404226400.807147,,-11587790.167314,,35708944.367596,13731277709.485905,,2254485655.0,,,,4146949497.217418,29895399176.535294,355603693.494233,8944393322.747429,,4152039252.839951,,,,,,389691047.66349,14242063764.460644,1231683716.898431,3728154725.994223,2871984816.275251,,,11523290568.174854,,,4152039252.839951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,0.0,,1551546176.387626,-114423007.967563,,,1638685551.431096,,4166389553.450679,4461847979.676661,,20262737124.464516,5711974465.557613,-1988824263.36106,,,,,,,,,-4539395594.128269,,,,,,,,,4588843913.488958,1840379080.123854,1358522123.614435,-344968586.639842,2621306833.344496,-4239277764.413355,,,,,,6967960924.339063,,29982251736.152077,,5329275372.907967,,2301269632.0,,,,,318176483.465954,14939185247.650045,,,,,,,,,1527873847.723719,,,,,-686562570.981636,,1551546176.387626,,,,-630302139.746625,0.674213,0.683984,71608740.897066,2112263270.390959,-1957502836.15491,1638685551.431096,36950212660.49114,7372144451.840422,,-971341687.059987,,3682741.338849,14332766549.128153,,2268394351.0,,,,4033757553.999366,33386302103.98533,271884190.267105,10159160784.50743,,4033810865.2521,,,0.0,,,488757565.063279,15801960700.967802,1650794669.377046,4780024463.142615,1358522123.614435,,,13123564979.520813,,,4033810865.2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,0.0,,1708097635.569324,1078596810.087761,,,2250302977.962705,,4030627112.976689,7241732280.86579,,26204667440.949238,6980544732.426342,-2503585276.215861,,,,,,,,,,,,,,,,,,5401344225.399967,2069209890.238237,2961518733.907678,-1661777344.147562,3177009248.520916,-6741295851.350256,,,,,,8268549702.23333,,41888348210.31119,,6018246724.270625,,2364122810.0,,,,,247320333.287859,19975253585.523056,,,,,,,,,473863282.595518,,,,,-718175998.460748,,1708097635.569324,,,,457933457.691818,0.722508,0.742035,281113679.737864,2463986578.247647,-3740824050.419498,2250302977.962705,50156897912.54452,9115158315.883762,,-406699552.542403,,0.0,16813644659.299023,,2301909052.0,,,,5112398807.910157,41915221799.35419,394776688.009411,12486200971.369406,,5112408396.48855,,,63424184.479814,,,1022696463.453715,20471674531.487087,2693815213.751334,7489052614.15365,2961518733.907678,,,15710554358.404943,,,5112408396.48855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,0.0,,2311297527.140278,1910004188.821558,,,1659541443.140794,,4995018031.266117,5007620644.017535,,27835822876.611656,7859577232.465188,-2815986002.320784,,,,,,,,,-6957139806.214544,,,,,,,,,6737961352.565756,1897087213.383187,3623116364.814337,-387191777.656008,5468851080.067045,-301290612.04229,,,,,,9519118675.605982,,46258314285.52089,,7859577232.465188,,2422883770.0,,,,,990076955.067045,23439408652.784943,,,,,,,,,350910992.586385,,,,,-850734132.67148,,2311297527.140278,,3209940741.490459,72755184.244456,807130362.493553,0.953945,0.973024,454143743.424446,3305142670.70655,-1220258102.759154,1659541443.140794,55777432961.12687,11729355885.443527,,-264929674.896854,,0.0,18941338696.235172,,2375376245.0,,,,6941232221.505931,47321954191.20681,579634829.80918,17441711053.70036,,6941241589.930376,,,122301658.329036,,,427841371.325425,21708659897.305313,235872986.01083,5997697599.08458,3623116364.814337,,,19486131314.595154,,,7013996774.174832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,5010494116.890632,,2783496431.556613,50135022.182216,,,2162824856.940783,,6944703272.680512,3850369703.594162,,28506773612.80782,9093490323.410275,-3135444287.275767,,,,,,,,,-11275366488.7803,,,,,,,,,6743160483.508005,2233013887.995885,4868110653.89314,-17045907.541953,167450974.0886,-317856040.635247,,,,,,11256315180.351057,,54357393750.401855,,9093490323.410275,,2589013860.0,,,,,1025762553.848132,22850540410.21025,,,,,,,,,-206556291.390728,,,,,-3273816948.498682,,2783496431.556613,,3490400244.325854,163440172.314023,1732666366.617373,1.075118,1.093496,1109989391.114254,3979718060.824278,-1198227030.154954,2162824856.940783,65613708930.75291,12587901369.510706,,,,0.0,19192689191.795795,,2545501022.0,,,,7075054330.354272,47882956985.79052,645739085.706938,17974408152.767956,,7075054330.354272,,,1002700.443644,,,468261107.181894,23102218221.564972,113305150.131807,4876132257.442294,4868110653.89314,,,19376183372.982704,,,7238494502.668296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,0.0,,4647445592.040975,1122281761.593446,,,1977576626.647551,,6610033480.637194,7028781349.946268,,35511130831.98896,9791393132.032307,-5753801819.454882,,,,,,,,,-10444340033.393435,,,,,,,,,8506108844.130629,2705467218.265337,4741125204.861797,-3170118097.856613,4635267242.374268,275418061.693216,,,,,,11768969758.679855,,36488209193.71014,,9791393132.032307,,2615168382.0,,,,,1164437587.362816,28597575405.812305,,,,,,,,,273544469.4368,,,,,-2294213717.981929,,5124274821.298958,,5745370654.301008,0.0,-1012676614.593085,1.777111,1.794282,234199032.052055,3421179460.216416,-5679794925.326432,1977576626.647551,48257178952.38999,15750353303.564789,,,,35598252.871912,21425464248.25018,,2590142847.0,,,,7869087476.94904,56855093817.08502,715712241.951079,20404356468.50322,,7873771457.590081,,,2810388.384625,,,192043206.282685,27987721126.348755,75880486.384866,8193218937.309084,4741125204.861797,,,21343962985.096066,,,7873771457.590081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,0.0,25270477982.162766,2044531354.51505,-846164785.395764,,,5651958124.303233,496604515.050167,7396237458.19398,189308458.751394,59874303.232999,39764461886.84504,11988948717.948717,-6239254598.662207,6670701783.723523,2103525153.28874,6733217600.334448,,,1178114966.555184,,2103525153.28874,-11382281145.48495,18490593.645485,16995497073.578594,22152611691.75028,,-2114091206.800446,0.0,25270477982.162766,,10018379738.015608,2607173704.013378,307296056.298774,-162893324.972129,4829566959.308807,1058366360.089186,22206322463.768116,25270477982.162766,,,6410952968.227425,14038763099.219622,,42866479096.98997,0.0,10500015677.257524,,2616542160.0,,,,,1178114966.555184,31133757176.70011,,21744938127.0903,,,1439624790.9699,39764461886.84504,5622020972.686734,6410952968.227425,-22893115.942029,,62515816.610925,72201365.663322,7550325738.573021,-946542293.756968,189308458.751394,2044531354.51505,61509400013.93534,5622020972.686734,62515816.610925,-2309563196.767001,0.782713,0.782713,34339673.913043,3337992405.239688,-5390448299.888517,3538747421.962096,56905242196.20959,16995497073.578594,,,1439624790.9699,18490593.645485,22152611691.75028,7550325738.573021,2605314127.0,8927434712.931995,,1817361204.013378,6669821279.264214,61509400013.93534,730818701.22631,22206322463.768116,10018379738.015608,6670701783.723523,,4829566959.308807,37861691.750279,,,0.0,25270477982.162766,59874303.232999,8927434712.931995,3929691401.895206,,31133757176.70011,21744938127.0903,0.0,,6733217600.334448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246320000,,,,,,,,,,,89026753.941158,,,,7782348619.272128,,7812318021.588953,,,1234915666.055074,,2105791239.261651,,96959831.025024,19810656384.430973,22623372937.165977,,,,23374370901.10525,,,,,,,,24316644168.06662,24403026562.979824,,,,,,,0.0,,,,-1028655661.874569,,,,,,,22922185507.324917,,,5386559339.944724,42028560937.31049,5700356611.262074,,,,29969402.316826,,7979794093.359449,,185986584.966182,,64950746444.63541,,,,,,,,,,,,,,,,,,,9417443951.557755,,,,,,,9119512834.408136,,,4171035640.094655,,,,,,,,,,33734088119.624374,,3703865545.155904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,478964420.924499,35487389613.57142,2564748820.134311,1381424956.673785,,,5958000434.551625,,6669403471.513013,230677717.430549,83642683.801153,43175472928.852165,12783243432.725735,-4199743176.121066,7508471657.434056,2109556530.395403,7508471657.434056,,,1429849668.348136,,2109556530.395403,-11267990181.970104,319603097.050723,22117766944.934444,22756973139.03589,,206905586.244958,,25937156022.086056,,9802042092.191998,3095659749.945842,0.0,-570531148.454183,2926613483.737196,3521797.21268,25813012670.33908,35487389613.57142,,,,14826766265.383385,-9550233591.485367,41637327996.21411,478964420.924499,11038192913.842726,,2615064984.0,-9550233591.485367,,,,1429849668.348136,35238222460.7743,,23269394633.48085,,,4523748519.687639,43175472928.852165,8122144821.743571,,43142015.855332,,,2584118704.804052,7764682404.656537,-820578750.554472,230677717.430549,2564748820.134311,66444867562.333015,8122144821.743571,,2790143841.74584,0.976313,0.984381,58109654.009222,3902151311.649594,-4268418221.768329,3788573351.54066,56464094261.597496,22117766944.934444,,,4523748519.687639,319603097.050723,22756973139.03589,7764682404.656537,2608467443.0,9425209790.435223,,2169427083.010966,7508471657.434056,66444867562.333015,806491561.703752,25813012670.33908,9802042092.191998,7508471657.434056,,2926613483.737196,73077292.163113,,,-23772131.185591,25937156022.086056,83642683.801153,9425209790.435223,6989887017.866906,,35238222460.7743,23269394633.48085,-23772131.185591,,7508471657.434056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,,,,,,,,,,75213410.671304,,,,12543148091.254011,,12543148091.254011,,,1595223965.865801,,2096355178.826932,,411050035.064104,25871664121.843266,34037566626.93591,,,,26556455988.76921,,,,,,,,29953303512.575554,26556455988.76921,,,,,,,8745745.426896,,,,,,,,,,,28674675531.163383,0.0,,5141623736.472063,43830177781.43118,8141414417.897335,,,,,,6626651309.958976,,292107897.258321,,72504853312.59456,,,,,,,,,,,,,,,,,,,8513983173.083098,,,,,,,10546494410.293692,,0.0,3402969545.60517,,,,,,,,,,38467286685.65865,,193280973.934398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
