,quarterlyNetIncome,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,trailingInvestingCashFlow,trailingPurchaseOfInvestment,annualLongTermDebt,annualOtherNonCashItems,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,trailingPretaxIncome,quarterlyResearchAndDevelopment,annualNonCurrentDeferredTaxesLiabilities,annualNonCurrentDeferredRevenue,trailingCashDividendsPaid,annualTotalAssets,trailingNetIncome,annualStockholdersEquity,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyGoodwill,trailingStockBasedCompensation,trailingChangeInInventory,quarterlyCostOfRevenue,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,quarterlyCommonStockIssuance,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualInventory,annualRetainedEarnings,quarterlyLongTermDebt,annualDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInWorkingCapital,annualCapitalStock,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,annualAccountsReceivable,annualSaleOfInvestment,annualGoodwill,annualCommonStockIssuance,annualStockBasedCompensation,annualOtherIncomeExpense,quarterlyCashDividendsPaid,annualNetPPE,trailingGrossProfit,annualGainsLossesNotAffectingRetainedEarnings,annualOtherShortTermInvestments,annualOperatingIncome,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualChangeInAccountPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,annualEbitda,trailingTotalRevenue,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualBasicAverageShares,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,trailingEndCashPosition,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCurrentDebt,annualGrossPPE,quarterlyNetOtherFinancingCharges,annualPretaxIncome,annualOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualIncomeTaxPayable,trailingOperatingIncome,annualInvestmentsAndAdvances,trailingOtherIncomeExpense,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyGrossPPE,annualOtherNonCurrentAssets,annualDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingSellingGeneralAndAdministration,quarterlyRepurchaseOfCapitalStock,annualOperatingExpense,quarterlyIncomeTaxPayable,trailingOperatingExpense,quarterlySaleOfInvestment,trailingCapitalExpenditure,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualCapitalExpenditure,trailingDeferredIncomeTax,annualChangesInAccountReceivables,trailingInterestExpense,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,annualCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,annualCurrentAccruedExpenses,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyStockBasedCompensation,annualRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyChangeInInventory,trailingResearchAndDevelopment,quarterlyGrossProfit,trailingChangesInAccountReceivables,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,annualInterestExpense,trailingFreeCashFlow,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingExpense,annualDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,annualResearchAndDevelopment,annualOtherCurrentAssets,trailingChangeInAccountPayable,annualChangeInWorkingCapital,quarterlySellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,quarterlyTaxProvision,annualTaxProvision,quarterlyRetainedEarnings,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualChangeInInventory,quarterlyTotalRevenue,quarterlyDilutedAverageShares,annualBasicEPS,annualNetIncomeContinuousOperations,trailingDepreciationAndAmortization,trailingTaxProvision,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualCashDividendsPaid,annualCurrentDeferredRevenue,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCostOfRevenue,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,trailingBasicAverageShares,trailingRepaymentOfDebt,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingBasicEPS,trailingCommonStockIssuance,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,0.0,,,,,,,,,,17900000.0,,,,,,3000000.0,,,108700000.0,,68200000.0,,19700000.0,,,,,,,,,,,,,29000000.0,33900000.0,,62560000.0,,,,,,,,,,,200000.0,,39400000.0,,,,18500000.0,800000.0,,,122400000.0,20800000.0,,0.0,,,,22700000.0,,,,62560000.0,,0.0,,,,,800000.0,,,,,55000000.0,,14300000.0,-100000.0,,,,,,,,,,,,4600000.0,,,,,32200000.0,,,,,-15600000.0,28000000.0,,,,,,,64700000.0,,,,,,,,,,,,15000000.0,,8000000.0,,,,,,,,,,,,,,,,4400000.0,,44000000.0,50700000.0,,,,,0.009375,,,,1900000.0,,,,40500000.0,,6300000.0,,,,,,,,,0.009375,8000000.0,,,,,,,,,,0.0,71700000.0,8000000.0,0.0,4700000.0,,,,,,,
347068800,,0.0,,,,,,,,,,37600000.0,,,,,,5000000.0,,,146300000.0,,83300000.0,,20400000.0,,,,,,,,,,,,,36100000.0,45200000.0,,64848000.0,,,,,,,,,,,-100000.0,,58100000.0,,,,22700000.0,1100000.0,,,165000000.0,42600000.0,,0.0,,,,28700000.0,,,,64848000.0,,0.0,,,,,1100000.0,,,,,79400000.0,,19000000.0,0.0,,,,,,,,,,,,4200000.0,,,,,56800000.0,,,,,-21300000.0,50800000.0,,,,,,,84000000.0,,,,,,,,,,,,18500000.0,,11400000.0,,,,,,,,,,,,,,,,3600000.0,,62300000.0,79500000.0,,,,,0.01125,,,,1600000.0,,,,63000000.0,,7600000.0,,,,,,,,,0.01125,11400000.0,,,,,,,,,,0.0,85500000.0,11400000.0,0.0,1900000.0,,,,,,,
378604800,,0.0,,,,,,,,,,46900000.0,,,,,,7300000.0,,,165700000.0,,90500000.0,,21000000.0,,,,,,,,,,,,,36200000.0,49400000.0,,66496000.0,,,,,,,,,,,100000.0,,79400000.0,,,,9600000.0,500000.0,,,159900000.0,54200000.0,,0.0,,,,18300000.0,,,,66496000.0,,0.0,,,,,500000.0,,,,,108000000.0,,5100000.0,0.0,,,,,,,,,,,,4200000.0,,,,,69100000.0,,,,,-28600000.0,60400000.0,,,,,,,82100000.0,,,,,,,,,,,,14700000.0,,4300000.0,,,,,,,,,,,,,,,,4600000.0,,83600000.0,78700000.0,,,,,0.004375,,,,4700000.0,,,,75200000.0,,800000.0,,,,,,,,,0.004375,4300000.0,,,,,,,,,,0.0,81200000.0,4300000.0,0.0,6300000.0,,,,,,,
410140800,,0.0,,,,,,,,,,79700000.0,,,,,,7200000.0,,,207700000.0,,98200000.0,,22600000.0,,,,,,,,,,,,,38700000.0,53700000.0,,69016000.0,,,,,,,,,,,100000.0,,107900000.0,,,,9400000.0,1800000.0,,,176300000.0,86900000.0,,0.0,,,,20500000.0,,,,69016000.0,,0.0,,,,,1800000.0,,,,,144000000.0,,3900000.0,0.0,,,,,,,,,,,,3400000.0,,,,,78600000.0,,,,,-36100000.0,67500000.0,,,,,,,96400000.0,,,,,,,,,,,,18600000.0,,4300000.0,,,,,,,,,,,,,,,,5600000.0,,111300000.0,88000000.0,,,,,0.0075,,,,4000000.0,,,,109500000.0,,-400000.0,,,,,,,,,0.0075,4300000.0,,,,,,,,,,0.0,88300000.0,4300000.0,0.0,4000000.0,,,,,,,
441676800,,0.0,,,,,,,,,,28300000.0,,,,,,11000000.0,,,252600000.0,,176500000.0,,36800000.0,,,,,,,,,,,,,50000000.0,75100000.0,,86864000.0,,,,,,,,,,,100000.0,,122900000.0,,,,36700000.0,100000.0,,,251400000.0,39300000.0,,0.0,,,,51300000.0,,,,86864000.0,,0.0,,,,,100000.0,,,,,170500000.0,,30600000.0,0.0,,,,,,,,,,,,4100000.0,,,,,101100000.0,,,,,-47600000.0,86500000.0,,,,,,,125600000.0,,,,,,,,,,,,31700000.0,,21400000.0,,,,,,,,,,,,,,,,6200000.0,,127000000.0,137800000.0,,,,,0.065,,,,4400000.0,,,,76100000.0,,9200000.0,,,,,,,,,0.0675,21400000.0,,,,,,,,,,0.0,113600000.0,21400000.0,0.0,5100000.0,,,,,,,
449539200,,,9100000.0,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85400000.0,,,,,,,,,,,85400000.0,,,,,,,,,0.025,,,86864000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85400000.0,86864000.0,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,10600000.0,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93600000.0,,,,,,,,,,,93600000.0,,,,,,,,,0.03,,,88496000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93600000.0,88496000.0,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,13600000.0,,,,,,,,,,,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104000000.0,,,,,,,,,,,104000000.0,,,,,,,,,0.0375,,,88768000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104000000.0,88768000.0,,,,,,,,,,,,,,,,,,,,,,,
473299200,,0.0,9900000.0,,,,0.0,,5500000.0,,,55900000.0,,,46900000.0,,,14600000.0,,,350400000.0,,226500000.0,,53400000.0,,,,,154500000.0,,83500000.0,,,,,,83500000.0,118300000.0,55900000.0,89132000.0,14600000.0,,,,,,,,,,100000.0,,154500000.0,,,,72000000.0,800000.0,,,389300000.0,70500000.0,800000.0,0.0,,800000.0,,91300000.0,,,,89132000.0,,0.0,,,,,800000.0,,,,6500000.0,216500000.0,,66900000.0,0.0,123900000.0,,,,,,160000000.0,,350400000.0,,216500000.0,5500000.0,,,,,142900000.0,,,,,-62000000.0,123600000.0,,,,,-211000000.0,,190400000.0,,,2900000.0,,,,,,-211000000.0,,,46900000.0,,43200000.0,,,226500000.0,,,,,,,,,,,,,5200000.0,,160000000.0,214900000.0,,53400000.0,190400000.0,,0.1175,,,,2900000.0,,,,123900000.0,,23700000.0,118300000.0,,,70500000.0,,,106300000.0,,0.1175,43200000.0,,,-62000000.0,,,,,,,0.0,174400000.0,43200000.0,0.0,6500000.0,,,,,,,
