date,trailingChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualGrossPPE,trailingInterestExpense,annualRepaymentOfDebt,quarterlyStockholdersEquity,annualInterestExpense,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,trailingGrossProfit,annualCapitalExpenditure,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyCapitalStock,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingNetOtherFinancingCharges,trailingTaxProvision,annualInventory,annualNetOtherFinancingCharges,annualChangeInInventory,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualCapitalStock,annualCostOfRevenue,annualPurchaseOfBusiness,annualOperatingExpense,annualNetIncomeContinuousOperations,quarterlyDilutedEPS,annualTotalRevenue,trailingOperatingExpense,quarterlyCurrentLiabilities,annualGrossProfit,annualAccumulatedDepreciation,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,trailingFreeCashFlow,quarterlyGrossPPE,trailingBeginningCashPosition,trailingCashDividendsPaid,trailingCostOfRevenue,trailingPurchaseOfBusiness,quarterlyOtherShortTermInvestments,quarterlyNetPPE,quarterlyRetainedEarnings,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,annualNetOtherInvestingChanges,annualRetainedEarnings,trailingNetIncome,annualTotalAssets,annualBasicAverageShares,annualDilutedEPS,trailingPretaxIncome,quarterlyAccountsReceivable,annualPretaxIncome,annualNetIncome,quarterlyTotalAssets,annualCashDividendsPaid,annualBasicEPS,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyLongTermDebt,annualOperatingIncome,annualInvestingCashFlow,annualAccountsPayable,trailingInvestingCashFlow,trailingOperatingIncome,annualFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualLongTermDebt,annualStockholdersEquity,trailingTotalRevenue,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,annualOtherNonCashItems,annualCashAndCashEquivalents,quarterlyCurrentDebt,annualCurrentLiabilities,annualTaxProvision,annualDepreciationAndAmortization,trailingEndCashPosition,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,trailingOperatingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetPPE,annualOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,annualOtherShortTermInvestments,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,annualRepurchaseOfCapitalStock,annualDilutedAverageShares,annualOperatingCashFlow,trailingNetOtherInvestingChanges,annualEbitda,annualCurrentAssets,trailingRepurchaseOfCapitalStock,trailingSellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,trailingRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,annualStockBasedCompensation,quarterlyFreeCashFlow,annualGoodwill,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,trailingSaleOfInvestment,annualInvestmentsAndAdvances,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingChangeInInventory,annualCommonStockIssuance,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyStockBasedCompensation,trailingPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,annualOtherIntangibleAssets,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
2012-12-31,4137000000.0,6998000000.0,16930000000.0,3540000000.0,30492000000.0,921000000.0,1058000000.0,-414000000.0,,650000000.0,0.0,9356000000.0,29154000000.0,-80000000.0,91417000000.0,971000000.0,,,,,,-4931000000.0,-1092000000.0,7224000000.0,80116000000.0,-130000000.0,-10715000000.0,,300000000.0,93000000.0,10390000000.0,-233000000.0,1411000000.0,17063000000.0,,19192000000.0,2350000000.0,,8802000000.0,-795000000.0,805000000.0,106215000000.0,,9194000000.0,,54801000000.0,-7020000000.0,31262000000.0,1638000000.0,,,,32049000000.0,-7711000000.0,,,0.0,71673000000.0,31031000000.0,187892000000.0,3859678500.0,4.386376,39273000000.0,,18313000000.0,16930000000.0,,,4.386376,-75000000.0,1194000000.0,,7391000000.0,3021000000.0,2575000000.0,36000000.0,26804000000.0,-3482000000.0,,12896000000.0,315000000.0,78612000000.0,60416000000.0,,0.0,596000000.0,12896000000.0,,105095000000.0,1250000000.0,313000000.0,58938000000.0,,,,14125000000.0,,126000000.0,0.0,1120000000.0,,,1065000000.0,12896000000.0,,3859678500.0,-3402000000.0,348000000.0,19276000000.0,96475000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,7207000000.0,14152000000.0,-2827000000.0,,931000000.0,,-12017000000.0,,776000000.0,0.0,12896000000.0,,-155000000.0,89634000000.0,836000000.0,,,,,,,,,79815000000.0,-202000000.0,846000000.0,,0.0,93000000.0,8567000000.0,-122000000.0,1269000000.0,14424000000.0,,17011000000.0,,,8444000000.0,-837000000.0,966000000.0,93170000000.0,,,,,,,,,,,,-82000000.0,,,0.0,78378000000.0,,182324000000.0,3859678500.0,3.666627,,,15866000000.0,14152000000.0,,,3.666627,0.0,1512000000.0,,7175000000.0,6903000000.0,1082000000.0,,,3614000000.0,,10069000000.0,610000000.0,86095000000.0,,,0.0,696000000.0,10069000000.0,,91594000000.0,1442000000.0,301000000.0,,,,,,,94000000.0,0.0,1576000000.0,,,0.0,10069000000.0,,3859678500.0,3769000000.0,,16943000000.0,92690000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,5991000000.0,17068000000.0,285000000.0,,996000000.0,,-9194000000.0,96254000000.0,815000000.0,0.0,10069000000.0,,-278000000.0,96583000000.0,892000000.0,93000000.0,0.0,1618000000.0,10354000000.0,10354000000.0,,,,73259000000.0,-195000000.0,6976000000.0,-853000000.0,250000000.0,93000000.0,13510000000.0,-85000000.0,1284000000.0,17316000000.0,,24038000000.0,,82796000000.0,10528000000.0,-853000000.0,999000000.0,84145000000.0,86633000000.0,,996000000.0,,,,,,143000000.0,89879000000.0,,6830000000.0,5991000000.0,96583000000.0,0.0,89879000000.0,,183216000000.0,3859678500.0,4.42213,,1549000000.0,18940000000.0,17068000000.0,183216000000.0,,4.42213,0.0,1549000000.0,350000000.0,9244000000.0,2917000000.0,1618000000.0,,,7694000000.0,1349000000.0,10354000000.0,350000000.0,96254000000.0,,0.0,0.0,740000000.0,10354000000.0,250000000.0,82796000000.0,1624000000.0,286000000.0,,0.0,999000000.0,73259000000.0,,84145000000.0,143000000.0,0.0,1349000000.0,,,0.0,10354000000.0,,3859678500.0,7972000000.0,,20041000000.0,86633000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,,,258371000000.0,,,,,,,,3860000000.0,0.0,13272000000.0,46102000000.0,46102000000.0,,,,,,,,,,,,,,0.0,,,53280000000.0,,,,,221861000000.0,,,,,,,,18644000000.0,65615000000.0,,,13272000000.0,160983000000.0,,,,,,,,9725000000.0,,,382844000000.0,,,,,53074000000.0,,,,,,,61560000000.0,,,,,0.0,,,,21379000000.0,,,,,0.0,8365000000.0,166034000000.0,,114840000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,14785000000.0,17113000000.0,35029000000.0,,6919000000.0,,-19396000000.0,263096000000.0,549000000.0,0.0,10354000000.0,,-423000000.0,160308000000.0,357000000.0,3860000000.0,0.0,5056000000.0,45861000000.0,45861000000.0,,,,153301000000.0,-2732000000.0,14237000000.0,-3017000000.0,5772000000.0,3860000000.0,35062000000.0,-18000000.0,1188000000.0,17908000000.0,,57280000000.0,,36627000000.0,22218000000.0,-3017000000.0,10096000000.0,102118000000.0,211497000000.0,,6919000000.0,,,,,,3902000000.0,,,7101000000.0,14785000000.0,160308000000.0,0.0,,,371805000000.0,3859678500.0,4.43,,12335000000.0,24213000000.0,17113000000.0,371805000000.0,-32505000000.0,4.43,-65000000.0,12335000000.0,55217000000.0,21030000000.0,8763000000.0,5056000000.0,,,17495000000.0,65491000000.0,44540000000.0,55217000000.0,263096000000.0,,0.0,0.0,447000000.0,45861000000.0,5772000000.0,36627000000.0,6305000000.0,508000000.0,,0.0,10096000000.0,153301000000.0,,102118000000.0,3902000000.0,0.0,65491000000.0,,,155000000.0,45861000000.0,,3859678500.0,17918000000.0,,25270000000.0,211497000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,265627000000.0,,,,,,,,3846000000.0,0.0,13023000000.0,50332000000.0,50332000000.0,,,,,,,,,,,,,,0.0,,,37346000000.0,,,,,208471000000.0,,,,,,,,20687000000.0,,,,13023000000.0,163885000000.0,,,,,,,,10233000000.0,,,372356000000.0,,,,,52767000000.0,,,,,,,62966000000.0,,,,,0.0,,,,4450000000.0,,,,,0.0,10013000000.0,147906000000.0,,100312000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,17396000000.0,19415000000.0,18612000000.0,,22270000000.0,,-14083000000.0,270199000000.0,645000000.0,0.0,44540000000.0,,-7680000000.0,184032000000.0,,3824000000.0,0.0,5865000000.0,62601000000.0,62601000000.0,,,,137548000000.0,-106000000.0,10395000000.0,-3229000000.0,4378000000.0,3824000000.0,42291000000.0,-1417000000.0,1309000000.0,19809000000.0,,69300000000.0,,43757000000.0,27009000000.0,-3229000000.0,10824000000.0,120562000000.0,212804000000.0,,22270000000.0,,,,,,19041000000.0,88380000000.0,,22034000000.0,17396000000.0,184032000000.0,0.0,88380000000.0,,396836000000.0,3847159309.0,5.05,,9147000000.0,27174000000.0,19415000000.0,396836000000.0,-5499000000.0,5.05,-69000000.0,9147000000.0,65798000000.0,25700000000.0,-12796000000.0,5865000000.0,,,31288000000.0,76805000000.0,61530000000.0,65798000000.0,270199000000.0,,0.0,0.0,164000000.0,62601000000.0,4378000000.0,43757000000.0,7365000000.0,779000000.0,,0.0,10824000000.0,137548000000.0,,120562000000.0,19041000000.0,0.0,76805000000.0,,,0.0,62601000000.0,-1772000000.0,3847159309.0,38968000000.0,,28598000000.0,212804000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,,287293000000.0,,,,,,,,3708000000.0,132118000000.0,16240000000.0,82744000000.0,82744000000.0,,,,,,,,,,,,,,0.0,,,85720000000.0,,,,,221187000000.0,,,,,,,,32777000000.0,,,,0.0,210720000000.0,,,,,,,,6325000000.0,,,431907000000.0,,,,,41190000000.0,,,,,,,52823000000.0,,,,,0.0,,,,43977000000.0,,,,,0.0,11440000000.0,132118000000.0,,138543000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,4020000000.0,30125000000.0,-8564000000.0,,25217000000.0,,-55094000000.0,303222000000.0,1222000000.0,,61530000000.0,,-3735000000.0,256361000000.0,,3698000000.0,1493000000.0,4924000000.0,56410000000.0,54917000000.0,,,,135589000000.0,11244000000.0,6923000000.0,-4136000000.0,14342000000.0,3698000000.0,30310000000.0,-57154000000.0,2116000000.0,30888000000.0,,57546000000.0,,73406000000.0,27236000000.0,-4136000000.0,11655000000.0,144159000000.0,196978000000.0,,25217000000.0,,,,,1493000000.0,21081000000.0,,,27104000000.0,4020000000.0,256361000000.0,,,,453339000000.0,3732203704.0,8.07,,4979000000.0,38127000000.0,30125000000.0,453339000000.0,-5844000000.0,8.07,,4979000000.0,57650000000.0,25120000000.0,-55133000000.0,4924000000.0,,,45855000000.0,70753000000.0,54369000000.0,57650000000.0,303222000000.0,,,1493000000.0,-555000000.0,54917000000.0,14342000000.0,73406000000.0,7239000000.0,1573000000.0,,,11655000000.0,135589000000.0,,144159000000.0,21081000000.0,,70753000000.0,,1493000000.0,119000000.0,56410000000.0,-7002000000.0,3732203704.0,49590000000.0,,40922000000.0,196978000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,,,,,,,,323925000000.0,,,,,,,,3698000000.0,,13546000000.0,55222000000.0,55222000000.0,,,,,,,,,,,,,,0.0,,,58270000000.0,,,,,208373000000.0,,,,,,,,37074000000.0,,,,,250266000000.0,,,,,,,,5476000000.0,,,458639000000.0,,,,,59347000000.0,,,,,,,70581000000.0,,,,,,,,,1889000000.0,,,,,,10951000000.0,137445000000.0,,128851000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
