,quarterlyFreeCashFlow,quarterlyBasicEPS,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentAssets,trailingNetIncome,quarterlyCurrentAssets,annualTotalAssets,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,annualNetOtherInvestingChanges,quarterlyGoodwill,annualGainsLossesNotAffectingRetainedEarnings,annualRetainedEarnings,annualOtherCurrentAssets,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualCurrentDeferredRevenue,trailingPurchaseOfInvestment,annualCostOfRevenue,annualEndCashPosition,annualNetIncome,annualPretaxIncome,annualOperatingIncome,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,trailingOperatingIncome,annualNonCurrentDeferredRevenue,quarterlyTotalAssets,annualCurrentDebt,trailingTaxProvision,annualFreeCashFlow,trailingEndCashPosition,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,annualAccountsPayable,trailingInvestingCashFlow,quarterlyInterestExpense,annualOtherNonCashItems,annualBasicEPS,annualDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,annualStockholdersEquity,annualInvestmentsAndAdvances,quarterlyDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,trailingSaleOfInvestment,quarterlyInventory,quarterlyGrossProfit,annualTaxProvision,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualCurrentAssets,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyChangeInInventory,quarterlyInvestingCashFlow,annualOtherShortTermInvestments,quarterlyEndCashPosition,annualSaleOfInvestment,annualCommonStockIssuance,annualOtherIntangibleAssets,quarterlyAccountsReceivable,annualNetIncomeCommonStockholders,annualNetPPE,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCurrentLiabilities,quarterlyStockholdersEquity,annualEbitda,annualOtherNonCurrentLiabilities,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,trailingInterestExpense,quarterlyNetOtherInvestingChanges,trailingGrossProfit,annualOtherCurrentLiabilities,annualDilutedAverageShares,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,quarterlyCashAndCashEquivalents,annualBeginningCashPosition,trailingCapitalExpenditure,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,quarterlyOtherIntangibleAssets,trailingCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,annualBasicAverageShares,quarterlyChangesInAccountReceivables,annualOtherIncomeExpense,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,annualTotalNonCurrentAssets,quarterlyCurrentDebt,annualGrossPPE,quarterlyDilutedEPS,annualSellingGeneralAndAdministration,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,trailingOtherNonCashItems,quarterlyDeferredIncomeTax,annualStockBasedCompensation,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualOperatingExpense,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,quarterlyGrossPPE,annualChangeInInventory,trailingNetOtherFinancingCharges,annualInvestingCashFlow,trailingSellingGeneralAndAdministration,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualCapitalExpenditure,annualCapitalStock,quarterlyOtherNonCashItems,annualPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,annualTotalRevenue,trailingResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyIncomeTaxPayable,trailingOperatingExpense,trailingChangesInAccountReceivables,trailingCashDividendsPaid,quarterlyCurrentLiabilities,annualChangesInAccountReceivables,quarterlyPretaxIncome,trailingCostOfRevenue,annualInterestExpense,trailingBeginningCashPosition,annualAccumulatedDepreciation,annualInventory,annualGoodwill,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,annualNetOtherFinancingCharges,trailingChangeInInventory,annualDeferredIncomeTax,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,annualResearchAndDevelopment,annualGrossProfit,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,trailingBasicAverageShares,trailingDeferredIncomeTax,trailingRepurchaseOfCapitalStock,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,,,,,,,,,,,,411400000000.0,,121700000000.0,,-53700000000.0,,,,,,,,,,72700000000.0,,37400000000.0,46900000000.0,-28100000000.0,,,,,,,,73100000000.0,,,,,,,,,,32.392918,,,,,289700000000.0,,,,,,,,,,,,,,4600000000.0,,,,,,,,,,,,,,,,,37400000000.0,336400000000.0,,73100000000.0,,,,,-28100000000.0,,,,4600000000.0,,,,,,1154573371.0,,,,,32.392918,,,,,,,,,,1154573371.0,,2300000000.0,,,,,,336400000000.0,,25400000000.0,,,37400000000.0,,,,,,,,,,,,,139800000000.0,-38900000000.0,,,,,-53700000000.0,,,,,,,,,,,184400000000.0,,,,,,,,,,,,,,,,,,,-38900000000.0,,,,,,111700000000.0,,,,,,,,,,,
1041292800,,,,904347860.0,,,,,,,,,429669581330.0,,128939135270.0,,-12382609160.0,,,69843480880.0,1947826160.0,,,17739131100.0,3965217540.0,,58260871750.0,7652174200.0,44208697310.0,57078263010.0,55826089050.0,,-33843479530.0,,,,,,48208697460.0,,,,,,11234783030.0,,,,41.612062,40417392820.0,,,,300730446060.0,,,,,,,,12869565700.0,,,,,46156523470.0,7652174200.0,,,,45391306050.0,17252174560.0,,,,,,,,,,34504349120.0,,44208697310.0,339200012720.0,7130435050.0,91582612130.0,31756522930.0,,97182612340.0,,96243481870.0,139130440.0,,,7652174200.0,,,,,35826088300.0,1048359680.0,,3026087070.0,,,41.612062,,4626087130.0,,,,,,,,1048359680.0,,1217391350.0,,,,384278275280.0,,767095680940.0,,22852174770.0,,,44208697310.0,,,,,,,,,,,,13878261390.0,65704350290.0,-33113044720.0,,,-486956540.0,,-55443480340.0,,,,,,-43373914670.0,96695655800.0,,,,179791311090.0,,,,,,,,,,,173913050.0,,-427895668220.0,1147826130.0,,,,,34782610.0,,765217420.0,,,2434782700.0,121530439340.0,,,,,,,,,,,
1049068800,12118054780.0,9.586111,,,,14131943540.0,,14201387980.0,44999997120.0,376701364780.0,,45034719340.0,,,,,,,,,,,5833332960.0,,,,,,,,,10659721540.0,,,,421736084120.0,,,,,,10520832660.0,,13437499140.0,,,,,,,,,0.0,,,1048359680.0,,416666640.0,,1215277700.0,29999998080.0,,6944444000.0,110902770680.0,10659721540.0,10659721540.0,,,3715277540.0,,694444400.0,,,,16944443360.0,,-1145833260.0,-7395832860.0,,5729166300.0,,,,16006943420.0,,,,,,,,310833313440.0,,,7638888400.0,,,,,-34722220.0,,,,,,,5729166300.0,,5729166300.0,,,,2291666520.0,,34409720020.0,,,,,,,,96388882720.0,,2986110920.0,,9.586111,,,,,,,590277740.0,13055554720.0,44201386060.0,,9756943820.0,,138888880.0,,-3645833100.0,,,,,764062451100.0,,,,,19479165420.0,-432013861240.0,-13993054660.0,-7361110640.0,,,,,35312497740.0,,,1048359680.0,,,,,96770827140.0,,13506943580.0,,,,,,,2847222040.0,80277772640.0,332048589860.0,,,,23576387380.0,,,,,-1909722100.0,,,,,,,,,
1056931200,13729698980.0,12.737257,,,,13598617440.0,,13944638240.0,51487895040.0,376574436640.0,,56747411200.0,,,,,,,,,,,4913495360.0,,,,,,,,,13321800800.0,,,,433321847840.0,,,,,,10378823660.0,,12906575840.0,,,,,,,,,34602080.0,,,1048359680.0,,484429120.0,,1418685280.0,31730107360.0,,6712803520.0,147474064960.0,13321800800.0,13321800800.0,,,3529412160.0,,692041600.0,,,,15882354720.0,,-1034097780.0,-5995172100.0,,16678202560.0,,,,16539794240.0,,,,,,,,285847782880.0,,,5729166300.0,,,,,173130540.0,,,,,,,16678202560.0,,16678202560.0,,,,2422145600.0,,39757789920.0,,,,,,,,96435996960.0,,,,12.737257,,,,,,,588235360.0,15847752640.0,45674745600.0,,9204153280.0,,103325680.0,,-4451053620.0,,,,,765190397120.0,,,,,19898001620.0,-438269945280.0,-2961964540.0,-6168302640.0,,,,,69653987040.0,,,1048359680.0,,,,,133875447520.0,,16366783840.0,,,,,,,3044983040.0,55086511360.0,326920451840.0,,,,26228376640.0,,,,,10940864980.0,,,,,,,,,
1064880000,12938077740.0,11.794248,,,,13187182710.0,,14603708730.0,50893756290.0,373625601180.0,,44519389200.0,,,,,,,,,,,5227655550.0,,,,,,,,,12310285650.0,,,,418144990380.0,,,,,,9387019060.0,,12478919700.0,,,33726810.0,,,,,,32851540.0,,,1048359680.0,,101180430.0,,1281618780.0,31770655020.0,,6947722860.0,120337258080.0,12310285650.0,12310285650.0,,,3372681000.0,,708263010.0,,,,16188868800.0,,21415200.0,-3742214520.0,,4654299780.0,,,,16290049230.0,,,,,,,,297807732300.0,,,16678202560.0,,,,,-104681510.0,,,,,,,4654299780.0,,4654299780.0,,,,2529510750.0,,39763908990.0,,,,,,,,96323769360.0,,13490724000.0,,11.794248,,,,,,,573355770.0,15581786220.0,46374363750.0,,9005058270.0,,162507160.0,,-5764832190.0,,,,,766037035530.0,,,,,16744244800.0,-442158479100.0,-25001132440.0,-3806167060.0,,,,,30387855810.0,,,1048359680.0,,,,,107150075370.0,,15682966650.0,,,,,,,3372681000.0,67318712760.0,323878556430.0,,,,25969643700.0,,,,,-11999102160.0,,,,,,,,,
1072828800,22470539940.0,,,-1018675800.0,,12529712340.0,,16826481120.0,56298815880.0,380271676140.0,,48692703240.0,428964379380.0,,118743642420.0,,0.0,,,78268257300.0,1697793000.0,,6797186970.0,713073060.0,3191850840.0,,59524622580.0,13514432280.0,47232601260.0,57521226840.0,55857389700.0,10942553700.0,-38539901100.0,,,428964379380.0,,,61256371440.0,,,11207385540.0,,237691020.0,11680815840.0,,229050.0,33955860.0,41.021397,41494060920.0,,,34413960.0,310220736960.0,,,,550165260.0,,1222410960.0,29191575810.0,10288625580.0,7945671240.0,118743642420.0,10942553700.0,10942553700.0,56298815880.0,13514432280.0,3191850840.0,11578948260.0,713073060.0,48692703240.0,14804754960.0,,17819848500.0,9842730.0,426766980.0,-15022979940.0,,13514432280.0,,,40305605820.0,14804754960.0,47232601260.0,329134150980.0,7945671240.0,93446526720.0,12529712340.0,,106213930080.0,310220736960.0,97351450620.0,237691020.0,4654299780.0,,13514432280.0,,,-237461970.0,,35042447520.0,1152619096.0,,5874363780.0,,13514432280.0,41.021397,13514432280.0,7640068500.0,,,1697793000.0,,40305605820.0,,,1152619096.0,,1561969560.0,,,96298818960.0,380271676140.0,,773514490800.0,,22682514480.0,,,47232601260.0,,,793124430.0,11371727310.0,46018056930.0,,11680815840.0,,2748600.0,,12843043110.0,11578948260.0,66791176620.0,-55415963520.0,,773514490800.0,-1731748860.0,,-32156199420.0,,37325114880.0,-444380339820.0,-13459811880.0,-14854574940.0,-32190155280.0,96298818960.0,,,35042447520.0,182173188900.0,,,,,,,106213930080.0,,11990033340.0,,33955860.0,,-444380339820.0,1222410960.0,,1047479640.0,78268257300.0,329134150980.0,101867580.0,,407470320.0,22579112850.0,,2580645360.0,122648566320.0,,8842323060.0,,,,,,,,,
1080691200,14736036000.0,11.216152,,,,6725077000.0,,22364867000.0,10167127000.0,409911673000.0,,60646092000.0,,,,,,,,,,,6410538000.0,,,,,,,,,12906890000.0,,,,470557765000.0,,,,,,10304291000.0,,401688000.0,,,114000.0,,,,5500671000.0,,-720689000.0,,,1152619108.0,,53022000.0,,1379435000.0,22623814000.0,,1451655000.0,59611750000.0,12906890000.0,12906890000.0,,,8555189000.0,,500000000.0,,,,7153399000.0,,-800382000.0,-4127832000.0,,28548794000.0,,,,16260207000.0,,,,,,,,410946015000.0,,,13553029000.0,,,,,0.0,,,,,,,28548794000.0,,28548794000.0,,,0.0,1737650000.0,,10420255000.0,,-522000.0,,67679000.0,,,,96477249000.0,,200000000.0,,11.216152,,,,,,,742861000.0,15470415000.0,44988681000.0,5823389000.0,15780292000.0,,35172000.0,,-3870363000.0,,,,,842004447000.0,,,,,19844286000.0,-451281531000.0,-720689000.0,-5108250000.0,,,469255000.0,,4124082000.0,,,1152619108.0,7531525000.0,,,,52886673000.0,,15556407000.0,,,,,,,2649517000.0,94177163000.0,390722916000.0,,,,25860812000.0,,,,,14995765000.0,,,,,,,,,
1088553600,16820964000.0,11.718368,,,2302000000.0,11327000000.0,,24163000000.0,12112000000.0,366323000000.0,,83423000000.0,,,,,,,,,,,5067000000.0,,,,,,,,,13518000000.0,,,,449746000000.0,,,,,,10069709000.0,,195000000.0,,,0.0,,,,3520000000.0,,737689000.0,,,1152619096.0,,514000000.0,,1163000000.0,22135000000.0,,3506000000.0,155758000000.0,13518000000.0,13518000000.0,,,13198000000.0,,500000000.0,,,,6231000000.0,,211382000.0,-7708168000.0,,42826000000.0,,,,22546000000.0,,,,,,,,293988000000.0,,,28548794000.0,,,,,-2302000000.0,,,,,,,45128000000.0,,42826000000.0,,,0.0,2086000000.0,,40341000000.0,,,,-775679000.0,,,,96477000000.0,,200000000.0,,11.718368,,,,,,,597000000.0,15904000000.0,46298000000.0,10632000000.0,10987000000.0,,-23172000.0,,-2942637000.0,,,,,,,,,,21247714000.0,,737689000.0,-4426750000.0,,,514745000.0,,16664000000.0,,,1152619096.0,5637000000.0,,,,144431000000.0,,16500000000.0,,,,,,,2982000000.0,61439000000.0,316287000000.0,,,,26569709000.0,,,,,14277235000.0,,,,,,,,,
1096502400,25828403400.0,1.250065,,,3701188740.0,10865875200.0,,14872666680.0,51714774780.0,361120571100.0,,53582347080.0,,,,,,,,,,,5161290720.0,,,,,,,,,13140917820.0,,,,414702918180.0,,,,,,10050450560.0,-1874570780.0,10356537300.0,,,,,,,,,16955860.0,,,1048359680.0,,407470320.0,,1392190260.0,31544993940.0,,7606112640.0,107843811360.0,13140917820.0,13140917820.0,,,2750424660.0,,509337900.0,,,,15789474900.0,,79662100.0,-5787091340.0,,9983022840.0,,,,15959254200.0,,,,,,,,306859106820.0,,,42826000000.0,,,,,-3912520560.0,,,,,,,13684211580.0,,9983022840.0,,,,2173175040.0,,40305605820.0,,,,,,,,96366730680.0,,203735160.0,,1.250065,,,,,,,577249620.0,15755519040.0,46417660620.0,,12088286160.0,,123823440.0,,-7244726040.0,,,,,755042502960.0,,,,,16293403400.0,-444380339820.0,-43344677360.0,,,,,,30220715400.0,,,1048359680.0,,,,,96977936160.0,,16196945220.0,,,,,,,3056027400.0,74533112700.0,310662163140.0,,,,25806453600.0,,,,,-32838365300.0,,,,,,,,,
