,trailingOtherIncomeExpense,annualOperatingCashFlow,quarterlyOperatingExpense,annualGrossProfit,annualDilutedAverageShares,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,annualInventory,quarterlyTaxProvision,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualNetPPE,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,annualGrossPPE,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCapitalExpenditure,annualDilutedEPS,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCurrentLiabilities,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualBeginningCashPosition,trailingInvestingCashFlow,quarterlyOperatingCashFlow,trailingDeferredIncomeTax,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualInvestingCashFlow,annualCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,annualPretaxIncome,annualIncomeTaxPayable,quarterlyGrossPPE,trailingInterestExpense,quarterlyIncomeTaxPayable,annualBasicAverageShares,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,annualAccumulatedDepreciation,annualNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,trailingPurchaseOfInvestment,trailingOperatingExpense,quarterlyCommonStockIssuance,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,trailingChangeInWorkingCapital,annualInterestExpense,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualCapitalStock,annualTotalRevenue,trailingGrossProfit,annualChangeInAccountPayable,annualAccountsPayable,annualOperatingIncome,trailingOperatingIncome,quarterlyOtherNonCashItems,quarterlyBasicEPS,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingCostOfRevenue,annualCommonStockIssuance,annualFreeCashFlow,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualOtherShortTermInvestments,annualEndCashPosition,quarterlyRetainedEarnings,trailingTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,annualChangeInWorkingCapital,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualOtherCurrentAssets,annualNetOtherInvestingChanges,quarterlyTotalRevenue,annualCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalNonCurrentAssets,trailingNetIncome,trailingEndCashPosition,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualNetIncome,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,trailingPretaxIncome,quarterlyTotalAssets,annualCashDividendsPaid,annualOperatingExpense,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDeferredRevenue,quarterlyFreeCashFlow,annualBasicEPS,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedAverageShares,trailingSaleOfInvestment,annualSaleOfInvestment,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualOtherNonCurrentAssets,annualOtherNonCashItems,annualDepreciationAndAmortization,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,annualCurrentLiabilities,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,annualStockholdersEquity,quarterlyEndCashPosition,quarterlyGoodwill,quarterlyInvestingCashFlow,annualTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualTaxProvision,quarterlyChangeInAccountPayable,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,annualRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,annualChangeInInventory,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,annualResearchAndDevelopment,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,quarterlyChangeInInventory,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingDilutedEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,,64600000.0,556666667.0,,,,,10400000.0,,,1200000.0,,,,46000000.0,,151400000.0,400000.0,150600000.0,,,,170600000.0,,,,0.03,,,,,,,,900000.0,,,,,,,,,,,,,20800000.0,,,,,556666667.0,,,,,12900000.0,,,,-20000000.0,,,,,,,,,,,10400000.0,,,,,,,,,,8700000.0,,,,136100000.0,,,,37500000.0,,,,101200000.0,,,,,,,,,,,,,,,,,,,300000.0,,,10400000.0,,,,,,114100000.0,2500000.0,16700000.0,,,,,,27100000.0,16700000.0,71500000.0,,,,,0.03,,,,,,,,22900000.0,21100000.0,,87400000.0,800000.0,,,16700000.0,,12900000.0,,,,58400000.0,,,,172500000.0,,,,4100000.0,,,,43900000.0,,,,,,,,,,,,,,,,,,,,,,,,
347068800,,,,104800000.0,473333333.0,,,,,18100000.0,,,1400000.0,,,,60900000.0,,195500000.0,1700000.0,194900000.0,,,,225800000.0,,,,0.06,,,,,,,,300000.0,,,,,,,,,,,,,41200000.0,,,,,473333333.0,,,,,20200000.0,,,,-30900000.0,,,,,,,,,,,16600000.0,,,,,,,,,,9200000.0,,,,213000000.0,,,,48700000.0,,,,98400000.0,,,,,,,,,,,,,,,,,,,700000.0,,,18100000.0,,,,,,117400000.0,2400000.0,28400000.0,,,,,,56100000.0,28400000.0,108200000.0,,,,,0.06,,,,,,,,43900000.0,28900000.0,,77900000.0,600000.0,,,28400000.0,,19000000.0,,,,107000000.0,,,,224400000.0,,,,12800000.0,,,,70400000.0,,,,,,,,,,,,,,,,,,,,,,,,
378604800,,,,117900000.0,570000000.0,,,,,17000000.0,,,1900000.0,,,,63800000.0,,259500000.0,4400000.0,259000000.0,,,,304900000.0,,,,0.06,,,,,,,,400000.0,,,,,,,,,,,,,48300000.0,,,,,570000000.0,,,,,29600000.0,,,,-45900000.0,,,,,,,,,,,21300000.0,,,,,,,,,,4600000.0,,,,270400000.0,,,,48500000.0,,,,88900000.0,,,,,,,,,,,,,,,,,,,4100000.0,,,17000000.0,,,,,,115300000.0,5100000.0,34200000.0,,,,,,69400000.0,34200000.0,152500000.0,,,,,0.06,,,,,,,,54100000.0,32300000.0,,58900000.0,500000.0,,,34200000.0,,26400000.0,,,,176500000.0,,,,291800000.0,,,,14100000.0,,,,101800000.0,,,,,,,,,,,,,,,,,,,,,,,,
410140800,,,,134100000.0,680000000.0,,,,,16700000.0,,,2300000.0,,,,60900000.0,,378900000.0,11500000.0,377400000.0,,,,442700000.0,,,,0.05,,,,,,,,1600000.0,,,,,,,,,,,,,44400000.0,,,,,566666667.0,,,,,44600000.0,,,,-65300000.0,,,,,,,,,,,22300000.0,,,,,,,,,,6300000.0,,,,331200000.0,,,,39200000.0,,,,152500000.0,,,,,,,,,,,,,,,,,,,6700000.0,,,16700000.0,,,,,,179900000.0,5100000.0,34000000.0,,,,,,94900000.0,34000000.0,197100000.0,,,,,0.06,,,,,,,,73200000.0,41600000.0,,106300000.0,1500000.0,,,34000000.0,,27400000.0,,,,240600000.0,,,,420500000.0,,,,10400000.0,,,,132300000.0,,,,,,,,,,,,,,,,,,,,,,,,
441676800,,,,218600000.0,818000000.0,,,,,130700000.0,,,3100000.0,,,,98300000.0,,434100000.0,5300000.0,430800000.0,,,,522400000.0,,,,0.05,,,,,,,,2100000.0,,,,,,,,,,,,,63600000.0,,,,,681666667.0,,,,,63500000.0,,,,-91600000.0,,,,,,,,,,,41900000.0,,,,,,,,,,10200000.0,,,,448200000.0,,,,68400000.0,,,,224300000.0,,,,,,,,,,,,,,,,,,,1600000.0,,,130700000.0,,,,,,272700000.0,6500000.0,40900000.0,,,,,,150200000.0,40900000.0,229600000.0,,,,,0.06,,,,,,,,120300000.0,153200000.0,,158700000.0,3300000.0,,,40900000.0,,48400000.0,,,,314600000.0,,,,587300000.0,,,,22700000.0,,,,169400000.0,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668809595.0,,125100000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,125100000.0,,,125100000.0,,,,,,,10200000.0,,,,,,,,,,,,,10200000.0,10200000.0,668809595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695000000.0,,137600000.0,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,137600000.0,,,137600000.0,,,,,,,13900000.0,,,,,,,,,,,,,13900000.0,13900000.0,695000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710000000.0,,139800000.0,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,139800000.0,,,139800000.0,,,,,,,14200000.0,,,,,,,,,,,,,14200000.0,14200000.0,710000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,,,,313600000.0,710000000.0,,,,,26500000.0,,,4600000.0,,,580100000.0,103400000.0,26500000.0,583400000.0,10300000.0,580100000.0,,26500000.0,,705800000.0,,6800000.0,,0.07,,,,3300000.0,-125700000.0,,,1400000.0,,,,,,,,,,,,,67800000.0,,705800000.0,,,710000000.0,,,,,82400000.0,,,,-125700000.0,,,40500000.0,,,,,,,,40500000.0,,,-333900000.0,,,,,,,11000000.0,,,,535900000.0,,,,68500000.0,,,,237100000.0,62800000.0,,,,,,,,47300000.0,,,215300000.0,,237100000.0,,,,,12200000.0,,133500000.0,26500000.0,,-333900000.0,583400000.0,,,284400000.0,6800000.0,49700000.0,11400000.0,,,646200000.0,,245100000.0,49700000.0,222300000.0,,284400000.0,,,0.07,11400000.0,11400000.0,,,,12200000.0,,210200000.0,62800000.0,1400000.0,153300000.0,3300000.0,,,49700000.0,,47300000.0,361800000.0,,,361800000.0,,,,646200000.0,,,,18100000.0,,,,215300000.0,82400000.0,4600000.0,,,,,,153300000.0,,,,,,,,,,,,,,,,
481075200,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530000000.0,,135700000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,135700000.0,,,135700000.0,,,,,,,5300000.0,,,,,,,,,,,,,5300000.0,5300000.0,530000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
