date,annualBasicEPS,quarterlyPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualGrossProfit,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualRepaymentOfDebt,annualOperatingCashFlow,annualEbitda,quarterlyDilutedAverageShares,annualNetPPE,trailingGrossProfit,annualBasicAverageShares,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,annualOtherCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentAssets,annualGrossPPE,quarterlyAccumulatedDepreciation,annualOtherNonCashItems,trailingChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBeginningCashPosition,quarterlyCurrentDebt,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,trailingDepreciationAndAmortization,quarterlyInterestExpense,trailingOtherIncomeExpense,annualInvestingCashFlow,annualDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyAccountsPayable,annualCapitalExpenditure,trailingOperatingExpense,trailingInvestingCashFlow,trailingDeferredIncomeTax,trailingCapitalExpenditure,annualOperatingExpense,annualPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,trailingNetIncomeContinuousOperations,annualChangesInAccountReceivables,quarterlyOperatingCashFlow,annualDilutedAverageShares,trailingNetOtherFinancingCharges,trailingInterestExpense,trailingPurchaseOfBusiness,quarterlyTotalRevenue,quarterlyDeferredIncomeTax,quarterlyBasicAverageShares,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,trailingCashDividendsPaid,trailingNetIncome,annualDilutedEPS,quarterlyEbitda,quarterlyTaxProvision,annualChangeInCashSupplementalAsReported,annualInventory,quarterlyNetPPE,quarterlyCommonStockIssuance,annualCapitalStock,quarterlyChangeInCashSupplementalAsReported,annualInterestExpense,annualGoodwill,annualNetOtherFinancingCharges,annualFreeCashFlow,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,annualOperatingIncome,trailingChangeInWorkingCapital,annualAccountsPayable,annualTotalRevenue,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,trailingCostOfRevenue,trailingTotalRevenue,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,trailingCommonStockIssuance,trailingFreeCashFlow,annualTaxProvision,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingEndCashPosition,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualNetIncome,quarterlyPurchaseOfInvestment,trailingTaxProvision,annualNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,annualCostOfRevenue,annualCashDividendsPaid,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,annualPretaxIncome,annualSellingGeneralAndAdministration,quarterlyNetIncome,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,annualOtherNonCurrentAssets,annualStockholdersEquity,annualCurrentAssets,annualCashAndCashEquivalents,annualLongTermDebt,annualDepreciationAndAmortization,trailingPretaxIncome,annualTotalAssets,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,annualRetainedEarnings,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,annualCurrentAccruedExpenses,quarterlyGoodwill,annualCurrentLiabilities,trailingNetIncomeCommonStockholders,quarterlyLongTermDebt,trailingNetOtherInvestingChanges,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,annualSaleOfInvestment,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyStockBasedCompensation,trailingBasicEPS,annualIncomeTaxPayable,trailingChangeInAccountPayable,quarterlyChangeInInventory,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,quarterlyChangesInAccountReceivables,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,quarterlyCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,quarterlySaleOfInvestment,trailingDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1985-03-31,,,,,,,,,,,-2119000000.0,,,,,,,98903000.0,,6932000000.0,,,,,,,554000000.0,,,,,1148000000.0,,,,,,-256000000.0,,2520000000.0,,761000000.0,,,,,,0.65455,,,686000000.0,-6726000000.0,-105000000.0,-9177000000.0,,,1267449802,,,,3927000000.0,,,,-215000000.0,2302000000.0,-690000000.0,1267449802,,98903000.0,1101000000.0,,,,-1921000000.0,4124000000.0,,1267449802,,,,,,,,,,,,,,,,357000000.0,,,,,,,6964000000.0,13896000000.0,,,,,,251000000.0,-1882000000.0,,,,2224000000.0,,,,,765000000.0,,,,,,,,6246000000.0,,,,,,73623822,,,,,,,,,,,4692000000.0,,,,,,,,0.65455,,,,3960000000.0,,3141000000.0,,7295000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,,,,,,,98903000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62521,,,,,,,,,1138334013,,,,,,,,,,,1138334013,,98903000.0,,,,,,,,1138334013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70933551,,,,,,,,,,,,,,,,,,,0.62521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,,,,,,98903000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53305,,,,,,,,,1049045199,,,,,,,,,,,1049045199,,98903000.0,,,,,,,,1049045199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64431927,,,,,,,,,,,,,,,,,,,0.53305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,2.40478,,,,,,,,,,,,,,,,4701523836.0,,,,115630181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246516280,,,,,,,115630181.0,,,,1246516280,,,,,,,,,2.40478,1246516280,,,,,,,,,,,,,,,4701523836.0,,,4701523836.0,,,,,,,,,,,,,,,,,,,,278065147.0,,,278065147.0,,,,,,,,,,,,,69107873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278065147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,,,,,,,123173000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40471,,,,,,,,,1287929589,,,,,,,,,,,1287929589,,123173000.0,,,,,,,,1287929589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51830120,,,,,,,,,,,,,,,,,,,0.40471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,,,,,123173000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30506,,,,,,,,,993486696,,,,,,,,,,,993486696,,123173000.0,,,,,,,,993486696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42960089,,,,,,,,,,,,,,,,,,,0.30506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,,,,,,,123173000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26393,,,,,,,,,864797335,,,,,,,,,,,864797335,,123173000.0,,,,,,,,864797335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42892837,,,,,,,,,,,,,,,,,,,0.26393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,1.20186,,,,,,,,,,,,,,,,4145283801.0,,,,145702440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999115006,,,,,,,145702440.0,,,,999115006,,,,,,,,,1.20186,999115006,,,,,,,,,,,,,,,4145283801.0,,,4145283801.0,,,,,,,,,,,,,,,,,,,,175113935.0,,,175113935.0,,,,,,,,,,,,,39078399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175113935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-03-31,,,,,,,,,,,,,,,,,,124145000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26125,,,,,,,,,932559353,,,,,,,,,,,932559353,,124145000.0,,,,,,,,932559353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39916514,,,,,,,,,,,,,,,,,,,0.26125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,,,,,,,,123173000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22605,,,,,,,,,775116434,,,,,,,,,,,775116434,,123173000.0,,,,,,,,775116434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38057219,,,,,,,,,,,,,,,,,,,0.22605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
