,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,quarterlyEbitda,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,quarterlyOperatingIncome,annualNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,annualCurrentDebt,annualCurrentAccruedExpenses,annualCapitalExpenditure,annualOperatingExpense,quarterlyTotalLiabilitiesNetMinorityInterest,annualDilutedEPS,quarterlyOtherNonCashItems,annualChangeInAccountPayable,trailingCostOfRevenue,annualChangesInAccountReceivables,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,annualDeferredIncomeTax,trailingFreeCashFlow,trailingBeginningCashPosition,quarterlyCurrentLiabilities,annualInterestExpense,quarterlyCurrentAssets,trailingChangesInAccountReceivables,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingOperatingExpense,quarterlyStockBasedCompensation,annualOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualDilutedAverageShares,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualChangeInWorkingCapital,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualBasicAverageShares,annualFreeCashFlow,annualCommonStockIssuance,annualNetIncome,annualRetainedEarnings,quarterlyChangeInInventory,quarterlyOperatingExpense,annualBeginningCashPosition,annualAccountsReceivable,quarterlyLongTermDebt,trailingChangeInAccountPayable,annualCostOfRevenue,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualCashDividendsPaid,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,annualTaxProvision,annualTotalAssets,trailingTaxProvision,quarterlyOtherCurrentAssets,annualSellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalNonCurrentAssets,annualOtherNonCashItems,annualOtherCurrentAssets,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyBasicEPS,quarterlyCommonStockIssuance,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,annualStockholdersEquity,quarterlyInterestExpense,trailingDepreciationAndAmortization,trailingStockBasedCompensation,trailingChangeInInventory,annualDepreciationAndAmortization,annualChangeInInventory,annualIncomeTaxPayable,annualSaleOfInvestment,quarterlyOtherIncomeExpense,quarterlyInventory,annualStockBasedCompensation,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,trailingOtherNonCashItems,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualCapitalStock,annualOperatingCashFlow,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualOtherIntangibleAssets,trailingPretaxIncome,quarterlyBasicAverageShares,annualCashCashEquivalentsAndMarketableSecurities,annualInventory,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,annualCurrentLiabilities,annualGrossProfit,annualNetPPE,annualEbitda,quarterlyOtherCurrentLiabilities,annualOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,annualGrossPPE,annualOtherCurrentLiabilities,annualBasicEPS,quarterlyChangesInAccountReceivables,annualGoodwill,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,annualChangeInCashSupplementalAsReported,annualGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,annualRepaymentOfDebt,trailingChangeInWorkingCapital,annualTotalRevenue,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingIncome,quarterlyCashAndCashEquivalents,annualAccountsPayable,trailingInvestingCashFlow,trailingTotalRevenue,trailingDeferredIncomeTax,annualPretaxIncome,quarterlySaleOfInvestment,annualInvestingCashFlow,annualEndCashPosition,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingChangeInCashSupplementalAsReported,trailingRepaymentOfDebt,annualOperatingIncome,quarterlyDilutedAverageShares,trailingCapitalExpenditure,quarterlyCapitalStock,annualNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,trailingSellingGeneralAndAdministration,trailingCashDividendsPaid,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,annualPurchaseOfInvestment,trailingOtherIncomeExpense,trailingBasicEPS,trailingCommonStockIssuance,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,10989000.0,5557000.0,,,,,606000.0,,,,,,13545000.0,10984000.0,-9074000.0,92227000.0,,0.94,,,,,11302000.0,,53000.0,,,,627000.0,,,,,,,,,,,,1022000.0,,11685683.0,,113427000.0,-8211000.0,,,,10989000.0,,,81762000.0,,,11685683.0,847000.0,33329000.0,10989000.0,36770000.0,,,4235000.0,,,,673407000.0,,,7225000.0,,,,,7145000.0,182897000.0,,,,,69470000.0,1606000.0,2771000.0,,,,,0.0,,101135000.0,,,,,5484000.0,-10161000.0,1437000.0,,,,,,,,,,,117000.0,9921000.0,,,991000.0,,,5557000.0,48005000.0,4077000.0,,,,,,70460000.0,110812000.0,55697000.0,24069000.0,,0.0,-416000.0,55697000.0,0.0,0.94,,11760000.0,,,,1322000.0,,,-32344000.0,,784219000.0,,,,,44494000.0,,,,18134000.0,,-9294000.0,5557000.0,,695000.0,,,,,,156000.0,,,,18585000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,13247000.0,3653000.0,,,,,2608000.0,,,,,,20548000.0,16896000.0,-8919000.0,132494000.0,,1.06,,,,,48100000.0,,1241000.0,,,,1991000.0,,,,,,,,,,,,1782000.0,,12491000.0,,159594000.0,1079000.0,,,,13247000.0,,,154910000.0,,,11960000.0,15320000.0,0.0,13247000.0,50017000.0,,,5557000.0,,,,1074154000.0,,,44577000.0,,,,,8297000.0,288883000.0,,,,,129289000.0,829000.0,388000.0,,,,,-54631000.0,,133973000.0,,,,,7843000.0,-6904000.0,1911000.0,,,,,,,,,,,125000.0,24239000.0,,,3508000.0,,,3653000.0,72951000.0,3523000.0,,,,,,106810000.0,155924000.0,71810000.0,31273000.0,,0.0,4200000.0,71810000.0,0.0,1.11,,52189000.0,,,,-1904000.0,,,-673000.0,,1230078000.0,,,,,67455000.0,,,,21544000.0,,-59190000.0,3653000.0,,33047000.0,,,,,,105000.0,,,,23430000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,16168000.0,7415000.0,,,,,1777000.0,,,,,,32376000.0,22279000.0,-26363000.0,183670000.0,,1.24,,,,,70251000.0,,1380000.0,,,,3500000.0,,,,,,,,,,,,2008000.0,,13075000.0,,199533000.0,-5041000.0,,,,16168000.0,,,214006000.0,,,12548000.0,-4459000.0,0.0,16168000.0,66185000.0,,,3653000.0,,,,1409755000.0,,,64928000.0,,,,,9965000.0,366422000.0,,,,,166889000.0,-1440000.0,808000.0,,,,,-23857000.0,,152416000.0,,,,,10837000.0,-9178000.0,0.0,,,,,,,,,,,126000.0,21904000.0,,,5152000.0,,,7415000.0,84784000.0,5323000.0,,,,,,143755000.0,213115000.0,87413000.0,40282000.0,,0.0,0.0,87413000.0,0.0,1.29,,72316000.0,,,,3762000.0,,,-8056000.0,,1622870000.0,,,,,89100000.0,,,,26133000.0,,-46620000.0,7415000.0,,28478000.0,,,,,,188000.0,,,,29445000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,19251000.0,5606000.0,,,,,8604000.0,,,,,,14785000.0,36751000.0,-26372000.0,242625000.0,,1.35,,,,,100698000.0,,226000.0,,,,5388000.0,,,,,,,,,,,,1905000.0,,14219000.0,,242882000.0,8979000.0,,,,19251000.0,,,272701000.0,,,13772000.0,20631000.0,,19251000.0,88857000.0,,,7796000.0,,,,1773632000.0,,,92404000.0,,,,,12000000.0,462045000.0,,,,,219163000.0,4410000.0,5570000.0,,,,,-18066000.0,,189344000.0,,,,,14137000.0,-15519000.0,3646000.0,1563000.0,,,,,,,,,,141000.0,47003000.0,,,5353000.0,,,5606000.0,108550000.0,8294000.0,,,,,,172003000.0,281966000.0,113930000.0,53478000.0,,0.0,0.0,113930000.0,0.0,1.4,,97975000.0,,,,-2190000.0,,,-9176000.0,,2055598000.0,,,,,116821000.0,,,,31251000.0,,-41814000.0,5606000.0,,-7379000.0,,,,,,-2702000.0,,,,39341000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954460800,,,11696000.0,,579750000.0,7564000.0,,77409000.0,3871000.0,1870000.0,-12625000.0,,,,,,299915000.0,,116000.0,,,,,0.27,,,,201631000.0,,259953000.0,,121682000.0,,,,-6630000.0,,2095000.0,,,,,,,,,,187713000.0,502341000.0,,,0.0,,,,,,,,,,69845000.0,,,89905000.0,,,,0.0,,,3871000.0,3871000.0,-168000.0,,,,9842000.0,,98284000.0,,,,21596000.0,-12691000.0,0.28,,,-1325000.0,,1389000.0,,,,,,,,69000.0,120528000.0,,-4026000.0,,1860000.0,,8379000.0,,,,10214000.0,-3736000.0,,,14038000.0,,,,,,2373000.0,6244000.0,121682000.0,,,,,44273000.0,,,,,,,,487628000.0,104133000.0,227675000.0,,,,,,,-2477000.0,1870000.0,,1870000.0,,,,,,,,,,,,4132000.0,,,135762000.0,,5606000.0,,,,14413000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962323200,,,16537000.0,,654603000.0,12388000.0,,86979000.0,6733000.0,6028000.0,-5569000.0,,,,,,312305000.0,,155000.0,,,,,0.47,,,,198852000.0,,273695000.0,,123831000.0,,,,-5277000.0,,-7351000.0,,,,,,,,,,189835000.0,567624000.0,,,-179000.0,,,,,,,,,,74591000.0,,,105074000.0,,,,0.0,,,6733000.0,6733000.0,-170000.0,,,,9615000.0,,113453000.0,,,,16584000.0,-4232000.0,0.49,,,6041000.0,,1499000.0,,,,,,,,-29000.0,124063000.0,,6180000.0,,1436000.0,,8379000.0,,,,3686000.0,4158000.0,,,13824000.0,,,,,,4127000.0,10860000.0,123831000.0,,,,,38023000.0,,,,,,,,502140000.0,103178000.0,228445000.0,,,,,,,-546000.0,6028000.0,,6028000.0,,,,,,,,,,,,4149000.0,,,144245000.0,,1870000.0,,,,14385000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970272000,,,19811000.0,,693127000.0,15139000.0,,93223000.0,8329000.0,9607000.0,-11606000.0,,,,,,322198000.0,,177000.0,,,,,0.57,,,,203377000.0,,290640000.0,,125915000.0,,,,0.0,,-16285000.0,,,,,,,,,,207028000.0,599904000.0,,,16000.0,,,,,,,,,,78084000.0,,,110430000.0,,,,0.0,,,8329000.0,8329000.0,-296000.0,,,,9595000.0,,118821000.0,,,,27710000.0,-5136000.0,0.6,,,18292000.0,,1716000.0,,,,,,,,10000.0,120751000.0,,2226000.0,,1436000.0,,8391000.0,,,,-3107000.0,3579000.0,,,13983000.0,,,,,-6501000.0,5104000.0,13433000.0,125915000.0,,,,,44190000.0,,,,,,,,529226000.0,,238586000.0,,,,,,,-8243000.0,9607000.0,,9607000.0,,,,,,,,,,,,4672000.0,,,131477000.0,,6028000.0,,,,14697000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,26881000.0,18530000.0,19848000.0,,677988000.0,14924000.0,8540000.0,94580000.0,7948000.0,18530000.0,-123688000.0,,35296000.0,49769000.0,-30992000.0,302176000.0,351979000.0,1.82,3994000.0,,,,124193000.0,,-1520000.0,,,227786000.0,6593000.0,324256000.0,,143142000.0,7735000.0,,115738000.0,0.0,,-11553000.0,,,2987000.0,-11907000.0,14769000.0,,324256000.0,-33094000.0,,357717000.0,583408000.0,26881000.0,234421000.0,-110000.0,351979000.0,,49769000.0,14168000.0,-16406000.0,124397000.0,26881000.0,115738000.0,,79656000.0,5606000.0,,114492000.0,,2253277000.0,,0.0,114492000.0,,7948000.0,7948000.0,-178000.0,16475000.0,709696000.0,,10332000.0,,124193000.0,385440000.0,4442000.0,10332000.0,35296000.0,-8933000.0,,,-124193000.0,128818000.0,357717000.0,1989000.0,,,,17877000.0,-11112000.0,7735000.0,0.0,-116000.0,123586000.0,,4160000.0,,2987000.0,,9701000.0,,177000.0,14586000.0,3793000.0,8923000.0,4890000.0,,,18530000.0,123586000.0,9701000.0,,-115393000.0,4871000.0,12819000.0,143142000.0,227786000.0,352191000.0,143142000.0,67892000.0,0.0,0.0,315000.0,143142000.0,0.0,1.9,,234421000.0,709696000.0,4890000.0,385440000.0,12924000.0,,,-812000.0,,2605468000.0,-5140000.0,18530000.0,,18530000.0,134986000.0,,,,43356000.0,0.0,-153488000.0,18530000.0,,151826000.0,,4924000.0,,,134986000.0,-66000.0,9607000.0,,,50015000.0,,,177000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
985996800,,,17776000.0,,723475000.0,11786000.0,,95375000.0,6299000.0,13123000.0,-5783000.0,,,,,,330244000.0,,162000.0,,,,,0.17,,,,229333000.0,,312253000.0,,145302000.0,,,,0.0,,22200000.0,,,,,,,,,,367221000.0,628100000.0,,,1004000.0,,,,,,,,,,83589000.0,,,91210000.0,,,,0.0,,,6299000.0,6299000.0,-1039000.0,,,,14042000.0,,100911000.0,,,,21239000.0,-6718000.0,0.18,,,-34275000.0,,1642000.0,,,,,,,,16000.0,126130000.0,,-20028000.0,,1662000.0,,9701000.0,,,,34651000.0,-5407000.0,,,35591000.0,,,,,-483000.0,3861000.0,10160000.0,145302000.0,,,,,55841000.0,,,,,,,,697465000.0,,385212000.0,,,,,,,27933000.0,13123000.0,,13123000.0,,,,,,,,,,,,5990000.0,,,152253000.0,,18530000.0,,,,37406000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
