,annualOtherIncomeExpense,annualNetPPE,quarterlyOperatingExpense,trailingGrossProfit,annualTotalNonCurrentAssets,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualGrossProfit,quarterlyBeginningCashPosition,quarterlyBasicEPS,trailingRepaymentOfDebt,quarterlyRepaymentOfDebt,annualEbitda,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,trailingChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyCapitalExpenditure,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashFlowFromContinuingFinancingActivities,annualGrossPPE,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,trailingOtherNonCashItems,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualPurchaseOfBusiness,trailingOtherIncomeExpense,trailingOperatingExpense,annualDeferredIncomeTax,annualCapitalExpenditure,trailingSellingGeneralAndAdministration,quarterlySaleOfInvestment,annualInvestingCashFlow,annualOperatingExpense,trailingCapitalExpenditure,quarterlyGrossPPE,annualAccumulatedDepreciation,annualPurchaseOfInvestment,trailingInvestingCashFlow,quarterlyOperatingCashFlow,trailingDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,trailingPurchaseOfBusiness,trailingBeginningCashPosition,trailingNetIncomeContinuousOperations,trailingCashDividendsPaid,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingInterestExpense,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualChangesInAccountReceivables,quarterlyEbitda,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetOtherFinancingCharges,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualChangeInCashSupplementalAsReported,annualInterestExpense,trailingChangeInWorkingCapital,annualRepaymentOfDebt,trailingChangesInAccountReceivables,annualBasicEPS,annualGoodwill,annualCapitalStock,quarterlyDilutedAverageShares,quarterlyCashDividendsPaid,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,annualOperatingIncome,quarterlyCurrentAssets,annualTotalRevenue,annualOtherShortTermInvestments,trailingChangeInAccountPayable,quarterlyDepreciationAndAmortization,annualDilutedAverageShares,quarterlyOtherNonCashItems,annualAccountsPayable,annualChangeInAccountPayable,quarterlySellingGeneralAndAdministration,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualTaxProvision,quarterlyRetainedEarnings,trailingCostOfRevenue,trailingTotalRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingEndCashPosition,trailingTaxProvision,annualNetOtherInvestingChanges,quarterlyDilutedEPS,annualCashAndCashEquivalents,annualPretaxIncome,annualDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualCurrentDeferredRevenue,annualCostOfRevenue,quarterlyTotalAssets,annualFreeCashFlow,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,quarterlyTotalNonCurrentAssets,annualNetIncome,annualCurrentDebt,annualCashDividendsPaid,annualBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualCurrentAssets,annualOtherNonCashItems,quarterlyBasicAverageShares,annualTotalAssets,annualLongTermDebt,annualStockholdersEquity,quarterlyOtherCurrentAssets,annualCurrentLiabilities,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyGoodwill,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,annualRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,annualSaleOfInvestment,quarterlyOtherIncomeExpense,annualCommonStockIssuance,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualChangeInInventory,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualInventory,annualStockBasedCompensation,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyInventory,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,trailingStockBasedCompensation,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,-700000.0,32400000.0,,,88900000.0,20400000.0,36300000.0,,,0.0,,374900000.0,,,,,50700000.0,,,,,,,,,,,,,53500000.0,,,,,,,0.0,27000000.0,,,,,,,,,0.0,324200000.0,,,-21100000.0,,,,,,,,,,,,,,,,,,,,,,277800000.0,,,,,,4200000.0,,,,0.14,,,,,,,,50700000.0,,374900000.0,,,,154285714.0,,,,,52000000.0,0.0,339100000.0,,32900000.0,24200000.0,,,,,,,21600000.0,,,,,36300000.0,45800000.0,0.14,,,,,,0.0,,,,21600000.0,9300000.0,,154285714.0,,,36100000.0,,,,,346100000.0,,,435000000.0,25000000.0,95900000.0,,287100000.0,,21600000.0,,,,,,,,,,60500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347068800,1900000.0,36200000.0,,,91700000.0,21200000.0,38800000.0,,,0.0,,188900000.0,,,,,56500000.0,,,,,,,,,,,,,59900000.0,,,,,,,0.0,28100000.0,,,,,,,,,0.0,139700000.0,,,-23700000.0,,,,,,,,,,,,,,,,,,,,,,299200000.0,,,,,,5500000.0,,,,0.13,,,,,,,,49200000.0,,424700000.0,,,,151538462.0,,,,,48300000.0,0.0,360400000.0,,32200000.0,23300000.0,,,,,,,19700000.0,,,,,38800000.0,43000000.0,0.13,,,,235800000.0,,0.0,,,,19700000.0,12900000.0,,151538462.0,,,34300000.0,,132400000.0,,,379400000.0,,,471100000.0,20200000.0,110700000.0,,312100000.0,,19700000.0,,,,,,,,,,73200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378604800,1600000.0,39200000.0,,,93900000.0,23200000.0,50800000.0,,,0.0,,193700000.0,,,,,50400000.0,,,,,,,,,,,,,65300000.0,,,,,,,0.0,27700000.0,,,,,,,,,0.0,150800000.0,,,-26100000.0,,,,,,,,,,,,,,,,,,,,,,302200000.0,,,,,,4200000.0,,,,0.1,,,,,,,,42900000.0,,441000000.0,,,,152000000.0,,,,,39300000.0,0.0,359100000.0,,10600000.0,24700000.0,,,,,,,15200000.0,,,,,50800000.0,39900000.0,0.1,,,,247300000.0,,0.0,,,,15200000.0,17600000.0,,152000000.0,,,31500000.0,,143300000.0,,,387500000.0,,,481400000.0,11600000.0,122300000.0,,319800000.0,,15200000.0,,,,,,,,,,81200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410140800,14600000.0,52000000.0,,,115400000.0,41600000.0,85200000.0,,,0.0,,235400000.0,,,,,56000000.0,,,,,,,,,,,,,87100000.0,,,,,,,0.0,47700000.0,,,,,,,,,0.0,190100000.0,,,-35100000.0,,,,,,,,,,,,,,,,,,,,,,420900000.0,,,,,,6300000.0,,,,0.12,,,,,,,,45300000.0,,551300000.0,,,,175833333.0,,,,,65000000.0,0.0,507000000.0,,38500000.0,32300000.0,,,,,,,21100000.0,,,,,85200000.0,53400000.0,0.12,,,,315900000.0,,0.0,,,,21100000.0,21100000.0,,175833333.0,,,21800000.0,,179400000.0,,,521100000.0,,,636500000.0,17300000.0,129500000.0,,442000000.0,,21100000.0,,,,,,,,,,96300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441676800,17200000.0,51000000.0,,,117700000.0,39200000.0,100700000.0,,,0.0,,254300000.0,,,,,65100000.0,,,,,,,,,,,,,88200000.0,,,,,,,0.0,47400000.0,,,,,,,,,0.0,201100000.0,,,-37200000.0,,,,,,,,,,,,,,,,,,,,,,451300000.0,,,,,,4300000.0,,,,0.14,,,,,,,,53200000.0,,585900000.0,,,,181428571.0,,,,,62200000.0,0.0,525400000.0,,35900000.0,40200000.0,,,,,,,25400000.0,,,,,100700000.0,65600000.0,0.14,,,,331600000.0,,0.0,,,,25400000.0,11900000.0,,181428571.0,,,27500000.0,,189200000.0,,,565000000.0,,,682700000.0,14800000.0,157300000.0,,463200000.0,,25400000.0,,,,,,,,,,112300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146400000.0,,,,,,,,,,146400000.0,,,,,,,,,,,,,,192084000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,146400000.0,,,,,0.03,,,,,,,,,,,,,,,,,4800000.0,,,,,,,,,192084000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169500000.0,,,,,,,,,,169500000.0,,,,,,,,,,,,,,194332000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,169500000.0,,,,,0.08,,,,,,,,,,,,,,,,,14700000.0,,,,,,,,,194332000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000000.0,,,,,,,,,,145000000.0,,,,,,,,,,,,,,194332000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,145000000.0,,,,,0.02,,,,,,,,,,,,,,,,,3200000.0,,,,,,,,,194332000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,22300000.0,53400000.0,,,128100000.0,41600000.0,101200000.0,,101200000.0,0.0,101200000.0,296300000.0,,,,,90900000.0,,,,,,53400000.0,,,30700000.0,,,,92900000.0,,,-39500000.0,,33100000.0,,0.0,47500000.0,41600000.0,,,,,,,,0.0,218000000.0,,92900000.0,-39500000.0,,,,,,,,,,,-382600000.0,447300000.0,,,,,,,,,-382600000.0,447300000.0,,,,,,5300000.0,,,,0.17,,,,,,,478000000.0,78300000.0,585500000.0,644400000.0,,,,192941176.0,,,,,59300000.0,0.0,537300000.0,,10200000.0,40100000.0,134300000.0,,,59300000.0,,183500000.0,32800000.0,,,,,101200000.0,72900000.0,0.17,537300000.0,,,348100000.0,713600000.0,0.0,,,128100000.0,32800000.0,30700000.0,,192941176.0,10100000.0,,33100000.0,47500000.0,205400000.0,,,585500000.0,,,713600000.0,11800000.0,176300000.0,10200000.0,478000000.0,,32800000.0,,,,,,,,,176300000.0,134300000.0,,,,11800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
