,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,trailingCashDividendsPaid,trailingPurchaseOfBusiness,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,annualOtherNonCashItems,trailingNetIncome,annualStockholdersEquity,quarterlyOtherCurrentLiabilities,annualLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingChangeInInventory,annualDepreciationAndAmortization,quarterlyBasicEPS,trailingStockBasedCompensation,quarterlyAccountsReceivable,annualCurrentLiabilities,trailingNetOtherInvestingChanges,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualRetainedEarnings,annualInventory,quarterlyGoodwill,trailingChangeInWorkingCapital,annualSaleOfInvestment,quarterlyLongTermDebt,annualGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,annualPurchaseOfInvestment,trailingOperatingCashFlow,annualAccountsReceivable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,annualCapitalStock,quarterlyInventory,trailingGrossProfit,annualChangeInAccountPayable,annualDilutedEPS,annualAccountsPayable,annualOtherIncomeExpense,annualOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingOperatingIncome,quarterlyCashDividendsPaid,quarterlyCashAndCashEquivalents,annualCommonStockIssuance,annualNetPPE,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,trailingRepaymentOfDebt,quarterlyCapitalStock,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,annualEbitda,trailingTotalRevenue,annualOperatingIncome,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyChangesInAccountReceivables,annualBasicEPS,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyDilutedAverageShares,trailingEndCashPosition,quarterlyCurrentDebt,trailingPretaxIncome,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,annualPretaxIncome,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,quarterlySaleOfInvestment,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,trailingCapitalExpenditure,annualOtherNonCurrentAssets,annualOperatingExpense,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,trailingInterestExpense,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,trailingNetIncomeContinuousOperations,annualCurrentAssets,annualChangesInAccountReceivables,trailingOperatingExpense,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyStockBasedCompensation,trailingNetIncomeCommonStockholders,annualNetOtherFinancingCharges,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyEbitda,annualCurrentAccruedExpenses,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyChangeInAccountPayable,annualInterestExpense,annualRepaymentOfDebt,quarterlyInvestingCashFlow,trailingChangesInAccountReceivables,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,annualTotalRevenue,annualDilutedAverageShares,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyBasicAverageShares,trailingChangeInAccountPayable,annualGrossProfit,quarterlySellingGeneralAndAdministration,annualBasicAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualOtherCurrentAssets,trailingCostOfRevenue,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingTaxProvision,trailingDepreciationAndAmortization,annualChangeInInventory,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualFreeCashFlow,annualPurchaseOfBusiness,annualCashDividendsPaid,trailingOtherNonCashItems,annualCostOfRevenue,annualBeginningCashPosition,annualNetIncome,annualNonCurrentDeferredRevenue,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,trailingBasicEPS,trailingCommonStockIssuance,annualIncomeTaxPayable,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingResearchAndDevelopment,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780883200,,,,,,-8000000.0,,,,711600000.0,,-3600000.0,,-300700000.0,,487600000.0,,,,14700000.0,,,,518400000.0,,,,-305000000.0,351700000.0,,,,,,,,,,,,,,,,-5.1925,450000000.0,-179800000.0,84000000.0,,,,,,41200000.0,,25300000.0,,,493900000.0,,,,0.0,-77800000.0,,92600000.0,,77900000.0,,67600000.0,,0.0,25300000.0,,-5.1925,,,,,,,,,,-164600000.0,6300000.0,,,,,,,,,-8500000.0,,,,18700000.0,165400000.0,150700000.0,-26400000.0,-5100000.0,,,,,,,651700000.0,,,,,,,,,,-600000.0,,-1800000.0,,,,-207700000.0,,68300000.0,,62600000.0,,,,,,4301800000.0,40000000.0,,,,,,59900000.0,,,,,243300000.0,,40000000.0,,,7800000.0,1012300000.0,65100000.0,,,,2400000.0,,,,,-172400000.0,,,-5300000.0,,,,100000.0,,75500000.0,,,,4058500000.0,27100000.0,-207700000.0,,,,,,,,,,,,,,,,,,
788832000,,208300000.0,4000000.0,-10800000.0,-160000000.0,,900000.0,,,,,,,,83500000.0,,,1093100000.0,,,-0.0925,,,,,100000.0,,,,,,,462700000.0,,,,,,,-11700000.0,,514500000.0,,,,,,,,,-1300000.0,29300000.0,,,,,29300000.0,2500000.0,,,,,,,25300000.0,,,,,,,,,,,,17300000.0,116756757.0,,100000.0,,18600000.0,1228400000.0,-10800000.0,,,,-163400000.0,915700000.0,59800000.0,-6200000.0,,,,,68800000.0,,,,,,,,,-163000000.0,,,,,,,,9300000.0,,473800000.0,,-0.0925,,,,-312700000.0,,100000.0,24400000.0,,,,,,,,-1700000.0,,0.0,,,,42100000.0,-162800000.0,64000000.0,,557400000.0,,300000.0,855900000.0,116756757.0,,,39600000.0,,671000000.0,,,,,41200000.0,,4600000.0,,,-315800000.0,3700000.0,1157100000.0,,,,,21900000.0,-3400000.0,165700000.0,,-27600000.0,,,,,,,,,,,,,,,,,,,,,,,,,
796608000,,218500000.0,-4300000.0,6600000.0,33500000.0,,6700000.0,,,,,,,,70600000.0,,,1140600000.0,,,0.0575,,,,,0.0,,,,,,,433100000.0,,,,,,,-200000.0,,424100000.0,,,,,,,,,,25000000.0,,,,,25000000.0,2200000.0,,,,,,,0.0,,,,,,,,,,,,14700000.0,116756757.0,,100000.0,,21600000.0,1146500000.0,6600000.0,,,,30900000.0,840300000.0,63700000.0,-1400000.0,,,,,71100000.0,,,,,,,,,18100000.0,,,,,,,,41000000.0,,424200000.0,,0.0575,,,,-306200000.0,,-100000.0,27700000.0,,,,,,,,-2600000.0,,0.0,,,,40200000.0,90400000.0,65700000.0,,494900000.0,,-12300000.0,776600000.0,116756757.0,,,38500000.0,,651600000.0,,,,,42100000.0,,10700000.0,,,-309300000.0,4000000.0,1206300000.0,,,,,25500000.0,-2600000.0,-35200000.0,,-29000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,,6400000.0,-1000000.0,3700000.0,93600000.0,,9900000.0,,,,,,,,62200000.0,,,1120000000.0,,,0.02,,,,,148600000.0,,,,,,,415700000.0,,,,,,,-6200000.0,,438700000.0,,,,,,,,,,24000000.0,,,,,24000000.0,2500000.0,,,,,,,0.0,,,,,,,,,,,,10600000.0,185000000.0,,100000.0,,23000000.0,991900000.0,3700000.0,,,,90500000.0,844200000.0,65800000.0,-2400000.0,,,,,73100000.0,,,,,,,,-4000000.0,79100000.0,,0.0,,,,,,39600000.0,,507500000.0,,0.02,,,,-147700000.0,,-500000.0,26700000.0,,,,,,,,-3500000.0,,0.0,,,,43000000.0,-14500000.0,66700000.0,,569800000.0,,10100000.0,778400000.0,185000000.0,,,40000000.0,,422100000.0,,,,,42800000.0,,13100000.0,,,-305600000.0,3200000.0,1186700000.0,,,,,23700000.0,-3100000.0,-91200000.0,,-30300000.0,,,,,,,,,,,,,,,,,,,,,,,,,
812419200,,8600000.0,8200000.0,10800000.0,-2700000.0,-16300000.0,10800000.0,,,838700000.0,,-200000.0,,-135700000.0,67200000.0,435800000.0,,1046400000.0,,10100000.0,,,,530000000.0,,0.0,,-294800000.0,404500000.0,,,,435800000.0,,,,,,,100000.0,,404500000.0,,,0.07,462800000.0,-18000000.0,-35600000.0,,,,32200000.0,148700000.0,45200000.0,,32200000.0,32200000.0,2900000.0,444400000.0,,,,0.0,58800000.0,0.0,107900000.0,,97800000.0,,76800000.0,,-4800000.0,32200000.0,,0.07,,9700000.0,,,,,20300000.0,974400000.0,10800000.0,45500000.0,8600000.0,,-7300000.0,838700000.0,65500000.0,0.0,,,,-13700000.0,76800000.0,,,20300000.0,171000000.0,160900000.0,-31600000.0,-1400000.0,-400000.0,-23700000.0,,-400000.0,,,773200000.0,,,17800000.0,-5700000.0,462800000.0,,,,,-10000000.0,-135700000.0,6900000.0,-4300000.0,29600000.0,,10200000.0,,67200000.0,,52300000.0,,-8500000.0,,0.0,,4668900000.0,145714286.0,45700000.0,37600000.0,72400000.0,,530000000.0,65500000.0,1700000.0,773200000.0,,,268800000.0,42800000.0,145714286.0,444400000.0,,17300000.0,974400000.0,-89500000.0,45200000.0,,17100000.0,17800000.0,,-294800000.0,6300000.0,1118800000.0,28200000.0,,,-49300000.0,26700000.0,-4600000.0,19500000.0,,-31600000.0,-49300000.0,,,,4400100000.0,25300000.0,10200000.0,,,,,,,,,,,,,,,,,,
820368000,,8200000.0,17700000.0,8900000.0,-52400000.0,,8900000.0,,,,,,,,73200000.0,,,1212100000.0,,,0.05,,,,,,,,,,,,509100000.0,,,,,,,0.0,,547800000.0,,,,,,,,,,49800000.0,,,,,49800000.0,2700000.0,,,,,,,32200000.0,,,,,,,,,,,,9100000.0,178000000.0,,,,19600000.0,1138500000.0,8900000.0,,,,-55700000.0,1014600000.0,66100000.0,-100000.0,,,,,80000000.0,,,,,,,,,-73400000.0,,2700000.0,,,,,,10900000.0,,548000000.0,,0.05,,,,-123900000.0,,0.0,27100000.0,,,,,,,,-3300000.0,,0.0,,,,46000000.0,-143300000.0,70400000.0,,621200000.0,,6800000.0,948500000.0,178000000.0,,,43300000.0,,517300000.0,,,,,46500000.0,,15300000.0,,,-286000000.0,6400000.0,1282500000.0,,,,,24400000.0,-3300000.0,73300000.0,,-33500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
828230400,,7500000.0,14000000.0,10100000.0,56600000.0,,10100000.0,,,,,,,,75500000.0,,,1283300000.0,,,0.0575,,,,,,,,,,,,500900000.0,,,,,,,0.0,,590700000.0,,,,,,,,,,63800000.0,,,,,63800000.0,2600000.0,,,,,,,0.0,,,,,,,,,,,,9900000.0,175652174.0,,,,27900000.0,1193500000.0,10100000.0,,,,50200000.0,1083100000.0,78500000.0,100000.0,,,,,86000000.0,,,,,,,,,46800000.0,,3000000.0,,,,,,9800000.0,,609600000.0,,0.0575,,,,-110400000.0,,-28400000.0,29900000.0,,,,,,,,-34300000.0,,0.0,,,,51500000.0,-10500000.0,78800000.0,,685100000.0,,-6200000.0,1004600000.0,175652174.0,,,48900000.0,,508400000.0,,,,,50600000.0,,17400000.0,,,-275900000.0,7300000.0,1362100000.0,,,,,27300000.0,-6400000.0,-8200000.0,,-35400000.0,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,,7100000.0,-4300000.0,3200000.0,-12500000.0,,10400000.0,,,,,,,,74300000.0,,,1338800000.0,,,0.0175,,,,,,,,,,,,471600000.0,,,,,,,-7200000.0,,616100000.0,,,,,,,,,,59600000.0,,,,,59600000.0,3100000.0,,,,,,,0.0,,,,,,,,,,,,9100000.0,182857143.0,,,,23400000.0,1146400000.0,3200000.0,,,,-14800000.0,1092000000.0,73900000.0,49400000.0,,,,,88000000.0,,,,,,,,,-35400000.0,,3100000.0,,,,,,10400000.0,,593400000.0,,0.0175,,,,-54400000.0,,-300000.0,29800000.0,,,,,,,,-2600000.0,,0.0,,,,54500000.0,-25400000.0,81200000.0,,667700000.0,,1500000.0,1018100000.0,182857143.0,,,51400000.0,,478700000.0,,,,,50500000.0,,17600000.0,,,-272700000.0,7200000.0,1420000000.0,,,,,26700000.0,-2300000.0,10800000.0,,-37500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
844041600,,5300000.0,6000000.0,13300000.0,48300000.0,-44600000.0,13300000.0,,,1188000000.0,,3700000.0,,-36800000.0,70800000.0,433700000.0,,1412600000.0,,11600000.0,,,,785800000.0,,0.0,,-259400000.0,650300000.0,,,,433700000.0,,,,,,,0.0,,650300000.0,,,0.1925,715000000.0,-7100000.0,40000000.0,,,,65600000.0,49300000.0,51700000.0,,65600000.0,65600000.0,3200000.0,439000000.0,,,,0.0,38100000.0,0.0,109500000.0,,97900000.0,,91500000.0,,-29400000.0,65600000.0,,0.195,,7900000.0,,,,,21200000.0,1224800000.0,13300000.0,62000000.0,5300000.0,,44600000.0,1188000000.0,72900000.0,0.0,,,,-15700000.0,91500000.0,,,21200000.0,207000000.0,195400000.0,-39800000.0,5800000.0,,25000000.0,,-3000000.0,,,1115100000.0,,,8900000.0,,715000000.0,,,,,100000.0,-36800000.0,33400000.0,-700000.0,22700000.0,,35500000.0,,70800000.0,,36000000.0,,-4400000.0,,0.0,,5551700000.0,184415584.0,55000000.0,-33900000.0,74500000.0,,785800000.0,72900000.0,1600000.0,1115100000.0,,,304900000.0,51800000.0,182051282.0,439000000.0,,19300000.0,1224800000.0,-37000000.0,51700000.0,,11600000.0,8900000.0,,-259400000.0,-1700000.0,1487100000.0,42700000.0,,,-213100000.0,19500000.0,-3700000.0,-37800000.0,,-39800000.0,24300000.0,,,,5246800000.0,32200000.0,35500000.0,,,,,,,,,,,,,,,,,,
