date,trailingNetIncome,annualRetainedEarnings,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingCashDividendsPaid,annualGoodwill,annualTotalAssets,quarterlyDilutedAverageShares,annualCashDividendsPaid,trailingPurchaseOfInvestment,annualNetIncome,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualPretaxIncome,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingInvestingCashFlow,quarterlyAccountsReceivable,annualOtherShortTermInvestments,trailingSaleOfInvestment,annualSaleOfInvestment,annualCommonStockIssuance,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,annualOperatingIncome,annualAccountsReceivable,trailingResearchAndDevelopment,annualTotalRevenue,annualStockholdersEquity,annualBasicEPS,quarterlyLongTermDebt,trailingChangeInAccountPayable,annualPurchaseOfInvestment,trailingStockBasedCompensation,annualDepreciationAndAmortization,annualInvestingCashFlow,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,trailingEndCashPosition,quarterlyNetIncomeCommonStockholders,annualCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,annualEndCashPosition,trailingTotalRevenue,quarterlyInventory,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,annualOperatingCashFlow,annualAccountsPayable,trailingOperatingIncome,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualOtherNonCurrentAssets,annualInvestmentsAndAdvances,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,quarterlyTotalLiabilitiesNetMinorityInterest,annualBasicAverageShares,trailingOtherIncomeExpense,annualRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,quarterlyFreeCashFlow,annualCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,trailingPretaxIncome,annualNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyChangeInInventory,annualInterestExpense,trailingBeginningCashPosition,annualChangesInAccountReceivables,annualBeginningCashPosition,quarterlyOtherCurrentAssets,annualCurrentAssets,trailingCapitalExpenditure,annualEbitda,annualNetIncomeCommonStockholders,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,annualGrossPPE,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,quarterlyCapitalStock,trailingGrossProfit,trailingRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyBeginningCashPosition,annualOtherIncomeExpense,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCapitalStock,quarterlyStockholdersEquity,trailingOperatingCashFlow,trailingDeferredIncomeTax,annualRepaymentOfDebt,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,trailingInterestExpense,annualCurrentAccruedExpenses,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingTaxProvision,annualStockBasedCompensation,annualChangeInInventory,annualTaxProvision,annualNetOtherFinancingCharges,quarterlyRepaymentOfDebt,annualCurrentDebt,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyNetPPE,quarterlyBasicAverageShares,annualOtherNonCashItems,annualOtherCurrentAssets,trailingDepreciationAndAmortization,annualResearchAndDevelopment,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,trailingChangeInInventory,quarterlyStockBasedCompensation,annualDilutedAverageShares,annualGrossProfit,annualInventory,quarterlyEbitda,annualAccumulatedDepreciation,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,quarterlyCurrentAssets,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,trailingOperatingExpense,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,trailingPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyPretaxIncome,annualDilutedEPS,trailingOtherNonCashItems,quarterlyRetainedEarnings,annualPurchaseOfBusiness,annualCostOfRevenue,quarterlyOperatingIncome,trailingCostOfRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,quarterlyGrossPPE,quarterlyAccumulatedDepreciation,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,trailingFreeCashFlow,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,trailingRepurchaseOfCapitalStock,trailingBasicEPS
1970-01-01 00:00:01.569801600,-120337000.0,,,,-1844000.0,,27300000.0,,,-4624299000.0,-2500000.0,,,,,-151814000.0,,,-2700000.0,,,-1967999000.0,,,2938788000.0,,,297299000.0,,,-3000000.0,,204749000.0,1700000.0,-36800000.0,-0.22262,,128062000.0,,48346000.0,600000.0,,,,,,1979373000.0,,,1496727000.0,,,,,2050062000.0,,,,,,,-85092000.0,,,,,,,,,,,,,,,,13475873.0,-5761000.0,,,,,,,-51103000.0,,,,-10750000.0,379235000.0,,,1077730000.0,,,,,-128760000.0,-2400000.0,-3000000.0,,,,,,3300000.0,,,998560000.0,-150943000.0,,,-100000.0,,,,,100000.0,,407623000.0,12330000.0,,-128178000.0,,,61133000.0,,,,-85424000.0,,69234000.0,,,0.0,,,,,,,,,,64449000.0,700000.0,,,-2939000.0,,13986707.0,1000000.0,,,,,,,,878903000.0,,4000000.0,,1083652000.0,,,-1914000.0,-120337000.0,,-0.22262,62791000.0,,,700000.0,,1051502000.0,,,,-2700000.0,,,64100000.0,,278863000.0,,,,,,,,,,,
,,,,,,,24100000.0,,,,-3200000.0,0.0,,,,,,,-3200000.0,,,,,,,,,,,,-3500000.0,,,5600000.0,-40900000.0,-0.36,,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10277778.0,,,,,,,,,,,,,,,,,,,,,,-2700000.0,-3700000.0,,,,,,4900000.0,,,,,,,100000.0,,,,,,,,,,,,,,,-900000.0,,,,,,,0.0,,,,,,,,,,,1000000.0,,,,,10277778.0,4500000.0,,,,,,,,,,8000000.0,,,,,,,,-0.36,,,,1100000.0,,,,,,-3200000.0,,,65000000.0,,,,,,,,,,,,,
,,,,,,,,,,,-2206018.0,,,,,,,,,,,,,,,,,,,,12663332.0,,,12663332.0,,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12739980.0,,,,,,,,,,,,,,,,,,,,,,12663332.0,-2700896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12739980.0,,,,,,,,,,,,,,,,,,,-0.21,,,,,,,,,,-2206018.0,,,,,,,,,,,,,,,,
,,,,,,,,13671359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588534.0,508708.0,,,,,464814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,13065496.0,,,,,,,,,,,,7062419.0,,,,,,,,,,,,,,,,,,,,,7062419.0,,,,,,,,,7062419.0,,,,,,,,,,,,
,,,,,,,,13671359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588534.0,508708.0,,,,,464814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,13065496.0,,,,,,,,,,,,7062419.0,,,,,,,,,,,,,,,,,,,,,7062419.0,,,,,,,,,7062419.0,,,,,,,,,,,,
,,,,,,,,13671359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588534.0,508708.0,,,,,464814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,13065496.0,,,,,,,,,,,,7062419.0,,,,,,,,,,,,,,,,,,,,,7062419.0,,,,,,,,,7062419.0,,,,,,,,,,,,
,,-45126900.0,44419773.0,24320751.0,,19657797.0,44419773.0,,,,2354136.0,12000000.0,346087.0,,8106546.0,,1659888.0,3411266.0,665470.0,,,,2386078.0,3411266.0,,1106712.0,9003.0,,75927754.0,,811862.0,2386078.0,,28249677.0,-42406820.0,0.05,12000000.0,,,,1572497.0,-13039134.0,19657797.0,,588534.0,508708.0,,,,,464815.0,12011338.0,,8979838.0,,,,12391104.0,131085.0,3438604.0,2661208.0,,8979838.0,,,10898839.0,75927754.0,,906382.0,906382.0,12391104.0,,28299.0,,-560542.0,2343623.0,86826593.0,13065496.0,,,,346087.0,,8979838.0,28299.0,,0.0,,,,,,456430.0,,,7024358.0,413735.0,20099022.0,,2384359.0,1859258.0,,,5850848.0,,-2003829.0,19112863.0,24320751.0,130959.0,,,,,-41741.0,,,2661208.0,-560542.0,130959.0,-42406820.0,,,,,,,,,-2004603.0,1955480.0,,8106546.0,,,,-1369362.0,0.0,,131085.0,,,2343623.0,,46883.0,413735.0,,2186220.0,,,,,13671359.0,22110945.0,,-20375396.0,-3507225.0,1434001.0,,,10898839.0,,20099022.0,21299083.0,,,,,,,,0.05,,-45126900.0,,6138732.0,-20375396.0,,,,,2034832.0,5850848.0,-3507225.0,86826593.0,7062419.0,,,,,,,,,,,,
,,,,,,,,13114575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110342.0,110342.0,,,,,-13377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00102,,,13114575.0,,,,,,,,,,,,10989133.0,,,,,,,,,,,,,,,,,,,,,10989133.0,,,,,,,,,10989133.0,,,,,,,,,,,,
,,,,,,,,13149139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320580.0,320580.0,,,,,196860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014971,,,13149139.0,,,,,,,,,,,,13689919.0,,,,,,,,,,,,,,,,,,,,,13689919.0,,,,,,,,,13689919.0,,,,,,,,,,,,
,,,,,,,,13149139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320580.0,320580.0,,,,,196860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014971,,,13149139.0,,,,,,,,,,,,13689919.0,,,,,,,,,,,,,,,,,,,,,13689919.0,,,,,,,,,13689919.0,,,,,,,,,,,,
