,annualSaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyNetIncome,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,annualDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyBasicEPS,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualLongTermDebt,annualStockholdersEquity,annualCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyLongTermDebt,annualRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualCurrentLiabilities,annualPurchaseOfInvestment,annualOperatingCashFlow,annualAccountsReceivable,annualCapitalStock,quarterlyOperatingExpense,quarterlyAccountsReceivable,annualStockBasedCompensation,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingGrossProfit,quarterlyCapitalStock,annualEbitda,annualRepaymentOfDebt,annualNetPPE,annualOtherCurrentLiabilities,trailingTotalRevenue,annualNetOtherInvestingChanges,annualOperatingIncome,annualCashCashEquivalentsAndMarketableSecurities,annualEndCashPosition,annualNonCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,trailingPretaxIncome,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,annualGrossPPE,quarterlyCashAndCashEquivalents,trailingOperatingIncome,annualAccountsPayable,annualBasicEPS,quarterlyFreeCashFlow,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInterestExpense,trailingOtherIncomeExpense,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,annualPretaxIncome,annualInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualAccumulatedDepreciation,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,trailingSellingGeneralAndAdministration,trailingNetIncomeContinuousOperations,annualCapitalExpenditure,annualSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualOperatingExpense,annualCashAndCashEquivalents,quarterlyDilutedEPS,quarterlyTotalRevenue,trailingOperatingExpense,annualChangesInAccountReceivables,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,trailingInterestExpense,annualTaxProvision,quarterlyEbitda,annualCurrentAssets,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualTotalRevenue,annualDilutedEPS,annualDilutedAverageShares,annualNetIncomeCommonStockholders,annualInterestExpense,annualNetOtherFinancingCharges,quarterlyEndCashPosition,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,annualCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualGrossProfit,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,trailingNetIncomeCommonStockholders,quarterlyBasicAverageShares,annualOtherCurrentAssets,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,trailingCostOfRevenue,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,annualBasicAverageShares,trailingNetIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyCurrentAssets,annualTotalAssets,trailingTaxProvision,annualNetIncome,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,annualCostOfRevenue,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCashDividendsPaid,annualFreeCashFlow,annualCurrentDebt,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyChangeInInventory,trailingDeferredIncomeTax,trailingFreeCashFlow,trailingRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,trailingChangeInCashSupplementalAsReported,annualNonCurrentDeferredTaxesLiabilities,trailingCapitalExpenditure,annualCurrentAccruedExpenses,annualInventory,trailingRepaymentOfDebt,trailingCashDividendsPaid,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingOtherNonCashItems,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingOperatingCashFlow,annualOtherIntangibleAssets,trailingNetOtherFinancingCharges,annualGoodwill,trailingBasicEPS,trailingResearchAndDevelopment,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,trailingEndCashPosition,annualChangeInInventory,annualIncomeTaxPayable,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingBeginningCashPosition,quarterlyCurrentAccruedExpenses,trailingChangeInAccountPayable,quarterlyOtherIntangibleAssets,quarterlyCurrentDeferredRevenue,trailingInvestingCashFlow,quarterlyGoodwill,trailingChangeInWorkingCapital,quarterlyResearchAndDevelopment,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangesInAccountReceivables,annualDeferredIncomeTax,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772934400,,,-4800000.0,300000.0,29800000.0,,,112100000.0,,,0.05,100000.0,300000.0,,,,,198200000.0,,,91100000.0,,,-1200000.0,,,,,,-800000.0,,,,400000.0,,,2800000.0,,,,,,,,,,,,,300000.0,,211300000.0,,,,,,,100000.0,,,,,300000.0,,6000000.0,,,,,,,,,,,,,,,,97000000.0,,,,,0.05,1700000.0,,,,2500000.0,,,,2900000.0,,,,-600000.0,,,,,,,,,,,,-31200000.0,,,,-25100000.0,,,,,,6000000.0,,87000000.0,100000.0,,,,-31200000.0,,,,-147400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780883200,,,4100000.0,1600000.0,17200000.0,,,0.0,,,0.26,1300000.0,1600000.0,,,,,8700000.0,-100000.0,,105600000.0,,,600000.0,,,,,,-4000000.0,,,,2000000.0,,,,,,,,,,,,,,,,1600000.0,,227100000.0,204500000.0,,0.0,,,,1300000.0,,,,,1600000.0,,6153846.0,,,,,,,,,,,,,,,,114100000.0,,,,,0.26,8800000.0,,,,12800000.0,,,,14800000.0,,,,4600000.0,,,,,,,,,,,,-17800000.0,,,,-26100000.0,,,,204500000.0,,6153846.0,,86000000.0,900000.0,,,,21300000.0,,,,-1400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,,,,,,-2200000.0,,,4800000.0,,,,,-94800000.0,135000000.0,84700000.0,82200000.0,,,,,-27400000.0,,,,,12100000.0,,,,,,,,,,,,,36400000.0,-138400000.0,248200000.0,,,-94800000.0,31600000.0,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,600000.0,,3300000.0,,-11200000.0,,,,,3500000.0,,,,,,,,-400000.0,,,,-400000.0,20400000.0,0.52,6346154.0,3300000.0,4300000.0,-16400000.0,,,,,112100000.0,157900000.0,,,,,6200000.0,,,,,,,,,,,6346154.0,,,,,269100000.0,,3300000.0,,,,,,2800000.0,-4000000.0,12100000.0,15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796608000,,,-200000.0,1500000.0,-4300000.0,,,,,-500000.0,0.18,4400000.0,1500000.0,,,,,246800000.0,,,149300000.0,,,-400000.0,,,,,,-5700000.0,,,,,,,2400000.0,,,,,,,,,,,,,1500000.0,,267300000.0,,,,,,,3900000.0,,,,,2700000.0,,6275000.0,,,,,,,,,,,,,,,,157500000.0,,,,,0.18,10900000.0,,,,16600000.0,,,,16600000.0,,,,2900000.0,,,,,,,,,,,-3400000.0,-500000.0,,,,-28500000.0,,,,,,6275000.0,,83600000.0,500000.0,,,,,,,,-700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,,,-300000.0,1800000.0,-6200000.0,,,,,-900000.0,0.34,4300000.0,2000000.0,,,,,242000000.0,,,147000000.0,,,-1500000.0,,,,,,-5600000.0,,,,,,,,,,,,,,,,,,,,1800000.0,,264900000.0,,,,,,,3400000.0,,,,,2800000.0,,5294118.0,,,,,,,,,,,,,,,,155900000.0,,,,,0.34,11700000.0,,,,17300000.0,,,,17300000.0,,,,2300000.0,,,,,,,,,,,-3400000.0,,,,,-29100000.0,,,,,,5294118.0,,83000000.0,500000.0,,,,,,,,-18900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812419200,,,-100000.0,1600000.0,-2500000.0,,,,,-600000.0,0.25,5300000.0,1600000.0,,,,,240600000.0,,,148000000.0,,,1100000.0,,,,,,-5700000.0,,,,,,,,,,,,,,,,,,,,1600000.0,,263900000.0,,,,,,,4700000.0,,,,,2700000.0,,6400000.0,,,,,,,,,,,,,,,,156400000.0,,,,,0.25,11000000.0,,,,16700000.0,,,,16700000.0,,,,3700000.0,,,,,,,,,,,-3400000.0,,,,,-30200000.0,,,,,,6400000.0,,81900000.0,500000.0,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,,,-3500000.0,5900000.0,2900000.0,-2400000.0,,,9400000.0,-7500000.0,,2600000.0,5500000.0,-5000000.0,136100000.0,84700000.0,-10100000.0,252700000.0,,,136100000.0,-27300000.0,,2400000.0,,,16600000.0,,,-5900000.0,,,,,,,,,,82300000.0,-17200000.0,252700000.0,,,4500000.0,72900000.0,,,,5900000.0,,273700000.0,,,,,,1.73,-4900000.0,18500000.0,,,,2700000.0,,,,,,,,,,,,,,,,-9500000.0,1800000.0,162600000.0,10600000.0,,-23000000.0,,,16300000.0,,-600000.0,,22200000.0,,,,22200000.0,,1600000.0,,-11300000.0,,100000.0,49900000.0,1.73,6242775.0,10800000.0,10900000.0,-4100000.0,,,-300000.0,-3300000.0,,162600000.0,,-27300000.0,,,-1000000.0,,,,,84700000.0,500000.0,,,,4200000.0,6242775.0,,,1400000.0,,273700000.0,,10800000.0,,,,,,2400000.0,-10500000.0,7100000.0,18500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828230400,,,-200000.0,-100000.0,5600000.0,,,,,-12700000.0,-0.01,5700000.0,2100000.0,,,,,263200000.0,,,152400000.0,,,-1300000.0,,,,,,-5200000.0,,,,,,,4000000.0,,,,,,,,,,,,,-100000.0,,282600000.0,,,,,,,-7000000.0,12900000.0,,,,2900000.0,,6275000.0,,,,,,,,,,,,,,,,175100000.0,,,,,-0.01,11600000.0,,,,16800000.0,,,,16800000.0,,,,3600000.0,,,,,,,,,,,-3500000.0,-12600000.0,,,,-30100000.0,,,,,,6275000.0,,82000000.0,1300000.0,,,,100000.0,,,,-38200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836092800,,,-400000.0,3100000.0,-12400000.0,,,,,-700000.0,0.51,2400000.0,3800000.0,,,,,251300000.0,,,141800000.0,,,3000000.0,,,,,,-5700000.0,,,,,,,,,,,,,,,,,,,,3100000.0,,273500000.0,,,,,,,1700000.0,12800000.0,,,,3000000.0,,6078431.0,,,,,,,,,,,,,,,,165300000.0,,,,,0.51,14200000.0,,,,19900000.0,,,,19900000.0,,,,-1400000.0,,,,,,,,,,,-3400000.0,13100000.0,,,,-29600000.0,,,,,,6078431.0,,82500000.0,600000.0,,,,13800000.0,,,,-10900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844041600,,,-300000.0,2200000.0,51100000.0,,,,,-59200000.0,0.27,8700000.0,2700000.0,,,,,308200000.0,,,136700000.0,,,600000.0,,,,,,-6100000.0,,,,,,,,,,,,,,,,,,,,2200000.0,,330500000.0,,,,,,,-50500000.0,,,,,2800000.0,,8148148.0,,,,,,,,,,,,,,,,152400000.0,,,,,0.27,12900000.0,,,,19000000.0,,,,19000000.0,,,,6000000.0,,,,,,,,,,,-3500000.0,-59400000.0,,,,-31400000.0,,,,,,8148148.0,,152700000.0,600000.0,,,,-200000.0,,,,-37800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
