date,trailingChangeInAccountPayable,annualOtherCurrentAssets,trailingTotalRevenue,annualTotalRevenue,annualCostOfRevenue,annualOperatingIncome,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,trailingCostOfRevenue,annualEndCashPosition,trailingOperatingIncome,annualCurrentDebt,annualFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,trailingEndCashPosition,quarterlyRetainedEarnings,annualCommonStockIssuance,trailingTaxProvision,annualNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualChangeInWorkingCapital,quarterlyOtherNonCashItems,annualAccountsPayable,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingNetIncome,annualOperatingExpense,quarterlyCurrentAssets,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,trailingFreeCashFlow,annualCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualLongTermDebt,annualBeginningCashPosition,annualAccountsReceivable,annualCurrentAssets,quarterlyChangeInInventory,quarterlyDilutedEPS,annualCashDividendsPaid,annualSaleOfInvestment,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,annualBasicEPS,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyGrossProfit,annualTotalAssets,annualTaxProvision,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,trailingCommonStockIssuance,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,annualCurrentAccruedExpenses,trailingNetIncomeCommonStockholders,annualCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,trailingOtherIncomeExpense,trailingOperatingCashFlow,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,annualDilutedEPS,quarterlyTaxProvision,quarterlyNetPPE,trailingCashFlowFromContinuingFinancingActivities,annualInventory,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualOtherIncomeExpense,annualNetPPE,annualCurrentLiabilities,quarterlyCapitalStock,trailingChangeInInventory,annualGrossProfit,annualEbitda,annualOperatingCashFlow,annualTotalNonCurrentAssets,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualBasicAverageShares,quarterlyCurrentDebt,quarterlyCommonStockIssuance,annualOtherNonCurrentLiabilities,quarterlyInterestExpense,annualPurchaseOfBusiness,trailingOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInInventory,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,annualPurchaseOfInvestment,trailingCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,trailingBeginningCashPosition,annualPretaxIncome,annualChangesInAccountReceivables,trailingCashDividendsPaid,quarterlyGrossPPE,trailingInterestExpense,annualNonCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualInterestExpense,quarterlyTotalAssets,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,annualDeferredIncomeTax,trailingChangeInCashSupplementalAsReported,quarterlyChangeInCashSupplementalAsReported,annualGrossPPE,trailingInvestingCashFlow,trailingChangeInWorkingCapital,trailingStockBasedCompensation,annualDilutedAverageShares,quarterlyAccountsPayable,annualStockBasedCompensation,quarterlyBasicEPS,annualCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,annualCapitalExpenditure,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualInvestingCashFlow,trailingGrossProfit,annualChangeInCashSupplementalAsReported,trailingDeferredIncomeTax,annualRepaymentOfDebt,annualIncomeTaxPayable,trailingPurchaseOfBusiness,annualGoodwill,annualResearchAndDevelopment,trailingSellingGeneralAndAdministration,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,quarterlyInvestmentsAndAdvances,trailingBasicEPS,annualOtherShortTermInvestments,trailingNetOtherInvestingChanges,trailingPurchaseOfInvestment,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,quarterlySellingGeneralAndAdministration,trailingResearchAndDevelopment,annualInvestmentsAndAdvances,quarterlyGoodwill
1979-12-31,643000.0,,135127000.0,12100000.0,,12100000.0,,,69366000.0,,35115000.0,,,,,57078000.0,,,-1711000.0,,,,,,,,,,,,1800000.0,32811000.0,,,,,,,32811000.0,,,31100000.0,,1800000.0,-47447000.0,,,,,,,,,,,,,,,,0.350175,1800000.0,,,,,,,,,,,,,,,,,,,,12735000.0,,,,,,,32673000.0,,,,,2798000.0,36349000.0,,,,,0.350175,,,98990000.0,,-7326000.0,,,,,,474000.0,,12100000.0,,,16895000.0,,5140287.0,,,,,,-1752000.0,,,,,,,,,,,-83796000.0,,,5535000.0,,,-15968000.0,,6813000.0,,137000.0,,,,,,30646000.0,,51543000.0,,,-83796000.0,-1213000.0,736000.0,5140287.0,,,,,,,,4292000.0,,65761000.0,,-11128000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,,,,13500000.0,,13500000.0,,,,,,,,,,,,,,,,,,,,,,,,,2100000.0,,,,,,,,,,,,,2100000.0,,,,,,,,,,,,,,,,,0.390195,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.390195,,,,,,,,,,,,,13500000.0,,,,,5381924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5381924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,,,13800000.0,,13800000.0,,,,,,,,,,,,,,,,,,,,,,,,,1900000.0,,,,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,0.335168,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335168,,,,,,,,,,,,,13800000.0,,,,,5668799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5668799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,,,16600000.0,,16600000.0,,,,,,,,,,,,,,,,,,,,,,,,,2700000.0,,,,,,,,,,,,,2700000.0,,,,,,,,,,,,,,,,,0.50025,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50025,,,,,,,,,,,,,16600000.0,,,,,4997501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4997501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,17700000.0,,17700000.0,,,,,,,,,,,,,,,,,,,,,,,,,2700000.0,,,,,,,,,,,,,2700000.0,,,,,,,,,,,,,,,,,0.505253,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505253,,,,,,,,,,,,,17700000.0,,,,,4948016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4948016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,4700000.0,,,,,,,,,,4700000.0,4700000.0,,,,,,,,,,,,,,,,,,,,,,0.16008,,,,,,,,5149425.0,,,,,,,,,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16008,,5149425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,4700000.0,,,,,,,,,,4700000.0,4700000.0,,,,,,,,,,,,,,,,,,,,,,0.110055,,,,,,,,5149425.0,,,,,,,,,,,,,,,,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.110055,,5149425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,4800000.0,,,,,,,,,,4800000.0,4800000.0,,,,,,,,,,,,,,,,,,,,,,0.130065,,,,,,,,5149425.0,,,,,,,,,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.130065,,5149425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,19100000.0,,19100000.0,,,,,,,,,,,,,,,,,4900000.0,,,,,,,,2800000.0,,4900000.0,4900000.0,,,,,,,,,,2800000.0,,,,,,,,,,,,,,,,,0.510255,2600000.0,,,,,,,,,,,,,,,,,,,,,600000.0,,,,,,,,,,,,,,,,,0.510255,,,,,,,,,,,,,19100000.0,,,,,5095491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5095491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,4800000.0,,,,,,,,,,4800000.0,4800000.0,,,,,,,,,,,,,,,,,,,,,,0.115058,,,,,,,,5837081.0,,,,,,,,,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115058,,5837081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
