,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,annualInvestingCashFlow,trailingInvestingCashFlow,annualOtherNonCashItems,annualLongTermDebt,quarterlyOtherCurrentLiabilities,annualDepreciationAndAmortization,annualDilutedAverageShares,annualStockholdersEquity,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncome,trailingPretaxIncome,annualChangeInInventory,annualNetOtherInvestingChanges,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,annualDilutedEPS,annualPurchaseOfBusiness,annualPretaxIncome,annualNetIncome,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,annualBasicAverageShares,quarterlyRetainedEarnings,quarterlyCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,trailingGrossProfit,quarterlyCapitalStock,annualRepaymentOfDebt,annualGrossProfit,annualAccountsPayable,quarterlyOtherShortTermInvestments,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,quarterlyCashAndCashEquivalents,annualChangeInWorkingCapital,annualOperatingIncome,quarterlyCurrentLiabilities,trailingCostOfRevenue,annualEndCashPosition,annualGoodwill,annualInventory,quarterlyNetPPE,annualNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCapitalStock,annualPurchaseOfInvestment,annualTotalRevenue,annualInterestExpense,annualStockBasedCompensation,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualOperatingExpense,quarterlyGrossPPE,annualRepurchaseOfCapitalStock,trailingOperatingExpense,annualCapitalExpenditure,quarterlyTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,annualOtherNonCurrentAssets,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyAccountsPayable,trailingInterestExpense,quarterlyOtherCurrentAssets,trailingTaxProvision,trailingChangeInCashSupplementalAsReported,annualCashAndCashEquivalents,annualGrossPPE,annualOtherNonCurrentLiabilities,annualNetIncomeContinuousOperations,annualBeginningCashPosition,annualCostOfRevenue,trailingOperatingIncome,annualCurrentDebt,annualFreeCashFlow,annualCommonStockIssuance,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualNetPPE,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualTotalNonCurrentAssets,annualOtherCurrentAssets,quarterlyStockholdersEquity,annualEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualRetainedEarnings,quarterlyInventory,annualTotalAssets,annualTaxProvision,quarterlyAccountsReceivable,quarterlyGoodwill,annualNetIncomeCommonStockholders,quarterlyLongTermDebt,annualCurrentLiabilities,trailingNetIncomeCommonStockholders,annualBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,trailingRepurchaseOfCapitalStock,trailingBeginningCashPosition,quarterlyDepreciationAndAmortization,trailingNetOtherInvestingChanges,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,trailingRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,trailingNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,trailingCapitalExpenditure,quarterlyDilutedAverageShares,trailingSaleOfInvestment,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingCashDividendsPaid,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,trailingEndCashPosition,quarterlyOperatingIncome,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyDilutedEPS,quarterlyStockBasedCompensation,trailingPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,,-715344000.0,,517505000.0,730460000.0,,,2213678000.0,669367000.0,47574000.0,,,,116109000.0,,,,0.139565,,434116000.0,308953000.0,,,,,1541202000.0,,,2302970000.0,,,,-481950000.0,1109895000.0,1497234000.0,,,,,,560870000.0,,,77166000.0,,36582000.0,,0.0,0.0,50671000.0,684000.0,,1221624000.0,88808000.0,,-614307000.0,65054000.0,549025000.0,,,,-831453000.0,,,449438000.0,,815235000.0,,,,,,77166000.0,2321413000.0,27702000.0,308953000.0,26495000.0,111729000.0,,0.0,-313948000.0,,77166000.0,,558000.0,1707106000.0,805736000.0,517505000.0,2157102000.0,359550000.0,,809716000.0,,668953000.0,,2972337000.0,125163000.0,,,308953000.0,,1497234000.0,,0.200462,,,341937000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,,-1278483000.0,,1449512000.0,765475000.0,,,2213678000.0,1143765000.0,102770000.0,,,,-39946000.0,,,,0.276052,,773838000.0,611090000.0,,,,,1541202000.0,,,2681574000.0,,,,0.0,1874783000.0,1495083000.0,,,,,,813625000.0,,,382119000.0,,73858000.0,,0.0,25257000.0,307719000.0,684000.0,,1971688000.0,53460000.0,,-1146283000.0,89249000.0,1061158000.0,,,,-1238537000.0,,,94912000.0,,1165636000.0,,,,,,382119000.0,3633226000.0,238312000.0,611090000.0,77166000.0,96905000.0,,54677000.0,210975000.0,,382119000.0,,6043000.0,2486943000.0,1106557000.0,1449512000.0,2659703000.0,605863000.0,,1302470000.0,,1094058000.0,,3825339000.0,162748000.0,,,611090000.0,,1575017000.0,,0.396502,,,103796000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,,-881813000.0,,-70262000.0,1242963000.0,,,2213678000.0,1253446000.0,86400000.0,,,,-439000.0,,,,0.049907,,183939000.0,110477000.0,,,,,1541202000.0,,,2472686000.0,,,,-927345000.0,1043240000.0,863687000.0,,,,,,241219000.0,,,290271000.0,,76078000.0,,0.0,0.0,-91848000.0,830000.0,,1166827000.0,58832000.0,,-1568707000.0,62253000.0,802021000.0,,,,-881374000.0,,,0.0,,988030000.0,,,,,,290271000.0,4233850000.0,177213000.0,110477000.0,382119000.0,123587000.0,,102423000.0,-951636000.0,,290271000.0,,2599000.0,2665143000.0,1506576000.0,-70262000.0,2738102000.0,132110000.0,,688595000.0,,848707000.0,,3726132000.0,73462000.0,,,110477000.0,,966110000.0,,0.071682,,,489571000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,,0.0,-1001801000.0,,96125000.0,1191862000.0,0.0,528582000.0,2232467000.0,1959931000.0,8694000.0,,,41023000.0,-114000.0,99341000.0,0.0,-2097976000.0,0.19,,582569000.0,420864000.0,3070656000.0,-136532000.0,4226731000.0,1677000.0,1538264000.0,1023947000.0,1156075000.0,2266800000.0,,,17588000.0,-27114000.0,1678459000.0,775137000.0,,680033000.0,,680033000.0,136958000.0,634013000.0,919376000.0,,680033000.0,,36664000.0,3024482000.0,0.0,0.0,389762000.0,17588000.0,,1804976000.0,86788000.0,,-2097976000.0,78578000.0,1044446000.0,5122458000.0,,,-910244000.0,2266800000.0,,0.0,,1156075000.0,775137000.0,,29916000.0,,,680033000.0,5122458000.0,0.0,420864000.0,290271000.0,126517000.0,,99341000.0,104655000.0,605219000.0,680033000.0,,1677000.0,3024482000.0,1347424000.0,1014899000.0,3070656000.0,29916000.0,1959931000.0,1197939000.0,1347424000.0,1023947000.0,36664000.0,4226731000.0,161705000.0,398294000.0,,420864000.0,1191862000.0,919376000.0,,0.19,8694000.0,,398294000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,0.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,3551416000.0,,5969936000.0,4605000.0,,1232178000.0,2418520000.0,,,,17599000.0,,,,,1873546000.0,,1873546000.0,,,1121645000.0,,,,,3448218000.0,,,,,,,,,,,,,,,,3799102000.0,,,,,1039402000.0,,0.0,,,,,,,,,,,,,,,,,,,,,2170834000.0,,2677457000.0,,41322000.0,,,,,,2524589000.0,,,,15994000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,,354522000.0,-2476492000.0,,181691000.0,0.0,0.0,542002000.0,2643681000.0,2959149000.0,213447000.0,,,-17578000.0,44876000.0,,2548161000.0,-2628348000.0,0.42,-985925000.0,1399751000.0,1106072000.0,5895349000.0,-76842000.0,7426325000.0,584322000.0,2643681000.0,2003730000.0,1530976000.0,4463672000.0,,,17627000.0,-1319054000.0,2641647000.0,1495602000.0,,533029000.0,,533029000.0,-6419000.0,1099160000.0,1569830000.0,,533029000.0,,51837000.0,4827820000.0,2489730000.0,0.0,-136582000.0,17627000.0,-205271000.0,2827141000.0,234482000.0,,-2628348000.0,121769000.0,1542487000.0,7456168000.0,,,-1241908000.0,4463672000.0,,354522000.0,,1530976000.0,1495602000.0,,243042000.0,,,533029000.0,7456168000.0,2548161000.0,1105842000.0,680033000.0,185494000.0,,,4168000.0,0.0,533029000.0,,584322000.0,4827820000.0,2893842000.0,1246076000.0,5895349000.0,243042000.0,2959149000.0,2176235000.0,2893842000.0,2003730000.0,51837000.0,7426325000.0,293909000.0,,,1106072000.0,0.0,1569830000.0,,0.42,213447000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341014400,,0.0,,,,,669000.0,,,,,,,,,50000000.0,3007436000.0,,,,,,6672958000.0,,7669558000.0,560611000.0,,2230125000.0,996600000.0,,,,17629000.0,,,,,371955000.0,,371955000.0,,,1254416000.0,,,,,5889425000.0,,,,,,,,,,,,,,,,4425056000.0,,,,,1097369000.0,,3890000.0,,,,,,,,,,,,,,,,,,,,,3241414000.0,,3170640000.0,,54420000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,,0.0,-2026755000.0,,203677000.0,3327894000.0,0.0,861367000.0,2655404000.0,3463373000.0,260135000.0,,,-780000.0,2395000.0,60000000.0,45090000.0,-3442160000.0,0.2,-214320000.0,837037000.0,543966000.0,7610656000.0,-95070000.0,8912140000.0,597370000.0,2644812000.0,126665000.0,1301484000.0,5447957000.0,,,17629000.0,-50000000.0,3184015000.0,1404451000.0,418000.0,467164000.0,,467164000.0,-236060000.0,1085265000.0,1537565000.0,,467164000.0,6528000.0,52616000.0,6632652000.0,-7705000.0,0.0,-61436000.0,17629000.0,,3485616000.0,285307000.0,,-3442160000.0,150865000.0,2098750000.0,10074812000.0,-12530000.0,,-1820627000.0,5447957000.0,,0.0,,1301484000.0,1404451000.0,,41106000.0,,,467164000.0,10074812000.0,45090000.0,541272000.0,533029000.0,301601000.0,,60000000.0,-672906000.0,369000.0,467164000.0,418000.0,597370000.0,6632652000.0,3910392000.0,1147721000.0,7610656000.0,41106000.0,3463373000.0,1983711000.0,3910392000.0,126665000.0,52616000.0,8912140000.0,295765000.0,,6528000.0,543966000.0,3327894000.0,1537565000.0,,0.21,260135000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372550400,,0.0,,,,,0.0,,,,,,,,,60000000.0,51456000.0,,,,,,7949457000.0,,9144632000.0,582676000.0,,2424696000.0,1195175000.0,,,,854003000.0,,,,410000.0,320124000.0,,320124000.0,,,1341227000.0,,,,,7025495000.0,,,,,,,,,,,,,,,,5622436000.0,,,,,1237332000.0,,100000.0,,,,,,,,,,,,,,,,,,,,,3523676000.0,,4281209000.0,,56528000.0,,,,,,3627326000.0,,,,315263000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
