date,annualCurrentDebt,trailingTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalRevenue,annualCommonStockIssuance,annualFreeCashFlow,trailingTaxProvision,trailingEndCashPosition,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,trailingChangeInWorkingCapital,quarterlyGoodwill,trailingNetOtherFinancingCharges,annualOperatingIncome,annualCapitalExpenditure,annualRetainedEarnings,annualTaxProvision,annualEndCashPosition,annualTotalAssets,annualCurrentAssets,annualAccountsReceivable,trailingPurchaseOfInvestment,trailingInvestingCashFlow,annualDilutedEPS,quarterlyLongTermDebt,trailingCapitalExpenditure,annualOtherNonCurrentAssets,quarterlyTotalNonCurrentAssets,annualNetIncomeCommonStockholders,quarterlyTotalAssets,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualPretaxIncome,annualDilutedAverageShares,quarterlyAccountsReceivable,annualEbitda,quarterlyOtherNonCurrentAssets,annualOtherNonCurrentLiabilities,annualCashAndCashEquivalents,trailingNetOtherInvestingChanges,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCapitalStock,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualNetPPE,annualGrossProfit,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,annualOtherIntangibleAssets,annualCurrentLiabilities,annualRepaymentOfDebt,annualStockholdersEquity,annualBasicAverageShares,trailingDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyStockholdersEquity,annualGrossPPE,trailingNetIncomeCommonStockholders,quarterlyInvestmentsAndAdvances,trailingRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,annualOtherNonCashItems,quarterlyCapitalStock,annualChangeInCashSupplementalAsReported,annualInvestingCashFlow,trailingSaleOfInvestment,annualOtherCurrentLiabilities,annualDepreciationAndAmortization,trailingInterestExpense,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualInterestExpense,annualBeginningCashPosition,trailingBeginningCashPosition,annualCashDividendsPaid,quarterlyOtherCurrentAssets,annualNetIncome,annualPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualGoodwill,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,trailingOtherNonCashItems,annualPurchaseOfBusiness,trailingPurchaseOfBusiness,quarterlyOtherShortTermInvestments,annualNetIncomeContinuousOperations,annualBasicEPS,quarterlyCurrentAssets,annualOperatingExpense,trailingNetIncome,trailingOperatingExpense,quarterlyRetainedEarnings,quarterlyNetPPE,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,annualCurrentDeferredRevenue,quarterlyOperatingIncome,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,quarterlyBasicEPS,trailingResearchAndDevelopment,quarterlyCurrentAccruedExpenses,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingOtherIncomeExpense,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyNetIncomeContinuousOperations,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyChangeInInventory,annualInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,annualIncomeTaxPayable,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,trailingGrossProfit,trailingDilutedEPS,annualCashFlowFromContinuingFinancingActivities,annualGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,annualChangeInInventory,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,trailingBasicEPS,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyInventory,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,trailingCashDividendsPaid,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingChangeInInventory,quarterlyNetIncome,trailingCostOfRevenue,quarterlyGrossProfit,annualOtherIncomeExpense,quarterlyPretaxIncome,trailingDeferredIncomeTax,quarterlyCostOfRevenue,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,trailingSellingGeneralAndAdministration,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2012-12-31,,58663136000.0,145428590000.0,8143157000.0,2391784000.0,3525844000.0,25151511000.0,10368648000.0,-5614494000.0,7448891000.0,78824152000.0,,2603480000.0,,,-42559983000.0,,1169519000.0,22909432000.0,-598556000.0,15426502000.0,2378727000.0,31093404000.0,254614358000.0,103611771000.0,5257293000.0,-230240791000.0,-7315293000.0,0.206049,,-3358519000.0,7281174000.0,,7306250000.0,,99030901000.0,31839416000.0,9595863000.0,35458864035.0,,13742593000.0,,37337643000.0,47822958000.0,-7411966000.0,,3025494000.0,20381791000.0,43633514000.0,,-21781974000.0,,30140024000.0,,,-5015938000.0,3649012000.0,29943424000.0,,151002587000.0,137154000.0,48301025000.0,-4636659000.0,54773568000.0,35458864035.0,1319016000.0,,,4920731000.0,11024024000.0,,-91160592000.0,-22126386000.0,1304271000.0,,15883852000.0,-4908705000.0,218110186000.0,0.0,449111000.0,46498866000.0,,95687156000.0,3697619000.0,15210071000.0,100950538000.0,-1806410000.0,,7306250000.0,-45126079000.0,,-1271719000.0,900738000.0,361591000.0,-10781896000.0,12932900000.0,13430319000.0,-774919000.0,-2639573000.0,,7217136000.0,0.206049,,14000762000.0,12101074000.0,31699244000.0,,,356745000.0,193729615000.0,-25140493000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,,269667785000.0,8066438000.0,2720323000.0,1997859000.0,33539476000.0,14974565000.0,10092759000.0,,,,2353936000.0,269667785000.0,8066438000.0,,323721000.0,,32021937000.0,-488563000.0,18874633000.0,2671071000.0,48192046000.0,383785407000.0,182999680000.0,6448944000.0,,,0.3,192032683000.0,,8927535000.0,200785727000.0,9027278000.0,383785407000.0,116945586000.0,14911000000.0,11772043000.0,30458426000.0,6448944000.0,20019588000.0,8927535000.0,67692964000.0,61267448000.0,,301023286000.0,10812640000.0,,57890180000.0,450849000.0,,57890180000.0,35458864000.0,-1464126000.0,61267448000.0,10581322000.0,3802833000.0,39692869000.0,159608000.0,200785727000.0,159608000.0,31355501000.0,-5177632000.0,75998270000.0,30416895000.0,,,75998270000.0,5266959000.0,,116945586000.0,,,1643737000.0,35458864000.0,17060772000.0,-12926167000.0,,0.0,443789000.0,,67692964000.0,192032683000.0,7803756000.0,31093404000.0,,-1613059000.0,1997859000.0,9027278000.0,-42303173000.0,0.0,-1464126000.0,869443000.0,323721000.0,122594000.0,,,-1538666000.0,,,9100972000.0,0.3,182999680000.0,15774467000.0,,,18874633000.0,3802833000.0,450849000.0,301023286000.0,,5266959000.0,31355501000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,,,,,,,,,,,,254842122000.0,10616411000.0,,324827000.0,,,,,,,,,,,,,236345899000.0,,,59027402000.0,,482155590000.0,,,,,5995679000.0,,4509472000.0,,,,391377249000.0,,,,,,165463703000.0,,,71056379000.0,,,,147975000.0,,,,,,,,41996053000.0,83808081000.0,,,116492285000.0,,,,36256690000.0,,,,,,,2277000000.0,,,,,,2042483000.0,,,32412902000.0,,,,,,,,,97829216000.0,,,423128188000.0,,,,23789745000.0,3763003000.0,,,,3763003000.0,136535127000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,43694852000.0,,297905457000.0,16361664000.0,2824007000.0,8145163000.0,42151675000.0,2183740000.0,-27771965000.0,,,154469289000.0,-640768000.0,297905457000.0,16361664000.0,,324109000.0,,42028248000.0,-359678000.0,28366310000.0,4163950000.0,34476920000.0,544427417000.0,475583839000.0,6364638000.0,,,0.33,264438469000.0,,12544062000.0,68843578000.0,11896243000.0,544427417000.0,177201338000.0,31649348000.0,16306699000.0,36247186000.0,6364638000.0,32724180000.0,12544062000.0,11827000000.0,54334061000.0,,442564155000.0,11068707000.0,,155390848000.0,,,155390848000.0,36256690000.0,-1654457000.0,54334061000.0,-27412287000.0,3815594000.0,56966055000.0,183978000.0,68843578000.0,183978000.0,144658698000.0,-18069829000.0,93368858000.0,36243575000.0,,43694852000.0,93368858000.0,5470051000.0,,177201338000.0,,,2709840000.0,36256690000.0,-13970138000.0,-21049505000.0,,84665449000.0,456360000.0,,11827000000.0,264438469000.0,15961121000.0,48192046000.0,,-1202804000.0,8145163000.0,11896243000.0,-64850754000.0,84665449000.0,-1654457000.0,7899628000.0,324109000.0,-39866878000.0,,,-3378453000.0,,154469289000.0,12142749000.0,0.33,475583839000.0,19600078000.0,,,28366310000.0,3815594000.0,,442564155000.0,,5470051000.0,144658698000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,,,,,,,,,,,320930807000.0,32204844000.0,,324109000.0,,,,,,,,,,,,,273491241000.0,,,70424152000.0,,657957433000.0,,,,,4932437000.0,,14604040000.0,,,,547401668000.0,,,,,,265592253000.0,,,86913145000.0,,,,211871000.0,,,,,,,,92128758000.0,100533595000.0,,,206687397000.0,,,,36256690000.0,,,,,,,3335861000.0,,,,,,8218103000.0,,,121103202000.0,,,,,,,,,215642123000.0,,,587533281000.0,,,,30783375000.0,3710845000.0,,,,3710845000.0,226470861000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,111773372000.0,,356128932000.0,25796277000.0,5587055000.0,8231939000.0,56824089000.0,0.0,-19191887000.0,,,268874008000.0,278005000.0,356128932000.0,25796277000.0,,392935000.0,,46104586000.0,-1077136000.0,35646222000.0,4594014000.0,63102681000.0,713974675000.0,624407486000.0,3434791000.0,,,0.39,318056708000.0,,2551992000.0,89567189000.0,14027474000.0,713974675000.0,271874771000.0,93471173000.0,19297900000.0,36256690000.0,3434791000.0,39891503000.0,2551992000.0,1807000000.0,68027984000.0,,603080746000.0,17058222000.0,,326943978000.0,,,326943978000.0,36256690000.0,-1855026000.0,68027984000.0,-18114751000.0,4043104000.0,73157084000.0,190408000.0,89567189000.0,190408000.0,246951814000.0,-24969931000.0,101710221000.0,36256690000.0,,111773372000.0,101710221000.0,5898130000.0,,271874771000.0,,,9930547000.0,36256690000.0,28790836000.0,-24266835000.0,,54840095000.0,408287000.0,,1807000000.0,318056708000.0,20185316000.0,34476920000.0,,-3596648000.0,8231939000.0,14027474000.0,-137919617000.0,54840095000.0,-1855026000.0,15238739000.0,392935000.0,-36599187000.0,,,-4988971000.0,,268874008000.0,14703886000.0,0.39,624407486000.0,31167705000.0,,,35646222000.0,4043104000.0,,603080746000.0,,5898130000.0,246951814000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,602603357000.0,217383404000.0,,22487665000.0,,,,,,,,,,,,,350171331000.0,,,140153180000.0,,1008831955000.0,,,,,2191849000.0,,28558755000.0,,,,896082301000.0,,,,,,435534670000.0,,,113992730000.0,,,,4403139000.0,,,,,,,,136489698000.0,104341582000.0,,,369634290000.0,,,,36256690000.0,,,,,,,19758575000.0,,,,,,26777703000.0,,,150010179000.0,,,,,,,,,350045718000.0,,,868678775000.0,,,,36514750000.0,9896813000.0,,,,9896813000.0,293478944000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,152497560000.0,,723671832000.0,226077864000.0,8455785000.0,104126415000.0,65314050000.0,5419433000.0,55048746000.0,,,403515344000.0,-2874448000.0,723671832000.0,226077864000.0,,23524019000.0,,51337063000.0,-1295061000.0,42688440000.0,5783491000.0,84107649000.0,1174480923000.0,1022255655000.0,3522114000.0,,,0.43,451500821000.0,,23648060000.0,152225268000.0,15512155000.0,1174480923000.0,393740603000.0,92271577000.0,21765502000.0,36272328000.0,3522114000.0,45729770000.0,23648060000.0,36885973000.0,122620455000.0,,1026510902000.0,-13960893000.0,,420883309000.0,,,420883309000.0,38164535000.0,-2171873000.0,122620455000.0,56343807000.0,10433524000.0,83201442000.0,4511084000.0,152225268000.0,4511084000.0,302839070000.0,-29576448000.0,139216721000.0,36272328000.0,,152497560000.0,139216721000.0,12605397000.0,,393740603000.0,,,15238858000.0,38164535000.0,20544394000.0,-116037307000.0,,138995379000.0,740425000.0,,36885973000.0,451500821000.0,23223843000.0,63102681000.0,,-4237266000.0,104126415000.0,15512155000.0,-174716250000.0,138995379000.0,-2171873000.0,19671410000.0,23524019000.0,35163843000.0,,,-33553228000.0,,403515344000.0,15982011000.0,0.43,1022255655000.0,38197802000.0,,,42688440000.0,10433524000.0,,1026510902000.0,,12605397000.0,302839070000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,,,,,,,789226884000.0,230777648000.0,,22833631000.0,,,,,,,,,,,,,513302048000.0,,,172790346000.0,,1295566430000.0,,,,,3049369000.0,,38312010000.0,,,,1133971005000.0,,,,,,472582763000.0,,,138897597000.0,,,,4287580000.0,,,,,,,,200057212000.0,142989545000.0,,,467254926000.0,,,,38164535000.0,,,,,,,37291352000.0,,,,,,122930383000.0,,,137095075000.0,,,,,,,,,471578375000.0,,,1122776084000.0,,,,45078196000.0,10088621000.0,,,,10088621000.0,344744121000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,,,245104906000.0,,,78059529000.0,0.0,52458683000.0,,,,4209481000.0,,245104906000.0,,22002517000.0,,,-1272634000.0,50949383000.0,7372990000.0,119930341000.0,1386937549000.0,,,,,0.45,,,,,18122390000.0,1386937549000.0,570056979000.0,192463810000.0,26130816000.0,38164535000.0,,,,,97251675000.0,,1218672887000.0,-10565179000.0,,,,,,38164535000.0,-2490994000.0,97251675000.0,53731317000.0,9736861000.0,,4084927000.0,,4084927000.0,,-38224996000.0,149394484000.0,38164535000.0,,,149394484000.0,12227855000.0,,570056979000.0,,,11520780000.0,38164535000.0,37367917000.0,-74841735000.0,,,853972000.0,,,,35911078000.0,84107649000.0,,-5700353000.0,,18122390000.0,-247664454000.0,,-2490994000.0,,22002517000.0,35036726000.0,,,-26730361000.0,,,18757826000.0,0.45,,44516116000.0,,,50949383000.0,9736861000.0,,1218672887000.0,,12227855000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
