,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,trailingChangeInCashSupplementalAsReported,annualChangeInCashSupplementalAsReported,annualGrossPPE,trailingNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,quarterlySaleOfInvestment,annualNetIncomeCommonStockholders,annualBeginningCashPosition,quarterlyChangeInInventory,annualInterestExpense,annualDilutedAverageShares,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,trailingRepaymentOfDebt,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualCapitalExpenditure,annualDilutedEPS,trailingGrossProfit,quarterlyCapitalStock,annualRepaymentOfDebt,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualBasicAverageShares,quarterlyDilutedEPS,trailingInterestExpense,quarterlyRepaymentOfDebt,annualInventory,quarterlyTaxProvision,trailingTaxProvision,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyNetPPE,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,trailingChangeInInventory,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualTotalRevenue,trailingDepreciationAndAmortization,annualCapitalStock,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualCurrentDebt,annualFreeCashFlow,quarterlyRetainedEarnings,annualAccumulatedDepreciation,annualTotalLiabilitiesNetMinorityInterest,quarterlyRepurchaseOfCapitalStock,trailingOperatingExpense,annualDeferredIncomeTax,trailingSellingGeneralAndAdministration,annualGrossProfit,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,annualOperatingExpense,annualChangeInWorkingCapital,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,trailingNetIncomeContinuousOperations,trailingPurchaseOfBusiness,trailingFreeCashFlow,quarterlyCurrentLiabilities,trailingBeginningCashPosition,quarterlyGrossPPE,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyCurrentAssets,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,trailingNetIncome,annualGoodwill,annualTotalAssets,quarterlyTotalAssets,annualRetainedEarnings,annualNetIncome,trailingPretaxIncome,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,annualPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,annualAccountsReceivable,annualPretaxIncome,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualCashDividendsPaid,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,trailingChangeInWorkingCapital,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,trailingInvestingCashFlow,annualAccountsPayable,annualOtherNonCashItems,annualOtherCurrentAssets,quarterlySellingGeneralAndAdministration,annualDepreciationAndAmortization,trailingTotalRevenue,annualLongTermDebt,annualOperatingIncome,trailingStockBasedCompensation,trailingCommonStockIssuance,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualEndCashPosition,trailingEndCashPosition,quarterlyDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,annualTaxProvision,quarterlyInventory,quarterlyOtherIncomeExpense,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyPurchaseOfInvestment,annualBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,trailingChangeInAccountPayable,quarterlyInterestExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,trailingOperatingCashFlow,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyOperatingExpense,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,annualCommonStockIssuance,trailingOperatingIncome,quarterlyOtherIntangibleAssets,annualInvestmentsAndAdvances,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,annualEbitda,annualOperatingCashFlow,quarterlyOtherNonCurrentAssets,annualOtherNonCurrentAssets,annualCashAndCashEquivalents,annualCurrentAssets,annualNetOtherInvestingChanges,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingDeferredIncomeTax,quarterlyOtherShortTermInvestments,trailingChangesInAccountReceivables,trailingDilutedEPS,annualChangesInAccountReceivables,trailingNetOtherInvestingChanges,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,annualOtherShortTermInvestments,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingSaleOfInvestment,trailingOtherIncomeExpense,trailingPurchaseOfInvestment,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765072000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08012,,,,,,,,,18100000.0,,,,,,,,,,,,,,,,,,,,,,,,16268665.0,,,,,,,18100000.0,,18100000.0,,,,,,,,,,,,,,,,,,,,,,,,0.086055,,,,,,,,,,,,,,1400000.0,,1400000.0,,,,,,,,,,,,,,,,17473789.0,,,,,,,,,,,,,,,,,,,,,1400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772934400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08012,,,,,,,,,44900000.0,,,,,,,,,,,,,,,,,,,,,,,,16268665.0,,,,,,,44900000.0,,44900000.0,,,,,,,,,,,,,,,,,,,,,,,,0.086055,,,,,,,,,,,,,,1400000.0,,1400000.0,,,,,,,,,,,,,,,,17473789.0,,,,,,,,,,,,,,,,,,,,,1400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780883200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.050446,,,,,,,,,28600000.0,,,,,,,,,,,,,,,,,,,,,,,,15858542.0,,,,,,,28600000.0,,28600000.0,,,,,,,,,,,,,,,,,,,,,,,,-0.050446,,,,,,,,,,,,,,-800000.0,,-800000.0,,,,,,,,,,,,,,,,16849909.0,,,,,,,,,,,,,,,,,,,,,-800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788832000,,300000.0,,-100000.0,1700000.0,,100000.0,,1100000.0,900000.0,,4200000.0,16849716.0,,,17100000.0,,6400000.0,,-100000.0,,-400000.0,0.065283,,,,31000000.0,800000.0,,3000000.0,2800000.0,,16117216.0,,,,13300000.0,,,2000000.0,-5600000.0,1300000.0,-85500000.0,-400000.0,,,1100000.0,77100000.0,102000000.0,,,,,0.0,,2000000.0,0.0,1100000.0,-400000.0,47700000.0,,,300000.0,,24900000.0,,,18700000.0,-3500000.0,,,,,-85500000.0,2800000.0,10300000.0,,,,11200000.0,,1700000.0,,,19700000.0,,,400000.0,,,,50700000.0,50700000.0,1100000.0,1100000.0,,,36000000.0,100000.0,,,,,,1900000.0,,,,,31000000.0,,,-2500000.0,-800000.0,,-800000.0,,6400000.0,100000.0,300000.0,,1600000.0,,36000000.0,6200000.0,,,36500000.0,3000000.0,0.0,,,,800000.0,13300000.0,,11200000.0,,,0.06825,400000.0,800000.0,2000000.0,,,36500000.0,,,,,,,-800000.0,,,26700000.0,,,,,800000.0,26700000.0,,1300000.0,,47700000.0,7800000.0,400000.0,3000000.0,3000000.0,800000.0,19700000.0,-2100000.0,,,,,,,,,,,,,,,,,,,,,,,,
796608000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09199,,,,,,,,,25800000.0,,,,,,,,,,,,,,,,,,,,,,,,15858542.0,,,,,,,25800000.0,,25800000.0,,,,,,,,,,,,,,,,,,,,,,,,0.100892,,,,,,,,,,,,,,1600000.0,,1600000.0,,,,,,,,,,,,,,,,17393195.0,,,,,,,,,,,,,,,,,,,,,1600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804470400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09199,,,,,,,,,66700000.0,,,,,,,,,,,,,,,,,,,,,,,,15858542.0,,,,,,,66700000.0,,66700000.0,,,,,,,,,,,,,,,,,,,,,,,,0.100892,,,,,,,,,,,,,,1600000.0,,1600000.0,,,,,,,,,,,,,,,,17393195.0,,,,,,,,,,,,,,,,,,,,,1600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053413,,,,,,,,,47200000.0,,,,,,,,,,,,,,,,,,,,,,,,16095203.0,,,,,,,47200000.0,,47200000.0,,,,,,,,,,,,,,,,,,,,,,,,0.053413,,,,,,,,,,,,,,900000.0,,900000.0,,,,,,,,,,,,,,,,17117151.0,,,,,,,,,,,,,,,,,,,,,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,,600000.0,,1200000.0,4500000.0,,0.0,,1500000.0,800000.0,,5100000.0,17117151.0,,,26900000.0,,12700000.0,,-600000.0,,-900000.0,0.097924,,,,35500000.0,2000000.0,,32300000.0,3100000.0,,16095203.0,,,,25200000.0,,,12300000.0,-3700000.0,3500000.0,-130200000.0,-1000000.0,,,2300000.0,122600000.0,161100000.0,,,,,-200000.0,,2900000.0,-100000.0,2700000.0,-1000000.0,43100000.0,,,900000.0,,38500000.0,,,29000000.0,-6300000.0,,,,,-130200000.0,3100000.0,21400000.0,,,,18700000.0,,4500000.0,,,39900000.0,,,800000.0,,,,75400000.0,75400000.0,2700000.0,1500000.0,,,23600000.0,0.0,,,,,,3800000.0,,,,,35500000.0,,,-11800000.0,-1800000.0,,-2600000.0,,12700000.0,100000.0,600000.0,,2100000.0,,23600000.0,9500000.0,,,24400000.0,32300000.0,0.0,,,,1500000.0,25200000.0,,18700000.0,,,0.103859,800000.0,2000000.0,2900000.0,,,24400000.0,,,,,,,-2600000.0,20500000.0,,29700000.0,,,,,2000000.0,29700000.0,,3500000.0,,43100000.0,11600000.0,800000.0,2300000.0,2300000.0,2000000.0,39900000.0,-11000000.0,,,,,,,,,,,,,,,,,,,,,,,,
828230400,0.0,700000.0,,,,,,,,,,,,9200000.0,,,,42700000.0,,,2000000.0,,,,,,,4400000.0,,32400000.0,,,,0.002967,,,,100000.0,,,,3600000.0,900000.0,-1000000.0,,,,,,,,,,,,,,2800000.0,,,,,,,,5100000.0,33704078.0,,,-2800000.0,,-300000.0,-2500000.0,700000.0,4900000.0,41100000.0,,,,51100000.0,,4600000.0,200000.0,,77100000.0,,,,,,,,112400000.0,,,,,28100000.0,-100000.0,0.002967,,-2800000.0,2400000.0,,,31900000.0,,,,35300000.0,200000.0,,,100000.0,,100000.0,,,,,8300000.0,,,,,,,28900000.0,,,,33704078.0,,,45200000.0,100000.0,,,,,900000.0,4400000.0,3500000.0,,600000.0,,,,,0.0,8500000.0,,100000.0,,,29500000.0,,0.0,-300000.0,,,,,,,80000000.0,,,2200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
