,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyGrossProfit,annualNetIncomeContinuousOperations,annualDilutedAverageShares,annualCashAndCashEquivalents,annualOperatingExpense,quarterlyTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,annualCurrentAccruedExpenses,annualCapitalExpenditure,trailingOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,annualTaxProvision,annualInterestExpense,quarterlyChangeInInventory,annualDilutedEPS,quarterlySellingGeneralAndAdministration,trailingCostOfRevenue,annualChangesInAccountReceivables,annualTotalRevenue,quarterlyOtherNonCashItems,annualCurrentAssets,quarterlyStockBasedCompensation,quarterlyEbitda,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualCommonStockIssuance,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,trailingNetIncomeCommonStockholders,annualChangeInWorkingCapital,quarterlyGoodwill,quarterlyCurrentLiabilities,annualRetainedEarnings,quarterlyPretaxIncome,annualTotalAssets,trailingNetIncome,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,annualBeginningCashPosition,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,annualNetIncome,annualLongTermDebt,annualCurrentDebt,annualCostOfRevenue,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualTotalNonCurrentAssets,annualBasicAverageShares,trailingTaxProvision,annualSellingGeneralAndAdministration,annualFreeCashFlow,quarterlyNetOtherFinancingCharges,annualStockholdersEquity,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,annualOtherNonCashItems,annualInvestingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyNetPPE,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCurrentDeferredRevenue,annualOperatingCashFlow,quarterlyOtherIncomeExpense,annualCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,annualPurchaseOfInvestment,trailingGrossProfit,quarterlyLongTermDebt,quarterlyOperatingExpense,annualNetPPE,quarterlyAccountsReceivable,annualCurrentLiabilities,annualOtherIntangibleAssets,annualStockBasedCompensation,quarterlyInventory,annualGrossProfit,annualGoodwill,annualInventory,annualSaleOfInvestment,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,annualBasicEPS,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,annualEbitda,quarterlyCapitalStock,quarterlyFreeCashFlow,annualOtherIncomeExpense,annualGainsLossesNotAffectingRetainedEarnings,annualOtherCurrentLiabilities,annualOperatingIncome,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,trailingInterestExpense,annualPretaxIncome,annualEndCashPosition,trailingTotalRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,annualAccountsPayable,trailingOtherIncomeExpense,quarterlyTotalNonCurrentAssets,annualGrossPPE,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,annualInvestmentsAndAdvances,trailingOperatingIncome,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,annualChangeInAccountPayable,trailingFreeCashFlow,trailingEndCashPosition,trailingCashDividendsPaid,trailingDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,annualResearchAndDevelopment,trailingChangeInWorkingCapital,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherFinancingCharges,trailingInvestingCashFlow,annualCashDividendsPaid,trailingBasicEPS,trailingCommonStockIssuance,quarterlyDeferredIncomeTax,trailingChangeInAccountPayable,trailingOperatingCashFlow,annualDeferredIncomeTax,trailingDepreciationAndAmortization,trailingDeferredIncomeTax,trailingStockBasedCompensation,annualRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,trailingChangesInAccountReceivables,trailingRepaymentOfDebt,trailingPurchaseOfInvestment,trailingOtherNonCashItems,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,,,,,-7669680000.0,194745768.0,,32854878000.0,,,,-3161000000.0,,,,,,,-648521000.0,39307000.0,,-4.367823,,,-6979944000.0,39585761000.0,,,,,-764334000.0,,,,,,,,-559771000.0,,,,,,4675030000.0,,,,,,,,,,,,,,7152546000.0,,,-764334000.0,,,14523556000.0,,,,174992000.0,,30442762000.0,-2274988000.0,,,,,,,,,,-1277754000.0,-27419000.0,-2801018000.0,,,,,,-155807000.0,2160321000.0,8026965000.0,,,,886012000.0,,,,,,-3224276000.0,,,,,,,,804438000.0,,25062205000.0,,,3794698000.0,,,,,,-4.367823,-2720662000.0,,,-6118573000.0,,,-553370000.0,,,-7792673000.0,141895000.0,6111959000.0,,,,-8318201000.0,13362084000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,,,,,-887759000.0,194745768.0,20254455000.0,50604186000.0,,,6325277000.0,-5149642000.0,,,,,,,7150566000.0,137092000.0,,21.602467,,,-13133354000.0,86366269000.0,,49364709000.0,,,4206989000.0,173658000.0,-4460052000.0,4852927000.0,,,0.0,812926000.0,-8268711000.0,,,,,,6758279000.0,,,-11622496000.0,,85663856000.0,,,,,73152888000.0,,,,13362084000.0,,,4206989000.0,510000000.0,23602330000.0,29346785000.0,9332915000.0,1966011000.0,36299147000.0,174992000.0,,46563437000.0,7306328000.0,,12496084000.0,,,,,,,,-8462784000.0,50832000.0,-12967066000.0,,,,,443173000.0,-1928266000.0,2870997000.0,6492312000.0,,,,12455970000.0,,12596198000.0,,,,-2137591000.0,,,,9655519000.0,,68299961000.0,224003000.0,2974692000.0,,57019484000.0,2410555000.0,2108470000.0,1474308000.0,,,,,,24.041036,-986500000.0,9037000.0,,9270896000.0,,,-101710000.0,3750723000.0,3241816000.0,6415298000.0,-203314000.0,5981216000.0,,21067381000.0,,6262807000.0,20254455000.0,,,,,19368920000.0,,,14115571000.0,,,6224147000.0,,,,15840282000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427760000,,,-4945365000.0,19480599000.0,,,,,,,,,,,1423594000.0,28104146000.0,,,,,34549000.0,,14017576000.0,,,,281000.0,,2287458000.0,1993931000.0,,,,,-6754729000.0,20876660000.0,,,,,,,,,,,,,1184882000.0,,,-3363572000.0,-94006000.0,,,,-515944000.0,-10.791219,,,,,,,,,,,,,,,143821000.0,,,,15130497000.0,23624000.0,,,-917150000.0,,,,-1888377000.0,-1757063000.0,-7537590000.0,,,,,,838178000.0,2941945000.0,,,-238431000.0,,,,,,,,18057005000.0,,,,,,,,,,,-10.791219,174992000.0,,8623547000.0,20254455000.0,,,,194745768.0,,,-8454740000.0,,,,,,,,,,,,,,,83862000.0,,,,,-2463863000.0,785425000.0,,,-1888377000.0,,,,-720723000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,,6325674000.0,17689532000.0,,,,,,,,,,,-2357515000.0,28070358000.0,,,,,-506258000.0,,16007781000.0,,,,7271000.0,,3068014000.0,-1140920000.0,,,,,-1522348000.0,24536157000.0,,,,,,,,,,,,,-2228530000.0,,,-320168000.0,-35898000.0,,,,-122875000.0,-19.4409,,,,,,,,,,,,,,,-1605000.0,,,,-821820000.0,26383000.0,,,-1333559000.0,,,,-3402002000.0,-998211000.0,5564921000.0,,,,,,3220753000.0,-1230319000.0,,,136256000.0,,,,,,,,20047047000.0,,,,,,,,,,,-19.4409,174992000.0,,10380826000.0,20876660000.0,,,,194745768.0,,,4231362000.0,,,,,,,,,,,,,,,542571000.0,,,,,-406032000.0,1061227000.0,,,-3402002000.0,,,,414333000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443571200,,,-183407000.0,20882332000.0,,,,,,,,,,,2113333000.0,31899163000.0,,,,,543889000.0,,14559761000.0,,,,15819000.0,,2978301000.0,3410830000.0,,,,,-325493000.0,28915005000.0,,,,,,,,,,,,,2373230000.0,,,-21621000.0,224716000.0,,,,-370375000.0,-13.013749,,,,,,,,,,,,,,,5723000.0,,,,4636578000.0,28000000.0,,,-1038218000.0,,,,-2277302000.0,-202352000.0,1588030000.0,,,,,,5899115000.0,2575582000.0,,,275521000.0,,,,,,,,18768999000.0,,,,,,,,,,,-13.013749,174992000.0,,11016831000.0,24536157000.0,,,,194745768.0,,,549812000.0,,,,,,,,,,,,,,,1148088000.0,,,,,-640765000.0,1009600000.0,,,-2277302000.0,,,,453695000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,,22983242000.0,6970537000.0,18268555000.0,-384114000.0,194745768.0,33652250000.0,74360892000.0,104626346000.0,,7019114000.0,-5696120000.0,,5368524000.0,780714000.0,32331864000.0,3018891000.0,18202919000.0,-146004000.0,105668000.0,510077000.0,0.38,23250244000.0,,-3066618000.0,120405531000.0,11710000.0,65172865000.0,2878857000.0,-631081000.0,75076000.0,158521000.0,-7702169000.0,8748630000.0,-3626007000.0,33652250000.0,,341403000.0,143273000.0,8748630000.0,17743295000.0,-19204203000.0,341403000.0,,8167439000.0,3120767000.0,95877716000.0,-19204203000.0,-1859700000.0,122159231000.0,,-1225100000.0,292894000.0,65172865000.0,104626346000.0,-7702169000.0,-81917000.0,,20254455000.0,8284000.0,2454776000.0,-7581801000.0,0.0,42974553000.0,44084513000.0,17337810000.0,2454776000.0,56986366000.0,174992000.0,,67835362000.0,1283350000.0,-4666000.0,17743295000.0,158521000.0,18888133000.0,-85360000.0,27661000.0,42974553000.0,,-2407193000.0,-4930461000.0,35081000.0,-12228577000.0,-14120000.0,2573512000.0,7364109000.0,10500750000.0,1843944000.0,582257000.0,4057210000.0,18859895000.0,3652742000.0,-4433212000.0,17337810000.0,6979470000.0,-2628509000.0,12596198000.0,1843944000.0,2162889000.0,,-4511696000.0,,0.0,17487841000.0,10500750000.0,,95877716000.0,1011531000.0,11212630000.0,1475939000.0,76321018000.0,3120767000.0,1475939000.0,2521994000.0,,,7019114000.0,14063309000.0,28915005000.0,0.44,-1091111000.0,8284000.0,,3632760000.0,12596198000.0,4956916000.0,-2455163000.0,5368524000.0,2162889000.0,1960126000.0,387706000.0,13610788000.0,,33993653000.0,,-530118000.0,33652250000.0,,33652250000.0,33993653000.0,747473000.0,22983242000.0,,56986366000.0,18202919000.0,-1001036000.0,1200958000.0,3018891000.0,122159231000.0,7642757000.0,1011531000.0,18888133000.0,,-3213923000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459382400,,21870091000.0,1389296000.0,22808879000.0,,,,,99397159000.0,,,,,4870329000.0,5337985000.0,33455853000.0,1320204000.0,,,,314410000.0,,13481462000.0,,,,-3202000.0,,2493754000.0,5134610000.0,,,,,-1928504000.0,35081614000.0,,,,8537906000.0,19616581000.0,-19301340000.0,284073000.0,,,3715512000.0,90859253000.0,,4143010000.0,,,-432101000.0,2624000.0,62735845000.0,,,-247500000.0,7.97,,8533672000.0,2657472000.0,,,,,,,,,,,,-1535000.0,,170957000.0,17509579000.0,-683388000.0,23625000.0,42320500000.0,,-785730000.0,,,,-122273000.0,1406270000.0,4264071000.0,9974252000.0,,,,,1652179000.0,2736740000.0,9433748000.0,,-1198177000.0,,1711005000.0,10376661000.0,,,,202224000.0,17470894000.0,,,,,,1080709000.0,,,,,8.87,174992000.0,4930840000.0,10646974000.0,33652250000.0,,,,194745768.0,,12596198000.0,3478341000.0,,,,,,,,,,,,,35081614000.0,35365687000.0,100730000.0,,,55885606000.0,,-814027000.0,967975000.0,,118621451000.0,1552461000.0,1079676000.0,,,3645179000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,18704889000.0,122799000.0,23236691000.0,,,,,101353489000.0,,,,,3575430000.0,8029296000.0,33853755000.0,3777847000.0,,,,65040000.0,,14162758000.0,,,,3442000.0,,2466852000.0,7827075000.0,,,,,1166881000.0,43048750000.0,,,,7764494000.0,23470547000.0,-16611310000.0,485238000.0,,,3399680000.0,93588995000.0,,6544490000.0,,,-904368000.0,-23722000.0,70173207000.0,,,0.0,12.769782,,202718000.0,2749061000.0,,,,,,,,,,,,0.0,,333139000.0,17952794000.0,0.0,16793000.0,42320500000.0,,-1996994000.0,,,,2681552000.0,3126144000.0,7598575000.0,8445761000.0,,,,,8765456000.0,3418346000.0,9503805000.0,,-1481364000.0,,1327490000.0,12220076000.0,,,,202718000.0,15207395000.0,,,,,,922512000.0,,,,,12.769782,209992000.0,6205874000.0,10617064000.0,35081614000.0,,,,209992000.0,,12596198000.0,5601581000.0,,,,,,,,,,,,,43048750000.0,43533988000.0,207407000.0,,,54877753000.0,,-1169925000.0,1265792000.0,,125050960000.0,2681552000.0,1598835000.0,,,586322000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475193600,,17945717000.0,-528214000.0,25038044000.0,,,,,61319593000.0,,,,,3978499000.0,4926566000.0,35929724000.0,3094466000.0,,,,107266000.0,,14454390000.0,,,,2475000.0,,2352780000.0,6020909000.0,,,,,-3297797000.0,129514949000.0,,,,8420688000.0,156480223000.0,-13834230000.0,775161000.0,,,3399680000.0,52898905000.0,,4578207000.0,,,-788060000.0,3896000.0,160399017000.0,,,-262500000.0,12.06,,0.0,2830599000.0,,,,,,,,,,,,-701514000.0,,284118000.0,19075172000.0,85111210000.0,17526000.0,261222000.0,,-690620000.0,,,,2755264000.0,2914587000.0,4484378000.0,8285854000.0,,,,,86297791000.0,1663620000.0,19547710000.0,,-345884000.0,,1461265000.0,4570253000.0,,,,,20111478000.0,,,,,,840039000.0,,,,,13.23,208310694.0,6744923000.0,10891680000.0,43048750000.0,,,,228419986.0,,77316239000.0,3793758000.0,,,,,,,,,,,,,129514949000.0,130290110000.0,178810000.0,,,57689399000.0,,-2024849000.0,1425176000.0,,218088416000.0,2755264000.0,1662996000.0,,,-2384677000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
