,annualInvestmentsAndAdvances,quarterlyDeferredIncomeTax,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyGrossProfit,annualDilutedEPS,trailingNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualSellingGeneralAndAdministration,annualCashAndCashEquivalents,trailingDeferredIncomeTax,trailingCapitalExpenditure,trailingNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,annualCurrentAssets,trailingOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyGrossPPE,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,annualTaxProvision,trailingInterestExpense,quarterlyChangeInInventory,annualChangeInCashSupplementalAsReported,annualBasicAverageShares,annualCurrentAccruedExpenses,quarterlyEbitda,quarterlySellingGeneralAndAdministration,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualTotalRevenue,annualNetOtherFinancingCharges,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,annualInterestExpense,quarterlyEndCashPosition,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualGrossProfit,annualChangeInWorkingCapital,quarterlyStockholdersEquity,quarterlyOtherShortTermInvestments,annualTotalNonCurrentAssets,trailingNetIncomeCommonStockholders,annualOtherCurrentAssets,quarterlyGoodwill,trailingFreeCashFlow,trailingCommonStockIssuance,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyCurrentLiabilities,quarterlyCurrentAssets,trailingNetIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualDilutedAverageShares,trailingCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualCurrentDeferredRevenue,trailingTaxProvision,quarterlyAccumulatedDepreciation,annualPurchaseOfBusiness,annualCostOfRevenue,annualBeginningCashPosition,annualCashDividendsPaid,quarterlyBasicEPS,annualCurrentDebt,annualFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,quarterlyBasicAverageShares,annualSaleOfInvestment,quarterlyInvestmentsAndAdvances,trailingOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyInterestExpense,annualOtherNonCashItems,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,trailingInvestingCashFlow,annualDepreciationAndAmortization,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,trailingStockBasedCompensation,annualInvestingCashFlow,annualLongTermDebt,annualStockholdersEquity,annualChangeInInventory,quarterlyNetPPE,trailingPurchaseOfBusiness,annualCashFlowFromContinuingFinancingActivities,annualInventory,annualTotalAssets,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualCurrentLiabilities,quarterlyCurrentDeferredRevenue,trailingGrossProfit,quarterlyCostOfRevenue,annualCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyInventory,quarterlyOperatingExpense,annualGoodwill,annualStockBasedCompensation,quarterlyCapitalStock,trailingChangeInWorkingCapital,quarterlyBeginningCashPosition,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,quarterlyDepreciationAndAmortization,trailingRepaymentOfDebt,annualEbitda,annualOtherIntangibleAssets,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,trailingNetOtherInvestingChanges,annualAccountsPayable,annualOperatingCashFlow,quarterlyDilutedAverageShares,trailingChangeInCashSupplementalAsReported,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualOperatingIncome,annualOtherIncomeExpense,annualBasicEPS,trailingTotalRevenue,annualEndCashPosition,trailingPretaxIncome,trailingEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualGrossPPE,trailingOtherIncomeExpense,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,annualPretaxIncome,trailingOperatingIncome,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,trailingChangeInInventory,annualChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualChangeInAccountPayable,quarterlyChangesInAccountReceivables,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,trailingBasicEPS,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingChangeInAccountPayable
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,,,-650000.0,,,,-8.47,,,63767000.0,,,-417438000.0,-31094000.0,65078000.0,,,,,,,,,,,,,,21832000.0,,,-29377000.0,53383000.0,,,,,,,-452378000.0,40374000.0,577266000.0,192252000.0,47617000.0,,,,35864000.0,,,,130896000.0,-16860000.0,,,,,,,,,,,,,,,,,,,-452378000.0,53383000.0,,,,,,-71070000.0,446370000.0,437967000.0,0.0,,,-248721000.0,,,,,,,,,,364675000.0,,,,,,234721000.0,,,,,-320389000.0,,,-14894000.0,,,122295000.0,,,,,,,,,,-31690000.0,,,,,,,,,,,,,4099000.0,,,,,,,,261323000.0,,-338710000.0,,,,,168717000.0,,,97240000.0,,67129000.0,-43525000.0,-8.47,,411079000.0,,,,,,,,,,,,,,-9262000.0,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,540463000.0,,,,,,-11.822865,,3963000.0,69379000.0,,-1585562000.0,-320652000.0,-103429000.0,68753000.0,670976000.0,,,,,,1313858000.0,,,,,,,49291000.0,,,260273000.0,53383000.0,91266000.0,,,,,2113266000.0,-631140000.0,70703000.0,873394000.0,126106000.0,27602000.0,29808000.0,,,67741000.0,,5033474000.0,,209188000.0,49458000.0,,,4670800000.0,,22478000.0,,,,,,,,,,,,,,-631140000.0,53383000.0,,,25489000.0,,,-182342000.0,664206000.0,411079000.0,0.0,,2125439000.0,-63687000.0,79935000.0,14805000.0,,,,,,,,448803000.0,,,,,,238621000.0,,,,,-277632000.0,1926587000.0,713655000.0,16932000.0,,,280940000.0,150234000.0,5984658000.0,,,,,,,,-18190000.0,2920208000.0,,,,662679000.0,,,357428000.0,,,,72719000.0,4463000.0,,,,700784000.0,,,,252224000.0,88864000.0,-213758000.0,50976000.0,3860475000.0,,510337000.0,256965000.0,,,91484000.0,17482000.0,139809000.0,-125606000.0,-11.82,,670976000.0,,,,,,5446037000.0,,,,,,5736000.0,,-54138000.0,,,,,,,,,,,,,,,,,,,,,,,,
1396224000,,23136000.0,,,,78352000.0,,,,,,,,,,,,,,,324825000.0,,,,60715000.0,,,5341000.0,,,-9475000.0,,,,135653000.0,19894000.0,152000.0,68250000.0,,,,,,,,0.0,-195480000.0,,758479000.0,,,,,,,,,,,,,52239000.0,,-54678000.0,,,,,-69954000.0,-82103000.0,,,,,,,,,,,,,-0.46,,,,,72804348.0,,,,187167000.0,-33490000.0,21886000.0,,,-84213000.0,,,,,9216000.0,98158000.0,35270000.0,,,,,,,,,,,16969000.0,12990000.0,,,89845000.0,,,,,,,246473000.0,,,,,,,17637000.0,,,,,670751000.0,,-0.46,61528000.0,,,,,,,,,,72804348.0,,,,,,,,,,,,,,,,-337000.0,13945000.0,,,,42871000.0,,,,-33490000.0,,,,,,,,,,,,,,,,,,,,,
1404086400,,21347000.0,,,,66536000.0,,,,,,,,,,,,,,,336518000.0,,,,38362000.0,,,33552000.0,,,703000.0,,,,96180000.0,31476000.0,2812000.0,84070000.0,,,,,,,,0.0,-220533000.0,,-285800000.0,,,,,,,,,,,,,4089000.0,,-39420000.0,,,,,-84358000.0,-39624000.0,,,,,,,,,,,,,-1.69,,,,,53340237.0,,,,-187357000.0,-90145000.0,24871000.0,,,-102842000.0,,,,,8032000.0,119774000.0,-13690000.0,,,,,,,,,,,17779000.0,-10634000.0,,,-288116000.0,,,,,,,269982000.0,,,,,,,28174000.0,,,,,159000.0,,-1.69,67220000.0,,,,,,,,,,53340237.0,,,,,,,,,,,,,,,,-733000.0,16932000.0,1001000.0,,,-229475000.0,,,,-90145000.0,,,,,,,,,,,,,,,,,,,,,
1412035200,,55757000.0,,,,82607000.0,,,,,,,,,,,,,,,372442000.0,,,,187045000.0,,,23135000.0,,,17672000.0,,,,182750000.0,32029000.0,365000.0,28598000.0,,,,,,,,0.0,-216334000.0,,411763000.0,,,,,,,,,,,,,114268000.0,,-116797000.0,,,,,-229186000.0,-30465000.0,,,,,,,,,,,,,12.38,,,,,53385137.0,,,,43212000.0,660908000.0,38777000.0,,,-122690000.0,,,,,1615000.0,123992000.0,58318000.0,,,,,,,,,,,55950000.0,-38445000.0,,,-49130000.0,,,,,,,289835000.0,,,,,,,-104438000.0,,,,,472679000.0,,12.38,29705000.0,,,,,,,,,,53385137.0,,,,,,,,,,,,,,,,733000.0,1302000.0,1519000.0,,,215380000.0,,,,660908000.0,,,,,,,,,,,,,,,,,,,,,
1419984000,435783000.0,66000.0,0.0,2880978000.0,144488000.0,63160000.0,8.76,,29700000.0,139234000.0,,-7000.0,-436680000.0,18452000.0,123394000.0,305000.0,,,,6766000.0,338445000.0,326000.0,,3166000.0,-134701000.0,3063077000.0,,18142000.0,90822000.0,,13091000.0,-42368000.0,53383000.0,19000.0,-8914000.0,39995000.0,5084000.0,14487000.0,0.0,467538000.0,100306000.0,1372230000.0,96657000.0,19577000.0,226830000.0,0.0,-249989000.0,108224000.0,610056000.0,368000.0,,290655000.0,80170000.0,1243893000.0,226830000.0,433000.0,,31848000.0,65947000.0,,,-61322000.0,,-42202000.0,496787000.0,1136061000.0,,2384191000.0,-173955000.0,-21676000.0,31848000.0,467538000.0,53383000.0,,10072000.0,1526000.0,,-560290000.0,-557453000.0,1081575000.0,670976000.0,0.0,,131904000.0,-26304000.0,130983000.0,6766000.0,,,435783000.0,,386570000.0,-69735000.0,22690000.0,195405000.0,,-126935000.0,131904000.0,29700000.0,,188171000.0,714000.0,68452000.0,-61446000.0,,-882336000.0,2215872000.0,391000.0,21991000.0,2502787000.0,,429592000.0,55335000.0,759000.0,124000.0,95636000.0,130983000.0,-7609000.0,205033000.0,16186000.0,2215872000.0,-18138000.0,368000.0,1526000.0,,275285000.0,0.0,33629000.0,181358000.0,181358000.0,,55335000.0,197861000.0,65947000.0,8413000.0,1240727000.0,,411763000.0,305000.0,,29718000.0,,405669000.0,78724000.0,-173868000.0,4500000.0,365000.0,,349000.0,410376000.0,,,-253097000.0,16186000.0,151421000.0,59547000.0,8.76,,610056000.0,,,,836886000.0,610056000.0,372000.0,,-17926000.0,-58483000.0,,3200508000.0,10072000.0,67881000.0,109274000.0,,4336569000.0,-69735000.0,78724000.0,,,,,,,,,,,,,,,,,,,,
1427760000,,11305000.0,,2892198000.0,174942000.0,66179000.0,,,,,,,,,,,,,,4570000.0,322158000.0,,,1395000.0,40122000.0,,,-25149000.0,,,-4119000.0,,,,76262000.0,26108000.0,-653000.0,17508000.0,,,,,,,,0.0,-161435000.0,,486807000.0,,-6633000.0,,,1276034000.0,194478000.0,,,,,,,21338000.0,,31581000.0,508854000.0,993852000.0,,2383344000.0,-64360000.0,-26142000.0,70268000.0,,,,10145000.0,,,,,,,,0.09,,,,,50222222.0,,476238000.0,,10194000.0,4520000.0,25714000.0,,,-129994000.0,163056000.0,92784000.0,,,0.0,34988000.0,10033000.0,,,,,,2621486000.0,,,,,11305000.0,-1276000.0,129318000.0,,-116253000.0,0.0,2211240000.0,,,,,255979000.0,,,179300000.0,,,59463000.0,26057000.0,,,0.0,,610056000.0,,0.09,29210000.0,,,,,,,,,,50222222.0,,,,,,,,,,,,681285000.0,486807000.0,,,0.0,-95006000.0,,3370710000.0,,12527000.0,,,4364562000.0,4520000.0,144391000.0,,,,,,,,,,,,,,,,,,,,
1435622400,,22055000.0,,3121677000.0,148021000.0,122696000.0,,,,,,,,,,,,,,4535000.0,333089000.0,,,8514000.0,105858000.0,,,-52408000.0,,,2670000.0,,,,110989000.0,21379000.0,-683000.0,30535000.0,,,,,,,,0.0,-308511000.0,,-26338000.0,,7499000.0,,,1297285000.0,209089000.0,,,,,,,46050000.0,,-10740000.0,455837000.0,1041503000.0,,2665840000.0,-64874000.0,-25369000.0,136930000.0,,,,9966000.0,,,,,,,,0.24,,,,,52908333.0,,474077000.0,,196907000.0,12698000.0,35612000.0,,,-235205000.0,158025000.0,98349000.0,,,5310000.0,78611000.0,23995000.0,,,,,,2830272000.0,,,,,22055000.0,-29273000.0,148732000.0,,-32993000.0,0.0,2482150000.0,,,,,210393000.0,,,173809000.0,,,56784000.0,16838000.0,,,0.0,,0.0,,0.24,29327000.0,,,,,,,,,,52908333.0,,,,,,,,,,,,669558000.0,460469000.0,,,0.0,-156594000.0,0.0,3590079000.0,,-2510000.0,,,4631582000.0,12698000.0,148702000.0,,,,,,,,,,,,,,,,,,,,
1443571200,,9741000.0,,3080304000.0,152670000.0,66574000.0,,,,,,,,,,,,,,3924000.0,336409000.0,,,-15657000.0,40929000.0,,,63022000.0,,,1627000.0,,,,249225000.0,25396000.0,1412000.0,37181000.0,,,,,,,,0.0,-29347000.0,,485785000.0,,-69461000.0,,,1182093000.0,160765000.0,,,,,,,179303000.0,,35312000.0,461289000.0,884071000.0,,2619015000.0,-9447000.0,-33793000.0,48759000.0,,,,12294000.0,,,,,,,,3.07,,,,,53728664.0,,436268000.0,,-62848000.0,164947000.0,39658000.0,,,-65750000.0,146251000.0,95309000.0,,,0.0,126670000.0,169562000.0,,,,,,2878437000.0,,,,,9741000.0,175555000.0,127494000.0,,34475000.0,0.0,2426387000.0,,,,,269835000.0,,,129847000.0,,,55158000.0,25645000.0,,,0.0,,460469000.0,,3.07,30264000.0,,,,,,,,,,53728664.0,,,,,,,,,,,,646550000.0,485785000.0,,,0.0,60920000.0,6694000.0,3585216000.0,,-4069000.0,,,4469287000.0,164947000.0,150182000.0,,,,,,,,,,,,,,,,,,,,
