date,annualCapitalExpenditure,quarterlySaleOfInvestment,annualDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,annualDilutedAverageShares,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyNetOtherInvestingChanges,quarterlyGrossPPE,trailingInterestExpense,annualNetIncomeCommonStockholders,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualDilutedEPS,trailingNetIncomeCommonStockholders,trailingNetIncomeContinuousOperations,annualRepaymentOfDebt,annualInterestExpense,quarterlyDilutedEPS,annualBasicAverageShares,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyTotalRevenue,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,quarterlyBasicAverageShares,annualOtherNonCashItems,annualCurrentDebt,annualBeginningCashPosition,annualCashDividendsPaid,annualNetIncome,annualFreeCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualAccountsReceivable,quarterlyBasicEPS,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualLongTermDebt,annualStockholdersEquity,trailingPretaxIncome,trailingNetIncome,annualTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualDepreciationAndAmortization,annualRetainedEarnings,quarterlyNetPPE,annualChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,annualStockBasedCompensation,annualCommonStockIssuance,annualSaleOfInvestment,quarterlyCashDividendsPaid,annualOperatingIncome,annualAccountsPayable,annualOtherIntangibleAssets,quarterlyDilutedAverageShares,annualBasicEPS,annualCapitalStock,annualTotalRevenue,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualEndCashPosition,trailingTotalRevenue,annualCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,annualGrossPPE,annualNetOtherInvestingChanges,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyCurrentDebt,annualCashAndCashEquivalents,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualPretaxIncome,trailingGrossProfit,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,annualChangeInAccountPayable,annualOtherIncomeExpense,annualChangeInInventory,annualCurrentAssets,quarterlyCurrentAssets,trailingFreeCashFlow,quarterlyOtherCurrentAssets,annualGoodwill,trailingEndCashPosition,trailingCashDividendsPaid,trailingDilutedAverageShares,quarterlyCostOfRevenue,quarterlyRepurchaseOfCapitalStock,annualResearchAndDevelopment,annualCostOfRevenue,trailingChangeInWorkingCapital,quarterlyStockBasedCompensation,annualTotalNonCurrentAssets,trailingOtherIncomeExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfBusiness,trailingNetOtherFinancingCharges,trailingInvestingCashFlow,quarterlyEbitda,quarterlyTotalNonCurrentAssets,trailingBasicEPS,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,trailingCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingOperatingCashFlow,trailingDepreciationAndAmortization,trailingDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,annualOtherNonCurrentLiabilities,quarterlyCurrentLiabilities,trailingStockBasedCompensation,annualRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingChangeInInventory,quarterlyChangesInAccountReceivables,annualOtherCurrentLiabilities,annualEbitda,trailingResearchAndDevelopment,trailingCapitalExpenditure,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,trailingChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,annualChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,trailingSaleOfInvestment,annualOtherNonCurrentAssets,quarterlyIncomeTaxPayable,annualCurrentLiabilities,trailingRepurchaseOfCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,annualInventory,quarterlyCurrentDeferredRevenue,trailingTaxProvision,trailingChangesInAccountReceivables,trailingCostOfRevenue,quarterlyInventory,trailingRepaymentOfDebt,annualNonCurrentDeferredTaxesLiabilities,trailingOperatingIncome,trailingPurchaseOfInvestment,trailingOtherNonCashItems,annualCurrentDeferredRevenue,annualGrossProfit,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingOperatingExpense,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,annualOtherCurrentAssets,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue
1970-01-01 00:00:00.922838400,-466101680.0,,-127118640.0,,,211864400.0,570945134000.0,,,471428571.0,,,,,,,439924814000.0,508474560.0,,9491525120.0,1.078582,94853487000.0,111397206000.0,,4152542240.0,,471428571.0,,,0.0,,,,,,,,,70127116400.0,169491520.0,,,508474560.0,,,,508474560.0,,8516948880.0,-211864400.0,508474560.0,-8050847200.0,,-17881355360.0,,,,,,,-3516949040.0,1737288080.0,2754237200.0,165727306000.0,94853487000.0,72881353600.0,,,169491520.0,720338960.0,,974576240.0,,,,1059322000.0,,677966080.0,,,,1.078582,1610169440.0,1949152480.0,-7584745520.0,,42372880.0,1737288080.0,,,18008474000.0,1024585891000.0,34957626000.0,,,-14957626640.0,,,,18008474000.0,,,,,,19279660400.0,677966080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.930700800,,,,,,,,,,,,,,,,,,,,,,,,,,0.787092,,,,,,,,,,,,,,,,,,,,440000000.0,,,,,,,346320320.0,,346320320.0,,,,0.787092,,,,,,,,,,,,,,,,,,,,,,440000000.0,,,,,,,,,,,,,,,,,,,,,,,,346320320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.938649600,,,,,,,,,,,,,,,,,,,,,,,,,,7.43083,,,,,,,,,,,,,,,,,,,,431920500.0,,,,,,,347826080.0,,347826080.0,,,,7.747035,,,,,,,,,,,,,,,,,,,,,,431920500.0,,,,,,,,,,,,,,,,,,,,,,,,347826080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.946598400,,,,86956520.0,,,,98434780640.0,,,,,,447826078.0,,,,,,,,,,,,7.272727,,,,,447826078.0,,1565217360.0,,,99999998.0,3695652100.0,73913042.0,,,795652158.0,,,,,431920500.0,,,,,,,347826080.0,,347826080.0,,,,7.43083,1739130400.0,,,,,,,,,,,1913043440.0,,32956521080.0,,,,,,,,431920500.0,,,,,18565217020.0,,,1652173880.0,,,,,,,,1595652142.0,,,,,,102130432740.0,,347826080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.954460800,-524017440.0,7434972000.0,131004360.0,43668120.0,,305676840.0,,119039295120.0,,377850000.0,-7828934380.0,87526100.0,,442566860.0,-9477690460.0,,,1397379840.0,,16375545000.0,25.08932,,,,6681222360.0,,355300000.0,-10004745660.0,36331875840.0,0.0,442566860.0,,1921397280.0,219289900.0,,88665260.0,11397379320.0,88285540.0,119039295120.0,393013080.0,1145813420.0,-263147880.0,1397379840.0,21764190240.0,,,436681200.0,,19956330840.0,-218340600.0,1397379840.0,-8820960240.0,353901600.0,-21091701960.0,353901600.0,4529143900.0,16288588480.0,,,2489082840.0,-10742357520.0,2489082840.0,11397379320.0,,,130436674440.0,,,393013080.0,1921397280.0,2096069760.0,-10655021280.0,32969430600.0,,,10043667600.0,-949300.0,1790392920.0,,,,26.200872,1965065400.0,3537117720.0,-8296942800.0,36331875840.0,43668120.0,2096069760.0,1965065400.0,18565217020.0,36331875840.0,,45764189760.0,-7698879320.0,,-19868994600.0,1898613760.0,4265996020.0,,36331875840.0,7336244160.0,,130436674440.0,219100040.0,353901600.0,32969430600.0,1790392920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.962323200,,,,,,,,,,,,,,,,,,,,,,,,,,5.357143,,,,,,,,,,,,,,,,,,,,431921792.0,,,,,,,401383954.26,,401383954.26,,,,5.357143,,,,,,,,,,,,,,,,,,,,,,431921792.0,,,,,,,,,,,,,,,,,,,,,,,,401383954.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.970272000,,,,,,,,,,,,,,,,,,,,,,,,,,5.015997,,,,,,,,,,,,,,,,,,,,431921792.0,,,,,,,299927344.31,,299927344.31,,,,5.015997,,,,,,,,,,,,,,,,,,,,,,431921792.0,,,,,,,,,,,,,,,,,,,,,,,,299927344.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.978220800,,,,,,,,,,,,,,,,,,,,,,,,,,4.407714,,,,,,,,,,,,,,,,,,,,431921792.0,,,,,,,404055973.35,,404055973.35,,,,4.407714,,,,,,,,,,,,,,,,,,,,,,431921792.0,,,,,,,,,,,,,,,,,,,,,,,,404055973.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.985996800,-1303677760.0,,-419039280.0,186239680.0,,651838880.0,,202954691280.0,,431750000.0,,,,,,,,1350237680.0,,10522541920.0,15.236099,,,-744958720.0,8380785600.0,,431750000.0,,,-46559920.0,,,2979834880.0,,,,16249412080.0,,202954691280.0,279359520.0,,,1350237680.0,,,,1070878160.0,3259194400.0,34174981280.0,-279359520.0,1350237680.0,7589266960.0,245808695.5,-28401551200.0,245808695.5,,,,,2141756320.0,-16156292240.0,2141756320.0,16249412080.0,,,219204103360.0,,,605278960.0,2979834880.0,4050713040.0,5959669760.0,54288866720.0,,,11453740320.0,,1629597200.0,,2653915440.0,,15.290278,2188316240.0,5773430080.0,8892944720.0,47165198960.0,186239680.0,4050713040.0,2188316240.0,,44744083120.0,,30031148400.0,,,-22395321520.0,,,3259194400.0,47165198960.0,,2653915440.0,219204103360.0,,245808695.5,54288866720.0,1629597200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.993859200,,,,,,,,,,,,,,,,,,,,,,,,,,8.774137,,,,,,,,,,,,,,,,,,,,431750000.0,,,,,,,516778900.0,,516778900.0,,,,8.792929,,,,,,,,,,,,,,,,,,,,,,431750000.0,,,,,,,,,,,,,,,,,,,,,,,,516778900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
