date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualCommonStockIssuance,quarterlyFreeCashFlow,annualFreeCashFlow,quarterlyRetainedEarnings,trailingFreeCashFlow,annualDilutedEPS,quarterlyCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,annualDilutedAverageShares,annualRetainedEarnings,trailingPretaxIncome,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,annualNetOtherInvestingChanges,annualEndCashPosition,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualCurrentDeferredRevenue,annualTaxProvision,annualPretaxIncome,annualTotalAssets,annualOtherCurrentAssets,annualCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualCashDividendsPaid,trailingPurchaseOfInvestment,annualNonCurrentDeferredRevenue,trailingTotalRevenue,annualNetIncome,annualLongTermDebt,quarterlyDilutedEPS,annualOperatingIncome,quarterlyPurchaseOfInvestment,annualAccountsPayable,trailingInvestingCashFlow,trailingOperatingIncome,trailingTaxProvision,trailingEndCashPosition,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,annualBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualOtherNonCashItems,trailingRepurchaseOfCapitalStock,annualStockholdersEquity,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,annualDepreciationAndAmortization,trailingSaleOfInvestment,annualCashAndCashEquivalents,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,annualCurrentAssets,trailingOperatingCashFlow,annualAccountsReceivable,annualNetIncomeCommonStockholders,quarterlyCostOfRevenue,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyBasicAverageShares,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualNetPPE,quarterlyBasicEPS,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualChangeInAccountPayable,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualRepaymentOfDebt,annualEbitda,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingExpense,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,trailingNetIncomeCommonStockholders,trailingGrossProfit,quarterlyCurrentDeferredRevenue,annualCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,quarterlyRepaymentOfDebt,trailingInterestExpense,quarterlyAccumulatedDepreciation,annualCashFlowFromContinuingFinancingActivities,annualBeginningCashPosition,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,annualOtherIncomeExpense,annualGrossPPE,trailingCapitalExpenditure,annualTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,annualSellingGeneralAndAdministration,trailingDepreciationAndAmortization,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetOtherFinancingCharges,quarterlyIncomeTaxPayable,trailingStockBasedCompensation,trailingDeferredIncomeTax,annualBasicEPS,quarterlyTotalRevenue,annualCapitalExpenditure,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyDilutedAverageShares,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualInterestExpense,trailingBeginningCashPosition,annualGoodwill,trailingChangesInAccountReceivables,trailingCashDividendsPaid,annualPurchaseOfInvestment,annualCapitalStock,trailingNetIncome,trailingCostOfRevenue,annualStockBasedCompensation,quarterlyOtherCurrentLiabilities,annualTotalRevenue,annualChangesInAccountReceivables,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,trailingOperatingExpense,annualNetOtherFinancingCharges,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualResearchAndDevelopment,trailingBasicAverageShares,quarterlyChangeInInventory,quarterlyInventory,annualCurrentAccruedExpenses,annualInventory,trailingChangeInInventory,trailingOtherNonCashItems,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingBasicEPS,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualChangeInInventory,quarterlyCurrentAccruedExpenses,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
1978-12-31,,-571000000.0,,,,,,,1610000000.0,0.42,,,,181904762.0,350900000.0,1871000000.0,,,,,,,,20500000.0,96900000.0,,,,,,,-113000000.0,,11013000000.0,76400000.0,8800000.0,,1100900000.0,,,-229000000.0,2169000000.0,297000000.0,790000000.0,,,181904762.0,,,,,,,,,-1960000000.0,350900000.0,,,,,96000000.0,,,,,,,,,,1835000000.0,,76400000.0,,,,,,,,,,,,,,-4941000000.0,,,,1100900000.0,,,,,,,1532000000.0,4959000000.0,,,,,,,307000000.0,,,,,1000000.0,,134000000.0,,,-225000000.0,,,,,,,564000000.0,,-1493000000.0,,-39000000.0,,,,,1574000000.0,,,-103000000.0,,317000000.0,-36000000.0,0.42,,,,2226000000.0,76400000.0,-502000000.0,,,,,,,,656000000.0,,-371000000.0,-410000000.0,,,1532000000.0,6054000000.0,,,598900000.0,,,,,2790000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-31,,,714300000.0,,,,,,,0.5,,,,181400000.0,445000000.0,,,,,,,,,28500000.0,119200000.0,1157200000.0,,,,,,,,,90700000.0,,,1205800000.0,,,,,,,,,181400000.0,,,,,,,,,,442900000.0,,,,,,,,,,,,,,,,,90700000.0,,,,,,,,,,,,,,,,,,1205800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,90700000.0,-543300000.0,,,,,,,,,,,,,,,,,,662500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,,,789500000.0,,,,,,,0.53,,,,182830189.0,503000000.0,,,,,,,,,32800000.0,129700000.0,1287200000.0,,,,,,,,,96900000.0,,,1384300000.0,,,,,,,,,182830189.0,,,,,,,,,,497700000.0,,,,,,,,,,,,,,,,,96900000.0,,,,,,,,,,,,,,,,,,1384300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,96900000.0,-627300000.0,,,,,,,,,,,,,,,,,,757000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,,1069700000.0,,,,,,,0.55,,,,182181818.0,558700000.0,,,,,,,,,36000000.0,136200000.0,1595400000.0,,,,,,,,,100200000.0,1600000.0,,1505100000.0,,,,,,,,,182181818.0,,,,,,,,,,525700000.0,,,,,,,,,,,,,,,,,100200000.0,,,,,,,,,,,,,,,,,,1505100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,100200000.0,-684400000.0,,,,,,,,,,,,,,,,,,820700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,,1818300000.0,,,,,,,0.49,,,,192653061.0,588800000.0,,,,,,,,,27100000.0,123000000.0,2392100000.0,,,,,,,,,95900000.0,32300000.0,,1964800000.0,,,,,,,,,192653061.0,,,,,,,,,,573800000.0,,,,,,,,,,,,,,,,,94400000.0,,,,,,,,,,,,,,,,,,1964800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,95900000.0,-920900000.0,,,,,,,,,,,,,,,,,,1043900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,1881500000.0,,,,,,,0.59,,,,212033898.0,637600000.0,,,,,,,,,28800000.0,160100000.0,2514400000.0,,,,,,,,,131300000.0,32000000.0,,2310200000.0,,,,,,,,,212033898.0,,,,,,,,,,632900000.0,,,,,,,,,,,,,,,,,125100000.0,,,,,,,,,,,,,,,,,,2310200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,131300000.0,-1075100000.0,,,,,,,,,,,,,,,,,,1235100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,,29800000.0,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,29800000.0,29800000.0,,,,,,,,,,,,,229230769.0,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312200000.0,,,,,,,312200000.0,,229230769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312200000.0,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,35900000.0,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,35900000.0,35900000.0,,,,,,,,,,,,,211176471.0,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321400000.0,,,,,,,321400000.0,,211176471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321400000.0,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,35100000.0,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,35100000.0,35100000.0,,,,,,,,,,,,,234000000.0,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319200000.0,,,,,,,319200000.0,,234000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319200000.0,,,,,,,,,,,,,,,,,,
1984-12-31,,,1898800000.0,,,,,735800000.0,,0.74,,,,221216216.0,735800000.0,,,,,,,64100000.0,,26000000.0,189700000.0,2720900000.0,,,,2720900000.0,,,,,163700000.0,31300000.0,,2385700000.0,,,,,,,,,221216216.0,,1898800000.0,,,,,,,,822100000.0,,,,,,,64100000.0,64100000.0,31300000.0,,,,,,,,163700000.0,,,,,,,,,,,,,,,,,,2385700000.0,,,,,,,,,,,822100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,334900000.0,,,,163700000.0,-1098000000.0,,1432900000.0,,,,,,,,,,,,,,,,1287700000.0,,,,,,,,,,,,,,,1432900000.0,,,,,,,,,,,,,,,,,,
