date,annualGrossProfit,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,annualNetPPE,annualCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,annualOtherCurrentLiabilities,trailingChangeInCashSupplementalAsReported,quarterlyOtherCurrentAssets,annualBasicEPS,annualPurchaseOfBusiness,quarterlyBasicEPS,annualOtherNonCurrentLiabilities,quarterlyCapitalStock,annualOtherNonCashItems,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualGrossPPE,quarterlyCurrentDebt,quarterlyGrossPPE,annualCapitalExpenditure,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,quarterlyAccountsPayable,trailingOperatingExpense,annualBeginningCashPosition,trailingBeginningCashPosition,annualPurchaseOfInvestment,annualNetIncomeContinuousOperations,trailingInterestExpense,annualInvestingCashFlow,annualChangeInInventory,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualChangeInCashSupplementalAsReported,trailingNetIncome,annualBasicAverageShares,annualGoodwill,quarterlyNetPPE,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,annualInterestExpense,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyDilutedEPS,annualAccumulatedDepreciation,annualInventory,quarterlyCurrentAssets,annualOtherShortTermInvestments,trailingFreeCashFlow,annualCommonStockIssuance,quarterlyCurrentLiabilities,annualFreeCashFlow,annualTotalRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualCostOfRevenue,annualOperatingIncome,trailingTotalRevenue,trailingCostOfRevenue,annualEndCashPosition,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,annualTotalAssets,annualNetIncome,quarterlyTotalAssets,annualCurrentDebt,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualOtherCurrentAssets,annualPretaxIncome,trailingOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,trailingEndCashPosition,trailingTaxProvision,annualSellingGeneralAndAdministration,annualSaleOfInvestment,annualOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualDilutedEPS,annualRepurchaseOfCapitalStock,annualLongTermDebt,annualStockholdersEquity,annualAccountsReceivable,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,annualDepreciationAndAmortization,trailingPretaxIncome,annualCashAndCashEquivalents,annualDilutedAverageShares,annualCurrentLiabilities,annualRetainedEarnings,quarterlyAccountsReceivable,quarterlyInventory,annualEbitda,annualCurrentAssets,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,trailingPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,trailingNetOtherFinancingCharges,quarterlyBeginningCashPosition,trailingCapitalExpenditure,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,trailingCashDividendsPaid,annualOtherIncomeExpense,quarterlyInterestExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,trailingResearchAndDevelopment,quarterlyOperatingIncome,trailingChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,trailingRepaymentOfDebt,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,quarterlyTotalRevenue,annualCurrentDeferredRevenue
2003-12-31,985528000.0,,2233424000.0,8668601000.0,,301916000.0,0.0,,,7519632000.0,,,3348379000.0,-1432086000.0,0.0,196629000.0,,0.612879,-33027000.0,,2186472000.0,,555017000.0,,,,,,-1231523000.0,3154512000.0,399486000.0,,,3034829000.0,442281000.0,7048965000.0,-229665000.0,522393000.0,748035000.0,-1468431000.0,-35262000.0,-29644000.0,,140888000.0,3348379000.0,770733152.0,,,-343170000.0,4117247000.0,,,,,,,,,4931063000.0,638520000.0,,-684340000.0,4435503000.0,,,3449975000.0,586042000.0,41487789000.0,32819188000.0,585661000.0,37601000.0,3209992000.0,12599000.0,,,4721812000.0,472366000.0,,185464000.0,,-102545000.0,0.0,559994000.0,5633772000.0,1291000.0,-6284341000.0,7245594000.0,1720686000.0,293233000.0,,0.0,,0.582576,,833107000.0,1511820000.0,278000.0,,,335336000.0,5837933000.0,2233424000.0,810823303.0,190413000.0,,,,921378000.0,4419896000.0,547183000.0,3019579000.0,472366000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,1956076000.0,,5369110000.0,,,268463000.0,0.0,,,,,,,-2325887000.0,0.0,,,1.264394,-1735305000.0,,5311697000.0,,1260211000.0,,,,,,-1994383000.0,,635787000.0,,,,585661000.0,,-416033000.0,1196313000.0,,-4100662000.0,-390975000.0,-10031000.0,,254129000.0,,873023008.0,,,-823156000.0,,,,,,,,,,,955500000.0,,-1083896000.0,7082390000.0,,,5126314000.0,1320289000.0,,,839790000.0,61184000.0,8470055000.0,22714000.0,,,10949270000.0,1103845000.0,,1703968000.0,,-150991000.0,0.0,1257497000.0,,35140000.0,,,,412533000.0,,0.0,,1.202273,-10620000.0,1419250000.0,2479215000.0,546000.0,,,473432000.0,,5369110000.0,918131947.0,1739108000.0,,,,1793721000.0,10680807000.0,910487000.0,6730947000.0,1103845000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,3179897000.0,1778000.0,1283424000.0,,,11385645000.0,8723331000.0,,,,,,,-5958637000.0,0.0,,,1.450758,0.0,,1411529000.0,,1941183000.0,,,,,,-2190075000.0,,1175779000.0,46960000.0,,,839790000.0,,-20148000.0,1222786000.0,,-2799688000.0,-250750000.0,-236883000.0,,247444000.0,,989696021.0,1659354000.0,,-941528000.0,,,,,,,1785809000.0,,56496000.0,,1298747000.0,,-372702000.0,13098354000.0,,,9918457000.0,2004118000.0,,,1087234000.0,139970000.0,9714079000.0,-890747000.0,,,19360822000.0,1435809000.0,,2231728000.0,,-325551000.0,7669000.0,1788802000.0,,2764490000.0,,,,790900000.0,287106000.0,619461000.0,,1.383333,,4549245000.0,8235214000.0,,,,817718000.0,,1226928000.0,1037934217.0,5117874000.0,,,,2821836000.0,7975177000.0,1817373000.0,4596205000.0,1435809000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,4277411000.0,2185000.0,6136414000.0,,,13668338000.0,10294545000.0,0.0,,,,,,-5561252000.0,0.0,,,6.745455,-191599000.0,,9764000.0,,2878225000.0,,,,,,-2293308000.0,,1481628000.0,36323000.0,,,1087234000.0,,-350271000.0,7068015000.0,,2090225000.0,-627438000.0,844491000.0,,5007171000.0,,1047818935.0,1717519000.0,,-917264000.0,,,,,,,2498354000.0,,39183000.0,,874460000.0,,699351000.0,16773348000.0,,,12495937000.0,2795783000.0,,,6094405000.0,240435000.0,9117894000.0,4866261000.0,,,28121051000.0,7355719000.0,,1296616000.0,,-506145000.0,2439000.0,7596154000.0,,3405385000.0,,,,1024102000.0,28969000.0,752511000.0,,6.459848,,4086223000.0,15958925000.0,,,,1031698000.0,,6097231000.0,1094145632.0,4985584000.0,,,,3827481000.0,14452713000.0,2992659000.0,4132310000.0,7068015000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,4846614000.0,725884000.0,3497408000.0,,,21368779000.0,14950691000.0,0.0,,,,,,-2490470000.0,0.0,,,2.522727,-660180000.0,,12862000.0,,3245169000.0,,,,,,-5595971000.0,,1722205000.0,29165000.0,,,6094405000.0,,-616905000.0,2778321000.0,,-7092277000.0,-102034000.0,-223935000.0,,-2600394000.0,,1101316432.0,2005658000.0,,-95432000.0,,,,,,,2648216000.0,,2812000.0,,19822000.0,,-1275871000.0,20025112000.0,,,15178498000.0,3124409000.0,,,3494011000.0,245030000.0,12728052000.0,-985836000.0,,,34941986000.0,3472154000.0,,1760524000.0,,-1291092000.0,217535000.0,3717184000.0,,5072707000.0,,,,1171926000.0,678393000.0,2358767000.0,,2.448485,,5490372000.0,18277703000.0,,,,1170363000.0,,3494596000.0,1134710309.0,7195653000.0,,,,4294772000.0,13573207000.0,4320100000.0,5532399000.0,2778321000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,4250142000.0,770142000.0,4225273000.0,,,25646325000.0,16888278000.0,83926000.0,,,,,,-5852605000.0,1940000.0,,,1.534848,-956240000.0,,4249440000.0,,-91723000.0,,,23072386000.0,,,-3316637000.0,,1615246000.0,51329000.0,,,3494011000.0,,-1113009000.0,2131271000.0,,-4086151000.0,164443000.0,134321000.0,2816000.0,669235000.0,,1111189660.0,2005658000.0,,48722000.0,,,,,,-6184108000.0,2561334000.0,,,,42262000.0,,729865000.0,23681401000.0,,,19431259000.0,2634896000.0,,,4225257000.0,194231000.0,18873704000.0,-61622000.0,,,38241465000.0,1705850000.0,,2596995000.0,,-927430000.0,17594000.0,2325502000.0,,3733140000.0,,,,1938102000.0,758616000.0,226072000.0,,1.504545,-163907000.0,7105276000.0,15118321000.0,3985533000.0,,,1590398000.0,,4225273000.0,1133624230.0,7330698000.0,13363627000.0,,,4225294000.0,12595140000.0,4046502000.0,11543006000.0,1705850000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,4851409000.0,622000.0,5652209000.0,,622000.0,24751367000.0,17847473000.0,84474000.0,56418000.0,,21520791000.0,-7749633000.0,,-4119570000.0,13329000.0,,1991612000.0,2.149242,-664654000.0,,0.0,84474000.0,0.0,5652209000.0,5652209000.0,25597106000.0,3458564000.0,25597106000.0,-1989166000.0,,1676278000.0,56418000.0,4473837000.0,,4225257000.0,,-1422510000.0,2965696000.0,,-773579000.0,-388500000.0,0.0,1427000.0,1301295000.0,,1114694569.0,2288149000.0,17847473000.0,-3457863000.0,,221256000.0,13329000.0,,,-7749633000.0,3454705000.0,18623169000.0,,,20488000.0,9102920000.0,-704477000.0,23772533000.0,8147500000.0,,18921124000.0,3175131000.0,,,5546587000.0,248484000.0,17250420000.0,0.0,2288149000.0,24751367000.0,43374536000.0,2396030000.0,43374536000.0,3458564000.0,0.0,-506844000.0,1991612000.0,3214180000.0,,4473837000.0,,,,1980220000.0,1026876000.0,505887000.0,17250420000.0,2.131061,0.0,7960765000.0,21520791000.0,4400602000.0,7960765000.0,505887000.0,1812008000.0,,5652209000.0,1124369427.0,9102920000.0,,4400602000.0,3454705000.0,5247444000.0,18623169000.0,1284689000.0,8147500000.0,2396030000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,,,310000.0,,,,51215000.0,,23022188000.0,,,,,,3732281000.0,,,,,84474000.0,,5175161000.0,5175161000.0,,3511969000.0,,,,,,5596844000.0,,,,,,,,,,,,,,,17587515000.0,,,,0.0,,,,,22183644000.0,,,,10715418000.0,,,8206931000.0,,,,,,,,,,2288149000.0,24529917000.0,,,46713561000.0,,0.0,,,,,,,,,,,,18922349000.0,,,,,,8052670000.0,380708000.0,,,,,,,9173973000.0,4073962000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,6990602000.0,,5143658000.0,,,27518380000.0,17574362000.0,84950000.0,73378000.0,,25770174000.0,-9648704000.0,,-4105556000.0,0.0,,4708785000.0,3.565,-132962000.0,,0.0,84950000.0,289941000.0,5143658000.0,5143658000.0,27223066000.0,5241974000.0,27223066000.0,-2245274000.0,,1714062000.0,73378000.0,4368885000.0,,5546587000.0,,-2264639000.0,4650117000.0,,-3310627000.0,-682152000.0,1156990000.0,303000.0,-683434000.0,,1015720723.0,2288149000.0,17574362000.0,-4594542000.0,,,0.0,,,-9648704000.0,4023228000.0,23748830000.0,,,184492000.0,12474608000.0,-108884000.0,33891522000.0,7210267000.0,,26900920000.0,5276540000.0,,,5022022000.0,516221000.0,19684875000.0,37768000.0,2288149000.0,27518380000.0,51267210000.0,3620818000.0,51267210000.0,5241974000.0,0.0,-804700000.0,4708785000.0,5166338000.0,,4368885000.0,,,,2203463000.0,975402000.0,1673646000.0,19684875000.0,3.53,,7086134000.0,25770174000.0,9807849000.0,7086134000.0,1673646000.0,2059115000.0,,5143658000.0,1025244066.0,12474608000.0,,9807849000.0,4023228000.0,7335655000.0,23748830000.0,2136390000.0,7210267000.0,3620818000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,,,,,,,80534000.0,,27857573000.0,,,,,,6793129000.0,,,0.0,,85467000.0,,4853753000.0,4853753000.0,,4979630000.0,,,,,,4916952000.0,,,,,,,,,,,,,,,17553721000.0,,,,0.0,,0.0,,,28259036000.0,,,,12677566000.0,,,11115353000.0,18712370000.0,,,,,,,,,2288149000.0,29217373000.0,,,57476409000.0,,0.0,,,,,,,,,,,,23792919000.0,,,,,,11007888000.0,-31196000.0,,,,,,,11639885000.0,4915318000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
