date,trailingInvestingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,quarterlyOperatingCashFlow,annualCashDividendsPaid,trailingSaleOfInvestment,annualPretaxIncome,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,trailingCashDividendsPaid,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,quarterlyCommonStockIssuance,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyGoodwill,annualCurrentLiabilities,trailingChangeInInventory,annualStockholdersEquity,quarterlyAccountsReceivable,annualGoodwill,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,annualRetainedEarnings,quarterlyOtherIncomeExpense,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,annualPurchaseOfInvestment,trailingOtherIncomeExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOperatingCashFlow,trailingOperatingIncome,annualAccountsPayable,annualOperatingIncome,quarterlyOperatingExpense,trailingTotalRevenue,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,annualEndCashPosition,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,annualEbitda,quarterlyBeginningCashPosition,annualNetPPE,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingNetOtherInvestingChanges,annualOtherIncomeExpense,quarterlyCapitalStock,quarterlyDilutedEPS,annualCashAndCashEquivalents,annualGrossPPE,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,trailingEndCashPosition,quarterlyChangesInAccountReceivables,annualInvestmentsAndAdvances,trailingPretaxIncome,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,quarterlySaleOfInvestment,trailingDeferredIncomeTax,annualCapitalExpenditure,trailingOperatingExpense,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,annualInterestExpense,annualBasicAverageShares,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,annualAccumulatedDepreciation,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualCurrentAssets,trailingNetIncomeContinuousOperations,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualTaxProvision,quarterlyChangeInAccountPayable,trailingInterestExpense,trailingChangesInAccountReceivables,quarterlyChangeInInventory,quarterlyGrossProfit,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,trailingChangeInAccountPayable,trailingGrossProfit,annualTotalRevenue,annualCostOfRevenue,annualCapitalStock,quarterlyBasicEPS,annualDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,trailingCostOfRevenue,annualFreeCashFlow,quarterlyPurchaseOfBusiness,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRepaymentOfDebt,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyNetPPE,trailingTaxProvision,annualInventory,annualGrossProfit,annualChangeInWorkingCapital,annualOtherCurrentAssets,quarterlyOtherShortTermInvestments,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,quarterlyTotalRevenue,annualDilutedEPS,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualChangeInInventory,quarterlyOperatingIncome,trailingNetIncome,annualNetIncome,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,trailingOtherNonCashItems,annualBeginningCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,annualCurrentDeferredRevenue,annualOperatingExpense,trailingSellingGeneralAndAdministration,trailingBasicAverageShares,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingPurchaseOfBusiness,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingStockBasedCompensation,annualStockBasedCompensation,trailingResearchAndDevelopment,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares
1970-01-01 00:00:01.569801600,-12154000000.0,516020160,,516020160,,,-51000000.0,,,,-3022000000.0,,,,,,,-3239000000.0,,,,2008823529.0,,,597000000.0,,,,,,,,,767000000.0,,,,,,12992000000.0,,,,-582000000.0,,,,9289000000.0,,,,73590000000.0,,,,,,,,,-4826000000.0,-6765000000.0,,,,,,99000000.0,,,0.256877,,,,,,,,,4414000000.0,,,8091000000.0,,516020160,,,,,,,,5645000000.0,,2430000000.0,,,2008823529.0,,,,,,,,,,10341000000.0,,,,,,,,2446000000.0,-8922000000.0,-5908000000.0,2438000000.0,,-4000000.0,,,6783662976,,,,,,,4090000000.0,2180000000.0,,,,,,-1964000000.0,11719000000.0,,,,0.256877,,,,61871000000.0,,,4070000000.0,,,,,,,,5645000000.0,,,,,,,,6783662976,,7571000000.0,,,6783662976,2438000000.0,,,,-106000000.0,,,,,,,,3010000000.0,,,,,,,,,,,,,
,,513534040,,513534040,,,,,,,,,,,,,,,,,,2008823529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255639,,,,,,,,,,,,,,513534040,,,,,,,,,,,,,2008823529.0,,,,,,,,,,,,,,,,,,,,,,,,,,6750980144,,,,,,,,,,,,,,,,,,,0.255639,,,,,,,,,,,,,,,,,,,,,,,6750980144,,,,,6750980144,,,,,,,,,,,,,,,,,,,,,,,,,,
,,522973100,,522973100,,,,,,,,,,,,,,,,,,2008823529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.260338,,,,,,,,,,,,,,522973100,,,,,,,,,,,,,2008823529.0,,,,,,,,,,,,,,,,,,,,,,,,,,6875067160,,,,,,,,,,,,,,,,,,,0.260338,,,,,,,,,,,,,,,,,,,,,,,6875067160,,,,,6875067160,,,,,,,,,,,,,,,,,,,,,,,,,,
,,561794820,-3010452600.0,561794820,,-493683030.0,,3946344600.0,1431134850.0,2644674810.0,,,,6296213430.0,4683359550.0,,8807523630.0,,,-1651069470.0,3055687380.0,,,19103895450.0,,11339111490.0,,,,,43698357300.0,-3548590500.0,,,1431134850.0,5086573020.0,5269851870.0,,,,6296213430.0,,-2260959090.0,,12410707830.0,,6562942650.0,,3280301460.0,4430668710.0,,,1043519580.0,1043519580.0,938231730.0,,,,,0.0,,,7486356090.0,,19975834830.0,938231730.0,938231730.0,,292466250.0,,,938231730.0,40008603090.0,7016070360.0,4683359550.0,-610669530.0,,,26932632030.0,,,,,43698357300.0,561794820,5913277620.0,,,31514603280.0,,1.063797,,,-2927002230.0,,,,,665263230.0,2002932551.0,,40008603090.0,1895961210.0,,,,-20032768260.0,,,,3280301460.0,,5913277620.0,2994854400.0,16765725270.0,,,,,2130714120.0,,11339111490.0,8807523630.0,-16194456200,-41335230.0,,,,1815630480.0,,,,,,,-3119640.0,,,,28010467650.0,17529257160.0,,,2002932551.0,,,,3635940420.0,,,19103895450.0,16765725270.0,,5269851870.0,12410707830.0,,19975834830.0,,5086573020.0,10481210490.0,-178599390.0,1895961210.0,,26932632030.0,,7385342740,1.063797,,,-492903120.0,-16194456200,,2130714120.0,31514603280.0,7016070360.0,,941351370.0,,,-20032768260.0,2130714120.0,,6050541780.0,,,,,,,,,,,,,,
,,583018725,,583018725,,,,,,,,,,,,,,,,,,1969086022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296086,,,,,,,,,,,,,,583018725,,,,,,,,,,,,,1969086022.0,,,,,,,,,,,,,,,,,,,,,,,,,,7556002269,,,,,,,,,,,,,,,,,,,0.296086,,,,,,,,,,,,,,,,,,,,,,,7556002269,,,,,7556002269,,,,,,,,,,,,,,,,,,,,,,,,,,
,,587787300,,587787300,,,,,,,,,,,,,,,,,,1969086022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298508,,,,,,,,,,,,,,587787300,,,,,,,,,,,,,1969086022.0,,,,,,,,,,,,,,,,,,,,,,,,,,7617803652,,,,,,,,,,,,,,,,,,,0.298508,,,,,,,,,,,,,,,,,,,,,,,7617803652,,,,,7617803652,,,,,,,,,,,,,,,,,,,,,,,,,,
,,586659250,,586659250,,,,,,,,,,,,,,,,,,1969086022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297935,,,,,,,,,,,,,,586659250,,,,,,,,,,,,,1969086022.0,,,,,,,,,,,,,,,,,,,,,,,,,,7603183970,,,,,,,,,,,,,,,,,,,0.297935,,,,,,,,,,,,,,,,,,,,,,,7603183970,,,,,7603183970,,,,,,,,,,,,,,,,,,,,,,,,,,
,,594189350,-3817285970.0,594189350,,-950505010.0,,4573351240.0,1778079110.0,1296800580.0,,,,5245855630.0,4651287830.0,,9570934640.0,,,-2993729220.0,3395464220.0,,,21668782430.0,,13399469190.0,,,,,47649788350.0,-832394920.0,,,1778079110.0,6009955600.0,6814229070.0,,,,5245855630.0,,-1609350410.0,,11675222570.0,,4706727260.0,,3557765160.0,4821623470.0,,,1035672830.0,1035672830.0,1050135290.0,,,,,0.0,,,8217087690.0,,20934410850.0,1050135290.0,1050135290.0,,-142214190.0,,,1050135290.0,44254324130.0,8540082630.0,4651287830.0,-698215430.0,,,27786403010.0,,,,,47649788350.0,594189350,5816319330.0,,,33344005000.0,,1.17628,,,-3048365180.0,,,,,455567490.0,2001366120.0,,44254324130.0,2603242800.0,,,,-23319913280.0,,,,3557765160.0,,5816319330.0,3162457920.0,19863385340.0,,,,,2354167100.0,,13399469190.0,9570934640.0,-17987928440,98023340.0,,,,2219184140.0,,,,,,,41780440.0,,,,30510166310.0,19130620700.0,,,2001366120.0,,,,1658362080.0,,,21668782430.0,19863385340.0,,6814229070.0,11675222570.0,,20934410850.0,,6009955600.0,11379545610.0,-743209750.0,2603242800.0,,27786403010.0,,7700614400,1.17628,,,-95612930.0,-17987928440,,2354167100.0,33344005000.0,8540082630.0,,1008354850.0,,,-23319913280.0,2354167100.0,,6557922140.0,,,,,,,,,,,,,,
,,623535231,,623535231,,,,,,,,,,,,,,,,,,2009166667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310345,,,,,,,,,,,,,,623535231,,,,,,,,,,,,,2009166667.0,,,,,,,,,,,,,,,,,,,,,,,,,,7397250256,,,,,,,,,,,,,,,,,,,0.310345,,,,,,,,,,,,,,,,,,,,,,,7397250256,,,,,7397250256,,,,,,,,,,,,,,,,,,,,,,,,,,
,,642080643,,642080643,,,,,,,,,,,,,,,,,,2009166667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319576,,,,,,,,,,,,,,642080643,,,,,,,,,,,,,2009166667.0,,,,,,,,,,,,,,,,,,,,,,,,,,7617261968,,,,,,,,,,,,,,,,,,,0.319576,,,,,,,,,,,,,,,,,,,,,,,7617261968,,,,,7617261968,,,,,,,,,,,,,,,,,,,,,,,,,,
