,annualGrossProfit,quarterlyPretaxIncome,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualTotalNonCurrentAssets,annualNetPPE,annualCapitalStock,trailingRepaymentOfDebt,quarterlyOperatingExpense,annualRepaymentOfDebt,trailingOperatingCashFlow,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,trailingNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,trailingChangeInCashSupplementalAsReported,quarterlyOtherCurrentAssets,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualOtherNonCashItems,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualGrossPPE,quarterlyCurrentDebt,quarterlyBasicAverageShares,trailingDepreciationAndAmortization,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyGrossPPE,annualCapitalExpenditure,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,trailingCapitalExpenditure,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,trailingOperatingExpense,trailingOtherNonCashItems,annualBeginningCashPosition,quarterlyOperatingIncome,trailingBeginningCashPosition,quarterlyCapitalExpenditure,trailingCashDividendsPaid,annualPurchaseOfInvestment,annualNetIncomeContinuousOperations,quarterlyTotalRevenue,trailingInterestExpense,trailingNetOtherFinancingCharges,annualInvestingCashFlow,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualChangeInInventory,trailingNetIncome,quarterlyDilutedAverageShares,annualGoodwill,quarterlyNetPPE,quarterlyTaxProvision,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualInterestExpense,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,annualResearchAndDevelopment,annualInventory,trailingChangeInInventory,quarterlyEbitda,annualDilutedEPS,quarterlyCurrentAssets,trailingFreeCashFlow,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,quarterlyCurrentLiabilities,annualFreeCashFlow,annualCommonStockIssuance,annualTotalRevenue,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCostOfRevenue,annualOperatingIncome,quarterlyRetainedEarnings,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,trailingResearchAndDevelopment,trailingCostOfRevenue,quarterlyFreeCashFlow,annualEndCashPosition,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualNetOtherInvestingChanges,trailingCommonStockIssuance,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,annualBasicEPS,annualTotalAssets,annualNonCurrentDeferredRevenue,annualNetIncome,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,quarterlyTotalAssets,trailingPurchaseOfInvestment,annualDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualOtherCurrentAssets,trailingOperatingIncome,annualPretaxIncome,annualAccountsPayable,trailingInvestingCashFlow,trailingEndCashPosition,trailingTaxProvision,quarterlyPurchaseOfInvestment,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualSaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,annualLongTermDebt,annualStockholdersEquity,annualAccountsReceivable,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,trailingPretaxIncome,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingSaleOfInvestment,annualRetainedEarnings,annualCurrentLiabilities,quarterlyAccountsReceivable,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyEndCashPosition,quarterlyInventory,annualEbitda,annualCurrentAssets,annualOperatingCashFlow,trailingNetOtherInvestingChanges,annualBasicAverageShares,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingOtherIncomeExpense,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,10276324000.0,,2817755000.0,13577852000.0,,,,20635688000.0,13834782000.0,,,,-8331452000.0,,,,,,1237153000.0,,,,-7166000.0,12906000.0,,,247649000.0,,,13834782000.0,,,,,,,,-3616249000.0,,8758484000.0,3050000.0,,,,,,12790668000.0,,,,,-1487517000.0,272195000.0,,,,-4280877000.0,304065000.0,-85809000.0,-5502546000.0,,,3059000.0,,,,-5190888000.0,339395000.0,,,,,,,15718441000.0,,,,,,,226384000.0,,-5503138000.0,304065000.0,90530566000.0,,,80254242000.0,1517840000.0,,,,,,,12704859000.0,120942000.0,77981333000.0,75561000.0,,,,,85194162000.0,,348096000.0,,10096745000.0,,,,,-633740000.0,8000000.0,,393137000.0,24426343000.0,,,,,27748000.0,6294779000.0,78919000.0,,,,,3668639000.0,3515663000.0,20850805000.0,,,,2106852000.0,13351468000.0,,,,,63590019000.0,,,,,,2839384000.0,64558474000.0,-1886889000.0,,,14391314000.0,348096000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,12896342000.0,,2827961000.0,17344743000.0,,,,22450698000.0,14563884000.0,,,,-12386784000.0,,,,,,2213081000.0,,,,-138497000.0,11733000.0,,,525612000.0,,,14563884000.0,,,,,,,,-3581245000.0,,10888878000.0,1413000.0,,,,,,12704859000.0,,,,,-1091338000.0,578600000.0,,,,-3568252000.0,330579000.0,3435105000.0,-6512387000.0,,,215024000.0,,,,79783000.0,604188000.0,,,,,,,22230828000.0,,,,,,,154799000.0,,204456000.0,330579000.0,115797793000.0,,,102901451000.0,2007464000.0,,,,,,,16139964000.0,253806000.0,95323438000.0,148089000.0,,,,,103741092000.0,,319673000.0,,13366977000.0,,,,,-927895000.0,90000000.0,,832406000.0,30227595000.0,,,,,144891000.0,7489460000.0,395233000.0,,,,,3567719000.0,4143029000.0,25425199000.0,,,,2094355000.0,17189944000.0,,,,,81516298000.0,,,,,,3530949000.0,81290394000.0,3785701000.0,,,13807140000.0,319673000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,17093697000.0,,2821335000.0,31254174000.0,,,,25667397000.0,17010611000.0,,,,-21526304000.0,,,,,,2617374000.0,,,,-9938000.0,21004000.0,,,632137000.0,,,17010611000.0,,,,,,,,-7017753000.0,,13422149000.0,1091000.0,,,,,,16139964000.0,,,,,-2258517000.0,2321588000.0,,,,-8294933000.0,86806000.0,13598185000.0,-11039770000.0,,,212458000.0,,,,2338053000.0,766169000.0,,,,,,,33270598000.0,,,,,,,10156000.0,,1002586000.0,86806000.0,159518471000.0,,,142424774000.0,3671548000.0,,,,,,,29738149000.0,636287000.0,133572952000.0,-275947000.0,,,,,143427794000.0,,1646282000.0,,26809346000.0,,,,,-1467900000.0,190558000.0,,2957875000.0,44150403000.0,,,,,121399000.0,8567433000.0,401744000.0,,,,,5099884000.0,6598177000.0,31182582000.0,,,,2474552000.0,31244018000.0,,,,,118682479000.0,,,,,,6198596000.0,117760397000.0,8020339000.0,,,14890473000.0,1646282000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175299200,,341335995.18,,,,,-237776100.0,,,,,3075071409.55,,,,-5198526754.4,,,,-262805047.87,,,,,18208461407.53,,,,,,,21002348847.0,,160673333.17,124005285.6,0.01,,,,,,,,,,,,513732047.14,,-1641669966.36,,,,32436723396.29,,,,,,,,,,,88882619.67,,,,,,848179929.75,,1778293018.0,,,,502009328.35,,,,-339266543.88,,,,,,,,,,,2145120579.09,,,,-2808357559.63,,,,,,,,,,,,210023488.47,,,,,,,,,,,,,,-715713745.47,,,,,0.01,1889980128.28,3588803456.69,,,,,,,,,252453375.51,210023488.47,,,,,-2623456539.23,28847919939.6,19056641337.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183161600,,1899146004.82,,,,2844936000.0,-47291900.0,,,,,2586554590.45,,,8356389000.0,-15749917245.6,40660000.0,,,790001047.87,,95000000.0,,,19056641337.28,12800000000.0,,22277393000.0,22189554000.0,,27525379000.0,,,573121666.83,946287714.4,,19398058000.0,,,,,,44067031000.0,,,,,2281826952.86,,-2843660033.64,,,,43241279603.71,,,,,,,,,,19398058000.0,606684380.33,,,,,2663974000.0,-10984623929.75,87839000.0,-638515018.0,,,,2472267671.65,,122738093000.0,,-811309456.12,,125121338000.0,,,,,16965400000.0,,,1376855000.0,1115366420.91,,,,-6158278440.37,,,,,,796942000.0,30203609000.0,,,,,1166831511.53,,152941702000.0,,,71709000.0,,,,,,,,,-3943478254.53,,,,142086738000.0,,-750202128.28,4868381543.31,,,,7362145000.0,97015000.0,,,,1292461624.49,1166831511.53,,,,31312727000.0,-4656127460.77,38372898060.4,19601705000.0,45753789000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,18650229000.0,,6163290000.0,59061890000.0,,,,43222614000.0,25952813000.0,21299900000.0,,,-43960785000.0,,,,,,2078498000.0,,,,-656395000.0,76959000.0,,,917568000.0,,,25952813000.0,,,,,,,,-11005224000.0,,13967264000.0,314960000.0,,,,,,29738149000.0,,,,,-6999479000.0,3500533000.0,,,,-15586867000.0,47899331000.0,26987495000.0,-15843500000.0,,,797680000.0,,,,-6883490000.0,1705803000.0,,,,,,,49338522000.0,,,0.24,,,,165792000.0,,-10983786000.0,47990902000.0,180506820000.0,,,161856591000.0,4682965000.0,,,,,,,56725644000.0,828330000.0,156283250000.0,724968000.0,,,,0.24,215212719000.0,208586000.0,3163308000.0,,26891765000.0,,,,,-2724898000.0,271883000.0,,4328863000.0,54119879000.0,,,,,1141022000.0,8513367000.0,2887325000.0,,,,,10239173000.0,55422832000.0,39940782000.0,,,,2945031000.0,58896098000.0,,,,2816838000.0,136483826000.0,,,,,,8979697000.0,171990105000.0,21438000.0,,13180450000.0,19799424000.0,3163308000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206921600,,727333578.37,,,,6202091571.46,-101500000.0,,,,,2865274889.21,,,55805757774.56,-7974847447.57,192027896.21,,,-155900878.59,,389053982.3,,,58629569510.33,21299900000.0,,57455387687.34,57289900498.04,,25937690990.87,26242144821.0,,736407243.47,103309996.95,0.02,26558636927.16,,,,,,46549178318.69,,,,,1299711736.31,,-2649490341.32,,,,34943024524.81,,,,,,,,,,26558636927.16,96504831.7,,,,,4363089796.4,-1464904585.26,165487189.3,2239842475.5,,,,1463740821.84,,175123954110.19,,-546420252.73,,136482232294.44,,,,,22247369561.67,,,3341681203.03,1837532657.52,,,,-5164607317.08,,,,,,873647441.32,43444822889.13,,,,,524842896.42,,218568776999.32,,,86419708.3,,,,,,,,,-1257126217.36,,,,158729601856.11,0.02,2112778392.94,4164986625.52,,,,12902434584.3,1151909742.35,,,,630828746.67,524842896.42,,,,33738222423.37,-4017780424.54,30778037899.29,57164664925.07,54443854916.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214784000,,2045496421.63,,,,6153123000.0,64289000.0,,,,,4524738110.79,,,56631501000.0,-7356828552.43,135106000.0,,,376817878.59,,393645000.0,,,57164664925.07,21299900000.0,,53675658000.0,53515255000.0,,31451693000.0,,,52366756.53,743517003.05,,28967253000.0,,,,,,52674894000.0,,,,,1846082263.69,,-4229845658.68,,,,60270769475.19,,,,,,,,,,28967253000.0,517526168.3,,,,,2386574000.0,-3860779414.74,160403000.0,-1572361475.5,,,,2097863178.16,,187700398000.0,,-554669747.27,,150038253000.0,,,,,23269149000.0,,,4694062000.0,2745359342.48,,,,-5232888682.92,,,,,,915088000.0,46425234000.0,,,,,1358685103.58,,234125632000.0,,,291413000.0,,,,,,,,,-43330782.64,,,,173307402000.0,,-1445297392.94,6370820374.48,,,,13647936000.0,1512326000.0,,,,1527970253.33,1358685103.58,,,,36760816000.0,-2654469575.46,53899949100.71,51399960000.0,66211447000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222732800,,-420925000.0,,,,14922832000.0,,,,,,4494489000.0,,,55791373000.0,-1376599000.0,103477000.0,,,78045000.0,,377595000.0,,,51399960000.0,21299900000.0,,50364530000.0,50106629000.0,,35675094000.0,18349133333.0,,1974832000.0,174517000.0,-0.03,22515352000.0,,,,,,54869817000.0,207015000.0,,,,1902168000.0,,-5891994000.0,,,,58701867000.0,,,,,,,,18349133333.0,,22515352000.0,57895000.0,,,,,2770313000.0,-3408626000.0,257901000.0,403270000.0,,,,1553907000.0,,198362455000.0,,-302965000.0,,161833210000.0,,,,,26372789000.0,,,3790779000.0,2760229000.0,,,,-9433184000.0,,,,,,963911000.0,50296569000.0,,,,,-550474000.0,,248659024000.0,,,76774000.0,,,,,,,,,-1920563000.0,,,,188205999000.0,-0.03,403270000.0,6396657000.0,,,,16953238000.0,1659847000.0,,,,-478820000.0,-550474000.0,,,,38971123000.0,-7496305000.0,52305210000.0,47991334000.0,72246721000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
