date,trailingChangeInCashSupplementalAsReported,annualGrossPPE,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualDilutedAverageShares,quarterlyOtherIntangibleAssets,annualInterestExpense,annualRepaymentOfDebt,quarterlyOperatingExpense,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,trailingCapitalExpenditure,annualCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlySaleOfInvestment,annualDilutedEPS,quarterlyOtherCurrentAssets,annualCashFlowFromContinuingFinancingActivities,quarterlyAccountsPayable,quarterlyCapitalStock,annualBasicAverageShares,trailingInterestExpense,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,quarterlyStockBasedCompensation,annualOtherNonCashItems,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,annualNetOtherFinancingCharges,annualChangeInInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyEbitda,quarterlyOperatingIncome,trailingStockBasedCompensation,trailingDepreciationAndAmortization,trailingNetOtherFinancingCharges,trailingTaxProvision,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualStockBasedCompensation,annualOperatingExpense,annualCapitalStock,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualCostOfRevenue,quarterlyOperatingCashFlow,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualGrossProfit,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualInventory,trailingBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,trailingNetIncome,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualChangesInAccountReceivables,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyTaxProvision,annualNetOtherInvestingChanges,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,quarterlyAccountsReceivable,annualRetainedEarnings,quarterlyGoodwill,annualNetIncome,annualPretaxIncome,quarterlyTotalAssets,annualCommonStockIssuance,annualGoodwill,quarterlyBasicAverageShares,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,annualCashDividendsPaid,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,annualAccountsReceivable,trailingChangeInWorkingCapital,annualAccountsPayable,trailingInvestingCashFlow,annualTotalRevenue,annualOtherCurrentAssets,annualPurchaseOfInvestment,trailingOperatingIncome,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,annualInvestingCashFlow,annualTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalAssets,annualEndCashPosition,annualLongTermDebt,annualStockholdersEquity,trailingTotalRevenue,annualOperatingIncome,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyDilutedAverageShares,annualBasicEPS,annualCurrentAccruedExpenses,annualCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,trailingEndCashPosition,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,annualSaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,trailingRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashDividendsPaid,annualNetPPE,annualOperatingCashFlow,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,trailingPretaxIncome,annualOtherNonCurrentAssets,annualCurrentAssets,annualEbitda,annualRepurchaseOfCapitalStock,trailingGrossProfit,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,trailingOtherIncomeExpense,trailingCashFlowFromContinuingFinancingActivities,trailingBasicEPS,trailingCommonStockIssuance,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlySellingGeneralAndAdministration,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,quarterlyChangesInAccountReceivables,trailingResearchAndDevelopment,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingCostOfRevenue,trailingRepaymentOfDebt,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingOperatingExpense,quarterlyNonCurrentDeferredRevenue
1980-12-31,1205000000.0,2244036256.0,5625000000.0,,,,290042907.0,1169252161.0,1424235612.0,,,,,74170404.0,0.0,-1429000000.0,,,,1697372908.0,2450370384.0,,0.203648,,,,,1424235612.0,821000000.0,,,68371072.0,,,,290042907.0,,,,,,,,,,151000000.0,1982000000.0,-464000000.0,2263000000.0,,280199304.0,,2581236889.0,,629000000.0,,4874109625.0,,,,3068075549.0,,,6680000000.0,,,,-848152305.0,,2321869396.0,500573920.0,-4209000000.0,1359180284.0,3090000000.0,,,5625000000.0,6026000000.0,,,,,,,,,,,,,-9000000.0,,2188103225.0,,290042907.0,555209732.0,,,,,0.0,,,,,,,-9000000.0,,-2237000000.0,7942185174.0,0.0,,51980000000.0,,,,,0.0,265166825.0,,4609782177.0,0.0,297673607.0,2287912781.0,51980000000.0,486838660.0,,422893394.0,,,0.203648,,1449451465.0,,,4116000000.0,,,,,,-201000000.0,,,,,,8109000000.0,,,,,872417931.0,,1395883951.0,0.0,,422893394.0,,8289000000.0,301488957.0,2912409269.0,617705165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,2498298418.0,,,,,350442554.0,1359152564.0,1423486211.0,,,,,86895732.0,0.0,,,,,1901097814.0,2769224920.0,,0.246186,,,,,1423486211.0,,,,71121666.0,,,,350442554.0,,,,,,,,,,,,,,,296939874.0,,2915803814.0,,,,5274257296.0,,,,3452952272.0,,,,,,,-921998770.0,,2636206188.0,593326272.0,,1493554986.0,,,,,,,,,,,,,,,,,,,,2439260978.0,,350442554.0,608270124.0,,,,,0.0,,,,,,,,,,8727209568.0,92246.0,,,,,,,0.0,257827570.0,,5140592842.0,0.0,299891746.0,2504386654.0,,537148458.0,,532443912.0,,,0.246186,,1656092438.0,,,,,,,,,,,,,,,,,,,,980113750.0,,1576299648.0,0.0,,532443912.0,,,324798166.0,3239495028.0,683727352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,2779743885.0,,,,,301272372.0,217275651.0,3382407285.0,,86992914.0,,,108276216.0,0.0,,,,,2101881048.0,2110559676.0,,0.212544,,,,,3382407285.0,,,,166547004.0,,,,301272372.0,,,,,,,,,,,,,,,1488591336.0,,22043450785.39948,,,,6373625730.0,,,,2743169667.0,,,,,,,-1049907354.0,,6886910433.7859,635812818.0,,1507498347.0,,,,,,,,,,,,,,,,,,,,2565051159.0,,301272372.0,1209254072.292269,,,,,0.0,,,,,,,,,,22043450785.39948,0.0,,,,,,,0.0,245171241.0,,5373827121.0,0.0,303958614.0,4838684225.820512,,0.0,,493441992.0,,,0.212544,,4101456225.885088,,,,,,,,,,,,,,,,,,,,2785454207.900812,,1729836531.0,0.0,,493441992.0,,,372044517.0,3271946073.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,3083989625.0,,,,,298193475.0,1470073300.0,3382407285.0,,77175225.0,,,352542225.0,0.0,,,,,2262961175.0,2198105000.0,,0.208168,,,,,3382407285.0,,,,149157125.0,,,,298193475.0,,,,,,,,,,,,,,,377180325.0,,23431708359.904922,,,,6510014050.0,,,,2883986225.0,,,,,,,-1175382300.0,,7758055539.451562,571869625.0,,1610413850.0,,,,,,,,,,,,,,,,,,,,2899807750.0,,298193475.0,1346106658.357006,,,,,0.0,,,,,,,,,,23431708359.904922,-120775.0,,,,,,,0.0,256163775.0,,5992493175.0,0.0,215824925.0,5419435909.328077,,0.0,,714021800.0,,,0.208168,,4642229984.346919,,,,,,,,,,,,,,,,,,,,3115825555.104644,,1908607325.0,0.0,,714021800.0,,,354353850.0,3729532000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051818,1978119060.0,,,,,,,,,1978119060.0,1978119060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051818,,,,,,,,,,,,,3382407285.0,,,,,,,,,,,,,,,,,70247691.0,,,,,,,,,,,,,,3382407285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055407,2115130680.0,,,,,,,,,2115130680.0,2115130680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055407,,,,,,,,,,,,,3382407285.0,,,,,,,,,,,,,,,,,75113298.0,,,,,,,,,,,,,,3382407285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060214,2298650520.0,,,,,,,,,2298650520.0,2298650520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060214,,,,,,,,,,,,,3382407285.0,,,,,,,,,,,,,,,,,81630522.0,,,,,,,,,,,,,,3382407285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,3591661356.0,,,,5474343578.957154,339242166.0,1905018534.0,3382407285.0,,84845718.0,,,427183416.0,0.0,,,681720570.0,681720570.0,2645554212.0,2179113822.0,,0.242521,140706.0,,,,3382407285.0,,,,166314492.0,,,19547160026.33426,339242166.0,,,,,,,,-6895816186.0,-6895816186.0,,,,,-1365270318.0,949343382.0,,26442976212.33426,,,,6636820608.0,,,,2919649500.0,4330508562.0,,,3591661356.0,6321329831.6154,,-1365270318.0,,9961081566.011644,605176506.0,,2094268104.0,,,,,,,,2226391038.0,1905018534.0,,2617835130.0,,,,,,,,,2617835130.0,,339242166.0,1512475451.175438,6976062774.0,,,,0.0,2645554212.0,373574430.0,,,,,,,,26442976212.33426,140706.0,,,,427183416.0,94485974.0,,0.0,275643054.0,3639751734.396244,6976062774.0,0.0,373574430.0,5474343578.957154,,0.0,,681720570.0,949343382.0,,0.242521,,6321329831.6154,,,,,,,9961081566.011644,419163174.0,,,,605176506.0,,,,,2094268104.0,,,3639751734.396244,,2226391038.0,0.0,,681720570.0,,,419163174.0,4330508562.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091808,3229106134.0,,,,,,,,,3229106134.0,3229106134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091808,,,,,,,,,,,,,3382407285.0,,,,,,,,,,,,,,,,,129345880.0,,,,,,,,,,,,,,3382407285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.090552,3184917773.0,,,,,,,,,3184917773.0,3184917773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.090552,,,,,,,,,,,,,3382407285.0,,,,,,,,,,,,,,,,,127575860.0,,,,,,,,,,,,,,3382407285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
