,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,trailingNetOtherInvestingChanges,annualNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualTotalLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,annualGoodwill,annualCommonStockIssuance,quarterlyTotalAssets,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,trailingPretaxIncome,annualNetIncome,annualRetainedEarnings,trailingChangeInWorkingCapital,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,annualOtherCurrentAssets,annualCostOfRevenue,trailingOperatingIncome,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,quarterlyNetIncomeContinuousOperations,annualPretaxIncome,annualInvestingCashFlow,annualEndCashPosition,annualCurrentDebt,annualTaxProvision,annualTotalAssets,trailingTaxProvision,trailingEndCashPosition,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,annualOperatingIncome,trailingInvestingCashFlow,annualAccountsPayable,annualOtherNonCashItems,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualStockholdersEquity,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,annualDepreciationAndAmortization,annualSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyInventory,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,annualAccountsReceivable,trailingOperatingCashFlow,annualCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,quarterlyDilutedEPS,annualOtherIntangibleAssets,annualNetPPE,annualCurrentLiabilities,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualBasicAverageShares,annualEbitda,annualOperatingCashFlow,trailingNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,quarterlyOtherIntangibleAssets,annualChangeInCashSupplementalAsReported,quarterlyOperatingExpense,trailingGrossProfit,quarterlyDilutedAverageShares,annualRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingDeferredIncomeTax,trailingOtherIncomeExpense,annualBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,annualSellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,quarterlyAccountsPayable,trailingChangeInCashSupplementalAsReported,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualGrossPPE,annualTotalNonCurrentAssets,trailingRepaymentOfDebt,trailingCapitalExpenditure,quarterlyCapitalStock,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,annualNetOtherFinancingCharges,annualNonCurrentDeferredTaxesLiabilities,quarterlyOperatingIncome,annualChangeInInventory,annualDilutedEPS,annualDilutedAverageShares,annualCapitalExpenditure,trailingOtherNonCashItems,quarterlyAccumulatedDepreciation,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualCapitalStock,annualTotalRevenue,trailingResearchAndDevelopment,quarterlyOtherNonCashItems,trailingCostOfRevenue,annualChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,trailingBeginningCashPosition,annualDeferredIncomeTax,trailingFreeCashFlow,annualInterestExpense,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingCashDividendsPaid,quarterlyCurrentAssets,annualAccumulatedDepreciation,trailingNetIncome,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,annualGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyEbitda,quarterlyNetPPE,annualInventory,quarterlyResearchAndDevelopment,trailingOperatingExpense,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyChangeInInventory,annualInvestmentsAndAdvances,quarterlyStockBasedCompensation,trailingChangeInInventory,trailingChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingInterestExpense,annualStockBasedCompensation,trailingBasicEPS,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyChangesInAccountReceivables,trailingDilutedAverageShares
315446400,,,,,,,,,1431300000.0,,,,,0.0,,,153300000.0,812500000.0,,,,,48300000.0,2394400000.0,,607800000.0,,,,,,294800000.0,0.0,0.0,107100000.0,141500000.0,2360300000.0,,,,,351200000.0,,,,,30000000.0,929000000.0,,,,,,,,,,,,,,,,,,,,1377700000.0,760700000.0,,,,,100000000.0,780100000.0,670600000.0,,102500000.0,310204082.0,444600000.0,0.0,,73300000.0,,563500000.0,152000000.0,,30000000.0,0.49,,,,,,,,,,,0.0,,,,,520900000.0,,,,,,30500000.0,,1181700000.0,982600000.0,,,,,,153300000.0,,,,,,,79600000.0,,,0.465,326881720.0,,,,,614300000.0,,3359900000.0,,,,,,,,,,86900000.0,,,,,-401600000.0,,,,,965500000.0,,,,,,782800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347068800,,,,,,,,,1298800000.0,,,,,0.0,,,105700000.0,880400000.0,,,,,45900000.0,2296200000.0,,517000000.0,,,,,,176700000.0,0.0,0.0,81700000.0,71000000.0,2302500000.0,,,,,227100000.0,,,,,21400000.0,1003700000.0,,,,,,,,,,,,,,,,,,,,1280200000.0,691400000.0,,,,,95000000.0,820500000.0,607400000.0,,106800000.0,314887218.0,323200000.0,0.0,,79300000.0,,525700000.0,104700000.0,,21400000.0,0.3325,,,,,,,,,,,0.0,,,,,557100000.0,,,,,,38800000.0,,1269800000.0,1022300000.0,,,,,,105700000.0,,,,,,,95100000.0,,,0.3325,314887218.0,,,,,653200000.0,,3176500000.0,,,,,,,,,,89200000.0,,,,,-449300000.0,,,,,880300000.0,,,,,,718900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378604800,,,,,,,,,1267300000.0,,,,,0.0,,,127700000.0,915300000.0,,,,,41800000.0,2013000000.0,,544800000.0,,,,,,214000000.0,0.0,0.0,51900000.0,86300000.0,2281600000.0,,,,,233000000.0,,,,,104700000.0,1014300000.0,,,,,,,,,,,,,,,,,,,,1079100000.0,722500000.0,,,,,89800000.0,787600000.0,544800000.0,,325100000.0,325128205.0,319200000.0,0.0,,91000000.0,,492900000.0,126800000.0,,104700000.0,0.39,,,,,,,,,,,0.0,,,,,509400000.0,,,,,,53000000.0,,1231100000.0,1202500000.0,,,,,,127700000.0,,,,,,,86700000.0,,,0.3775,335894040.0,,,,,595600000.0,,2841600000.0,,,,,,,,,,72000000.0,,,,,-443500000.0,,,,,828600000.0,,,,,,530100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410140800,,,,,,,,,1228600000.0,,,,,0.0,,,-189700000.0,676200000.0,,,,,138500000.0,1776100000.0,,380300000.0,,,,,,-123100000.0,0.0,0.0,45000000.0,-52100000.0,2030100000.0,,,,,74200000.0,,,,,53000000.0,801500000.0,,,,,,,,,,,,,,,,,,,,969800000.0,653600000.0,,,,,97000000.0,758000000.0,575000000.0,,205300000.0,337244444.0,168000000.0,0.0,,223600000.0,,530000000.0,-189700000.0,,53000000.0,-0.5625,,,,,,,,,,,0.0,,,,,508500000.0,,,,,,-129500000.0,,1265200000.0,1060300000.0,,,,,,-71000000.0,,,,,,,49700000.0,,,-0.5625,337244444.0,,,,,602300000.0,,2452600000.0,,,,,,,,,,67700000.0,,,,,-507200000.0,,,,,676500000.0,,,,,,442600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441676800,,,,,,,,,1292000000.0,,,,,0.0,,,93300000.0,744000000.0,,,,,156000000.0,1885400000.0,,417200000.0,,,,,,116200000.0,0.0,0.0,30500000.0,22900000.0,2279100000.0,,,,,174000000.0,,,,,361100000.0,987100000.0,,,,,,,,,,,,,,,,,,,,1339100000.0,695800000.0,,,,,89700000.0,712200000.0,596200000.0,,138100000.0,359607843.0,265200000.0,0.0,,170400000.0,,565700000.0,91700000.0,,361100000.0,0.255,,,,,,,,,,,0.0,,,,,523500000.0,,,,,,-9400000.0,,1201100000.0,940000000.0,,,,,,93300000.0,,,,,,,108200000.0,,,0.2475,370505051.0,,,,,614700000.0,,2674100000.0,,,,,,,,,,48500000.0,,,,,-488900000.0,,,,,788700000.0,,,,,,393900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59800000.0,,,,,,,,,385544000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1475,,,,,,,,,,,,,,,,,,,,,385544000.0,,,,,,,,,,,,,,0.155,,,,,,,,,,,,,,,,815100000.0,,,,815100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71600000.0,,,,,,,,,385544000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1775,,,,,,,,,,,,,,,,,,,,,385544000.0,,,,,,,,,,,,,,0.185,,,,,,,,,,,,,,,,897500000.0,,,,897500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58000000.0,,,,,,,,,387000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1425,,,,,,,,,,,,,,,,,,,,,387000000.0,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,866500000.0,,,,866500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,,,,,,780800000.0,,,1410500000.0,,,,2611900000.0,0.0,926900000.0,,254400000.0,961900000.0,,441100000.0,,,167900000.0,2424800000.0,,441100000.0,190900000.0,,,,65000000.0,411100000.0,0.0,0.0,36800000.0,156700000.0,2611900000.0,,,,,405700000.0,,,,36800000.0,492700000.0,1201400000.0,,,,,,,,,,,,461700000.0,,,111300000.0,148800000.0,1410500000.0,,,1685000000.0,780800000.0,,,,,87900000.0,727700000.0,629700000.0,,111300000.0,388396947.0,497400000.0,0.0,,190900000.0,1201400000.0,592900000.0,254400000.0,,492700000.0,0.655,87900000.0,,,,,,492700000.0,492700000.0,,,0.0,,,,,587600000.0,167900000.0,,,,,57200000.0,,1259000000.0,926900000.0,,,,,,254400000.0,,,,930700000.0,,,148800000.0,-2173400000.0,,0.625,407040000.0,,,-531300000.0,,679300000.0,,3509800000.0,,,,,,,,,,51800000.0,1259000000.0,629700000.0,,1685000000.0,-531300000.0,,961900000.0,,,1085000000.0,,,,-2173400000.0,727700000.0,461700000.0,,,,,,592900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
481075200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65900000.0,,,,,,,,,390760000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,390760000.0,,,,,,,,,,,,,,0.1675,,,,,,,,,,,,,,,,909200000.0,,,,909200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
