date,quarterlyBeginningCashPosition,annualRepaymentOfDebt,annualEbitda,quarterlyCapitalStock,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingGrossProfit,quarterlyOperatingExpense,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,annualDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualBeginningCashPosition,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,annualDilutedEPS,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,annualTotalNonCurrentAssets,trailingCapitalExpenditure,annualBasicAverageShares,quarterlyChangesInAccountReceivables,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,annualGrossPPE,annualSellingGeneralAndAdministration,quarterlyInterestExpense,trailingDepreciationAndAmortization,trailingPurchaseOfBusiness,quarterlyResearchAndDevelopment,trailingOtherNonCashItems,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualInvestingCashFlow,annualCapitalExpenditure,trailingSellingGeneralAndAdministration,trailingNetOtherFinancingCharges,annualChangeInInventory,quarterlyTotalRevenue,annualOperatingExpense,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,annualPurchaseOfInvestment,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,trailingDeferredIncomeTax,trailingBeginningCashPosition,annualInterestExpense,trailingChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,trailingResearchAndDevelopment,annualGoodwill,annualTotalRevenue,quarterlyTaxProvision,annualCapitalStock,trailingNetIncome,trailingCostOfRevenue,quarterlyBasicAverageShares,annualStockBasedCompensation,quarterlyNetPPE,annualChangesInAccountReceivables,annualDeferredIncomeTax,trailingOperatingExpense,quarterlyStockBasedCompensation,quarterlyEbitda,annualNetOtherFinancingCharges,annualInventory,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualResearchAndDevelopment,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,trailingChangeInInventory,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,trailingChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyRetainedEarnings,annualFreeCashFlow,annualCommonStockIssuance,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,trailingChangeInAccountPayable,trailingPretaxIncome,quarterlySellingGeneralAndAdministration,annualNetOtherInvestingChanges,annualRetainedEarnings,annualPretaxIncome,annualEndCashPosition,trailingPurchaseOfInvestment,annualTaxProvision,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualTotalAssets,annualCostOfRevenue,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,annualLongTermDebt,annualNetIncome,annualCurrentDebt,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,annualOperatingIncome,trailingEndCashPosition,quarterlyDepreciationAndAmortization,trailingTaxProvision,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,annualAccountsPayable,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualOtherNonCashItems,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,annualSaleOfInvestment,annualBasicEPS,annualInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualDepreciationAndAmortization,trailingSaleOfInvestment,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,annualCurrentAssets,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInventory,annualNetPPE,annualCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,quarterlyCurrentAccruedExpenses,annualOtherShortTermInvestments,quarterlyAccountsReceivable,trailingNetOtherInvestingChanges,annualOperatingCashFlow,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingRepaymentOfDebt,trailingBasicAverageShares,trailingRepurchaseOfCapitalStock,trailingBasicEPS,trailingDilutedEPS,trailingDilutedAverageShares,trailingCommonStockIssuance
1979-09-30,,,64400000.0,,-301900000.0,,,,441873000.0,,25600000.0,,34500000.0,,-74817000.0,,,100864000.0,,,0.0,,23616000.0,0.020625,,-263840000.0,6900000.0,18468000.0,,-85200000.0,-547496000.0,100864000.0,,,,-309867000.0,,,203300000.0,9800000.0,,578198000.0,-2781000.0,,9776000.0,,-72225000.0,22700000.0,,,,,,,33682000.0,0.0,,198218000.0,-843000.0,,,31400000.0,,,33100000.0,,,,,-13770000.0,347942000.0,3300000.0,65308000.0,,-313120000.0,26365000.0,,146500000.0,,,-72380000.0,2404392000.0,,,,,,224583000.0,,,,11400000.0,,,,,,-6049000.0,81200000.0,,-84800000.0,30731000.0,-188900000.0,,,,0.0,,,,,,284978000.0,,,-10698000.0,-60968000.0,,,154100000.0,53300000.0,0.0,-90742000.0,20200000.0,,2700000.0,0.0,65300000.0,,,217290000.0,2846265000.0,,42800000.0,33100000.0,21900000.0,,,,49800000.0,366410000.0,,11257000.0,-504139000.0,,,,,,,,,,,,,0.020625,,,188900000.0,,,,84321000.0,34500000.0,,,,85200000.0,,832474000.0,,,,,,118500000.0,47500000.0,,,33100000.0,-203700000.0,,,,,52559000.0,0.0,,-236400000.0,,,,,,,
1980-09-30,,,87400000.0,,5600000.0,,,,,,46100000.0,,21500000.0,,,,,101928000.0,,,0.0,,,0.058125,,,13300000.0,,,283300000.0,,101928000.0,,,,,,,267500000.0,12100000.0,,,,,,,,26400000.0,,,,,,,,0.0,,,,,,46400000.0,,,47200000.0,,,,,,,6800000.0,,,,,,198300000.0,,,,,,,,,,,,,,12200000.0,,,,,,,113500000.0,,-103700000.0,,137800000.0,,,,0.0,,,,,,,,,,,,,196500000.0,73700000.0,0.0,,26500000.0,,2700000.0,374200000.0,84800000.0,,,,,,47800000.0,47200000.0,11900000.0,,,,67100000.0,,,,,,,,,,,,,,,,,0.058125,,,236400000.0,,,,,21500000.0,,,,90900000.0,,,,,,,,163800000.0,58000000.0,,,47200000.0,119500000.0,,,,,,0.0,,79800000.0,,,,,,,
1981-09-30,,,121900000.0,,6700000.0,,,,,,75700000.0,,22600000.0,,,,,102396000.0,,,0.0,,,0.185,,,26300000.0,,,410500000.0,,102396000.0,,,,,,,385400000.0,23400000.0,,,,,,,,34800000.0,,,,,,,,0.0,,,,,,74300000.0,,,75300000.0,,,,,,,7600000.0,,,,,,287600000.0,,,,,,,,,,,,,,31900000.0,,,,,,,169300000.0,,-131200000.0,,239700000.0,,,,0.0,,,,,,,,,,,,,265700000.0,113700000.0,0.0,,38400000.0,,4400000.0,546400000.0,118300000.0,,,,,,99500000.0,75300000.0,23000000.0,,,,95000000.0,,,,,,,,,,,,,,,,,0.185,,,306700000.0,,,,,22600000.0,,,,135900000.0,,,,,,,,254200000.0,98700000.0,,,75300000.0,156300000.0,,,,,,0.0,,141000000.0,,,,,,,
1982-09-30,,,143700000.0,,6300000.0,,,,,,57500000.0,,28800000.0,,,,,100612000.0,,,0.0,,,0.18625,,,22500000.0,,,472400000.0,,100612000.0,,,,,,,484300000.0,44400000.0,,,,,,,,54000000.0,,,,,,,,0.0,,,,,,104700000.0,,,75700000.0,,,,,,,12800000.0,,,,,,338200000.0,,,,,,,,,,,,,,50500000.0,,,,,,,209500000.0,,-173800000.0,,250500000.0,,,,0.0,,,,,,,,,,,,,334100000.0,114400000.0,0.0,,38700000.0,,7200000.0,616200000.0,128700000.0,,,,,,105600000.0,75700000.0,27100000.0,,,,104800000.0,,,,,,,,,,,,,,,,,0.18625,,,365700000.0,,,,,28800000.0,,,,143800000.0,,,,,,,,310500000.0,84600000.0,,,75700000.0,161900000.0,,,,,,0.0,,165900000.0,,,,,,,
1983-09-30,,,86100000.0,,5800000.0,,,,,,31400000.0,,62800000.0,,,,,107056000.0,,,0.0,,,0.11875,,,32100000.0,,,477200000.0,,107056000.0,,,,,,,522800000.0,22700000.0,,,,,,,,60500000.0,,,,,,,,0.0,,,,,,80000000.0,,,47800000.0,,,,,,,9800000.0,,,,,,208100000.0,,,,,,,,,,,,,,23100000.0,,,,,,,125800000.0,,-219400000.0,,194500000.0,,,,0.0,,,,,,,,,,,,,373700000.0,68200000.0,0.0,,20400000.0,,4100000.0,599800000.0,82300000.0,,,,,,93200000.0,47800000.0,3600000.0,,,,45800000.0,,,,,,,,,,,,,,,,,0.11875,,,405300000.0,,,,,62800000.0,,,,122600000.0,,,,,,,,303400000.0,35000000.0,,,47800000.0,173800000.0,,,,,,0.0,,159500000.0,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0075,,,,,,,,,43200000.0,,,,,,,,,,,,,,,43200000.0,,,,,,,,,,,,,,,,,,,,,,100580000.0,,,,,,,43200000.0,,,,,,,,,,,,,,,,,,,0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100580000.0,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175,,,,,,,,,43100000.0,,,,,,,,,,,,,,,43100000.0,,,,,,,,,,,,,,,,,,,,,,100580000.0,,,,,,,43100000.0,,,,,,,,,,,,,,,,,,,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100580000.0,,,,,,,,,,,,,,6800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,58300000.0,,6900000.0,,,,,,31800000.0,,70800000.0,,,418200000.0,,100584000.0,-248000000.0,,0.0,,,0.05375,5100000.0,,18800000.0,,,487800000.0,,100584000.0,,70800000.0,5600000.0,,,70800000.0,549000000.0,25200000.0,,,,,,-108000000.0,,60400000.0,,,,,,,,0.0,,,,,46000000.0,78000000.0,549000000.0,,21400000.0,,,,,,,8000000.0,,31800000.0,,,,173800000.0,,,,,,,301000000.0,,,,,-108000000.0,,12500000.0,,,,,,,97800000.0,,-248000000.0,,191800000.0,,,386600000.0,0.0,,,154400000.0,,37400000.0,,,122200000.0,,,,,386600000.0,30500000.0,0.0,,9100000.0,,5100000.0,610000000.0,76000000.0,610000000.0,,,,487800000.0,87100000.0,21400000.0,5600000.0,,,,19800000.0,,,,,6900000.0,,,,,186800000.0,,,,191800000.0,,,0.05375,,,418200000.0,5600000.0,,,,70800000.0,,,60400000.0,122200000.0,,,87100000.0,,,,12500000.0,301000000.0,37400000.0,,,21400000.0,186800000.0,,,,,,0.0,,154400000.0,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0275,,,,,,,,,50900000.0,,,,,,,,,,,,,,,50900000.0,,,,,,,,,,,,,,,,,,,,,,100584000.0,,,,,,,50900000.0,,,,,,,,,,,,,,,,,,,0.0275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100584000.0,,,,,,,,,,,,,,10900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00875,,,,,,,,,46300000.0,,,,,,,,,,,,,,,46300000.0,,,,,,,,,,,,,,,,,,,,,,100584000.0,,,,,,,46300000.0,,,,,,,,,,,,,,,,,,,0.00875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100584000.0,,,,,,,,,,,,,,3500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
