,trailingDeferredIncomeTax,trailingCapitalExpenditure,annualCapitalExpenditure,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,trailingInterestExpense,annualAccumulatedDepreciation,trailingBeginningCashPosition,annualSellingGeneralAndAdministration,quarterlyChangeInWorkingCapital,annualOtherNonCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangesInAccountReceivables,annualDilutedAverageShares,annualRepurchaseOfCapitalStock,annualCurrentAssets,trailingOperatingExpense,quarterlyStockBasedCompensation,trailingNetIncomeCommonStockholders,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyEbitda,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetIncomeCommonStockholders,annualDilutedEPS,trailingChangesInAccountReceivables,quarterlyInvestingCashFlow,annualBasicAverageShares,annualInterestExpense,quarterlyEndCashPosition,annualRepaymentOfDebt,quarterlyDilutedEPS,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,annualTotalRevenue,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,annualGrossProfit,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualInventory,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,annualChangeInWorkingCapital,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyNetPPE,annualOtherCurrentAssets,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyOperatingIncome,annualChangeInInventory,trailingTaxProvision,quarterlyTotalRevenue,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,annualCashDividendsPaid,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,annualOperatingExpense,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualCostOfRevenue,quarterlyBasicEPS,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualTotalAssets,trailingNetIncome,annualLongTermDebt,annualStockholdersEquity,quarterlyOtherCurrentLiabilities,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyCommonStockIssuance,trailingChangeInInventory,quarterlyCostOfRevenue,annualCurrentLiabilities,trailingNetOtherInvestingChanges,quarterlyAccountsReceivable,annualRetainedEarnings,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualGoodwill,annualCommonStockIssuance,annualStockBasedCompensation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualCapitalStock,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,quarterlyOtherIncomeExpense,annualAccountsReceivable,trailingOperatingCashFlow,trailingOtherIncomeExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,quarterlyDilutedAverageShares,trailingGrossProfit,annualNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,quarterlyCashAndCashEquivalents,annualAccountsPayable,trailingOperatingIncome,annualOtherIntangibleAssets,quarterlyCashDividendsPaid,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,quarterlyCapitalStock,annualEndCashPosition,annualEbitda,trailingTotalRevenue,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualOperatingIncome,trailingRepaymentOfDebt,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,annualGrossPPE,annualCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,annualInvestmentsAndAdvances,trailingPretaxIncome,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,annualResearchAndDevelopment,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,trailingRepurchaseOfCapitalStock,annualSaleOfInvestment,quarterlyOtherShortTermInvestments,trailingPurchaseOfBusiness,trailingDilutedEPS,annualChangeInAccountPayable,trailingBasicEPS,trailingResearchAndDevelopment,trailingDepreciationAndAmortization,trailingCommonStockIssuance,quarterlyChangeInAccountPayable,annualOtherShortTermInvestments,annualNonCurrentDeferredRevenue,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,,,,,,,,,,,,,35500000.0,,,,,,30029932.0,,,,,,-43300000.0,,,,,,,,-443500000.0,-890562.25,,,30029932.0,16400000.0,,,,,,,509200000.0,,,,,,,,,347500000.0,,,,,,,,,,,,,,-443500000.0,,,,,,,-443500000.0,72100000.0,,,,,,,35500000.0,,,,,,,,,,,-34000000.0,,,636000000.0,,,288500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72100000.0,,,,,-890562.25,,,,,,300000.0,,-43300000.0,,,473700000.0,,,,473700000.0,,-34000000.0,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,,,,,,,,,,,,,36100000.0,,,,,,3220724.0,,,,,,,,,,,,,,27700000.0,8.17,,,3220724.0,12700000.0,,,,,,,481500000.0,,,,343000000.0,,,,,786600000.0,,,,,,,,,,,,,,27100000.0,,,,,,,28500000.0,,,,,,,,36100000.0,,,138500000.0,,,,,,,,,,,655600000.0,,,-131000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17,,,,,,15900000.0,,,,,306900000.0,,,,306900000.0,,,,,,,15900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,-19500000.0,,,,-1900000.0,,,,,-282300000.0,,40600000.0,,27300000.0,,,,35474539.0,,203600000.0,,,,7500000.0,-4000000.0,,34300000.0,,,4800000.0,,8300000.0,0.23,,,35039110.0,42400000.0,,,,,,,502600000.0,,440500000.0,,125900000.0,,,,,752800000.0,11400000.0,96500000.0,,,,18700000.0,,,,700000.0,,,,18900000.0,,,,3800000.0,,,18900000.0,62900000.0,1200000.0,,15900000.0,,,,40600000.0,,,376700000.0,,,,,,,,-19100000.0,99200000.0,,644100000.0,,506600000.0,-108700000.0,,,39000000.0,,,,102600000.0,,,-190600000.0,,,,,,,,,,,300000.0,,,,,,,650200000.0,82400000.0,,,263400000.0,,0.24,,62300000.0,,149800000.0,,11900000.0,,-69800000.0,,11900000.0,124300000.0,,-12600000.0,,85300000.0,,-200000.0,,,,545700000.0,11900000.0,,,,,,,,,30300000.0,,,,,,25300000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,
1049068800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53100000.0,,,,,,,,,,,,0.68,,,53100000.0,,,,,,,,,,,,,,,,,29900000.0,,,,,4400000.0,,,,35104091.0,53100000.0,,,212700000.0,,,,,,,,,,,,,0.71,,,,,25500000.0,25500000.0,,,,,,,,,,,,,159600000.0,,,,,,,,,,,,,,,,,,-11600000.0,,,,,,36176300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11900000.0,,,,,,,,,24900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056931200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18700000.0,,,,,,,,,,,,-0.03,,,18700000.0,,,,,,,,,,,,,,,,,-7200000.0,,,,,-600000.0,,,,34663944.0,18700000.0,,,88700000.0,,,,,,,,,,,,,-0.03,,,,,-6600000.0,-6600000.0,,,,,,,,,,,,,70000000.0,,,,,,,,,,,,,,,,,,-14400000.0,,,,,,35987434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13100000.0,,,,,,,,,-14200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17900000.0,,,,,,,,,,,,-0.25,,,17900000.0,,,,,,,,,,,,,,,,,-10400000.0,,,,,-2800000.0,,,,30029932.0,17900000.0,,,97100000.0,,,,,,,,,,,,,-0.25,,,,,-7600000.0,-7600000.0,,,,,,,,,,,,,79200000.0,,,,,,,,,,,,,,,,,,-17100000.0,,,,,,30029932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15500000.0,,,,,,,,,-7600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,-20600000.0,,580600000.0,,400000.0,3700000.0,,72600000.0,,-318600000.0,,49000000.0,,31400000.0,,25500000.0,,33983983.0,-18200000.0,220400000.0,,,,3800000.0,-9300000.0,,40600000.0,8300000.0,-144100000.0,0.0,,20200000.0,1.01,,,32492792.0,56300000.0,,,,,,57300000.0,600600000.0,,466100000.0,,147000000.0,114000000.0,220400000.0,,,830600000.0,8400000.0,96700000.0,716600000.0,,,-18200000.0,23300000.0,,262000000.0,3700000.0,-174800000.0,7400000.0,,27200000.0,,,8300000.0,4300000.0,,202100000.0,27200000.0,48500000.0,800000.0,-318600000.0,11900000.0,-103700000.0,,,49000000.0,,,453600000.0,,,,36400000.0,,15900000.0,15900000.0,-45600000.0,77700000.0,,686500000.0,,602500000.0,-144100000.0,0.0,,44300000.0,,,144800000.0,114000000.0,,117400000.0,-174800000.0,,40600000.0,,,400000.0,,77700000.0,96700000.0,602500000.0,,300000.0,,,-16900000.0,117400000.0,,,716600000.0,69100000.0,,,262000000.0,2600000.0,1.05,2600000.0,72600000.0,,172700000.0,,2600000.0,,-36300000.0,300000.0,2600000.0,142300000.0,,-6100000.0,,98000000.0,,-25100000.0,,,800000.0,580600000.0,2600000.0,,15800000.0,,,,,,830600000.0,35600000.0,686500000.0,15900000.0,31400000.0,172700000.0,466100000.0,36400000.0,25500000.0,,,,,,,,,,,,,,,,,,,,,,,,
1080691200,,,,,585900000.0,,,2500000.0,200000.0,53400000.0,,,,,54000000.0,,,27300000.0,,,,,,,,,,100000.0,,68700000.0,-117100000.0,,,,,,-3800000.0,,,71300000.0,,0.94,14400000.0,39600000.0,72000000.0,,,,,,95900000.0,216600000.0,14400000.0,,,,,698000000.0,,,,41700000.0,,257200000.0,,-144500000.0,11400000.0,-3900000.0,,-29800000.0,30241662.0,57600000.0,,,250500000.0,,,,-328700000.0,,,,,,,,,1.0,101700000.0,,36600000.0,68700000.0,30300000.0,30300000.0,,,,,,,,8000000.0,,,200000.0,,178500000.0,,,86000000.0,,,33800000.0,,,,,77100000.0,56800000.0,584300000.0,,,,,-500000.0,,,,,,32174309.0,,,71300000.0,,71300000.0,,,,-5700000.0,,11100000.0,,300000.0,,,,,2600000.0,,,,,,700000.0,,,,15400000.0,,,,,,793900000.0,,676800000.0,30300000.0,31000000.0,172000000.0,460200000.0,,,-100000.0,97800000.0,,,,,,,,,,,,,,,,,,,,,,
1088553600,,,,,583600000.0,,,3200000.0,1200000.0,43900000.0,,,,,-5100000.0,,,24800000.0,,,,,,,,,,100000.0,,17500000.0,-132400000.0,,,,,,-4600000.0,,,54900000.0,,-0.19,13000000.0,-26000000.0,20100000.0,,,,,,84000000.0,194800000.0,12600000.0,,,,,695100000.0,,,,-8200000.0,,250300000.0,,-150400000.0,-2300000.0,-4700000.0,,-17200000.0,30516370.0,7100000.0,,,96900000.0,,,,-333300000.0,,,,,,,,,-0.19,6700000.0,,36400000.0,-16400000.0,-5900000.0,-5900000.0,,,,,,,,2100000.0,,,600000.0,,76800000.0,,,54000000.0,,,37400000.0,,,,,78800000.0,82700000.0,579900000.0,,,,,-600000.0,,,,,,30516370.0,,,54900000.0,,54900000.0,,,,-7600000.0,,10400000.0,,300000.0,,,,,71300000.0,,,,,,600000.0,,,,15100000.0,,,,,,779100000.0,,646700000.0,-5900000.0,30300000.0,171300000.0,451900000.0,,,0.0,2000000.0,,,,,,,,,,,,,,,,,,,,,,
