,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,annualInvestmentsAndAdvances,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingRepurchaseOfCapitalStock,annualNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualCapitalExpenditure,quarterlyIncomeTaxPayable,quarterlyGrossPPE,trailingNetOtherFinancingCharges,trailingSellingGeneralAndAdministration,annualCashAndCashEquivalents,quarterlyDilutedEPS,quarterlyOperatingIncome,annualTaxProvision,quarterlyTotalRevenue,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,quarterlyOtherNonCashItems,annualTotalRevenue,quarterlyCashDividendsPaid,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlyRepurchaseOfCapitalStock,annualChangeInAccountPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualAccumulatedDepreciation,annualCommonStockIssuance,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyPretaxIncome,annualRetainedEarnings,trailingNetIncomeCommonStockholders,quarterlyPurchaseOfBusiness,trailingNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,trailingFreeCashFlow,annualCurrentDebt,annualCashDividendsPaid,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualNetIncome,annualBeginningCashPosition,annualLongTermDebt,annualSellingGeneralAndAdministration,annualFreeCashFlow,trailingDepreciationAndAmortization,trailingTaxProvision,quarterlyNetOtherFinancingCharges,trailingOtherNonCashItems,annualBasicEPS,quarterlyCashFlowFromContinuingFinancingActivities,annualStockholdersEquity,annualOtherNonCashItems,quarterlyDilutedAverageShares,annualPurchaseOfBusiness,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,trailingSaleOfInvestment,quarterlyLongTermDebt,trailingCashDividendsPaid,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,annualCapitalStock,annualPurchaseOfInvestment,quarterlyNetPPE,trailingOperatingCashFlow,annualBasicAverageShares,annualAccountsReceivable,annualNetPPE,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualOperatingCashFlow,annualGoodwill,annualSaleOfInvestment,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyBasicEPS,trailingChangeInWorkingCapital,quarterlyCapitalStock,annualRepaymentOfDebt,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,trailingRepaymentOfDebt,annualOperatingIncome,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,trailingPretaxIncome,trailingInterestExpense,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualDilutedEPS,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingTotalRevenue,trailingPurchaseOfInvestment,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,annualAccountsPayable,quarterlyOtherIntangibleAssets,annualDilutedAverageShares,trailingInvestingCashFlow,annualGrossPPE,quarterlyBasicAverageShares,trailingEndCashPosition,quarterlyCurrentDebt,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,trailingStockBasedCompensation,annualTotalNonCurrentAssets,quarterlyChangeInInventory,trailingDeferredIncomeTax,quarterlyCommonStockIssuance,annualOtherNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyStockBasedCompensation,annualCostOfRevenue,annualOtherCurrentLiabilities,annualOtherIncomeExpense,annualOtherCurrentAssets,annualCurrentAccruedExpenses,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,trailingCostOfRevenue,annualCurrentAssets,trailingChangeInInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingChangesInAccountReceivables,quarterlyEbitda,annualCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyCurrentAssets,annualEbitda,annualOperatingExpense,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOtherNonCurrentLiabilities,annualStockBasedCompensation,trailingBasicEPS,quarterlyCostOfRevenue,trailingResearchAndDevelopment,quarterlyOtherCurrentAssets,trailingGrossProfit,trailingCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyGrossProfit,quarterlyOperatingExpense,annualChangeInInventory,quarterlyTotalNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyOtherIncomeExpense,trailingOtherIncomeExpense,trailingOperatingIncome,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,trailingOperatingExpense,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,,,,,,,3542950130.0,,,,,,,,,2252122950.0,,,813104130.0,,,,,,13348946940.0,,,3507852110.0,,,,,,,,,,,,,,,,,,,179101296280.0,163734213190.0,,,13684328020.0,,,,3507852110.0,,17666003400.0,,,,,,,0.611479,,15367083090.0,,,,,,,,,,,,,,,,,,,9254177940.0,,,,3376726348.0,,5225705200.0,,,,0.0,,1706153750.0,,,,,,,,,10923283780.0,,,,,,4356054260.0,,0.611479,,,,,,,,,,,,,3376726348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985996800,,88177212512.93,,,,,,,3304421855.61,,,,,,,,,0.063203,487408355.98,,5072275738.45,,,,,,,,,,,0.0,0.0,,,,,,239157740.99,,484427192.29,,,,,8750334611.57,1454816540.6,,,,,,,,,,,,,,,,,,,,,,6638598051.0,,33093393684.68,420913467.4,,420913467.4,0.0,,,,,,5387664238.11,,,,63513724.89,,,1910068597.17,,,,,,,,,,,0.0,0.063203,,5206752850.0,,,0.0,,,,,,,,,,,,420913467.4,97027990907.65,7258328216.31,,,,,,,,,,,,6638598051.0,,11980753462.64,3253566710.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993859200,,89045243785.5,,,,,,,3816169945.2,,,,,,,,,0.090042,729213497.1,,5654765676.3,,,,,,,,,,,815931090.3,-2025588600.9,,,,,,,,734982960.6,,,,,8800621788.0,1597378797.6,,,,,,,,,,,,,,,,,,,,,,6632882878.0,,32918095314.6,598376738.7,,598376738.7,-7227677057.4,,,,,,6000768962.1,,,,136606221.9,,,1869497377.8,,,,,,,,,,,0.0,0.090042,,5002513932.0,,,-7308280575.6,,,,,,,,,,,,598376738.7,97994339770.8,7291681417.8,,,,,,,,,,,,6632882878.0,,12021958934.7,2958218484.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001808000,,95077800048.0,,,,-2134307345.7,,,4159804920.5,,,,,,,,,0.076187,557091793.0,,5696356640.0,,,,2708257175.8,,,,,,,1584529567.0,508049413.9,,,,,,,,537649569.5,,,,,9194949943.5,1775586752.0,,,130354144.6,,,,,,,,,,,,,-7491973882.8,,,-1676317836.9,,,6631761901.0,,34069482375.5,503621148.5,,503621148.5,1699961192.4,-438861838.8,,,,,6186258738.5,,,531692769.4,34028421.0,,,2119546632.0,,,,,,,,,,,815931090.3,0.076187,,5055651120.0,,,1261099353.6,,,,,,,,,,,,503621148.5,104445677322.5,9942146353.5,,,,,,2591741382.4,,,,,,6631761901.0,,14873479584.0,5264682849.0,,,225053962.7,-1775184274.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,98419074000.0,,30391940100.0,,4580470726.5,,2268887100.0,248486100.0,,,-552707400.0,,,,,11997001800.0,,1070176892.5,550385100.0,2778571218.5,,9159151200.0,,1434486782.0,19098595200.0,,-137015700.0,2268887100.0,,,13576165800.0,-9422816113.0,,,,-838350300.0,-5608354500.0,4386824700.0,,1068379738.0,4386824700.0,,,,9788494500.0,1695257175.5,108293493600.0,98419074000.0,-9451122334.0,,8320800900.0,,,,2268887100.0,14781439500.0,11497707300.0,6579075900.0,-178817100.0,,,1472887699.5,,0.68999,2033494243.5,9788494500.0,3643688700.0,,,30391940100.0,751909617.5,-10940355300.0,751909617.5,5901606165.0,-33242043.0,,578252700.0,9358869000.0,,11497707300.0,,,-1485393404.5,316470120.5,5199629700.0,-4333411800.0,2726380200.0,,6581078843.0,,2726380200.0,,,373890300.0,,4314833400.0,782615100.0,1584529567.0,,,5199629700.0,-4972044300.0,,5868364122.0,,2837850600.0,-10294755900.0,248486100.0,-1205273700.0,,,2819272200.0,,0.68999,13576165800.0,751909617.5,108293493600.0,11997001800.0,,,,,,-4077844018.0,,782615100.0,6581078843.0,,,,,8320800900.0,-2254337381.0,,,190306439.5,4213705882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017532800,,104699628956.0,,,,-5421693284.0,,,,,,,,,,,,0.062757,564837204.8,,5508779251.2,,,,1057425922.4,,,,,,,1862657077.6,-1761373984.8,,,,,,4534146467.2,,568003277.6,,,,,9538375537.6,1651159398.4,,,-1201066116.0,,,,693126742.4,,,,,,,,,-25163473.6,,,4488665686.4,,,6618130951.0,,30804754894.4,408613043.2,,408613043.2,-3830006521.6,-539800909.6,,,,,7121336658.4,,,-1102717051.2,159390234.4,,,2735442275.2,,,,,,,,,,,2965371897.6,0.062757,,4997084768.0,,,-4369807431.2,,,,,,,,,,,,408613043.2,114572030752.0,11518105910.4,,,,,,-351739755.2,,1311314170.4,,,,6618130951.0,,13285122600.0,1779268208.8,,,125647796.8,331232796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025395200,,110110942241.2,,,,-2674846525.4,,,-299938121.8,,,,,,,,,0.069336,539055907.6,,6191518438.6,,,,867018982.6,,,,,,,2057321969.4,-1086310446.6,,,,,,5046172157.2,,528478219.2,,,,,9767199786.2,1979238099.4,,,-900037712.6,,,,,,,,,,,,,230116478.6,,,2428434420.4,,,6618130951.0,,36592955866.0,462399229.6,,462399229.6,-1160721971.0,-151121949.8,,,,,7253651192.6,,,181404234.0,66078989.6,,,2506563586.6,,,,,,,,,,,1862657077.6,0.069336,,5019434264.0,,,-1311843920.8,,,,,,,,,,,,462399229.6,120181571280.4,13738677155.2,,,,,,-53654132.4,,1429459039.6,,,,6618130951.0,,10402986376.2,5524196394.6,,,182878178.4,18503348.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033344000,,122594296548.06,,,,-5938806475.5,,,-258878208.62,,,,,,,,,0.011382,180748315.66,,3908013258.52,,,,1392963516.36,,,,,,,2414040885.06,-3405669418.04,,,,,,5351205690.06,,198238519.58,,,,,9948219274.26,604635152.58,,,-3274422072.3,,,,,,,,,,,,,2039777768.76,,,7801347861.44,,,6562104861.0,,44127634873.36,65416205.38,,65416205.38,-3983949225.74,-143299272.78,,,,,8003129806.28,,,411729217.66,132822314.2,,,2465785855.34,,,,,,,,,,,2057321969.4,0.011382,,4926731607.2,,,-4127248498.52,,,,,,,,,,,,65416205.38,132785886249.62,15669655476.34,,,,,,-31988384.68,,1893475412.4,,,,6562104861.0,,13051133310.72,8071654300.68,,,179785855.8,44040311.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,118821137940.0,,31550415660.0,,18775165264.9,,2113272540.0,233628120.0,,,-658406520.0,,,,,21161043960.0,,601654671.42,159291900.0,1569158240.64,,14927420940.0,,1351614158.64,21430070280.0,,-785840040.0,2141591100.0,,,17405294940.0,-3190885910.56,,,,-846016980.0,4739818980.0,5493800640.0,,576545799.4,5493800640.0,,,,10853088120.0,2294984802.3,129875995800.0,118821137940.0,-5820924759.1,,9638929860.0,,,,2141591100.0,13575209700.0,13387599240.0,7607073180.0,11054857860.0,,,-3090747753.76,,0.342273,-13157387348.24,10853088120.0,4669022580.0,,,31550415660.0,858324225.8,-9444239760.0,886642785.8,20687942098.34,175815612.18,,658406520.0,1561060620.0,,13387599240.0,,,4339668839.54,-281778426.4,5199995580.0,-4534509420.0,2994687720.0,,6586123882.0,,2994687720.0,,,11713264380.0,,7001763960.0,1776989640.0,2414040885.06,,,5199995580.0,-11044238400.0,,20863757710.52,,2290263540.0,-11196450660.0,233628120.0,3830085240.0,,,2272564440.0,,0.342273,17405294940.0,886642785.8,129875995800.0,21161043960.0,,,,,,-4097127147.72,,1776989640.0,6586123882.0,,,,,9638929860.0,-3108446670.86,,,170094689.0,6607987504.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
