date,trailingChangeInCashSupplementalAsReported,annualGrossPPE,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyDilutedAverageShares,annualInterestExpense,quarterlyOtherIntangibleAssets,annualRepaymentOfDebt,annualBeginningCashPosition,quarterlyOperatingExpense,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,quarterlyCurrentDeferredRevenue,trailingCapitalExpenditure,annualCapitalExpenditure,trailingGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,quarterlySaleOfInvestment,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,trailingInterestExpense,quarterlyCapitalStock,annualBasicEPS,annualSellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,annualNetOtherFinancingCharges,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyOperatingIncome,trailingTaxProvision,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,annualCurrentDebt,quarterlyAccumulatedDepreciation,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualCurrentDeferredRevenue,annualCapitalStock,annualCostOfRevenue,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyOperatingCashFlow,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,annualBasicAverageShares,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,quarterlyDilutedEPS,trailingCashDividendsPaid,annualInventory,annualAccumulatedDepreciation,trailingBeginningCashPosition,trailingNetIncome,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfBusiness,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyPretaxIncome,annualChangesInAccountReceivables,quarterlyRetainedEarnings,quarterlyTaxProvision,trailingOperatingExpense,annualNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,trailingNetOtherInvestingChanges,quarterlyAccountsReceivable,annualRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,trailingPretaxIncome,annualNetIncome,annualGoodwill,annualPretaxIncome,annualCommonStockIssuance,quarterlyTotalAssets,annualFreeCashFlow,annualCashDividendsPaid,quarterlyTotalNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyLongTermDebt,quarterlyFreeCashFlow,annualAccountsReceivable,annualTotalRevenue,annualPurchaseOfInvestment,annualAccountsPayable,trailingInvestingCashFlow,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyDepreciationAndAmortization,annualTaxProvision,annualNonCurrentDeferredRevenue,annualTotalAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualLongTermDebt,annualStockholdersEquity,annualOtherNonCashItems,trailingTotalRevenue,annualOtherCurrentAssets,annualOperatingIncome,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentLiabilities,quarterlyCurrentDebt,annualCurrentAccruedExpenses,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyInvestingCashFlow,quarterlyBasicAverageShares,annualDilutedAverageShares,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualChangeInAccountPayable,annualNetPPE,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualDilutedEPS,annualOtherNonCurrentAssets,annualEbitda,annualCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,trailingResearchAndDevelopment,trailingCommonStockIssuance,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualStockBasedCompensation,annualDeferredIncomeTax,quarterlyChangeInInventory,quarterlyCommonStockIssuance,trailingSaleOfInvestment,trailingPurchaseOfBusiness,trailingRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,trailingStockBasedCompensation,trailingPurchaseOfInvestment,trailingDilutedEPS,trailingBasicEPS,trailingDilutedAverageShares,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingDeferredIncomeTax,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,trailingChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyResearchAndDevelopment,trailingBasicAverageShares,quarterlyChangeInAccountPayable,quarterlyOtherNonCashItems
1970-01-01 00:00:01.561852800,-3233562000.0,,1956725000.0,,,,,,9958620690.0,,,,,,,2428054000.0,,-24976556000.0,,60016159000.0,,,,,,,,10846092000.0,,,,,,,,-170593615000.0,,,,1148695968.0,,,1148695968.0,1245103000.0,3746235000.0,1148695968.0,,,12274570000.0,,,,,12356166000.0,,,,,,,,,,5374487000.0,,,0.030196,-1534151000.0,,,16189411000.0,2444628000.0,,,3463374000.0,,110732927000.0,,,,,,,47136678000.0,,,,1095892000.0,,,,,4708477000.0,,,,,,,,,,,,,,,,-24273444000.0,12879481000.0,,300710112.0,,300710112.0,,,,,,,,,,,170749086000.0,,,,,,,,,,-9301622000.0,12965388000.0,,,,,,,9958620690.0,,,0.030196,300710112.0,,,,,,30351043000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9958620690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148695968.0,,,1148695968.0,,,1148695968.0,,,,,,,,,,,,,,,,,,,,,0.030196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300710112.0,,300710112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9958620690.0,,,0.030196,300710112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9986206897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149528960.0,,,1149528960.0,,,1149528960.0,,,,,,,,,,,,,,,,,,,,,0.030196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301543104.0,,301543104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9986206897.0,,,0.030196,301543104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15250417536.0,,-3647671968.0,,12027571488.0,468141504.0,1204506432.0,,394005216.0,,,5833442976.0,,832992.0,,,,-2444831520.0,,2186604000.0,2186604000.0,14359116096.0,,1075392672.0,3323638080.0,523951968.0,,,0.120784,,,,425658912.0,,,,1204506432.0,0.0,-2104970784.0,,-11661888.0,-2104970784.0,,,1149528960.0,2044995360.0,-984596544.0,,655564704.0,,,2598935040.0,,,,1997514816.0,,15250417536.0,3037088832.0,7805968032.0,,9972413793.0,,10137512640.0,,,,383176320.0,-984596544.0,,,,,,-4139137248.0,,468141504.0,14265820992.0,,,1333620192.0,,,0.0,,,,,1333620192.0,,,,1204506432.0,,1373603808.0,,22165084128.0,-4723064640.0,,14359116096.0,,7099590816.0,,,4596449856.0,,523951968.0,,,832992.0,301543104.0,,301543104.0,-2444831520.0,,169097376.0,,22165084128.0,7100423808.0,0.0,7099590816.0,12027571488.0,832992.0,,3323638080.0,1341950112.0,655564704.0,2186604000.0,3037088832.0,2044995360.0,,,,,,,,10137512640.0,,93295104.0,,,9972413793.0,,,301543104.0,,383176320.0,,,,,,7100423808.0,-2278233120.0,,14265820992.0,,,2186604000.0,,0.120784,93295104.0,1997514816.0,7805968032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10025000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213669344.0,,,1213669344.0,,,1213669344.0,,,,,,,,,,,,,,,,,,,,,0.03332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334029792.0,,334029792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10025000000.0,,,0.03332,334029792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10025000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211929686.0,,,1211929686.0,,,1211929686.0,,,,,,,,,,,,,,,,,,,,,0.033272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333550998.0,,333550998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10025000000.0,,,0.033272,333550998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10025000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209557690.0,,,1209557690.0,,,1209557690.0,,,,,,,,,,,,,,,,,,,,,0.033207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332898170.0,,332898170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10025000000.0,,,0.033207,332898170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16689742080.0,,-414920000.0,,13341337680.0,656403440.0,1331063360.0,,285464960.0,,,2183309040.0,,829840.0,,,,-2124390400.0,,1767559200.0,1767559200.0,15797664080.0,,1869629520.0,4524287680.0,619060640.0,,,0.132774,,,,434836160.0,,,,1331063360.0,0.0,-2218774910.0,,-186714000.0,-2218774910.0,,,1208464290.0,2300316480.0,-980870880.0,,660552640.0,,,2766686560.0,,,,2070450800.0,,16689742080.0,3575780560.0,9820326560.0,,10025000000.0,,12276652960.0,,,,569270240.0,-980870880.0,,,,,,-2152604960.0,,656403440.0,15708871200.0,,,2410685200.0,,,0.0,,,,,2410685200.0,,,,1331063360.0,,1560099200.0,,25617990640.0,-2284549520.0,,15797664080.0,,8700042560.0,,,4837137360.0,,619060640.0,,,829840.0,332368850.0,,332368850.0,-2124390400.0,,229035840.0,,25617990640.0,8700872400.0,0.0,8700042560.0,13341337680.0,829840.0,,4524287680.0,1409898160.0,660552640.0,1767559200.0,3575780560.0,2300316480.0,,,,,,,,12276652960.0,,88792880.0,,,10025000000.0,,,332368850.0,,569270240.0,,,,,,8700872400.0,-160159120.0,,15708871200.0,,,1767559200.0,,0.132774,88792880.0,2070450800.0,9820326560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10297435897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688154600.0,,,1688154600.0,,,1688154600.0,,,,,,,,,,,,,,,,,,,,,0.040441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416439120.0,,416439120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10040000000.0,,,0.041478,416439120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10297435897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687157450.0,,,1687157450.0,,,1687157450.0,,,,,,,,,,,,,,,,,,,,,0.040417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416193140.0,,416193140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10040000000.0,,,0.041454,416193140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
