,trailingRepaymentOfDebt,annualEbitda,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,quarterlyBeginningCashPosition,annualNetPPE,quarterlyCapitalStock,annualOtherIncomeExpense,trailingGrossProfit,annualOtherCurrentLiabilities,quarterlyBasicAverageShares,trailingNetIncomeCommonStockholders,quarterlyPretaxIncome,annualChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualCashCashEquivalentsAndMarketableSecurities,trailingInterestExpense,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingChangeInCashSupplementalAsReported,annualGrossPPE,trailingOtherIncomeExpense,quarterlySaleOfInvestment,annualTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,trailingDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,trailingPurchaseOfBusiness,quarterlyDeferredIncomeTax,annualAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,annualOperatingExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetIncomeContinuousOperations,annualNetIncomeContinuousOperations,trailingOtherNonCashItems,quarterlyCommonStockIssuance,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyTotalRevenue,quarterlyOperatingCashFlow,trailingNetOtherFinancingCharges,quarterlyDilutedEPS,annualInvestingCashFlow,quarterlyCapitalExpenditure,annualCapitalExpenditure,quarterlyOperatingIncome,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,quarterlyGrossPPE,trailingCashDividendsPaid,quarterlyTaxProvision,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,quarterlyNetPPE,annualCapitalStock,annualTotalRevenue,annualDeferredIncomeTax,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,annualStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,annualGoodwill,annualNetOtherFinancingCharges,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyRetainedEarnings,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,annualOperatingIncome,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,trailingNetIncome,trailingCommonStockIssuance,quarterlyGoodwill,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualBasicAverageShares,annualEndCashPosition,annualNetIncome,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,trailingPretaxIncome,quarterlyTotalAssets,annualNonCurrentDeferredRevenue,annualCashDividendsPaid,trailingTotalRevenue,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualCostOfRevenue,trailingPurchaseOfInvestment,annualOtherCurrentAssets,annualBasicEPS,annualAccountsPayable,trailingInvestingCashFlow,trailingOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,annualFreeCashFlow,trailingEndCashPosition,annualPretaxIncome,quarterlyDepreciationAndAmortization,quarterlyDilutedAverageShares,annualRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,trailingRepurchaseOfCapitalStock,annualStockholdersEquity,annualSellingGeneralAndAdministration,annualDilutedAverageShares,annualOtherNonCashItems,annualOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualCashAndCashEquivalents,quarterlyBasicEPS,trailingSaleOfInvestment,annualTaxProvision,quarterlyOtherIncomeExpense,annualAccountsReceivable,annualCurrentAssets,trailingOperatingCashFlow,quarterlyLongTermDebt,annualChangeInAccountPayable,annualDilutedEPS,annualNetIncomeCommonStockholders,annualOperatingCashFlow,annualCurrentLiabilities,quarterlyOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,annualOtherIntangibleAssets,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyAccountsReceivable,annualSaleOfInvestment,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,trailingChangeInInventory,annualIncomeTaxPayable,quarterlyCurrentDeferredRevenue,annualInventory,annualCurrentAccruedExpenses,quarterlyNonCurrentDeferredTaxesLiabilities,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,trailingCapitalExpenditure,trailingBasicAverageShares,trailingBasicEPS,annualOtherShortTermInvestments,trailingDeferredIncomeTax,trailingNetOtherInvestingChanges,quarterlyChangeInInventory,trailingChangesInAccountReceivables,annualChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingTaxProvision,trailingChangeInAccountPayable
836092800,,,,,,,,,,,10833333.0,,,,,-8600000.0,146200000.0,,,,-800000.0,,,,,,,,,,,2400000.0,,,,-800000.0,,-4000000.0,,,,,,8000000.0,,,,,,,,,11200000.0,2500000.0,,0.24,,-1100000.0,,16000000.0,,,,,,,,,,,,277400000.0,,,,1900000.0,,18000000.0,,800000.0,,,,,,,,-9800000.0,,1400000.0,,,,1300000.0,,,,,,,,,,,,,2600000.0,,290800000.0,,,,,,,,,,,,,,,,,,2000000.0,10833333.0,,-1200000.0,144600000.0,,,,0.0,,,,,,,,,2600000.0,2600000.0,,0.24,,,,,,,138100000.0,,,,,,-4800000.0,,,,-9700000.0,,2000000.0,,-4100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844041600,,,,,,,,,,,11538462.0,,,,,-43700000.0,161500000.0,,,,-300000.0,,,,,,,,,,,2700000.0,,,,-2000000.0,,1600000.0,,,,,,47100000.0,,,,,,16800000.0,,,12200000.0,6000000.0,,0.26,,-600000.0,,17400000.0,,,,,,,,,,,,318600000.0,,,,-900000.0,,19600000.0,,8800000.0,,,,,,,,-11100000.0,,5400000.0,,,,1300000.0,,,,,,,,,,,,,3000000.0,,344000000.0,,,,,,,,,,,,,,,,,,2200000.0,11538462.0,,2800000.0,182500000.0,,,,-200000.0,,,,,,,,,3000000.0,3000000.0,,0.26,,,,,,,172800000.0,,,,,,-5200000.0,,,,-44300000.0,,3100000.0,,-4200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,,28834033.0,,-800000.0,,366154462.0,131149.0,,,,,,,4891528.0,,161392465.0,206725777.0,8293229.0,,,500000.0,-26213225.0,3401701.0,8293229.0,8293229.0,,392367687.0,,,,,2711100.0,,,,-2400000.0,,-2849024.0,,,-26213225.0,,26871601.0,36829773.0,,,,9907145.0,,47569975.0,,,12947567.0,1703919.0,,,-109842164.0,-206866210.0,-208766210.0,-28424034.0,98729773.0,,392367687.0,,,-4300000.0,10111100.0,,,,,366154462.0,131149.0,46947567.0,,194876.0,,-25765967.0,,-6708472.0,,,,-1760684.0,,,-2649024.0,-13981770.0,,-205162291.0,98692465.0,20075966.0,-13981770.0,2148140.0,,,,,,,386524049.0,179798272.0,10341239.0,8293229.0,9964866.0,,1707145.0,,386524049.0,,-16179518.0,,,73701185.0,,,,0.96,,,,,,-192762291.0,,,2658067.0,,,-400000.0,179798272.0,,1035107.0,,-1660684.0,,206725777.0,6048140.0,11081081.0,-105124.0,,1035107.0,8758067.0,1607145.0,1664866.0,8293229.0,,,,,5300000.0,,,73701185.0,1600000.0,0.96,9907145.0,16003919.0,,41371601.0,,,,-45242164.0,64569975.0,5300000.0,231581.0,-4679518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859766400,,,,,8300000.0,,,,,,16000000.0,,,,,-31800000.0,231300000.0,,,,-28900000.0,,,,,,,,,,,3700000.0,,,,3500000.0,,12600000.0,,,,,,24300000.0,,,,,,26000000.0,,,17900000.0,14200000.0,,0.25,,-300000.0,,25100000.0,,,,,,,,,,,,625100000.0,,,,-5500000.0,,28200000.0,,6300000.0,,,,,,,,-15700000.0,,13900000.0,,,,2200000.0,,,,,,,,,,,,,4000000.0,,649700000.0,,,,,,,,,,,,,,,,,,3100000.0,16000000.0,,2800000.0,418400000.0,,,,1800000.0,,,,,,,,,4000000.0,4000000.0,,0.25,,,,,,,304900000.0,,,,,,-7200000.0,,,,-32100000.0,,2600000.0,,-5800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867628800,,,,,,,,,,,18076923.0,,,,,-66100000.0,359000000.0,,,,-600000.0,,,,,,,,,,,6500000.0,,,,-2000000.0,,400000.0,,,,,,55300000.0,,,,,,42300000.0,,,24900000.0,10700000.0,,0.26,,-1200000.0,,34400000.0,,,,,,,,,,,,731600000.0,,,,1100000.0,,38800000.0,,-1200000.0,,,,,,,,-17500000.0,,9500000.0,,,,3000000.0,,,,,,,,,,,,,4700000.0,,755000000.0,,,,,,,,,,,,,,,,,,4400000.0,18076923.0,,2200000.0,373700000.0,,,,-1500000.0,,,,,,,,,4700000.0,4700000.0,,0.26,,,,,,,356400000.0,,,,,,-9500000.0,,,,-67300000.0,,3800000.0,,-6500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875577600,,,,,,,,,,,25588235.0,,,,,-17300000.0,498100000.0,,,,-85400000.0,,,,,,,,,,,4500000.0,,,,-2000000.0,,0.0,,,,,,6000000.0,,,,,,140100000.0,,,27100000.0,13100000.0,,0.32,,-1200000.0,,38000000.0,,,,,,,,,,,,751600000.0,,,,-300000.0,,42700000.0,,600000.0,,,,,,,,-19300000.0,,11900000.0,,,,2500000.0,,,,,,,,,,,,,8700000.0,,778600000.0,,,,,,,,,,,,,,,,,,4700000.0,25588235.0,,2000000.0,258200000.0,,,,100000.0,,,,,,,,,8700000.0,8700000.0,,0.34,,,,,,,240100000.0,,,,,,-10900000.0,,,,-18500000.0,,5200000.0,,-10600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,64918840.0,,-51978932.0,,792605975.0,264920.0,,,,,,,8292865.0,,301221160.0,513626653.0,16586094.0,,,62921068.0,-40795801.0,8293229.0,16586094.0,16586094.0,,833401776.0,,,,,3967256.0,,,,-5900000.0,,-16630375.0,,,-40795801.0,,49171216.0,68182026.0,,,,27401655.0,,16694980.0,,,27986897.0,5044220.0,,,-188533381.0,-374568458.0,-377268458.0,-48684319.0,153782026.0,,833401776.0,,,-6400000.0,18667256.0,,,,,792605975.0,264920.0,97786897.0,,7671436.0,,-44581160.0,,2592865.0,,,,-1392164.0,,,-3630375.0,-20494893.0,,-369524238.0,186021160.0,48615681.0,-20494893.0,2163926.0,,,,,,,826848591.0,305721938.0,21407543.0,16586094.0,27401655.0,,9901655.0,,826848591.0,,-33914778.0,,,48131185.0,,,,1.28,,,,,,-334224238.0,,,4103159.0,,,-4300000.0,305721938.0,,999730.0,,-1792164.0,,513626653.0,9963926.0,22277768.0,2971436.0,,999730.0,16303159.0,9901655.0,9901655.0,16586094.0,,,,,9500000.0,,,48131185.0,2700000.0,1.23,27401655.0,43044220.0,,76671216.0,,,,-70633381.0,225094980.0,9500000.0,68688.0,-11014778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891302400,,,,,16600000.0,,,,,,26486486.0,,,,,18400000.0,540200000.0,,,,-600000.0,,,,,,,,,,,5200000.0,,,,-2000000.0,,800000.0,,,,,,30100000.0,,,,,,,,,41200000.0,16100000.0,,0.69,,-64600000.0,,53600000.0,,,,,,,,,,,,951000000.0,,,,-10000000.0,,59300000.0,,100000.0,,,,,,,,-13000000.0,,-48500000.0,,,,3400000.0,,,,,,,,,,,,,19600000.0,,986000000.0,,,,,,,,,,,,,,,,,,5700000.0,28405797.0,,2400000.0,438400000.0,,,,-800000.0,,,,,,,,,19600000.0,19600000.0,,0.74,,,,,,,395700000.0,,,,,,-12400000.0,,,,-46200000.0,,9800000.0,,-12400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,,,,,,,,,,28421053.0,,,,,-9000000.0,552500000.0,,,,-32300000.0,,,,,,,,,,,7700000.0,,,,-5100000.0,,600000.0,,,,,,48400000.0,,,,,,,,,35900000.0,16600000.0,,0.38,,-59800000.0,,49200000.0,,,,,,,,,,,,1057700000.0,,,,-500000.0,,54900000.0,,-4000000.0,,,,,,,,-14500000.0,,-43200000.0,,,,3800000.0,,,,,,,,,,,,,10800000.0,,1093100000.0,,,,,,,,,,,,,,,,,,5700000.0,28421053.0,,5400000.0,533100000.0,,,,200000.0,,,,,,,,,10800000.0,10800000.0,,0.38,,,,,,,407500000.0,,,,,,-13300000.0,,,,-68800000.0,,10700000.0,,-13000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907113600,,,,,,,,,,,29705882.0,,,,,-29300000.0,630900000.0,,,,-4100000.0,,,,,,,,,,,6800000.0,,,,-7500000.0,,5400000.0,,,,,,38600000.0,,,,,,0.0,,,37100000.0,20900000.0,,0.34,,-55300000.0,,51500000.0,,,,,,,,,,,,1124600000.0,,,,-1100000.0,,58100000.0,,5700000.0,,,,,,,,-17000000.0,,-34400000.0,,,,3400000.0,,,,,,,,,,,,,10100000.0,,1173000000.0,,,,,,,,,,,,,,,,,,6600000.0,29705882.0,,10200000.0,534500000.0,,,,-400000.0,,,,,,,,,10100000.0,10100000.0,,0.34,,,,,,,478600000.0,,,,,,-14400000.0,,,,-53900000.0,,16600000.0,,-15100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
