date,annualOperatingIncome,annualAccountsPayable,quarterlyBasicEPS,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,annualCostOfRevenue,annualCurrentDeferredRevenue,annualTotalRevenue,annualOtherCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalRevenue,annualCashAndCashEquivalents,quarterlyBasicAverageShares,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualCurrentDebt,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,annualNetIncome,annualFreeCashFlow,trailingTaxProvision,quarterlyTotalAssets,trailingOperatingIncome,quarterlyDepreciationAndAmortization,annualPretaxIncome,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualCurrentAssets,annualAccountsReceivable,annualOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,annualBasicAverageShares,annualRepurchaseOfCapitalStock,trailingPretaxIncome,quarterlyOtherNonCurrentAssets,annualStockholdersEquity,annualLongTermDebt,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,annualTotalAssets,annualNetIncomeCommonStockholders,annualDepreciationAndAmortization,quarterlyGoodwill,annualCurrentLiabilities,annualRetainedEarnings,trailingNetIncomeCommonStockholders,annualEbitda,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,annualCommonStockIssuance,annualOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualSaleOfInvestment,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,trailingGrossProfit,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCapitalStock,annualDilutedAverageShares,annualOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,annualNetPPE,quarterlyNonCurrentDeferredTaxesLiabilities,annualOtherIncomeExpense,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyStockholdersEquity,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,annualCashFlowFromContinuingFinancingActivities,annualDilutedEPS,annualGrossPPE,quarterlyCurrentDebt,quarterlyInterestExpense,annualOtherNonCurrentLiabilities,annualOtherNonCashItems,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,annualCapitalExpenditure,trailingOperatingExpense,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualBasicEPS,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,annualBeginningCashPosition,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,trailingNetIncome,quarterlyOperatingIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,trailingInterestExpense,annualOtherCurrentLiabilities,quarterlyEbitda,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyNetPPE,quarterlyOtherShortTermInvestments,trailingNetIncomeContinuousOperations,quarterlyCommonStockIssuance,annualRepaymentOfDebt,annualChangeInWorkingCapital,annualInterestExpense,annualAccumulatedDepreciation,quarterlyDilutedAverageShares,annualGoodwill,annualStockBasedCompensation,annualNetOtherFinancingCharges,trailingRepurchaseOfCapitalStock,trailingBeginningCashPosition,trailingNetOtherInvestingChanges,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,trailingChangeInAccountPayable,trailingRepaymentOfDebt,annualInventory,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,annualChangeInInventory,trailingNetOtherFinancingCharges,quarterlyChangeInAccountPayable,annualCurrentAccruedExpenses,trailingCapitalExpenditure,trailingOperatingCashFlow,trailingSaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyInventory,trailingBasicEPS,trailingChangeInCashSupplementalAsReported,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,trailingCashDividendsPaid,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,trailingEndCashPosition,trailingFreeCashFlow,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,annualChangeInAccountPayable,trailingDilutedEPS,trailingPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,trailingInvestingCashFlow,trailingDepreciationAndAmortization,trailingOtherIncomeExpense,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
1999-12-31,557159000.0,,,0.0,,,,,1814977000.0,31000.0,,,1323180000.0,3224000000.0,,13703000000.0,36493000.0,12538000.0,,,,0.0,,,,-1840411000.0,,520666000.0,,,,0.0,520666000.0,457001000.0,1608000000.0,,8768000000.0,,557159000.0,,,,37526000.0,31000.0,,,,,1041332000.0,,10844000000.0,,-12507000.0,,,,31000.0,520666000.0,,,12538000.0,-12507000.0,9240000000.0,707356000.0,,,,,,,,,,,,10479000000.0,0.0,,,,,,1041332000.0,684061000.0,,,0.0,,,,,,,0.0,,,0.5,,,,,684061000.0,,,,,,,,-227060000.0,1711000000.0,,,-2063605000.0,,0.5,,,,,2114075000.0,1257818000.0,253000000.0,,,,,,9240000000.0,,,,1183000000.0,0.0,,-790895000.0,,,,9236000000.0,,,,,,,,,-1650000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,984690000.0,,,0.0,,,,,2312203000.0,3569000.0,,,3050647000.0,,,,105801000.0,273012000.0,,,,56000.0,,,,1278424000.0,,878889000.0,,,,-83253000.0,878889000.0,135613000.0,,,,,984690000.0,,,,31076000.0,3625000.0,,0.0,,,1046296429.0,,,,4300576000.0,,,,4573588000.0,878889000.0,,,273012000.0,262796000.0,,1162140000.0,,,,,,,,,,,,,4569963000.0,,,,,,1046296429.0,444878000.0,,,9671000.0,,,,,,,56000.0,,,0.84,,,,,444878000.0,,,,,,,,-309265000.0,,,,969560000.0,,0.84,,,,,1323180000.0,1327513000.0,,,,,,,,,,,,0.0,,1727467000.0,,,,,,,,,,,,,85193000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,822446000.0,,,0.0,,,,,1998813000.0,16889000.0,,,1351964000.0,,,,82020000.0,27779000.0,,,,81629000.0,,,,1121658000.0,,740426000.0,,,,-343419000.0,740426000.0,340124000.0,,,,,822446000.0,,,,15516000.0,98518000.0,,3089000.0,,,1042853521.0,,,,4326198000.0,,,,4353977000.0,740426000.0,,,27779000.0,28252000.0,,975115000.0,,,,,,,,,,,,,4255459000.0,,,,,,1042853521.0,603263000.0,,,24569000.0,,,,,,,81629000.0,,,0.71,,,,,603263000.0,,,,,,,,-263139000.0,,,,-2294056000.0,,0.71,-3152802000.0,,,,3050647000.0,1176367000.0,,,,,,,,,,,,5129000.0,,-1698683000.0,,,,,,,,,,,,,339219000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,643433000.0,,,0.0,,,,,1808090000.0,20337000.0,,,679956000.0,,,,56606000.0,97280000.0,,,,10139000.0,,,,-12907000.0,,592968000.0,,,,-344094000.0,592968000.0,-257218000.0,,,,,649574000.0,,,,14728000.0,519495000.0,,5729000.0,,,1040294737.0,,,,4616740000.0,,,,4714020000.0,592968000.0,,,97280000.0,108292000.0,,806572000.0,,,,,,,,,,,,,4194525000.0,,,,,0.0,1040294737.0,-126485000.0,,,43598000.0,,,,,,,10139000.0,,,0.57,,,,,-126485000.0,,,,,,,,-130733000.0,,,,-207457000.0,,0.57,,,,,1351964000.0,1164657000.0,,,,,,,,,,,,23826000.0,,-672008000.0,,,,,,,,,,,,,6028000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,797684000.0,121128000.0,,385000.0,,,,,2019825000.0,18995000.0,,,1355390000.0,,,,113583000.0,145466000.0,,,,13840000.0,,,,-83441000.0,,691765000.0,,,,-638070000.0,691765000.0,1357111000.0,,,,,805348000.0,,,,7891000.0,441085000.0,,3088000.0,,,1048128788.0,,,,4480763000.0,,,,4626229000.0,691765000.0,,,145081000.0,-1822587000.0,,981172000.0,,,,,,,,,,,,,4185144000.0,,,,,0.0,1048128788.0,1408746000.0,,,36858000.0,,,,,,,13840000.0,,,0.66,,,,235000.0,1408746000.0,,,,,,,,-51635000.0,,,,-134886000.0,,0.66,0.0,,,,679956000.0,1222141000.0,,,,,,,,,150000.0,,,23825000.0,,675434000.0,,,,,,,,,,,,,39644000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,1237641000.0,4902350000.0,,1436582000.0,,,,,2393937000.0,15222086000.0,,,1035045000.0,,,,193641000.0,17391261000.0,,,,1036385000.0,,,,452012000.0,,1056884000.0,0.0,,,-2672850000.0,1056884000.0,1792976000.0,,,,,1250525000.0,,,,11263000.0,19020155000.0,,2046918000.0,,,1056884000.0,,,,4052143000.0,,,,21443404000.0,1056884000.0,,,15954679000.0,1677964000.0,,1421041000.0,,,,,,,75773000.0,,,,2761593000.0,,2423249000.0,,,,,0.0,1056884000.0,1816353000.0,,,337600000.0,,,,,,,3797978000.0,,,1.0,,,,1405706000.0,1816353000.0,,,,,,,,-23377000.0,,,,504566000.0,,1.0,,,,,1355390000.0,1156296000.0,,,,,,,,,30876000.0,,,10841902000.0,,-346231000.0,,,,,,-50286000.0,,,,,,,55986000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,1548575000.0,3641070000.0,,895176000.0,,,,,2694057000.0,17052585000.0,,,1359113000.0,,,,227460000.0,18593444000.0,,,,1359113000.0,,,,-12525000.0,,1339548000.0,,,,-1018784000.0,1339548000.0,1337818000.0,,,,,1567008000.0,,,,10065000.0,21055594000.0,,1565182000.0,,,1063133333.0,,,,4367489000.0,,,,22960933000.0,1339548000.0,,,17698268000.0,1775631000.0,,1699570000.0,,,,,,,,,,,2643788000.0,,1905339000.0,,,,,0.0,1063133333.0,1399898000.0,,,275576000.0,,,,,,,4002901000.0,,,1.26,,,,874406000.0,1399898000.0,,-24876000.0,,,,,,-62080000.0,,,,-99425000.0,,1.26,,,,,1035045000.0,1145482000.0,,,,,,,,,20770000.0,,,13963127000.0,,324068000.0,,,,,,0.0,,,,,,,42379000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,2946147000.0,11107200000.0,,1780285000.0,,,,318468000.0,3848584000.0,186159000.0,730950000.0,,2215257000.0,,,,444898000.0,35195712000.0,,,,2215257000.0,,,,-69107000.0,,2518569000.0,,86960000.0,,-1671151000.0,2518569000.0,2805199000.0,,,,,2963467000.0,,,,394534000.0,37686808000.0,9994482000.0,2446739000.0,,,1063493204.0,-21269000.0,,,5257586000.0,,,,40453298000.0,2518569000.0,99888000.0,,33415427000.0,2060156000.0,,3046035000.0,,,30895000.0,,,,,,,,3417356000.0,,2766490000.0,,,,,1065448000.0,1076042264.0,2865468000.0,,,210161000.0,,28796000.0,,,,,5632613000.0,,-1662775000.0,2.34,1912633000.0,,,1742154000.0,-750705000.0,,0.0,,,,,,-60269000.0,,,,-346569000.0,,2.37,-535585000.0,,,,1359113000.0,902437000.0,,,,,-6891416000.0,,,,14003000.0,,,1700000.0,,856124000.0,,,,,,,645159000.0,,-1702472000.0,,,24033000.0,-1250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,6978905000.0,21375909000.0,,1660315000.0,,,,,8390470000.0,73857618000.0,,,4744711000.0,,,,1021531000.0,79566841000.0,,,,4744711000.0,,,,475340000.0,,6169278000.0,,,,-3163445000.0,6169278000.0,7575457000.0,,,,,7190809000.0,,,,14054000.0,85322943000.0,,2259734000.0,,,1067349135.0,-4879000.0,,,8377348000.0,,,,87944189000.0,6169278000.0,,,77906526000.0,6288138000.0,,7058049000.0,,,,,,,,,,,6720466000.0,,2621246000.0,,,,,0.0,1078545105.0,7644184000.0,,,317065000.0,,,,,,,11465177000.0,,,5.72,,,,1623442000.0,7644184000.0,,,,,,,,-68727000.0,,,,-2025261000.0,,5.78,-2432136000.0,,,,2215257000.0,1411565000.0,,,,,,,,,36873000.0,,,55836742000.0,,2520801000.0,,,,,,,,,,,,,70202000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,5155017000.0,12410854000.0,,328167000.0,,,,392688000.0,6481274000.0,509000.0,696096000.0,,4755750000.0,,,,799549000.0,55528599000.0,,,,5192646000.0,,,,245278000.0,,5128924000.0,,47172000.0,,-6281846000.0,5128924000.0,4827937000.0,,,,,5928473000.0,,,,474590000.0,62397735000.0,8526557000.0,63406000.0,,,1072223011.0,,,,7295322000.0,,,,62823921000.0,5128924000.0,109322000.0,,55200432000.0,5242692000.0,,6047506000.0,,,,,,,5117831000.0,,,,3413237000.0,,426186000.0,,,,,1074886000.0,1078694750.0,5049315000.0,,,311179000.0,,864081000.0,,,,,8605883000.0,,-6247807000.0,4.75,2069603000.0,,,271909000.0,-1053633000.0,,,,,,,,-221378000.0,,,,1209531000.0,,4.78,-4592100000.0,,,,4744711000.0,1326257000.0,,,,,9655462000.0,,,,30775000.0,,,280670000.0,,11039000.0,,,,,,,629165000.0,9711000.0,-1758424000.0,,,28179000.0,34039000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
