date,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlyOtherNonCurrentAssets,annualPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCashItems,quarterlyDilutedAverageShares,annualStockholdersEquity,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,annualBasicEPS,annualLongTermDebt,annualDepreciationAndAmortization,trailingPretaxIncome,trailingCashDividendsPaid,trailingStockBasedCompensation,trailingPurchaseOfBusiness,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncome,annualRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyNetPPE,annualStockBasedCompensation,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyGoodwill,trailingChangeInInventory,annualInventory,quarterlyInventory,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyBasicEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,annualCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualSaleOfInvestment,annualCommonStockIssuance,annualGoodwill,annualOtherIntangibleAssets,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualOperatingIncome,annualChangeInAccountPayable,annualAccountsPayable,trailingRepaymentOfDebt,quarterlyCapitalStock,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualOtherIncomeExpense,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,annualEbitda,quarterlyBeginningCashPosition,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualDilutedEPS,quarterlyTotalNonCurrentAssets,trailingEndCashPosition,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,annualNetOtherInvestingChanges,annualGrossPPE,annualCashAndCashEquivalents,quarterlyCurrentDebt,trailingChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,annualIncomeTaxPayable,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,annualPretaxIncome,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,annualInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,quarterlyGrossPPE,annualSellingGeneralAndAdministration,quarterlyGrossProfit,trailingOperatingExpense,annualAccumulatedDepreciation,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,annualRepurchaseOfCapitalStock,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,trailingDeferredIncomeTax,trailingCapitalExpenditure,annualCapitalExpenditure,trailingSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,annualChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyTotalRevenue,trailingInterestExpense,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,trailingBeginningCashPosition,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyEbitda,quarterlyStockBasedCompensation,annualDilutedAverageShares,trailingNetIncomeCommonStockholders,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyBasicAverageShares,trailingRepurchaseOfCapitalStock,annualInterestExpense,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,annualGrossProfit,quarterlyOperatingExpense,trailingFreeCashFlow,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,annualTotalNonCurrentAssets,trailingChangeInAccountPayable,quarterlyStockholdersEquity,annualChangeInWorkingCapital,quarterlySellingGeneralAndAdministration,annualOtherCurrentAssets,trailingCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,annualChangeInInventory,annualBasicAverageShares,trailingTaxProvision,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualBeginningCashPosition,trailingDepreciationAndAmortization,annualCashDividendsPaid,annualCostOfRevenue,trailingOtherNonCashItems,annualNetIncome,annualCurrentDebt,annualFreeCashFlow,quarterlyCurrentDeferredRevenue,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingBasicEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance
1979-12-31,1709000000.0,,,0.0,,-5319000000.0,,,,,,1263600000.0,,,0.0,0.16,619000000.0,,9039000000.0,-5280000000.0,222000000.0,-3871000000.0,2887600000.0,106600000.0,12402000000.0,1134100000.0,,,,,843500000.0,,-385000000.0,370100000.0,,,,,,,,9746000000.0,,,,-300000000.0,,,,,,,167800000.0,,205300000.0,,352300000.0,,,-6012000000.0,,780500000.0,4488000000.0,153900000.0,1401300000.0,,36323000000.0,0.0,,,,66045000000.0,494400000.0,,0.0,,0.16,,5743000000.0,,-10727000000.0,,2003400000.0,205300000.0,,-6336000000.0,,,,54900000.0,230000000.0,,,,433200000.0,10023000000.0,,,,,2164200000.0,,2022100000.0,,26300000000.0,-602100000.0,,,,,,,-638000000.0,-3663000000.0,,26300000000.0,117400000.0,1201100000.0,12442000000.0,,,,,1411000000.0,,,,,12043000000.0,,,,,,264900000.0,-156000000.0,762500000.0,,,1655625000.0,12402000000.0,,,,-2826000000.0,73100000.0,,,,,,2516500000.0,,6083000000.0,,,1686500000.0,846000000.0,,,,68500000.0,29722000000.0,,1624000000.0,168300000.0,,,,1655625000.0,-3403000000.0,,264900000.0,,,0.0,2397000000.0,,1971500000.0,-4616000000.0,264900000.0,81000000.0,0.0,,,,,,,,,,,,,,
1980-12-31,,,,0.0,,,,,,,,1428900000.0,,,,0.18,781700000.0,,,,,,3417500000.0,133700000.0,,1293200000.0,,,,,1005200000.0,,,428600000.0,,,,,,,,,,,,,,,,,,,157400000.0,,232100000.0,,-128600000.0,,,,,983400000.0,5271600000.0,735600000.0,1759100000.0,,,0.0,,,,,43600000.0,,0.0,,0.18,,,,,,2476700000.0,232100000.0,,,,,,68000000.0,,,,,492900000.0,,,,,,3111300000.0,,2939100000.0,,,-717600000.0,,,,,,,,,,,143400000.0,1357600000.0,,,,,,,,,,,,,,,,,291800000.0,,886100000.0,,,1621111111.0,,,,,,114100000.0,,,,,,2982700000.0,,,,,2059900000.0,,,,,100200000.0,,,1988600000.0,201100000.0,,,,1621111111.0,,,291800000.0,,,0.0,,,2288900000.0,,291800000.0,119100000.0,0.0,,,,,,,,,,,,,,
1981-12-31,,,,0.0,,,,,,,,1556300000.0,,,,0.18,821000000.0,,,,,,4040000000.0,150700000.0,,1412600000.0,,,,,1430700000.0,,,433600000.0,,,,,,,,,,,,,,,,,,,155500000.0,,239000000.0,,-164400000.0,,,,,1053000000.0,6249800000.0,822300000.0,1900600000.0,,,0.0,,,,,41100000.0,,0.0,,0.18,,,,,,2746100000.0,239000000.0,,,,,,81300000.0,,,,,508300000.0,,,,,,3770700000.0,,3565200000.0,,,-845500000.0,,,,,,,,,,,221400000.0,1762500000.0,,,,,,,,,,,,,,,,,297500000.0,,1021300000.0,,,1652777778.0,,,,,,149700000.0,,,,,,3606300000.0,,,,,2277500000.0,,,,,348500000.0,,,2483700000.0,210800000.0,,,,1652777778.0,,,297500000.0,,,0.0,,,2643500000.0,,297500000.0,409400000.0,0.0,,,,,,,,,,,,,,
1982-12-31,,,,0.0,,,,,,,,1650500000.0,,,,0.18,864200000.0,,,,,,4197500000.0,249100000.0,,1489800000.0,,,,,1345700000.0,,,414200000.0,,,,,,,,,,,,,,,,,,,236600000.0,,280400000.0,,-107400000.0,,,,,1201300000.0,6748000000.0,804100000.0,2049200000.0,,,0.0,,,,,123000000.0,,0.0,,0.18,,,,,,3056900000.0,280400000.0,,,,,,88000000.0,,,,,530500000.0,,,,,,4147000000.0,,3916600000.0,,,-1007700000.0,,,,,,,,,,,321100000.0,1590600000.0,,,,,,,,,,,,,,,,,303700000.0,,1155400000.0,,,1687222222.0,,,,,,166200000.0,,,,,,4039600000.0,,,,,2606900000.0,,,,,149900000.0,,,2547000000.0,226800000.0,,,,1687222222.0,,,303700000.0,,,0.0,,,2708400000.0,,303700000.0,190300000.0,0.0,,,,,,,,,,,,,,
1983-12-31,,,,0.0,,,,,,,,1794200000.0,,,,0.17,819200000.0,,,,,,4638300000.0,416900000.0,,1622600000.0,,,,,1456100000.0,,,394100000.0,,,,,,,,,,,,,,,,,,,235900000.0,,554900000.0,,-253800000.0,,,,,1388000000.0,7093600000.0,856600000.0,2170500000.0,,,0.0,,,,,6900000.0,,0.0,,0.17,,,,,,3309300000.0,554900000.0,,,,,,151900000.0,,,,,425100000.0,,,,,,4611600000.0,,4350900000.0,,,-1138800000.0,,,,,,,,,,,332000000.0,1899900000.0,,,,,,,,,,,,,,,,,284100000.0,,1179300000.0,,,1671176471.0,,,,,,177700000.0,,,,,,4357800000.0,,,,,2738400000.0,,,,,190000000.0,,,2844100000.0,141000000.0,,,,1671176471.0,,,284100000.0,,,0.0,,,2735800000.0,,284100000.0,276800000.0,0.0,,,,,,,,,,,,,,
1984-03-31,,,46300000.0,,,,,,,,1691100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,1605300000.0,,,1605300000.0,,,,,,,,,,,,,,,1605300000.0,,,,,,1691100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,92800000.0,,,,,,,,1691100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,1886300000.0,,,1886300000.0,,,,,,,,,,,,,,,1886300000.0,,,,,,1691100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,108500000.0,,,,,,,,1691100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,1934300000.0,,,1934300000.0,,,,,,,,,,,,,,,1934300000.0,,,,,,1691100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,80100000.0,0.0,,,333200000.0,,,,,1853400000.0,,1341100000.0,,0.2,686300000.0,,,,,,4950200000.0,621300000.0,,1678900000.0,,2163000000.0,,,1625400000.0,,,451800000.0,451800000.0,,686300000.0,,,621300000.0,,,,,,,,,,,,,163900000.0,,812800000.0,,695200000.0,,,,,1471400000.0,7698700000.0,86100000.0,2163000000.0,,,0.0,812800000.0,,812800000.0,,951400000.0,,0.0,,0.2,2660100000.0,,,,,3242000000.0,812800000.0,284300000.0,,,,,163800000.0,,,,4950200000.0,574400000.0,,,163900000.0,,,4109700000.0,3242000000.0,3853500000.0,,,-1079000000.0,,,,,,3096800000.0,,,,,333200000.0,2290100000.0,,-4730700000.0,,,2272800000.0,,385400000.0,,,,,,,,,,348600000.0,,1341100000.0,-4730700000.0,,1743000000.0,,,,,,207000000.0,,,,,2290100000.0,4804900000.0,,,1678900000.0,,2660100000.0,,1853400000.0,,,385400000.0,,1471400000.0,3096800000.0,246700000.0,1625400000.0,,,1743000000.0,,-1079000000.0,327700000.0,163800000.0,,0.0,,,2893800000.0,,348600000.0,284300000.0,0.0,,,,,,,,,,,,,,
1985-03-31,,,58700000.0,,,,,,,,1732186000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,1683600000.0,,,1683600000.0,,,,,,,,,,,,,,,1683600000.0,,,,,,1732186000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
